Geneid	Symbol	log2FC	adj.P.Val
ENSMFAG00000034321	PLIN1	1.67063365813717	1.10888827164694e-14
ENSMFAG00000045120	ACBD4	1.51034400918726	1.21307273490897e-14
ENSMFAG00000041570	""	-3.7031482235793	6.05219833106451e-14
ENSMFAG00000063424	RAB30	3.36815413261902	5.01267778418851e-14
ENSMFAG00000043696	HMGCS2	1.6687978746209	9.21668258162014e-14
ENSMFAG00000040882	CPT2	1.56045158860522	1.87730286635225e-13
ENSMFAG00000032016	PANK1	2.96090971765188	2.66927214609363e-13
ENSMFAG00000044207	ACAA1	1.40477563362695	4.36186735183637e-13
ENSMFAG00000044653	RAPGEF4	1.07627035571631	5.61420061849734e-13
ENSMFAG00000059614	SLC25A47	1.66883367221496	1.06805278722812e-12
ENSMFAG00000031988	CPT1A	4.09391927621931	1.67719886074844e-12
ENSMFAG00000044222	ABCD3	2.21597890044971	2.40330835346003e-12
ENSMFAG00000040305	ACADVL	1.17148439878248	7.13865497976173e-12
ENSMFAG00000000248	PLIN5	1.36630494490163	1.51530414773403e-11
ENSMFAG00000038810	APOA5	1.5359226763755	1.83834222629145e-11
ENSMFAG00000014894	ETFDH	1.36261498685904	2.38749529345005e-11
ENSMFAG00000045142	PNPLA2	1.59130114874591	2.75570157297204e-11
ENSMFAG00000041970	PLIN2	2.58867718789188	2.95120970633101e-11
ENSMFAG00000031252	HADHB	1.45934627782751	4.21853512770796e-11
ENSMFAG00000038992	GK	1.42277025694316	6.38694051068849e-11
ENSMFAG00000042634	CLSTN3	1.23414096452741	1.4517047203925e-10
ENSMFAG00000039817	HADHA	1.35664145266944	1.4517047203925e-10
ENSMFAG00000000778	CARS1	-1.28130746652768	1.4517047203925e-10
ENSMFAG00000033481	CCDC3	2.05184222111569	1.64169852754319e-10
ENSMFAG00000038376	SLC27A2	1.21681880911806	1.69449252811232e-10
ENSMFAG00000039473	""	1.33031321831264	1.72501470297572e-10
ENSMFAG00000043385	GALNT2	1.42036804836837	1.72558601766539e-10
ENSMFAG00000024613	""	-2.02957823290259	1.65255876486095e-10
ENSMFAG00000042525	VPS54	0.925837684874775	2.05198193270701e-10
ENSMFAG00000045739	ANKRD28	0.684936968704066	2.14201386927984e-10
ENSMFAG00000045209	POR	1.47713482396793	2.29061424686657e-10
ENSMFAG00000003498	GPAT4	0.794675042052593	2.80567397218317e-10
ENSMFAG00000002385	FRMD1	1.19528168664829	2.35235532740431e-10
ENSMFAG00000001936	CCM2	0.841476702339678	3.13360773417293e-10
ENSMFAG00000040240	ACAA2	1.30858898044254	3.3645013766952e-10
ENSMFAG00000040038	AZIN1	0.946257226034453	3.61156491046426e-10
ENSMFAG00000003954	MPC1	1.6434760291429	3.76286001860922e-10
ENSMFAG00000055282	PEX11A	1.1756786670535	3.86667348032862e-10
ENSMFAG00000033078	SOAT2	0.775476539118216	3.86667348032862e-10
ENSMFAG00000036743	PRPF19	0.713755643030034	3.86667348032862e-10
ENSMFAG00000039178	HSDL2	2.40415851562874	3.86667348032862e-10
ENSMFAG00000034068	ABHD2	1.27533331176836	5.34388490103021e-10
ENSMFAG00000025800	FBP2	2.61858467490853	3.3645013766952e-10
ENSMFAG00000032226	PHGDH	1.23917340726811	7.77473312958727e-10
ENSMFAG00000033998	SPTBN2	0.798066865941833	7.77836211698962e-10
ENSMFAG00000000681	ADGRG7	1.44224736563114	6.82855290232935e-10
ENSMFAG00000032983	CIDEB	1.32823090605494	9.13417822732799e-10
ENSMFAG00000033088	ABHD15	0.905636007588825	1.14038537259609e-09
ENSMFAG00000000876	SFXN5	0.921636074274239	1.24732552654959e-09
ENSMFAG00000038890	ABCB4	1.02720322630874	1.44877790893247e-09
ENSMFAG00000031959	TSPAN3	0.726088890165893	1.83316561342029e-09
ENSMFAG00000032643	UNC5CL	-0.978845271788426	1.83316561342029e-09
ENSMFAG00000040508	CARD9	-1.07139132958834	1.96704175566571e-09
ENSMFAG00000000534	PPARGC1A	1.91276389552364	1.96704175566571e-09
ENSMFAG00000003208	SLC19A3	0.785027928807639	2.60021813026971e-09
ENSMFAG00000028608	SREBF1	-1.84800131064896	2.69838046761319e-09
ENSMFAG00000001561	ACLY	-1.1558747862838	3.83024360953387e-09
ENSMFAG00000041244	CYP26A1	-1.63349150636963	3.84142609709655e-09
ENSMFAG00000054002	LDHA	1.78258341027683	4.8703573848509e-09
ENSMFAG00000036884	PDE9A	-1.074516173889	4.98581333826261e-09
ENSMFAG00000043091	""	0.657618520445094	4.99950003650093e-09
ENSMFAG00000058429	CYP2C18	1.24245437511914	5.29154527149797e-09
ENSMFAG00000032514	SLC27A4	0.564576797636485	5.29154527149797e-09
ENSMFAG00000060640	""	-1.09707689877613	6.01926843539443e-09
ENSMFAG00000052925	GK3P	1.62778020548003	4.55230435064178e-09
ENSMFAG00000043042	INHBB	1.878076285431	6.01926843539443e-09
ENSMFAG00000044253	VNN1	2.40677989249771	6.43486772876106e-09
ENSMFAG00000000950	LIMS2	-0.95945476072295	6.67265517175481e-09
ENSMFAG00000047801	""	-1.3503570078938	6.94360869118968e-09
ENSMFAG00000032544	CYP4A11	1.28120215120569	6.94360869118968e-09
ENSMFAG00000040931	STAU1	0.640485723564048	8.01570041588793e-09
ENSMFAG00000064074	EHHADH	0.773023118454725	8.50183851802764e-09
ENSMFAG00000032997	KIF13A	0.817461023146393	9.72877386984676e-09
ENSMFAG00000034066	LBR	-0.777001896184266	9.58651717767609e-09
ENSMFAG00000041036	OXSR1	0.76608358995778	1.01834778808711e-08
ENSMFAG00000031285	""	0.498771671939607	1.07119464113095e-08
ENSMFAG00000027135	NEIL2	0.723047379934197	1.07119464113095e-08
ENSMFAG00000001122	LEPR	2.24020221968888	1.1968393718286e-08
ENSMFAG00000037182	MID1	1.18849533755741	9.72877386984676e-09
ENSMFAG00000041856	""	1.77915066829548	1.21520871018161e-08
ENSMFAG00000042437	PDK2	0.698453461046848	1.20366953174603e-08
ENSMFAG00000038486	DEFB1	-1.66888543191651	1.39180598398589e-08
ENSMFAG00000036114	SPHK2	0.625773046252441	1.33030037007639e-08
ENSMFAG00000035809	SLC25A30	1.33915511349613	1.3569306106376e-08
ENSMFAG00000035158	SEC23A	0.917106467741724	1.36128744663825e-08
ENSMFAG00000039889	COPS7B	0.59976944703605	1.42806390553534e-08
ENSMFAG00000034617	""	0.601289704257634	1.42806390553534e-08
ENSMFAG00000036499	LDAH	0.624707582804255	1.49046337905126e-08
ENSMFAG00000000740	""	-1.13110189198507	1.54868227229276e-08
ENSMFAG00000010807	PHLPP1	0.756186919814804	1.7556339731957e-08
ENSMFAG00000046218	LRRC45	-1.151127111045	1.79685979879607e-08
ENSMFAG00000000670	PRKAG2	0.667372873936589	1.83627212617351e-08
ENSMFAG00000033992	CDK9	0.462625437024151	1.98212226810253e-08
ENSMFAG00000033123	GLYCTK	1.16733142531087	2.10129269076008e-08
ENSMFAG00000032340	GPAM	-1.5797777121428	2.12889133083252e-08
ENSMFAG00000038774	KIF5C	-1.08937044815717	2.36570179797308e-08
ENSMFAG00000000259	OCIAD2	1.71075794992002	2.17591752295481e-08
ENSMFAG00000000239	PLIN4	1.28844323808586	2.49269236659215e-08
ENSMFAG00000000304	ASPA	0.767010425137692	2.76383844870015e-08
ENSMFAG00000033539	BTD	0.60141442714565	3.18093871110853e-08
ENSMFAG00000039130	SLC25A22	0.814701860760449	3.35231207058567e-08
ENSMFAG00000002831	ACSM1	-1.19124164032123	3.43584724035502e-08
ENSMFAG00000035643	TUBA1A	-0.848871107958133	3.72924907482201e-08
ENSMFAG00000052137	""	-0.753609366785748	3.79661566343182e-08
ENSMFAG00000042737	ADAMTS7	-1.1616600339638	4.16755512618223e-08
ENSMFAG00000037811	""	-0.958696633887338	3.9129072182825e-08
ENSMFAG00000003899	DGAT1	0.999188354492217	4.20671075723638e-08
ENSMFAG00000039490	KLF11	1.38721077435491	4.67571403460739e-08
ENSMFAG00000037054	CASKIN2	0.743459021108306	4.66246218063861e-08
ENSMFAG00000063944	""	-1.41274049948284	4.84818686993891e-08
ENSMFAG00000042075	ZBTB7B	0.740424058082603	4.97848750488931e-08
ENSMFAG00000003654	""	0.695559424371615	5.21925984420253e-08
ENSMFAG00000032334	TMEM171	1.47014846980315	5.88304723242589e-08
ENSMFAG00000022753	ABHD6	0.751099381676997	5.68041732921993e-08
ENSMFAG00000040762	FADS3	0.942228814711109	5.97780362303532e-08
ENSMFAG00000029816	HAPLN4	-1.55784088415393	6.22444785739768e-08
ENSMFAG00000062270	TM4SF4	1.12645257513619	5.9052009792148e-08
ENSMFAG00000046149	KDM3A	1.52907905526472	5.88304723242589e-08
ENSMFAG00000039442	TKT	-0.881761576657389	5.9052009792148e-08
ENSMFAG00000044632	CASP9	0.524176543672541	6.14799027360964e-08
ENSMFAG00000034241	HACL1	0.75009411541665	6.18516501758673e-08
ENSMFAG00000003517	ANGPTL4	2.52782915838892	6.38385282127613e-08
ENSMFAG00000043280	OASL	2.15157274928947	7.0412876233853e-08
ENSMFAG00000032655	ACADM	1.06056955584342	6.72152490387809e-08
ENSMFAG00000037303	HAL	2.01263873565716	7.07319299388743e-08
ENSMFAG00000038789	CLIC4	-0.710806138417538	7.49895662014991e-08
ENSMFAG00000033716	ACSL1	0.686329162215481	8.63684604803329e-08
ENSMFAG00000044283	""	0.741132070916021	8.26015251742253e-08
ENSMFAG00000042131	SUV39H1	0.601793929385339	9.72342107897508e-08
ENSMFAG00000041701	MYD88	0.885811685989734	9.5601731194927e-08
ENSMFAG00000002617	KLHL29	-1.8566239710639	9.36812071142709e-08
ENSMFAG00000049523	""	-1.44467169420451	1.10357858829324e-07
ENSMFAG00000042796	CYP4A45P	1.15991022534236	1.09431762275504e-07
ENSMFAG00000022782	TMBIM1	0.477391639354536	1.10628956633539e-07
ENSMFAG00000003913	SNAPC4	-1.12936592728147	1.11632762725536e-07
ENSMFAG00000002720	""	-0.832720102080252	1.25838724302185e-07
