Geneid	Symbol	GElaS
ENSMFAG00000034321	PLIN1	1.47676444658154
ENSMFAG00000045120	ACBD4	0.913108013855287
ENSMFAG00000041570	""	5.31141359969963
ENSMFAG00000063424	RAB30	4.73958783537324
ENSMFAG00000043696	HMGCS2	0.993566414146944
ENSMFAG00000040882	CPT2	1.2119811059815
ENSMFAG00000032016	PANK1	1.54974034780189
ENSMFAG00000044207	ACAA1	0.814392792771089
ENSMFAG00000044653	RAPGEF4	1.10327351795031
ENSMFAG00000059614	SLC25A47	1.94976748802002
ENSMFAG00000031988	CPT1A	1.73633284904914
ENSMFAG00000044222	ABCD3	0.749684177949025
ENSMFAG00000040305	ACADVL	0.687937179982704
ENSMFAG00000000248	PLIN5	0.548295323030292
ENSMFAG00000038810	APOA5	1.10273286431152
ENSMFAG00000014894	ETFDH	0.532824335670584
ENSMFAG00000045142	PNPLA2	2.05550234109715
ENSMFAG00000041970	PLIN2	3.69702335661924
ENSMFAG00000031252	HADHB	0.649946921336358
ENSMFAG00000038992	GK	0.738777279132817
ENSMFAG00000042634	CLSTN3	0.985036855282368
ENSMFAG00000039817	HADHA	0.743875078185781
ENSMFAG00000000778	CARS1	0.131899213913318
ENSMFAG00000033481	CCDC3	0.336535457433716
ENSMFAG00000038376	SLC27A2	0.818123709518567
ENSMFAG00000039473	""	2.39206075365738
ENSMFAG00000043385	GALNT2	0.362483174353667
ENSMFAG00000024613	""	2.69591342609492
ENSMFAG00000042525	VPS54	0.370782336354348
ENSMFAG00000045739	ANKRD28	0.61581447211021
ENSMFAG00000045209	POR	1.60466183106479
ENSMFAG00000003498	GPAT4	0.914216580205775
ENSMFAG00000002385	FRMD1	1.05415054000126
ENSMFAG00000001936	CCM2	0.725371658520132
ENSMFAG00000040240	ACAA2	0.588978178622012
ENSMFAG00000040038	AZIN1	0.56420865592264
ENSMFAG00000003954	MPC1	0.846676939358049
ENSMFAG00000055282	PEX11A	1.48344409580072
ENSMFAG00000033078	SOAT2	0.742331384716725
ENSMFAG00000036743	PRPF19	0.615519081379585
ENSMFAG00000039178	HSDL2	0.224173718672074
ENSMFAG00000034068	ABHD2	0.369885911694419
ENSMFAG00000025800	FBP2	1.40140573843405
ENSMFAG00000032226	PHGDH	0.688850656220287
ENSMFAG00000033998	SPTBN2	0.0269806036250085
ENSMFAG00000000681	ADGRG7	0.545515451446144
ENSMFAG00000032983	CIDEB	0.537472909927029
ENSMFAG00000033088	ABHD15	0.513048274989885
ENSMFAG00000000876	SFXN5	0.128281907360437
ENSMFAG00000038890	ABCB4	0.143082719085225
ENSMFAG00000031959	TSPAN3	0.438001630489622
ENSMFAG00000032643	UNC5CL	0.628959390499462
ENSMFAG00000040508	CARD9	0.376490051278249
ENSMFAG00000000534	PPARGC1A	2.49454873272272
ENSMFAG00000003208	SLC19A3	1.42348822828929
ENSMFAG00000028608	SREBF1	1.7358032112661
ENSMFAG00000001561	ACLY	0.894488475567007
ENSMFAG00000041244	CYP26A1	1.68263842378704
ENSMFAG00000054002	LDHA	0.569104806307675
ENSMFAG00000036884	PDE9A	0.132708892988807
ENSMFAG00000043091	""	0.730409109983246
ENSMFAG00000058429	CYP2C18	0.781476609944037
ENSMFAG00000032514	SLC27A4	0.0553783120458346
ENSMFAG00000060640	""	0.941686621386266
ENSMFAG00000052925	GK3P	0.231122395603112
ENSMFAG00000043042	INHBB	2.0395711105568
ENSMFAG00000044253	VNN1	0.533963125022906
ENSMFAG00000000950	LIMS2	0
ENSMFAG00000047801	""	0.166976000266629
ENSMFAG00000032544	CYP4A11	0.631888235255241
ENSMFAG00000040931	STAU1	0.356441391474456
ENSMFAG00000064074	EHHADH	0.327150704082422
ENSMFAG00000032997	KIF13A	0.519744823313432
ENSMFAG00000034066	LBR	1.34432297199151
ENSMFAG00000041036	OXSR1	0.403859478567327
ENSMFAG00000031285	""	0.309721937785284
ENSMFAG00000027135	NEIL2	0.49698217385511
ENSMFAG00000001122	LEPR	0.149938667432505
ENSMFAG00000037182	MID1	1.01955955718771
ENSMFAG00000041856	""	0.712592767924108
ENSMFAG00000042437	PDK2	1.34033756905625
ENSMFAG00000038486	DEFB1	0
ENSMFAG00000036114	SPHK2	0.14366828558549
ENSMFAG00000035809	SLC25A30	2.60909840219022
