Geneid	Symbol	AdLibitum.log2fpkm.mean	Fast.log2fpkm.mean	Refeed.log2fpkm.mean
ENSMFAG00000034321	PLIN1	0.671774458865924	2.62284429635091	1.56849150730757
ENSMFAG00000045120	ACBD4	3.84354542333772	5.38298183645118	4.73323149877759
ENSMFAG00000041570	""	6.8809487148788	3.1134774994941	6.12893850751007
ENSMFAG00000063424	RAB30	0.461023987490966	4.21283485823001	1.35650848262103
ENSMFAG00000043696	HMGCS2	8.64137098160308	10.3113612115986	9.61103396291004
ENSMFAG00000040882	CPT2	4.14437152829162	5.72994465349755	4.91958965056034
ENSMFAG00000032016	PANK1	3.39796552633606	6.41395972963761	5.27943980443883
ENSMFAG00000044207	ACAA1	7.00828390498565	8.41629178699697	7.83809384680213
ENSMFAG00000044653	RAPGEF4	1.91750805979141	3.08825863285873	2.36168055074251
ENSMFAG00000059614	SLC25A47	5.69799524404232	7.3744417211448	6.21684241428269
ENSMFAG00000031988	CPT1A	0.00949966515857668	4.65789863716058	3.25879780628329
ENSMFAG00000044222	ABCD3	4.34688886918899	6.5888799441473	5.99351723414097
ENSMFAG00000040305	ACADVL	7.30685367888766	8.48067670114178	7.99375580748984
ENSMFAG00000000248	PLIN5	3.29725126924072	4.7063622486122	4.27787498415545
ENSMFAG00000038810	APOA5	8.68580970937882	10.2227173007057	9.47920622276753
ENSMFAG00000014894	ETFDH	4.93324398117676	6.30899080277023	5.89653789306693
ENSMFAG00000045142	PNPLA2	4.66703634600665	6.27578766650637	5.08450319761411
ENSMFAG00000041970	PLIN2	4.63608221492842	7.24868449882716	5.1736532533252
ENSMFAG00000031252	HADHB	5.65418948696086	7.12205833204614	6.63275652698304
ENSMFAG00000038992	GK	3.19184293503101	4.66253471659816	4.11381604453016
ENSMFAG00000042634	CLSTN3	2.84655989588991	4.13525284202346	3.4665258005307
ENSMFAG00000039817	HADHA	5.49524566839651	6.86092872827745	6.3242555651603
ENSMFAG00000000778	CARS1	3.76340945971774	2.40205483669612	2.54511235626395
ENSMFAG00000033481	CCDC3	0.342022510524787	2.73873447802534	2.40346388297647
ENSMFAG00000038376	SLC27A2	5.84043456802197	7.06398760849681	6.50139430810535
ENSMFAG00000039473	""	3.59547977929711	4.96059216022495	3.69126876364251
ENSMFAG00000043385	GALNT2	2.93277594520663	4.40956461903832	4.10123605211967
ENSMFAG00000024613	""	2.07795039735319	-0.54787120899185	1.52430482401352
ENSMFAG00000042525	VPS54	2.05615504722231	3.05631445202754	2.75422608749052
ENSMFAG00000045739	ANKRD28	1.46420157008668	2.24145941141642	1.80193252370259
ENSMFAG00000045209	POR	6.07894477321005	7.56251928135606	6.58972255243283
ENSMFAG00000003498	GPAT4	4.73524157295358	5.540754641081	4.99096581020882
ENSMFAG00000002385	FRMD1	-1.03795010567008	0.835736811785541	-0.140932338068638
ENSMFAG00000001936	CCM2	4.16647192158852	5.02418523346797	4.54973961586657
ENSMFAG00000040240	ACAA2	7.35935144366458	8.67043272581694	8.22923510033462
ENSMFAG00000040038	AZIN1	4.28607020663351	5.24912397573186	4.84606773818816
ENSMFAG00000003954	MPC1	6.38110302093336	8.02929723720454	7.41226137435719
ENSMFAG00000055282	PEX11A	1.77769394290782	3.05364276341048	2.12910463823746
ENSMFAG00000033078	SOAT2	4.07249550724088	4.86633791287424	4.39225589449106
ENSMFAG00000036743	PRPF19	4.97154031403424	5.69328278228539	5.29335114156362
ENSMFAG00000039178	HSDL2	3.71144569083641	6.15906051843437	5.93788748216479
ENSMFAG00000034068	ABHD2	4.78299359650463	6.07375396515618	5.771408335354
ENSMFAG00000025800	FBP2	-1.59282157784236	1.89806558059735	0.846931159279164
ENSMFAG00000032226	PHGDH	4.92284818788782	6.17541491868819	5.67847648179655
ENSMFAG00000033998	SPTBN2	1.7551711530873	2.64129312200828	2.61406123994987
ENSMFAG00000000681	ADGRG7	-0.204497085744896	1.65566105382431	1.15980256920086
ENSMFAG00000032983	CIDEB	5.4191800068946	6.75485714575733	6.34258526422222
ENSMFAG00000033088	ABHD15	1.49038793535394	2.50343479519105	2.10405057761071
ENSMFAG00000000876	SFXN5	2.86925885890034	3.83580732827681	3.71055310296892
ENSMFAG00000038890	ABCB4	4.03132156862086	5.0811745778679	4.94425574784239
ENSMFAG00000031959	TSPAN3	4.00722713978709	4.75022829113138	4.4362048608671
ENSMFAG00000032643	UNC5CL	1.00231768033858	-0.43851512540144	0.271273908294575
ENSMFAG00000040508	CARD9	1.50643031657711	0.156175286859537	0.55397794977358
ENSMFAG00000000534	PPARGC1A	-1.58209290301908	1.41722986892083	-0.658057260158718
ENSMFAG00000003208	SLC19A3	3.40415763174229	4.21678130014256	3.45621664289424
ENSMFAG00000028608	SREBF1	4.79060879024505	2.87393687905075	4.01845193398903
ENSMFAG00000001561	ACLY	3.42319780982324	2.18626730834075	2.82721638486783
ENSMFAG00000041244	CYP26A1	4.43932952188348	2.7325275989581	3.82175664630823
ENSMFAG00000054002	LDHA	7.36949808330946	9.1551219238635	8.70102111591071
ENSMFAG00000036884	PDE9A	2.39897920128926	1.16774870951465	1.31806407084763
ENSMFAG00000043091	""	6.04969149179836	6.71107965243472	6.27046064103194
ENSMFAG00000058429	CYP2C18	6.3173278144866	7.56477985875517	7.01943214418934
ENSMFAG00000032514	SLC27A4	2.7262861080801	3.32393504280077	3.26784917587347
ENSMFAG00000060640	""	2.24474899893157	0.967326289374661	1.68696551413019
ENSMFAG00000052925	GK3P	-0.162131755965995	1.91759539785757	1.67083036495225
ENSMFAG00000043042	INHBB	-1.11065519677501	1.57060550969462	-0.0119499533331234
ENSMFAG00000044253	VNN1	4.92368533179075	7.34940264482824	6.88195742961029
ENSMFAG00000000950	LIMS2	3.7039873549695	2.69494133586278	2.56441375634654
ENSMFAG00000047801	""	2.26994506220296	0.667638603262302	0.869665282233568
ENSMFAG00000032544	CYP4A11	6.40623554411984	7.69269608142546	7.22766885512974
ENSMFAG00000040931	STAU1	4.37859386785725	5.03078427141235	4.77163686213618
ENSMFAG00000064074	EHHADH	6.58785820826142	7.36375251881898	7.11519604670157
ENSMFAG00000032997	KIF13A	1.07461564298903	2.02925821689022	1.61138673788018
ENSMFAG00000034066	LBR	4.00443814962523	3.19553054542163	3.92944732496164
ENSMFAG00000041036	OXSR1	1.49308986884014	2.35729555485172	2.03210104976854
ENSMFAG00000031285	""	5.08903222337168	5.59375421028052	5.37513223641018
ENSMFAG00000027135	NEIL2	2.6284876114109	3.393894080196	3.03906628549693
ENSMFAG00000001122	LEPR	-0.348293898661781	2.54086701316594	2.29532914486034
ENSMFAG00000037182	MID1	-1.33293105280847	0.598628685137289	-0.355289214013244
ENSMFAG00000041856	""	3.28000485071858	5.10443031039423	4.54949646055615
ENSMFAG00000042437	PDK2	3.69416534986917	4.41325197561245	3.71440540978316
ENSMFAG00000038486	DEFB1	5.49114511073573	3.79838945179443	3.64575961961386
ENSMFAG00000036114	SPHK2	3.3929014396498	4.04118627000703	3.91199746177817
ENSMFAG00000035809	SLC25A30	3.56983135750531	4.94329055757081	3.49166578588859
ENSMFAG00000035158	SEC23A	3.93748214915116	4.87508671953996	4.779750777902
ENSMFAG00000039889	COPS7B	1.80439832196577	2.47031934437579	1.90488144682155
ENSMFAG00000034617	""	3.78945472598047	4.40752540186883	3.63342290763634
ENSMFAG00000036499	LDAH	2.57540541999119	3.24015443124956	2.99767360111354
ENSMFAG00000000740	""	7.2545507685115	6.11794079671754	6.32758427111599
ENSMFAG00000010807	PHLPP1	1.02265379790812	1.91325712217529	1.21754749885022
ENSMFAG00000046218	LRRC45	3.70392288258052	2.4848939837605	2.66319117488302
ENSMFAG00000000670	PRKAG2	2.8950957962596	3.59669746127795	3.03747297712874
ENSMFAG00000033992	CDK9	3.55958490989731	4.03798616954403	3.81522496150622
ENSMFAG00000033123	GLYCTK	6.10979744040614	7.28240205026272	6.86723249796623
ENSMFAG00000032340	GPAM	6.57458776982629	4.97979067720572	6.19679711818367
ENSMFAG00000038774	KIF5C	1.04542313144629	-0.58230136418069	-0.0396998561003379
ENSMFAG00000000259	OCIAD2	5.08770119958423	6.81044811891913	5.92216495385983
ENSMFAG00000000239	PLIN4	1.31966022418352	2.79563697643449	2.66643534736075
ENSMFAG00000000304	ASPA	3.95627274400763	4.74386954900694	4.26270175248916
ENSMFAG00000033539	BTD	5.01844492286949	5.62716518067717	5.12792752272687
ENSMFAG00000039130	SLC25A22	2.96692574705803	3.8187413290346	3.45192306533083
ENSMFAG00000002831	ACSM1	7.83635810578533	6.64095232767843	6.54247106482689
ENSMFAG00000035643	TUBA1A	4.6222937544265	3.75054683450382	4.02441194128348
ENSMFAG00000052137	""	5.7139135989741	4.95056381246983	4.82327513536453
ENSMFAG00000042737	ADAMTS7	0.908715499489706	-0.802156909293865	-0.55543450048056
ENSMFAG00000037811	""	6.35321683510705	5.38591760537646	5.13952046834305
ENSMFAG00000003899	DGAT1	3.81592500514916	4.83812633739445	4.57722910940996
ENSMFAG00000039490	KLF11	0.511132087989679	2.17700336369502	0.364165665688949
ENSMFAG00000037054	CASKIN2	2.4742390984137	3.26604405157936	3.13638097071282
ENSMFAG00000063944	""	5.21997980903345	3.77866276624164	3.93322702232464
ENSMFAG00000042075	ZBTB7B	3.35725147391317	4.12495307636989	4.05332876381124
ENSMFAG00000003654	""	4.76139395086873	5.465961899968	4.7732053066354
ENSMFAG00000032334	TMEM171	1.20939865636953	2.84686284347442	1.6578277361593
ENSMFAG00000022753	ABHD6	2.76635309494563	3.55695824552596	3.32954183541412
ENSMFAG00000040762	FADS3	2.31621197243188	3.32106785471313	2.89784443178911
ENSMFAG00000029816	HAPLN4	2.91384457580055	1.10609018908622	1.21300963502591
ENSMFAG00000062270	TM4SF4	7.07320937028504	8.2021485103805	7.59170564601572
ENSMFAG00000046149	KDM3A	3.37607240197819	4.95131831059411	3.25244446647042
ENSMFAG00000039442	TKT	5.19959709481166	4.30180095849551	4.31505031267539
ENSMFAG00000044632	CASP9	1.81691647449051	2.40000600448793	2.19101492627404
ENSMFAG00000034241	HACL1	5.12418302443593	5.88185145292862	5.54217104710786
ENSMFAG00000003517	ANGPTL4	3.25702920873261	5.85153231394627	2.96212135184588
ENSMFAG00000043280	OASL	0.496578853471957	3.03776105486613	1.26711859237538
ENSMFAG00000032655	ACADM	5.25317414622601	6.32308951174016	6.12149951397886
ENSMFAG00000037303	HAL	1.50536939215823	3.69806587388069	3.25528352428627
ENSMFAG00000038789	CLIC4	5.06207785434522	4.33789330821755	4.78311880609824
ENSMFAG00000033716	ACSL1	8.41225176534046	9.09938298183102	9.03878310264311
ENSMFAG00000044283	""	4.15900544033224	4.91561479073928	4.44492581026842
ENSMFAG00000042131	SUV39H1	1.32014260245877	2.01671583740216	1.72304730278972
