Geneid	Symbol	log2FC	adj.P.Val
ENSMFAG00000063424	RAB30	-2.65179400187193	2.56717222417312e-11
ENSMFAG00000041570	""	2.95438869787422	2.56717222417312e-11
ENSMFAG00000029625	MYCL	-1.30831619888188	3.73833608712641e-10
ENSMFAG00000034617	""	-0.751789973356074	1.73511317465534e-09
ENSMFAG00000034321	PLIN1	-0.943695985535239	2.04265018624233e-09
ENSMFAG00000030476	SKP2	1.18011354978257	2.04265018624233e-09
ENSMFAG00000048205	RASD2	-1.92469814243637	2.04265018624233e-09
ENSMFAG00000039473	""	-1.23868775273402	2.76487926108993e-09
ENSMFAG00000002232	RNF145	0.736689110338784	3.27141065568319e-09
ENSMFAG00000059614	SLC25A47	-1.15306626907289	5.91382644636278e-09
ENSMFAG00000041970	PLIN2	-2.0591241570268	8.10760076735674e-09
ENSMFAG00000045653	SIK2	-1.7694561323059	8.10760076735674e-09
ENSMFAG00000028242	NAMPT	-1.25396367093165	8.86350170219241e-09
ENSMFAG00000050565	UBE2QL1	-2.1485767051692	8.10760076735674e-09
ENSMFAG00000043774	GCK	2.7436005372771	1.27388851373471e-08
ENSMFAG00000003537	TLE6	-0.686892023156082	1.5303863505842e-08
ENSMFAG00000044653	RAPGEF4	-0.677187845566149	1.54154810460261e-08
ENSMFAG00000035809	SLC25A30	-1.41213897814836	1.82457873921558e-08
ENSMFAG00000058174	""	-1.34362384571684	1.82457873921558e-08
ENSMFAG00000045142	PNPLA2	-1.1801993878301	1.99186293272691e-08
ENSMFAG00000043755	PCK1	-3.96042059850258	2.07618172006463e-08
ENSMFAG00000003208	SLC19A3	-0.735114178109482	2.65395030257193e-08
ENSMFAG00000003517	ANGPTL4	-2.8077474109802	2.8684040908894e-08
ENSMFAG00000045673	SEPHS2	-0.855590148844297	3.02298891876702e-08
ENSMFAG00000039490	KLF11	-1.49995390645343	3.00513365850367e-08
ENSMFAG00000055350	AGMAT	-0.460361562438892	3.8320157175e-08
ENSMFAG00000046149	KDM3A	-1.64877558539259	4.29947903025273e-08
ENSMFAG00000043294	ECE1	-0.61069335431015	4.42513953684947e-08
ENSMFAG00000024613	""	1.53498815975541	3.74293627170216e-08
ENSMFAG00000042437	PDK2	-0.679424193449591	5.2141647903921e-08
ENSMFAG00000038125	ARMC12	-0.834294939725782	5.29097891970335e-08
ENSMFAG00000034092	GUCD1	-0.671553497488587	6.94107646371e-08
ENSMFAG00000039379	CTPS1	0.883142327908123	6.94107646371e-08
ENSMFAG00000042772	SLC25A33	-1.03022784177714	7.5873039455796e-08
ENSMFAG00000030375	HBP1	-0.862201441528936	7.5873039455796e-08
ENSMFAG00000001168	ACADS	-0.567641771931799	8.74138353032478e-08
ENSMFAG00000002790	MAP1LC3B	-0.463116391902575	9.95619603530193e-08
ENSMFAG00000034066	LBR	0.704876610205986	1.42670238133039e-07
ENSMFAG00000040882	CPT2	-0.80090991533255	1.47741466961764e-07
ENSMFAG00000040065	CREB3L3	-1.76638200654139	1.47741466961764e-07
ENSMFAG00000001801	MMADHC	-0.480426191444202	1.68139712596628e-07
ENSMFAG00000000348	PPP1R3C	1.58303337310118	1.7572859843648e-07
