Geneid	Symbol	log2FC	adj.P.Val
ENSMFAG00000039490	KLF11	1.10516035289774	1.86689946973464e-06
ENSMFAG00000030480	HEXIM1	-0.7239327082825	1.86689946973464e-06
ENSMFAG00000000410	BROX	0.401865309872776	2.10240795260052e-05
ENSMFAG00000002868	TUBG1	-0.905276463712327	2.10240795260052e-05
ENSMFAG00000033324	ANKRD37	-1.15296057143396	6.06065512243741e-05
ENSMFAG00000001195	""	-0.480448170674947	6.06065512243741e-05
ENSMFAG00000001255	USP35	-0.628736386521205	6.06065512243741e-05
ENSMFAG00000034435	MED25	0.584702058157897	6.06065512243741e-05
ENSMFAG00000034078	PYROXD2	1.2356920037053	6.06065512243741e-05
ENSMFAG00000042891	HMOX1	2.38609054451944	6.69561255744639e-05
ENSMFAG00000041042	SIN3A	0.539625092233268	6.69561255744639e-05
ENSMFAG00000001823	SEC14L1	0.522991698952446	6.70922409583404e-05
ENSMFAG00000003159	TMX2	-0.680179839666896	6.87420332451644e-05
ENSMFAG00000045278	DDIT3	-0.699140578066486	9.38728418533092e-05
ENSMFAG00000016945	KLHL25	-0.934317902813661	0.000105675036369611
ENSMFAG00000000437	CAT	0.6655935161679	0.000108722461002098
ENSMFAG00000043644	CD93	0.712262928657491	0.000108722461002098
ENSMFAG00000032548	MT1E	1.24899889233528	0.000108722461002098
ENSMFAG00000002482	MT2	1.26536071545267	0.000108722461002098
ENSMFAG00000045951	TIA1	-0.597143447890934	0.000108722461002098
ENSMFAG00000038266	PLEKHH1	-0.807099630399905	0.000123880602521691
ENSMFAG00000031988	CPT1A	0.992386188396867	0.000156278878412563
ENSMFAG00000002713	NOCT	-0.723672578643028	0.000187902335928782
ENSMFAG00000034496	ALAS1	-0.829771553530708	0.000200943358562592
ENSMFAG00000032288	DHX36	0.39711433619453	0.000224248409372618
ENSMFAG00000060342	KCTD21	-0.526072299356471	0.000228620332146862
ENSMFAG00000041551	DCK	0.404867019479151	0.000233740866482964
ENSMFAG00000044351	""	-0.423561416280471	0.000233740866482964
ENSMFAG00000042464	""	0.873384637955195	0.000235955252295974
ENSMFAG00000039055	IAH1	-0.431680899877606	0.000246819751926682
ENSMFAG00000042663	DOCK9	0.583374299714271	0.00027260970825922
ENSMFAG00000000476	KCTD9	0.304395507382891	0.00027260970825922
ENSMFAG00000042774	BCL6B	0.740223089435369	0.00028487212599503
ENSMFAG00000032021	NEDD4L	0.568247818982816	0.00028487212599503
ENSMFAG00000041947	UBE4A	0.745982969143999	0.00028487212599503
ENSMFAG00000029400	ASXL1	0.298219765288087	0.00028487212599503
ENSMFAG00000041226	SNRK	0.575054152803808	0.000313415580238426
ENSMFAG00000038076	EPOR	0.690846938962609	0.000361355184777967
ENSMFAG00000002103	CALCOCO1	0.560187849582189	0.000404751882984504
ENSMFAG00000041079	DUSP7	-0.574570290103965	0.000404751882984504
ENSMFAG00000032736	MAST2	-0.785052258080481	0.000455379347172391
ENSMFAG00000003517	ANGPTL4	1.97127221318723	0.000455379347172391
ENSMFAG00000037339	""	-0.526631372206751	0.000545503197999235
ENSMFAG00000053349	""	0.616884695198664	0.000454660249899677
ENSMFAG00000033158	CDK2AP2	-0.435169860149422	0.000545503197999235
ENSMFAG00000034066	LBR	0.50132455325826	0.000545503197999235
ENSMFAG00000035493	MBD5	0.409033481216566	0.000562957120327516
ENSMFAG00000011344	ZBTB22	0.694219011064028	0.000594464159592884
ENSMFAG00000037503	ABCB8	-0.44082183907695	0.000605663101302245
ENSMFAG00000036189	KLF10	1.05683815477921	0.000608793886488971
ENSMFAG00000032249	""	0.380714889310494	0.000641370000325946
ENSMFAG00000045023	""	-0.503613996783053	0.000641370000325946
ENSMFAG00000001009	DAZAP2	0.38734728221879	0.000641370000325946
ENSMFAG00000033216	TUBGCP3	0.403967136180938	0.000641370000325946
ENSMFAG00000000478	PCYT2	-0.331828486026534	0.000641370000325946
ENSMFAG00000045053	CBR1	-0.42512238077401	0.000641370000325946
ENSMFAG00000043750	CTDSP2	0.438968950682494	0.000718258124223762
ENSMFAG00000043261	ZFYVE19	-0.43734072978779	0.000718258124223762
ENSMFAG00000043897	""	-0.341175704572042	0.000718258124223762
ENSMFAG00000036600	CREBRF	0.570244740191564	0.000735307987659522
ENSMFAG00000039946	SLC30A1	0.754969840295919	0.000723360381173296
ENSMFAG00000035820	C19orf44	-0.438331792813375	0.000735307987659522
ENSMFAG00000003392	NCSTN	0.303907808860883	0.000735307987659522
ENSMFAG00000044993	ASAP1	0.576870876033628	0.000775089217199248
ENSMFAG00000030946	ZNF426	0.411317524443209	0.000780149361857085
ENSMFAG00000043666	OXNAD1	-0.680844806748484	0.00079207714931641
ENSMFAG00000001297	""	0.294901644983653	0.000776020176069992
ENSMFAG00000044755	NDRG4	0.46001712775279	0.000780149361857085
ENSMFAG00000041683	ALDH1A3	0.878625105227583	0.00079207714931641
ENSMFAG00000041404	INTS13	-0.332254149794981	0.000844752899323248
ENSMFAG00000034097	CCDC50	0.279666514761016	0.000834410002176961
ENSMFAG00000003010	CDK8	-0.517908791017332	0.000902087391835749
ENSMFAG00000031908	UTP15	-0.378651495264177	0.000910440878404021
ENSMFAG00000045418	EED	-0.364209550046616	0.000909162404289645
ENSMFAG00000041065	BTC	0.837341087677505	0.000718258124223762
ENSMFAG00000000557	TIMM8A	-0.601244966879589	0.00096420506226103
ENSMFAG00000034447	INPP5B	0.455648559885474	0.00101095919359623
ENSMFAG00000001253	SP3	0.302634601162428	0.00101095919359623
ENSMFAG00000002219	TTC8	0.556360804854044	0.00104846575187225
ENSMFAG00000002302	MED9	-0.464969936310865	0.00104846575187225
ENSMFAG00000030804	NDUFAF4	-0.612451766436031	0.00104846575187225
ENSMFAG00000043658	TARS1	-0.416306977325218	0.00104846575187225
ENSMFAG00000035944	UGP2	-0.511418255062617	0.00110481876677479
ENSMFAG00000002425	RAPGEF5	1.00812312710105	0.00112204320827916
ENSMFAG00000034327	PNPLA7	0.544855082487095	0.00107905683633209
ENSMFAG00000002863	TSTD2	-0.305151000249475	0.00112204320827916
ENSMFAG00000031812	LMBR1	0.574656599607551	0.00112403311407086
ENSMFAG00000042013	CPD	0.426312166360011	0.00123909840140192
ENSMFAG00000001987	RHBDF2	0.466265831968709	0.00128661285768806
ENSMFAG00000041875	PPP2R5B	-0.344213116185052	0.00123777948611494
ENSMFAG00000045160	PPP2R2A	-0.332472796258344	0.00124518327019431
ENSMFAG00000033692	FAM166A	-0.718520589675645	0.00104846575187225
ENSMFAG00000029786	PQBP1	-0.345981250831104	0.00129774130680663
ENSMFAG00000063424	RAB30	1.19301695249101	0.0013395917599415
ENSMFAG00000040578	LRP10	0.515564888692976	0.00132790713031202
ENSMFAG00000043623	NCOA5	-0.305328190684937	0.0013395917599415
ENSMFAG00000030576	EIF2AK2	0.52336934677685	0.00151146807332219
ENSMFAG00000042994	NEDD9	0.893972946836139	0.00147149400771803
ENSMFAG00000064309	""	-0.663034224158494	0.00152483331078545
ENSMFAG00000036717	PECAM1	0.69445178635648	0.001541737042892
ENSMFAG00000003711	""	-0.562960541462837	0.00155700275879769
ENSMFAG00000030375	HBP1	0.352729079036565	0.00152930245141254
ENSMFAG00000001494	JCAD	1.14219232246152	0.00152930245141254
ENSMFAG00000044191	CEPT1	-0.446342345336884	0.00156702918190051
ENSMFAG00000030017	FAM53B	-0.397449918886843	0.00155700275879769
ENSMFAG00000032607	TXNDC9	-0.274663904781907	0.00155700275879769
ENSMFAG00000044748	ITPR1	0.476483200629824	0.00158258484716234
