Geneid	Symbol	GElaS
ENSMFAG00000039490	KLF11	1.28109638956136
ENSMFAG00000030480	HEXIM1	0.238774735285358
ENSMFAG00000000410	BROX	0.592914618807745
ENSMFAG00000002868	TUBG1	0.39148806033026
ENSMFAG00000033324	ANKRD37	0.11663021177572
ENSMFAG00000001195	""	0.268500204936021
ENSMFAG00000001255	USP35	1.17159034972388
ENSMFAG00000034435	MED25	0.457080099893436
ENSMFAG00000034078	PYROXD2	0.0382299144318825
ENSMFAG00000042891	HMOX1	0.766781828507232
ENSMFAG00000041042	SIN3A	0.588868752238123
ENSMFAG00000001823	SEC14L1	0.625143920092573
ENSMFAG00000003159	TMX2	0.315121834619467
ENSMFAG00000045278	DDIT3	1.16503937982857
ENSMFAG00000016945	KLHL25	0.504320021498578
ENSMFAG00000000437	CAT	0.249536476690279
ENSMFAG00000043644	CD93	0.0976402422634587
ENSMFAG00000032548	MT1E	0.298836699989247
ENSMFAG00000002482	MT2	0.433232486949689
ENSMFAG00000045951	TIA1	0.951558654019668
ENSMFAG00000038266	PLEKHH1	0.592442586225858
ENSMFAG00000031988	CPT1A	0.559847085856004
ENSMFAG00000002713	NOCT	0.0840238909452087
ENSMFAG00000034496	ALAS1	0.480967113367414
ENSMFAG00000032288	DHX36	0.175419209354759
ENSMFAG00000060342	KCTD21	0.364517259122847
ENSMFAG00000041551	DCK	0.244069006160235
ENSMFAG00000044351	""	0.257966725896059
ENSMFAG00000042464	""	0.96292442237843
ENSMFAG00000039055	IAH1	0.344325250612914
ENSMFAG00000042663	DOCK9	0.579420316969133
ENSMFAG00000000476	KCTD9	0.166546507337231
ENSMFAG00000042774	BCL6B	0.46659363524283
ENSMFAG00000032021	NEDD4L	0.422897481162016
ENSMFAG00000041947	UBE4A	0.901551547142919
ENSMFAG00000029400	ASXL1	0.0988389020238093
ENSMFAG00000041226	SNRK	0.812264906438016
ENSMFAG00000038076	EPOR	0.322727969705307
ENSMFAG00000002103	CALCOCO1	0.470344216728627
ENSMFAG00000041079	DUSP7	0.102816379595328
ENSMFAG00000032736	MAST2	0.639842575134457
ENSMFAG00000003517	ANGPTL4	2.38144242785641
ENSMFAG00000037339	""	0.697934357030873
ENSMFAG00000053349	""	1.23227998833302
ENSMFAG00000033158	CDK2AP2	0.342055704504743
ENSMFAG00000034066	LBR	0.362607017279839
ENSMFAG00000035493	MBD5	0.101092484030828
ENSMFAG00000011344	ZBTB22	0.134348530677634
ENSMFAG00000037503	ABCB8	0.466804173755979
ENSMFAG00000036189	KLF10	1.44235580133566
ENSMFAG00000032249	""	0
ENSMFAG00000045023	""	0.780179395167753
ENSMFAG00000001009	DAZAP2	0.120554222776693
ENSMFAG00000033216	TUBGCP3	0.590268582866635
ENSMFAG00000000478	PCYT2	0.134709931878846
ENSMFAG00000045053	CBR1	0.215162760716777
ENSMFAG00000043750	CTDSP2	0.387560677567814
ENSMFAG00000043261	ZFYVE19	0.764280247550573
ENSMFAG00000043897	""	0
ENSMFAG00000036600	CREBRF	1.0426567082797
ENSMFAG00000039946	SLC30A1	1.05225467880437
ENSMFAG00000035820	C19orf44	0.413822980360426
ENSMFAG00000003392	NCSTN	0.263679498550975
ENSMFAG00000044993	ASAP1	0.25927953971489
ENSMFAG00000030946	ZNF426	0.616908389625857
ENSMFAG00000043666	OXNAD1	0.0649622484370897
ENSMFAG00000001297	""	0.200834413958787
ENSMFAG00000044755	NDRG4	0.494579254981136
ENSMFAG00000041683	ALDH1A3	0.554594064637232
ENSMFAG00000041404	INTS13	0.0931128239797092
ENSMFAG00000034097	CCDC50	0.340867260920899
ENSMFAG00000003010	CDK8	0.898650889079596
ENSMFAG00000031908	UTP15	0
ENSMFAG00000045418	EED	0.131192045013102
ENSMFAG00000041065	BTC	0.449143625836309
ENSMFAG00000000557	TIMM8A	0.115305625058955
ENSMFAG00000034447	INPP5B	0.0747344076580561
ENSMFAG00000001253	SP3	0.374221634585412
ENSMFAG00000002219	TTC8	0.424527075126756
ENSMFAG00000002302	MED9	0.0231771796469807
ENSMFAG00000030804	NDUFAF4	0.205917236248327
ENSMFAG00000043658	TARS1	0.404199006887877
ENSMFAG00000035944	UGP2	0.204854095878913
ENSMFAG00000002425	RAPGEF5	1.55524895232105
ENSMFAG00000034327	PNPLA7	0.273149185847002
ENSMFAG00000002863	TSTD2	0.0863509204917191
ENSMFAG00000031812	LMBR1	0.753012798323039
ENSMFAG00000042013	CPD	0.537872082729847
ENSMFAG00000001987	RHBDF2	0.159963754070098
ENSMFAG00000041875	PPP2R5B	0.259952417410193
ENSMFAG00000045160	PPP2R2A	0.0024079508058455
ENSMFAG00000033692	FAM166A	0.968105484309116
ENSMFAG00000029786	PQBP1	0.478678677499171
ENSMFAG00000063424	RAB30	2.00884987187356
ENSMFAG00000040578	LRP10	0.0153777536031223
ENSMFAG00000043623	NCOA5	0.159941689539422
ENSMFAG00000030576	EIF2AK2	0.32730979878512
ENSMFAG00000042994	NEDD9	0.290832650480374
ENSMFAG00000064309	""	0.182446087922897
ENSMFAG00000036717	PECAM1	0.633763009492242
ENSMFAG00000003711	""	0.101546387391861
ENSMFAG00000030375	HBP1	0.693107991352238
ENSMFAG00000001494	JCAD	1.61967882929778
ENSMFAG00000044191	CEPT1	0.378961247811274
ENSMFAG00000030017	FAM53B	0
ENSMFAG00000032607	TXNDC9	0.304380775268097
ENSMFAG00000044748	ITPR1	0.599112617941335
ENSMFAG00000040381	CHAC2	0.0756015185155761
ENSMFAG00000031254	WDCP	0
ENSMFAG00000045198	SERINC3	0.838986144694453
ENSMFAG00000063023	UTY	0.376500728204733
ENSMFAG00000037018	BNIP1	0.159407394664102
ENSMFAG00000031787	GMNN	0.638608460349373
ENSMFAG00000051312	FAM76A	0.592576324001714
ENSMFAG00000034511	PER3	0.53741468045094
ENSMFAG00000043662	SERINC1	0.375697772193952
ENSMFAG00000000348	PPP1R3C	0.985488738357687
ENSMFAG00000015323	PHACTR2	1.32371127247755
ENSMFAG00000000636	FOXP2	0.812614867906723
ENSMFAG00000034370	HERPUD1	0.624956100688656
ENSMFAG00000039419	RGS12	0.266930575729437
ENSMFAG00000001964	TXNDC16	0.115581689979775
ENSMFAG00000035378	ZNF419	0.661088185402278
ENSMFAG00000032680	FLYWCH2	0.444181057135475
ENSMFAG00000002976	CCDC12	0.25618639884468
ENSMFAG00000041501	VPS41	0.408807270886497
ENSMFAG00000034681	TRMT13	0.763925596441744
ENSMFAG00000042854	PPAN-P2RY11	0.0711386982351015
ENSMFAG00000034049	URGCP	0.181660749609281
ENSMFAG00000044776	AFDN	0.724074401107988
ENSMFAG00000007379	CFAP97	0.202868207139578
ENSMFAG00000043530	USP1	0.511084626637652
ENSMFAG00000000246	TRO	0
ENSMFAG00000041169	ZNF30	0.395825772582281
ENSMFAG00000003203	YES1	0.265596953580486
ENSMFAG00000032893	HMGN3	0.525635944273723
ENSMFAG00000047801	""	0.1961170721646
ENSMFAG00000041083	""	0.437446989518142
ENSMFAG00000037369	TACC2	1.02519648885282
ENSMFAG00000030961	""	1.37863974505159
ENSMFAG00000000251	NSMCE4A	0.0268895788039728
ENSMFAG00000052468	RBM4	0.256622149371197
ENSMFAG00000041327	OPHN1	0.255028197256826
ENSMFAG00000021762	TUBB4B	0.291359847027588
ENSMFAG00000040555	TLK1	0.172750811492169
ENSMFAG00000056670	""	0.480350768168996
ENSMFAG00000043598	PLEKHG1	0.615679432195584
ENSMFAG00000035180	PDK4	6.30111155783455
ENSMFAG00000034084	LSM11	0.222573973477176
ENSMFAG00000001194	KHDRBS1	0.326679156911663
ENSMFAG00000000350	ARHGAP5	0.147860495930645
ENSMFAG00000031374	PREX2	0.955830757806396
ENSMFAG00000053669	""	0.159247976336017
ENSMFAG00000000711	TFRC	0.0782400797048936
ENSMFAG00000038573	ITIH5	0.140768537108811
ENSMFAG00000010123	MARS1	0.279666550440395
ENSMFAG00000002001	SLU7	0.489744309158748
ENSMFAG00000043826	ARHGAP29	0.473516376767051
ENSMFAG00000060167	TMEM86A	0.495159877741631
ENSMFAG00000024733	G0S2	0.8923743217204
ENSMFAG00000000364	ZNF248	0.0855217618176455
ENSMFAG00000002860	MARCHF8	0.375565707011613
ENSMFAG00000045670	ACBD3	0.0464868749191955
ENSMFAG00000046327	TXNIP	1.47174062654603
ENSMFAG00000044960	PDE2A	0.96856749739098
ENSMFAG00000036737	ZNF227	0.425720615528452
ENSMFAG00000045129	RCBTB1	0.0938899392170414
ENSMFAG00000041526	DHX40	0.404700995115969
ENSMFAG00000045729	HERC5	1.24238136668729
ENSMFAG00000000077	TBC1D15	0.315818856491277
ENSMFAG00000001366	GLRX3	0.421496096466779
ENSMFAG00000038288	ATG13	0.316156809910507
ENSMFAG00000060893	N4BP3	0.81201874826284
ENSMFAG00000039466	VWF	0.576712703584156
ENSMFAG00000003002	TMEM41B	0.383777074699448
ENSMFAG00000043100	RPP40	0.235795715127463
ENSMFAG00000030667	""	0.039960707324494
ENSMFAG00000056975	THAP2	0.412174495592333
ENSMFAG00000044449	CNOT11	0.10509797755425
ENSMFAG00000038069	TBX19	0.199247339024082
