Geneid	Symbol	log2FC	adj.P.Val
ENSMFAG00000001255	USP35	0.59966071432517	0.000623483945367103
ENSMFAG00000045872	KIAA0408	-1.06102288945805	0.000623483945367103
ENSMFAG00000045145	IFFO1	0.693382203559187	0.000623483945367103
ENSMFAG00000000410	BROX	-0.326936409164795	0.000623483945367103
ENSMFAG00000036600	CREBRF	-0.688337903529741	0.000623483945367103
ENSMFAG00000039490	KLF11	-0.759350381693563	0.000623483945367103
ENSMFAG00000063132	RLIM	-0.40139259579168	0.000623483945367103
ENSMFAG00000045278	DDIT3	0.618275614227369	0.00140826201742457
ENSMFAG00000003743	LUC7L	0.503442519721862	0.00143083409857105
ENSMFAG00000034586	PEX6	0.460930471813146	0.00143083409857105
ENSMFAG00000002393	SRSF5	0.397825725571611	0.00143083409857105
ENSMFAG00000053349	""	-0.616388094587134	0.00143083409857105
ENSMFAG00000031366	VCPIP1	-0.431925069381756	0.00143083409857105
ENSMFAG00000033307	DDIT4	-1.12658431355324	0.00143083409857105
ENSMFAG00000045951	TIA1	0.512206969577944	0.00152379320615187
ENSMFAG00000046327	TXNIP	-0.978735804753491	0.00143083409857105
ENSMFAG00000038621	IL6R	-0.563502499383526	0.00160802399185553
ENSMFAG00000057081	""	1.20671536744859	0.00152379320615187
ENSMFAG00000038142	KATNBL1	0.47011020005119	0.00183681563522107
ENSMFAG00000042023	CRELD2	0.536181564462644	0.00193985938645263
ENSMFAG00000033235	SSH2	-0.71038809334935	0.00193985938645263
ENSMFAG00000033731	MYO19	0.493419298213193	0.00193985938645263
ENSMFAG00000040511	MRNIP	0.502455371361122	0.00193985938645263
ENSMFAG00000045717	FAM160B1	-0.470817097693536	0.00193985938645263
ENSMFAG00000036687	ARID5B	-1.02632574910255	0.00193985938645263
ENSMFAG00000040958	CYB561D1	0.516969298429601	0.00193985938645263
ENSMFAG00000032636	RAD21	-0.330826190442855	0.00193985938645263
ENSMFAG00000034339	TMCO6	0.536987605932058	0.00193985938645263
ENSMFAG00000039846	EXOC8	-0.370189347319963	0.00193985938645263
ENSMFAG00000003712	PNN	0.40066380948604	0.00193985938645263
ENSMFAG00000043684	SORT1	-0.842884680993041	0.00193985938645263
ENSMFAG00000030590	ATXN2L	0.412574420167565	0.00193985938645263
ENSMFAG00000031715	SLC39A4	0.59406950035411	0.00222683986259361
ENSMFAG00000042336	RGS5	-0.785690480770577	0.00222683986259361
ENSMFAG00000045193	KBTBD2	-0.353071590493466	0.00222683986259361
