Geneid	Symbol	log2FC	adj.P.Val
ENSMFAG00000039719	ADAMTS1	1.3707537200081	7.98699814464972e-05
ENSMFAG00000038893	NR1D2	0.702774677418223	7.98699814464972e-05
ENSMFAG00000041636	SAMD4A	0.907117853399502	7.98699814464972e-05
ENSMFAG00000031080	ZRANB1	0.472841761621889	7.98699814464972e-05
ENSMFAG00000034289	TNFRSF6B	2.16959052566239	7.98699814464972e-05
ENSMFAG00000031323	PTPRD	0.785917886754701	7.98699814464972e-05
ENSMFAG00000003517	ANGPTL4	1.97976084168439	8.53583603802465e-05
ENSMFAG00000042994	NEDD9	0.952853189840815	0.000105728991321197
ENSMFAG00000028497	AACS	-0.987280003532008	0.000112411829680741
ENSMFAG00000029983	CHST2	1.05618817815306	9.57590252305407e-05
ENSMFAG00000032923	PDE7B	0.513028218311087	0.000139833701633142
ENSMFAG00000034569	NKX2-5	-1.30811706081379	8.53583603802465e-05
ENSMFAG00000036382	ADAMTS9	1.54987643767551	0.000199292507105321
ENSMFAG00000031289	PXN	0.372491928533811	0.000199292507105321
ENSMFAG00000002425	RAPGEF5	1.14859561645239	0.000199292507105321
ENSMFAG00000030480	HEXIM1	-0.468077356491948	0.000199292507105321
ENSMFAG00000037539	CREB5	0.824151462097475	0.000199292507105321
ENSMFAG00000051972	""	-0.917636562932747	0.000199292507105321
ENSMFAG00000045739	ANKRD28	0.499473272293663	0.000199292507105321
ENSMFAG00000032267	TEAD3	0.65992088578985	0.000199292507105321
ENSMFAG00000041327	OPHN1	0.647700606480637	0.000199292507105321
ENSMFAG00000034529	MRPL23	-0.365888890949909	0.000199292507105321
ENSMFAG00000043019	ATP11C	0.639302643124932	0.000199292507105321
ENSMFAG00000033868	PIK3R3	1.63050530678272	0.000199292507105321
ENSMFAG00000040095	MAP2K6	-0.886519731388558	0.000199292507105321
ENSMFAG00000051824	TRIM65	-0.428348495946056	0.000226660189120056
ENSMFAG00000002964	MRPL35	-0.307318808596479	0.000226660189120056
ENSMFAG00000037197	NFAT5	0.553462836407759	0.000226660189120056
ENSMFAG00000030347	RABAC1	-0.316934109145273	0.000226660189120056
ENSMFAG00000035832	SWAP70	0.404896597918793	0.000226660189120056
ENSMFAG00000031879	PRRG1	0.752971090328198	0.000226660189120056
ENSMFAG00000032988	ELMOD3	-1.264993796646	0.000233569803960794
ENSMFAG00000043921	GCFC2	0.428024674681673	0.000233569803960794
ENSMFAG00000041216	PFDN6	-0.358175636288157	0.00026242852062955
ENSMFAG00000035528	EPHB4	0.666945162296438	0.00027231868935286
ENSMFAG00000036404	C11orf24	-0.423760560373186	0.000272666605344483
ENSMFAG00000045075	SHC1	0.352615377287242	0.000282120484946048
ENSMFAG00000041985	DLC1	0.740009544445718	0.000282120484946048
ENSMFAG00000001018	SLC7A8	1.17831551710498	0.000282120484946048
ENSMFAG00000053923	TMEM140	1.07184380010058	0.000282120484946048
ENSMFAG00000055903	APOLD1	1.79478812979386	0.000282120484946048
ENSMFAG00000000892	WDR86	0.918056442751124	0.000282120484946048
ENSMFAG00000042358	TANC1	0.582714222253327	0.000282120484946048
ENSMFAG00000043620	PDE8A	0.396937902014153	0.000282120484946048
ENSMFAG00000038799	SEC24B	0.28430925338033	0.000282120484946048
ENSMFAG00000043173	MRPL18	-0.459295398511805	0.000282120484946048
ENSMFAG00000003802	NDUFA11	-0.432536961237779	0.000282120484946048
ENSMFAG00000040356	ARFGEF3	0.742062627249599	0.000282120484946048
ENSMFAG00000040522	SASH1	0.645724764886523	0.000282120484946048
ENSMFAG00000045412	PLEKHG2	0.675414972010763	0.000282120484946048
ENSMFAG00000039744	PVR	0.415247624801917	0.000282120484946048
ENSMFAG00000039490	KLF11	0.792562275009744	0.000282120484946048
ENSMFAG00000037054	CASKIN2	0.897651611955039	0.000282120484946048
ENSMFAG00000056444	BCL2	0.7720963234898	0.000282120484946048
ENSMFAG00000032799	RPS19BP1	-0.420827109707996	0.000334641392056828
ENSMFAG00000043814	SERPINH1	-0.611488356523521	0.000334641392056828
ENSMFAG00000000274	RBMS1	0.506404402308781	0.000334641392056828
ENSMFAG00000040841	CCDC92	-0.859329814393676	0.000334641392056828
ENSMFAG00000045155	ABHD3	-0.532299299007798	0.000334641392056828
ENSMFAG00000047801	""	-0.760409957582624	0.000334641392056828
ENSMFAG00000033753	NBEA	0.470370528280919	0.000334641392056828
ENSMFAG00000039232	ATP13A3	0.697491820281966	0.000334641392056828
ENSMFAG00000000356	EIF4EBP1	-0.466551716752133	0.000334641392056828
ENSMFAG00000035960	GON4L	0.37608964678144	0.000334641392056828
ENSMFAG00000018166	LAMTOR2	-0.397225991597468	0.000351364389780385
ENSMFAG00000033158	CDK2AP2	-0.456537252116225	0.000355236428340126
ENSMFAG00000002773	FKBP2	-0.392793423839411	0.000355236428340126
ENSMFAG00000064358	H2BC5	-0.515815871375527	0.000355236428340126
ENSMFAG00000037172	ICE1	0.271731130547229	0.000355236428340126
ENSMFAG00000029400	ASXL1	0.414138273649303	0.000367919793788799
ENSMFAG00000032214	TINF2	-0.310000891460525	0.000371424486382657
ENSMFAG00000031417	""	0.860357769595377	0.000371424486382657
ENSMFAG00000036062	""	-0.400196090213312	0.000371424486382657
ENSMFAG00000039766	ACVRL1	0.489250901657164	0.000378837441051828
ENSMFAG00000040661	WWC3	0.676470172735603	0.000378837441051828
ENSMFAG00000041036	OXSR1	0.328307624317135	0.000378837441051828
ENSMFAG00000000143	EIF4EBP2	0.683591271421051	0.000378837441051828
ENSMFAG00000032529	NBEAL1	0.585600175970907	0.000378837441051828
ENSMFAG00000008867	IMP3	-0.385606335081772	0.000386040424740802
ENSMFAG00000000271	ABL1	0.387655634048052	0.000386040424740802
ENSMFAG00000030017	FAM53B	-0.557074730383471	0.000389150744090925
ENSMFAG00000000538	USP22	0.256364749687719	0.000392726592077973
ENSMFAG00000040607	ITGA9	0.694868291270924	0.000390652357321987
ENSMFAG00000059441	LRRC26	-1.00437479314947	0.000199292507105321
ENSMFAG00000002013	FAM135A	0.334791321139611	0.00039953203702363
ENSMFAG00000034342	IGF2R	0.46302141400461	0.000420005419631679
ENSMFAG00000034305	DIP2A	0.365722212592576	0.000420005419631679
ENSMFAG00000015384	AGO2	0.673947925616337	0.000439708365977694
ENSMFAG00000048666	H2AC6	-0.751790869248692	0.000461880121506721
ENSMFAG00000035738	ATMIN	0.283054744077671	0.000491633674273875
ENSMFAG00000002056	KDM7A	0.529628901137659	0.000504877657275256
ENSMFAG00000045138	STAB1	0.758523231710766	0.000500907690537818
ENSMFAG00000041350	TRIM33	0.456674528490319	0.00052473745437817
ENSMFAG00000034459	DENND3	0.601181390029325	0.000526909007850785
ENSMFAG00000037859	MPZL2	1.20315196166786	0.000530976928720173
ENSMFAG00000043124	""	0.525742273876469	0.000526909007850785
ENSMFAG00000060688	THRSP	-1.4936579186422	0.000526909007850785
ENSMFAG00000032893	HMGN3	-0.378787350781284	0.000526909007850785
ENSMFAG00000002117	SMARCA1	0.334028132630138	0.000526909007850785
ENSMFAG00000039999	HACE1	0.304495945315891	0.000540047422963759
ENSMFAG00000044075	RPL35	-0.362410022513293	0.00054576410712787
ENSMFAG00000031508	TIMM21	-0.360377982386317	0.000548611108150132
ENSMFAG00000041992	ABCA5	0.391549860366627	0.000557065262692923
ENSMFAG00000034700	ANKRD12	0.329530715636408	0.000557065262692923
ENSMFAG00000033279	PCNX1	0.496168694565722	0.000557065262692923
ENSMFAG00000048331	SLC2A13	0.492206743248074	0.000526909007850785
ENSMFAG00000000567	""	0.551206161426773	0.000573448742991314
ENSMFAG00000001441	TOPBP1	0.257639287773214	0.000571411304051674
ENSMFAG00000027679	FAM126A	0.28169673314849	0.000587191142196975
ENSMFAG00000003253	VGLL3	0.758030181428679	0.000587191142196975
ENSMFAG00000024176	NCBP3	0.305228982764483	0.000588615140090458
ENSMFAG00000040266	REV3L	0.437326086763579	0.000587191142196975
ENSMFAG00000055687	CCDC115	-0.262099892772139	0.000588615140090458
ENSMFAG00000031988	CPT1A	0.778533895163462	0.000588615140090458
ENSMFAG00000031598	DHCR24	-0.887868910606999	0.000606588915543648
ENSMFAG00000003867	ACER2	0.813658860204447	0.000606588915543648
ENSMFAG00000023109	GDPGP1	-0.340881899175879	0.000604646904056719
ENSMFAG00000038676	SLC25A11	-0.428419250062706	0.000604646904056719
ENSMFAG00000031949	ACVR1B	0.571435245102297	0.000540047422963759
ENSMFAG00000037788	ERGIC1	-0.320541232113652	0.000606588915543648
ENSMFAG00000033659	PIK3C2A	0.316683737434639	0.000606588915543648
ENSMFAG00000045350	GARRE1	0.60137328991209	0.000606588915543648
ENSMFAG00000039530	AHSA1	-0.445175577500887	0.000606588915543648
ENSMFAG00000063912	""	-0.45112144977215	0.000647854971992481
ENSMFAG00000060663	""	0.936375269093783	0.000640381727578615
ENSMFAG00000038788	PSMD10	-0.283215198952488	0.000652830129308604
ENSMFAG00000043464	DCHS1	0.382433323078012	0.000635312970401525
ENSMFAG00000030961	""	-0.451561510272242	0.000640381727578615
ENSMFAG00000035813	EFR3B	0.650603127613442	0.000597439071169554
ENSMFAG00000058083	""	0.406140104945047	0.000618019415144187
ENSMFAG00000001618	PTPDC1	0.358221153026666	0.000635312970401525
ENSMFAG00000040315	SPECC1	0.574686379723892	0.000686614639026321
ENSMFAG00000003434	GAPVD1	0.194225266058597	0.000676445254586566
ENSMFAG00000042678	BBS7	0.327281104217845	0.000712487874572515
ENSMFAG00000033048	PTMS	-0.388984735262506	0.000712487874572515
ENSMFAG00000013972	MED13	0.439738224974758	0.000712487874572515
ENSMFAG00000043826	ARHGAP29	0.422332173955263	0.000712487874572515
ENSMFAG00000046146	MRPS34	-0.36056995719005	0.000712487874572515
ENSMFAG00000033640	MTFP1	-0.590980967482809	0.000726469550742813
ENSMFAG00000042842	FURIN	0.343064344233447	0.000715604153207193
ENSMFAG00000003034	AKAP11	0.594661528400006	0.000715604153207193
ENSMFAG00000034686	HIGD2A	-0.450215069180134	0.000715604153207193
ENSMFAG00000034086	ZNHIT1	-0.300050458723494	0.000715604153207193
ENSMFAG00000001195	""	-0.386777271724702	0.000721455454375206
ENSMFAG00000045556	KLHL36	0.522532190418974	0.000737688254883802
ENSMFAG00000044911	SNTB2	0.537059040781735	0.000712487874572515
ENSMFAG00000043774	GCK	-1.02990156669931	0.000739096793766389
ENSMFAG00000044250	MRI1	-0.280827747590167	0.000731694941974034
ENSMFAG00000043564	ENPEP	0.829718475082625	0.000737688254883802
ENSMFAG00000037170	PDZD8	0.426465302085191	0.000759886016066314
ENSMFAG00000002987	DICER1	0.410512064819264	0.000739096793766389
ENSMFAG00000029752	ATXN1L	0.653896268033868	0.00076402678218299
ENSMFAG00000039168	""	-0.262497606409736	0.000739096793766389
ENSMFAG00000038584	MTMR10	0.448252868900426	0.000739096793766389
ENSMFAG00000062481	""	0.446020795236877	0.000786397604369796
ENSMFAG00000032289	LPCAT2	0.769460003686547	0.000796777333211147
ENSMFAG00000042431	FER	0.481222390333307	0.000796777333211147
ENSMFAG00000040043	CACNA1A	0.452484928488113	0.000768611056601847
ENSMFAG00000054875	CTTNBP2NL	0.706191299702911	0.0008129237308702
