Geneid	Symbol	GElaS
ENSMFAG00000039719	ADAMTS1	1.25936974307073
ENSMFAG00000038893	NR1D2	0.960940282734274
ENSMFAG00000041636	SAMD4A	0.46094021473442
ENSMFAG00000031080	ZRANB1	0.459278663471803
ENSMFAG00000034289	TNFRSF6B	1.96613199638258
ENSMFAG00000031323	PTPRD	0.066911152990193
ENSMFAG00000003517	ANGPTL4	1.21364522369478
ENSMFAG00000042994	NEDD9	1.21628899747602
ENSMFAG00000028497	AACS	0.553715664427969
ENSMFAG00000029983	CHST2	0.806054091245224
ENSMFAG00000032923	PDE7B	0.949054290636884
ENSMFAG00000034569	NKX2-5	1.05725265692799
ENSMFAG00000036382	ADAMTS9	1.07573218245215
ENSMFAG00000031289	PXN	0.148693438017522
ENSMFAG00000002425	RAPGEF5	1.21702623656856
ENSMFAG00000030480	HEXIM1	0.892308944380107
ENSMFAG00000037539	CREB5	1.05268793521865
ENSMFAG00000051972	""	0.656204118080918
ENSMFAG00000045739	ANKRD28	0.277841862691169
ENSMFAG00000032267	TEAD3	0.344228041436754
ENSMFAG00000041327	OPHN1	0.534401916402974
ENSMFAG00000034529	MRPL23	0.102196794132237
ENSMFAG00000043019	ATP11C	0.162178550771064
ENSMFAG00000033868	PIK3R3	1.17136970750532
ENSMFAG00000040095	MAP2K6	0.653262474515222
ENSMFAG00000051824	TRIM65	0.80408209668199
ENSMFAG00000002964	MRPL35	0.0324430645511776
ENSMFAG00000037197	NFAT5	0.180315009469862
ENSMFAG00000030347	RABAC1	0.14352609811043
ENSMFAG00000035832	SWAP70	0.207478244410243
ENSMFAG00000031879	PRRG1	0.744656584055847
ENSMFAG00000032988	ELMOD3	0.382801076083745
ENSMFAG00000043921	GCFC2	0.375190608571252
ENSMFAG00000041216	PFDN6	0.384847884940301
ENSMFAG00000035528	EPHB4	0.677523723097822
ENSMFAG00000036404	C11orf24	0.160805319106006
ENSMFAG00000045075	SHC1	0.0510245766709753
ENSMFAG00000041985	DLC1	0.51448516139613
ENSMFAG00000001018	SLC7A8	0.542778183625018
ENSMFAG00000053923	TMEM140	0.261826051362761
ENSMFAG00000055903	APOLD1	2.45911358986047
ENSMFAG00000000892	WDR86	0.369136984166373
ENSMFAG00000042358	TANC1	0.236721894179288
ENSMFAG00000043620	PDE8A	0.220508071051511
ENSMFAG00000038799	SEC24B	0.339490810693066
ENSMFAG00000043173	MRPL18	0.337716910817172
ENSMFAG00000003802	NDUFA11	0.218041737047248
ENSMFAG00000040356	ARFGEF3	0.389353371594467
ENSMFAG00000040522	SASH1	0.462211453074507
ENSMFAG00000045412	PLEKHG2	0.175396290272927
ENSMFAG00000039744	PVR	0.308662057447795
ENSMFAG00000039490	KLF11	1.32212532811497
ENSMFAG00000037054	CASKIN2	0.9260200270271
ENSMFAG00000056444	BCL2	0.967454920795775
ENSMFAG00000032799	RPS19BP1	0.522048842469661
ENSMFAG00000043814	SERPINH1	1.17574392195823
ENSMFAG00000000274	RBMS1	0.22680999692967
ENSMFAG00000040841	CCDC92	0.0371813337266726
ENSMFAG00000045155	ABHD3	1.03550182246768
ENSMFAG00000047801	""	0.330387755818762
ENSMFAG00000033753	NBEA	0.546550361214247
ENSMFAG00000039232	ATP13A3	0.295682924529992
ENSMFAG00000000356	EIF4EBP1	0.0150206126040776
ENSMFAG00000035960	GON4L	0.11605975478354
ENSMFAG00000018166	LAMTOR2	0.424577634980401
ENSMFAG00000033158	CDK2AP2	0.304457648231403
ENSMFAG00000002773	FKBP2	0.433526262193938
ENSMFAG00000064358	H2BC5	0.0120890825773262
ENSMFAG00000037172	ICE1	0.0269870797215516
ENSMFAG00000029400	ASXL1	0.224626713892248
ENSMFAG00000032214	TINF2	0.147533604312833
ENSMFAG00000031417	""	0.610174482878394
ENSMFAG00000036062	""	0.217764906407943
ENSMFAG00000039766	ACVRL1	0.252201359873141
ENSMFAG00000040661	WWC3	0.365666812033542
ENSMFAG00000041036	OXSR1	0.32025580746413
ENSMFAG00000000143	EIF4EBP2	0.659757220942418
ENSMFAG00000032529	NBEAL1	0.556147373552945
ENSMFAG00000008867	IMP3	0.42909033188048
ENSMFAG00000000271	ABL1	0.0162652842119727
ENSMFAG00000030017	FAM53B	0.476936498410444
ENSMFAG00000000538	USP22	0.0456878987683671
ENSMFAG00000040607	ITGA9	0.343804418930789
ENSMFAG00000059441	LRRC26	0.296791663933299
ENSMFAG00000002013	FAM135A	0.136247280333422
ENSMFAG00000034342	IGF2R	0.0554059376452961
ENSMFAG00000034305	DIP2A	0.0752790436632374
ENSMFAG00000015384	AGO2	0.398636136165796
ENSMFAG00000048666	H2AC6	0.173759120074413
ENSMFAG00000035738	ATMIN	0.360540014328165
ENSMFAG00000002056	KDM7A	0.475099738918463
ENSMFAG00000045138	STAB1	0.277700010588388
ENSMFAG00000041350	TRIM33	0.375322037786865
ENSMFAG00000034459	DENND3	0.508394499658054
ENSMFAG00000037859	MPZL2	1.08763490456096
ENSMFAG00000043124	""	0.102642216341102
ENSMFAG00000060688	THRSP	0.157247585067183
ENSMFAG00000032893	HMGN3	0.109772018007123
ENSMFAG00000002117	SMARCA1	0.138101782105661
ENSMFAG00000039999	HACE1	0.218132845859314
ENSMFAG00000044075	RPL35	0.127716877019454
ENSMFAG00000031508	TIMM21	0.175338358901736
ENSMFAG00000041992	ABCA5	0.4855982978186
ENSMFAG00000034700	ANKRD12	0.155721998438748
ENSMFAG00000033279	PCNX1	0.376890132694083
ENSMFAG00000048331	SLC2A13	0.327989413729637
ENSMFAG00000000567	""	0.493900218157877
ENSMFAG00000001441	TOPBP1	0.166612304778308
ENSMFAG00000027679	FAM126A	0.212021103793671
ENSMFAG00000003253	VGLL3	1.09692848140682
ENSMFAG00000024176	NCBP3	0.305585409515755
ENSMFAG00000040266	REV3L	0.281519184061588
ENSMFAG00000055687	CCDC115	0.0862747367421506
ENSMFAG00000031988	CPT1A	0.372011470239459
ENSMFAG00000031598	DHCR24	0.134376630679979
ENSMFAG00000003867	ACER2	1.4561778532587
ENSMFAG00000023109	GDPGP1	0.317136432044001
ENSMFAG00000038676	SLC25A11	0.0494166279349156
ENSMFAG00000031949	ACVR1B	0.21848556731818
ENSMFAG00000037788	ERGIC1	0
ENSMFAG00000033659	PIK3C2A	0.382857926772545
ENSMFAG00000045350	GARRE1	0.642774718381468
ENSMFAG00000039530	AHSA1	0.34467011885806
ENSMFAG00000063912	""	0.536179359208696
ENSMFAG00000060663	""	0.469210948496801
ENSMFAG00000038788	PSMD10	0.114658759556404
ENSMFAG00000043464	DCHS1	0.078980209651509
ENSMFAG00000030961	""	0.555788106520551
ENSMFAG00000035813	EFR3B	0.283334383231684
ENSMFAG00000058083	""	0.393888006131146
ENSMFAG00000001618	PTPDC1	0.217317622197033
ENSMFAG00000040315	SPECC1	0.290675439691069
ENSMFAG00000003434	GAPVD1	0.0972952661093512
ENSMFAG00000042678	BBS7	0.140439664480745
ENSMFAG00000033048	PTMS	0.155871427059268
ENSMFAG00000013972	MED13	0.228434935647708
ENSMFAG00000043826	ARHGAP29	0.549060941667125
ENSMFAG00000046146	MRPS34	0.372677810417659
ENSMFAG00000033640	MTFP1	0.489940583461818
ENSMFAG00000042842	FURIN	0.121762463388031
ENSMFAG00000003034	AKAP11	0.575787307014533
ENSMFAG00000034686	HIGD2A	0.0101462473985817
ENSMFAG00000034086	ZNHIT1	0.162553959575414
ENSMFAG00000001195	""	0.758277277553616
ENSMFAG00000045556	KLHL36	0.325141306004601
ENSMFAG00000044911	SNTB2	0
ENSMFAG00000043774	GCK	0.0142364886271502
ENSMFAG00000044250	MRI1	0.20993964447406
ENSMFAG00000043564	ENPEP	0.19462348183734
ENSMFAG00000037170	PDZD8	0.48912126826388
ENSMFAG00000002987	DICER1	0.154759848620723
ENSMFAG00000029752	ATXN1L	0.387976999357398
ENSMFAG00000039168	""	0.151950238337205
ENSMFAG00000038584	MTMR10	0.873212115870109
ENSMFAG00000062481	""	0.354070261174844
ENSMFAG00000032289	LPCAT2	0.203317633607757
ENSMFAG00000042431	FER	0.483161266331096
ENSMFAG00000040043	CACNA1A	0.103287507695323
ENSMFAG00000054875	CTTNBP2NL	0.779727005054136
ENSMFAG00000034494	STAB2	0
ENSMFAG00000031552	METTL26	0.163169550968554
ENSMFAG00000045580	AKIP1	0.559037528672844
ENSMFAG00000036975	GPI	0.065102192579158
ENSMFAG00000001194	KHDRBS1	0.434479257877421
ENSMFAG00000033890	SERF2	0.193841376703543
ENSMFAG00000029845	PACRGL	0.434637666976439
ENSMFAG00000030895	PIEZO2	0
ENSMFAG00000010325	LINGO1	1.04574084546723
ENSMFAG00000043574	LTN1	0.26818003388497
ENSMFAG00000033389	TNFAIP1	0.747584116553107
ENSMFAG00000041570	""	2.87821207819481
ENSMFAG00000035478	TMEM258	0.152578910289274
ENSMFAG00000031197	TEAD1	0.950648118444222
ENSMFAG00000003114	HSD17B5	0.0246528720495897
ENSMFAG00000042193	RGP1	0.280844669705669
ENSMFAG00000039620	UQCC2	0.261312796218806
ENSMFAG00000033740	TMC6	0.191907353202915
ENSMFAG00000049434	""	1.57906635047812
ENSMFAG00000003249	PLXNA2	0.388515356268093
ENSMFAG00000043377	CLOCK	0.315551584151352
ENSMFAG00000003769	STK36	0.487660009661741
ENSMFAG00000057834	""	0.100831694801268
ENSMFAG00000035585	PBRM1	0.131114273436312
ENSMFAG00000031226	CHD1	0.0919450101940111
ENSMFAG00000037827	MTMR12	0.428906497865146
ENSMFAG00000031194	LSM4	0.225482143447655
ENSMFAG00000001909	MMRN1	0.619450388684808
ENSMFAG00000039421	RUFY3	0.117427656816063
