Geneid	Symbol	log2FC	adj.P.Val
ENSMFAG00000051824	TRIM65	0.488331183636143	0.000402560949866952
ENSMFAG00000030480	HEXIM1	0.516454733489226	0.000402560949866952
ENSMFAG00000002751	EPC2	-0.286597884982748	0.000533816879991954
ENSMFAG00000045800	PKP2	-0.847695104327892	0.000654448745634297
ENSMFAG00000032923	PDE7B	-0.486917878319972	0.000654448745634297
ENSMFAG00000043814	SERPINH1	0.662674917305897	0.000910084970375344
ENSMFAG00000045155	ABHD3	0.563078542961206	0.00119452206652382
ENSMFAG00000038893	NR1D2	-0.542367414577173	0.00163374555769427
ENSMFAG00000045157	SIAH1	-0.65387921044268	0.00174629802120451
ENSMFAG00000041631	RERG	-0.840661760633906	0.00174629802120451
ENSMFAG00000000503	RASA3	0.343878650243242	0.00225926319747156
ENSMFAG00000032235	PDGFC	-0.508089066334561	0.00225926319747156
ENSMFAG00000042243	CXXC5	0.662707585887566	0.00225926319747156
ENSMFAG00000042704	KDSR	-0.334937285324043	0.00228824995720847
ENSMFAG00000043063	SESN2	0.583529521769106	0.00252258948885747
ENSMFAG00000040386	RANGAP1	0.271123350308019	0.00261246243317358
ENSMFAG00000001195	""	0.402682787552088	0.00295761587010105
ENSMFAG00000037014	EPHB3	0.808292232530293	0.00295761587010105
ENSMFAG00000039490	KLF11	-0.701400691551689	0.0031435433915703
ENSMFAG00000013567	TARBP2	0.318259729738677	0.00375323041052788
ENSMFAG00000035880	WBP11	-0.190492600461798	0.00375323041052788
ENSMFAG00000038993	LMO2	0.605080282299061	0.00439828448558402
ENSMFAG00000001255	USP35	0.431996223146041	0.00439828448558402
ENSMFAG00000045872	KIAA0408	-0.898230504845853	0.00486132255223981
ENSMFAG00000034505	DHRS9	1.30269910540329	0.00375323041052788
ENSMFAG00000038584	MTMR10	-0.440442971042361	0.00498428566768579
ENSMFAG00000034618	""	0.319348905274987	0.00498428566768579
ENSMFAG00000042994	NEDD9	-0.700827477640297	0.00498428566768579
ENSMFAG00000029250	AMIGO3	0.524079084182145	0.00420630167069429
ENSMFAG00000044572	LSM7	0.347370799916868	0.00499241875466572
ENSMFAG00000026109	RAB3GAP1	-0.248096378938074	0.00534113051526836
ENSMFAG00000003867	ACER2	-0.755212822802005	0.00551851273074727
ENSMFAG00000038994	SPRY2	-0.588259706649132	0.00551851273074727
ENSMFAG00000032553	TBCEL	-0.353000484876482	0.00557493541486806
ENSMFAG00000037540	CYBC1	0.336924607132428	0.00559478470179255
ENSMFAG00000056675	FIBIN	-0.593585182788055	0.00575279659940097
ENSMFAG00000038729	TRABD	0.325790366070732	0.00598117444575422
