Geneid	Symbol	log2FC	adj.P.Val
ENSMFAG00000037991	MKKS	-0.42151647485969	2.2770641241261e-06
ENSMFAG00000000624	CACYBP	-0.39124992971571	2.2770641241261e-06
ENSMFAG00000051972	""	-0.81850565300954	2.2770641241261e-06
ENSMFAG00000036228	SIVA1	-0.432335362874815	2.2770641241261e-06
ENSMFAG00000045023	""	-0.557234174344764	3.89831223701932e-06
ENSMFAG00000032988	ELMOD3	-1.19618362346584	3.89831223701932e-06
ENSMFAG00000002964	MRPL35	-0.369795242374074	5.57101359151807e-06
ENSMFAG00000030964	NDUFB3	-0.394985421018749	6.33859280176878e-06
ENSMFAG00000029983	CHST2	0.82729947589071	5.7005266002012e-06
ENSMFAG00000040746	PCMT1	-0.432454933019299	7.12704767309457e-06
ENSMFAG00000043853	NOL3	-0.713769453400975	6.98240595339836e-06
ENSMFAG00000048260	GADD45GIP1	-0.478466560662342	8.28215208190687e-06
ENSMFAG00000034129	""	-0.571914435181093	1.29631432569471e-05
ENSMFAG00000002641	SRP9	-0.320480889699902	1.35152133706647e-05
ENSMFAG00000046128	CETP	1.40737200007246	1.49915320416359e-05
ENSMFAG00000000579	ADAMTS16	1.1121961937094	1.83318497798096e-05
ENSMFAG00000034136	COA6	-0.440018524495756	1.83318497798096e-05
ENSMFAG00000046294	MPC2	-0.646568649502982	2.90816582564115e-05
ENSMFAG00000042927	CIC	0.309392677471239	2.90816582564115e-05
ENSMFAG00000000919	TMEM126A	-0.448018229122012	2.90816582564115e-05
ENSMFAG00000044117	MRPL34	-0.392145909278766	2.90816582564115e-05
ENSMFAG00000034146	HOXB2	-0.596857453746562	2.90816582564115e-05
ENSMFAG00000035582	RTRAF	-0.345754923458959	2.90816582564115e-05
ENSMFAG00000046146	MRPS34	-0.392993649650385	2.90816582564115e-05
ENSMFAG00000034338	COQ3	-0.551424895425475	2.92498571679405e-05
ENSMFAG00000028497	AACS	-1.12372816402339	3.13212655495015e-05
ENSMFAG00000025927	UQCRB	-0.474697342435142	3.13212655495015e-05
ENSMFAG00000037937	INPPL1	0.311173507282025	3.13212655495015e-05
ENSMFAG00000045933	POP5	-0.379935662793608	3.45472887033374e-05
ENSMFAG00000028633	""	-0.350617536985703	3.94416302879147e-05
ENSMFAG00000003506	GAB2	0.38527367743316	3.94416302879147e-05
ENSMFAG00000038279	ATG4C	-0.406582468750988	4.20216100185474e-05
ENSMFAG00000038676	SLC25A11	-0.437700968451056	4.20601748188377e-05
ENSMFAG00000033868	PIK3R3	1.22196356416787	3.94416302879147e-05
ENSMFAG00000039232	ATP13A3	0.479386850398249	4.22095980611483e-05
ENSMFAG00000001811	HSBP1L1	-0.483985392123144	4.61929620744687e-05
ENSMFAG00000038322	""	-0.475536194616858	4.84138641318289e-05
ENSMFAG00000061237	LSM10	-0.378328639530445	5.02275834290705e-05
ENSMFAG00000032116	MRPS33	-0.476914951615239	5.02275834290705e-05
ENSMFAG00000031639	MRPS23	-0.481912269816686	5.22640253318762e-05
ENSMFAG00000034342	IGF2R	0.494697369188253	5.22640253318762e-05
ENSMFAG00000035433	ZNF496	0.483932405274341	5.02275834290705e-05
ENSMFAG00000039783	NDUFA6	-0.45589071665831	5.32170985638954e-05
ENSMFAG00000062501	MRPL57	-0.333632721018783	5.64142334024193e-05
ENSMFAG00000064574	MRPL55	-0.414160222371476	6.21798114533891e-05
ENSMFAG00000045793	TXNL4A	-0.330101976156338	6.61466180722245e-05
ENSMFAG00000035626	HIKESHI	-0.306201735938719	6.61466180722245e-05
ENSMFAG00000032932	PDHB	-0.443279733107691	6.61466180722245e-05
ENSMFAG00000030802	NDUFC2	-0.430477031340349	6.61466180722245e-05
ENSMFAG00000034529	MRPL23	-0.434116066686231	6.61466180722245e-05
ENSMFAG00000043564	ENPEP	0.893983103345113	6.61466180722245e-05
ENSMFAG00000000484	NDUFB10	-0.393009421791394	6.61466180722245e-05
ENSMFAG00000039368	COX17	-0.533542040581699	6.61466180722245e-05
ENSMFAG00000000356	EIF4EBP1	-0.437818766094837	6.61466180722245e-05
ENSMFAG00000033284	SMC6	0.520144486498137	6.61466180722245e-05
ENSMFAG00000054875	CTTNBP2NL	0.676008277992607	6.61466180722245e-05
ENSMFAG00000031093	FAM98A	-0.333232592691222	6.61466180722245e-05
ENSMFAG00000000874	MRPL9	-0.305956519395298	6.61466180722245e-05
ENSMFAG00000043538	SLC30A7	0.38910027771936	6.61466180722245e-05
ENSMFAG00000043999	MYL6B	-0.427455666070142	6.61466180722245e-05
ENSMFAG00000024172	CDKN2C	-0.758853467547347	6.61466180722245e-05
ENSMFAG00000035479	TMEM127	0.2848486376946	6.74926944778632e-05
ENSMFAG00000043170	PDHA1	-0.46155067551005	6.79698918707933e-05
ENSMFAG00000060919	""	-0.792053906565876	6.91309667708331e-05
ENSMFAG00000038890	ABCB4	0.440466977189134	6.91309667708331e-05
ENSMFAG00000002069	ARHGAP26	0.519363870472182	6.91309667708331e-05
ENSMFAG00000032021	NEDD4L	0.564294999875918	6.91309667708331e-05
ENSMFAG00000039477	MLLT6	0.276092356698493	6.91309667708331e-05
ENSMFAG00000032340	GPAM	-1.38563529589079	6.91309667708331e-05
ENSMFAG00000035190	COX7C	-0.366528972355083	7.54991815451236e-05
ENSMFAG00000044033	LEP	-1.34645359153826	7.54991815451236e-05
ENSMFAG00000034172	ANAPC16	-0.370465429365307	7.54991815451236e-05
ENSMFAG00000036539	""	-0.356349151965151	7.54991815451236e-05
ENSMFAG00000045851	EXOSC5	-0.406419885902666	7.54991815451236e-05
ENSMFAG00000031691	MRPL27	-0.332384663310677	7.89827564252568e-05
ENSMFAG00000031045	DNAJA4	-0.861693687766719	8.66731019300978e-05
ENSMFAG00000045053	CBR1	-0.405823601787331	8.83420817894625e-05
ENSMFAG00000045041	MLX	-0.354516330008633	8.83420817894625e-05
ENSMFAG00000050012	""	-0.50691281657389	8.91154765358317e-05
ENSMFAG00000041223	SIK3	0.309981648783219	8.91154765358317e-05
ENSMFAG00000045155	ABHD3	-0.425195910290126	8.91154765358317e-05
ENSMFAG00000043529	NDUFB7	-0.473116735229244	9.22261347575712e-05
ENSMFAG00000016739	SPOUT1	-0.324318721658	9.39845551144528e-05
ENSMFAG00000046132	PDE10A	0.706933921118089	6.61466180722245e-05
ENSMFAG00000048116	NDUFB2	-0.35781370293394	9.39845551144528e-05
ENSMFAG00000003114	HSD17B5	-1.08500559881797	9.53187109558693e-05
ENSMFAG00000041923	FXN	-0.465206831050604	8.91154765358317e-05
ENSMFAG00000041257	LDB1	0.329749284305411	9.53187109558693e-05
ENSMFAG00000032799	RPS19BP1	-0.440037904618738	9.69648650128784e-05
ENSMFAG00000044199	OCEL1	-0.45259029556701	9.8114257641991e-05
ENSMFAG00000040266	REV3L	0.417902399998816	9.74765839617435e-05
ENSMFAG00000047801	""	-0.724605861356179	9.53187109558693e-05
ENSMFAG00000033252	MAP3K3	0.300604307460491	0.00010096481484774
ENSMFAG00000032018	MRPL40	-0.379158513029304	0.000101628113781123
ENSMFAG00000061878	""	-0.495461472528399	0.000102707439854865
ENSMFAG00000033465	SELENBP1	-0.611668395526754	0.000103083355800039
ENSMFAG00000045064	SMIM4	-0.33449711885545	0.000103083355800039
ENSMFAG00000034214	AGPAT2	-0.972814304263586	0.000103083355800039
ENSMFAG00000037155	EIF2S2	-0.211188913706677	0.000103083355800039
ENSMFAG00000034686	HIGD2A	-0.414313390231927	0.000103083355800039
ENSMFAG00000031067	NDUFS3	-0.366581061800026	0.000103083355800039
ENSMFAG00000034435	MED25	0.319249142889506	0.000108677647776385
ENSMFAG00000000491	MRPL15	-0.368976303645589	0.000114774020879771
ENSMFAG00000036983	SPPL2A	0.398269260965385	0.000122528916569867
ENSMFAG00000001146	UBL5	-0.344998458924446	0.000122528916569867
ENSMFAG00000039620	UQCC2	-0.574547042344832	0.00012500203491519
ENSMFAG00000042978	THSD7A	0.626536861930077	0.00013159491294328
ENSMFAG00000032295	SMARCD3	-0.500720305214183	0.000131595943484923
ENSMFAG00000037509	NDUFA12	-0.521361138087011	0.000136604829515481
ENSMFAG00000001454	ECI1	-0.432441687475464	0.00014005244909987
ENSMFAG00000044250	MRI1	-0.268742810821975	0.000141425673202421
