Geneid	Symbol	GElaS
ENSMFAG00000037991	MKKS	0
ENSMFAG00000000624	CACYBP	0
ENSMFAG00000051972	""	0.0964054821040057
ENSMFAG00000036228	SIVA1	0.114011256678536
ENSMFAG00000045023	""	0
ENSMFAG00000032988	ELMOD3	0.502879582783794
ENSMFAG00000002964	MRPL35	0.00180030022803821
ENSMFAG00000030964	NDUFB3	0
ENSMFAG00000029983	CHST2	0.431488228620932
ENSMFAG00000040746	PCMT1	0.000576068572611518
ENSMFAG00000043853	NOL3	0.00897788879422607
ENSMFAG00000048260	GADD45GIP1	0.222753945630267
ENSMFAG00000034129	""	0
ENSMFAG00000002641	SRP9	0
ENSMFAG00000046128	CETP	0
ENSMFAG00000000579	ADAMTS16	0
ENSMFAG00000034136	COA6	0.0965346817157514
ENSMFAG00000046294	MPC2	0.0350848248582618
ENSMFAG00000042927	CIC	0
ENSMFAG00000000919	TMEM126A	0
ENSMFAG00000044117	MRPL34	0.156505817195264
ENSMFAG00000034146	HOXB2	0.201957128491706
ENSMFAG00000035582	RTRAF	0.0459516996585373
ENSMFAG00000046146	MRPS34	0.431214340622715
ENSMFAG00000034338	COQ3	0.0225470081921189
ENSMFAG00000028497	AACS	0.394209684063724
ENSMFAG00000025927	UQCRB	0.0204441847813059
ENSMFAG00000037937	INPPL1	0
ENSMFAG00000045933	POP5	0.0512213168146942
ENSMFAG00000028633	""	0.00120631618441929
ENSMFAG00000003506	GAB2	0.155214166730289
ENSMFAG00000038279	ATG4C	0
ENSMFAG00000038676	SLC25A11	0.00520563541978667
ENSMFAG00000033868	PIK3R3	0.766012964289582
ENSMFAG00000039232	ATP13A3	0.199657106177425
ENSMFAG00000001811	HSBP1L1	0.272180841825712
ENSMFAG00000038322	""	0.00946331372044872
ENSMFAG00000061237	LSM10	0.251179103071378
ENSMFAG00000032116	MRPS33	0.0187331101595749
ENSMFAG00000031639	MRPS23	0.0054977227124816
ENSMFAG00000034342	IGF2R	0
ENSMFAG00000035433	ZNF496	0.12922255833876
ENSMFAG00000039783	NDUFA6	0.0685970846681743
ENSMFAG00000062501	MRPL57	0.134546219218384
ENSMFAG00000064574	MRPL55	0.222191081307963
ENSMFAG00000045793	TXNL4A	0
ENSMFAG00000035626	HIKESHI	0
ENSMFAG00000032932	PDHB	0.00133633032626899
ENSMFAG00000030802	NDUFC2	0.0665726661279462
ENSMFAG00000034529	MRPL23	0.028537724981499
ENSMFAG00000043564	ENPEP	0.114135110099995
ENSMFAG00000000484	NDUFB10	0.12630250786296
ENSMFAG00000039368	COX17	0.0584099705451774
ENSMFAG00000000356	EIF4EBP1	0.0590353575932277
ENSMFAG00000033284	SMC6	0.211187075510068
ENSMFAG00000054875	CTTNBP2NL	0.82081486349185
ENSMFAG00000031093	FAM98A	0
ENSMFAG00000000874	MRPL9	0.0146649863308264
ENSMFAG00000043538	SLC30A7	0.224749977646824
ENSMFAG00000043999	MYL6B	0.0788108139251002
ENSMFAG00000024172	CDKN2C	0.270725104855205
ENSMFAG00000035479	TMEM127	0.137967547673129
ENSMFAG00000043170	PDHA1	0.10290723281035
ENSMFAG00000060919	""	0.293362350492901
ENSMFAG00000038890	ABCB4	0.320050476406993
ENSMFAG00000002069	ARHGAP26	0.0656913744458963
ENSMFAG00000032021	NEDD4L	0.393820037740414
ENSMFAG00000039477	MLLT6	0
ENSMFAG00000032340	GPAM	0.458740509961884
ENSMFAG00000035190	COX7C	0.426255923960451
ENSMFAG00000044033	LEP	0.162883515230461
ENSMFAG00000034172	ANAPC16	0
ENSMFAG00000036539	""	0
ENSMFAG00000045851	EXOSC5	0
ENSMFAG00000031691	MRPL27	0.07727159053188
ENSMFAG00000031045	DNAJA4	0
ENSMFAG00000045053	CBR1	0
ENSMFAG00000045041	MLX	0.0190105372482277
ENSMFAG00000050012	""	0
ENSMFAG00000041223	SIK3	0.062567652490002
ENSMFAG00000045155	ABHD3	0.236432300261736
ENSMFAG00000043529	NDUFB7	0.300840126078779
ENSMFAG00000016739	SPOUT1	0.0593195507255505
ENSMFAG00000046132	PDE10A	0.44489590461632
ENSMFAG00000048116	NDUFB2	0.00806135448557933
ENSMFAG00000003114	HSD17B5	0.104229985839637
ENSMFAG00000041923	FXN	0.0283086644159169
ENSMFAG00000041257	LDB1	0
ENSMFAG00000032799	RPS19BP1	0.387860827894628
ENSMFAG00000044199	OCEL1	0.0298170060990356
ENSMFAG00000040266	REV3L	0.111269136384369
ENSMFAG00000047801	""	0.254466996398365
ENSMFAG00000033252	MAP3K3	0.0358616102872937
ENSMFAG00000032018	MRPL40	0.2632681255267
ENSMFAG00000061878	""	0
ENSMFAG00000033465	SELENBP1	0.0555981932847024
ENSMFAG00000045064	SMIM4	0.0807989857220916
ENSMFAG00000034214	AGPAT2	0.440594730585121
ENSMFAG00000037155	EIF2S2	0.00140662949305141
ENSMFAG00000034686	HIGD2A	0
ENSMFAG00000031067	NDUFS3	0.120190381030996
ENSMFAG00000034435	MED25	0.189061752598201
ENSMFAG00000000491	MRPL15	0.0214058822109397
ENSMFAG00000036983	SPPL2A	0.312573719641789
ENSMFAG00000001146	UBL5	0.162130574734281
ENSMFAG00000039620	UQCC2	0
ENSMFAG00000042978	THSD7A	0.265874193310005
ENSMFAG00000032295	SMARCD3	0.877993154217638
ENSMFAG00000037509	NDUFA12	0.116096374277756
ENSMFAG00000001454	ECI1	0.265691309005032
ENSMFAG00000044250	MRI1	0.302135376338553
ENSMFAG00000003786	ADAMTS18	0.449062450830648
ENSMFAG00000045120	ACBD4	0.262114232184016
ENSMFAG00000039003	HRAS	0.0016808721333676
ENSMFAG00000047390	ATF5	0
ENSMFAG00000045832	""	0.226890940063204
ENSMFAG00000001487	NDUFV2	0.0108382463460861
ENSMFAG00000000274	RBMS1	0.301541019982842
ENSMFAG00000038428	ELOC	0.0943032411242687
ENSMFAG00000043631	RPL37A	0.326109097765841
ENSMFAG00000037517	MCRIP2	0.480956889141244
ENSMFAG00000032708	NDUFS6	0.0669159237297397
ENSMFAG00000002120	""	0.0471841621962304
ENSMFAG00000060263	HECA	0.430953757399037
ENSMFAG00000044927	SLC1A5	0
ENSMFAG00000042960	SLIRP	0.280691772951345
ENSMFAG00000037382	""	0.130270694947265
ENSMFAG00000031096	SNU13	0.0429005390112575
ENSMFAG00000045199	""	0.125729669123934
ENSMFAG00000042282	VPS4B	0.424862437467774
ENSMFAG00000038031	FUNDC2	0
ENSMFAG00000034144	""	0.137769216996458
ENSMFAG00000036110	""	0.0706401380940903
ENSMFAG00000042375	MRPS21	0.116699315069718
ENSMFAG00000038344	NDUFB4	0.0540641359873728
ENSMFAG00000045009	RBFA	0.20664556429918
ENSMFAG00000045111	MAN2A1	0.182637817985173
ENSMFAG00000038026	DGKH	0
ENSMFAG00000038759	UBXN8	0
ENSMFAG00000037196	PHLDB2	0.233731490390598
ENSMFAG00000013716	TOMM40L	0
ENSMFAG00000035913	MINK1	0
ENSMFAG00000038439	CINP	0.0443869364155474
ENSMFAG00000043184	KIAA2012	0
ENSMFAG00000058831	""	0.0348268108200184
ENSMFAG00000052778	""	0.292786562260491
ENSMFAG00000044103	SIGMAR1	0.145028553009183
ENSMFAG00000037140	HSP90AA1	0
ENSMFAG00000007059	IL1RL1	0.404110641167226
ENSMFAG00000001366	GLRX3	0.0384087573898062
ENSMFAG00000045746	STIP1	0
ENSMFAG00000001820	CIAO2B	0.0421987025853774
ENSMFAG00000040522	SASH1	0.311948769229445
ENSMFAG00000051758	DBI	0
ENSMFAG00000040582	CHCHD10	0
ENSMFAG00000044563	MRPS12	0.027735200828359
ENSMFAG00000023313	""	0.0221381711719045
ENSMFAG00000053715	""	0.160261986293308
ENSMFAG00000043946	MRPL19	0
ENSMFAG00000045411	STEAP2	0.302966585089728
ENSMFAG00000035385	TIMM10B	0.111343834701433
ENSMFAG00000040841	CCDC92	0.0320894110534513
