Geneid	Symbol	AdLibitum.log2fpkm.mean	Fast.log2fpkm.mean	Refeed.log2fpkm.mean
ENSMFAG00000037991	MKKS	3.75531030480229	3.31618225228541	3.29469527371237
ENSMFAG00000000624	CACYBP	4.64660047330856	4.24699584739421	4.2050523568353
ENSMFAG00000051972	""	7.89124012958202	7.07080678044968	7.16513509672292
ENSMFAG00000036228	SIVA1	5.15821269390244	4.72004615629648	4.82191540435724
ENSMFAG00000045023	""	7.657593012145	7.09927892088278	7.0799869585353
ENSMFAG00000032988	ELMOD3	4.418193704834	3.17836592511101	3.58672709382801
ENSMFAG00000002964	MRPL35	3.52314271638381	3.13610451719649	3.13788603686912
ENSMFAG00000030964	NDUFB3	5.80620982705753	5.40833000993455	5.32686665600457
ENSMFAG00000029983	CHST2	2.10884009320743	2.99927883682385	2.66659375844303
ENSMFAG00000040746	PCMT1	5.81704631362774	5.38047671917582	5.38106297427168
ENSMFAG00000043853	NOL3	3.02449287789991	2.25838367284741	2.26780529192832
ENSMFAG00000048260	GADD45GIP1	4.4246219816314	3.93416748344926	4.10862169458906
ENSMFAG00000034129	""	4.67616464816794	4.09201364993217	4.04357440337059
ENSMFAG00000002641	SRP9	6.81635255922683	6.49448667937464	6.490158172279
ENSMFAG00000046128	CETP	1.547985739155	3.06729115912556	3.86289001203854
ENSMFAG00000000579	ADAMTS16	0.644959188644949	1.97656660066692	2.05235923952302
ENSMFAG00000034136	COA6	3.4901218172708	3.02963337900749	3.123894559731
ENSMFAG00000046294	MPC2	6.67225840120083	6.02206664216543	6.05724371565748
ENSMFAG00000042927	CIC	3.8264597583995	4.14517313313251	4.19883428789546
ENSMFAG00000000919	TMEM126A	5.77808148542124	5.32650592316358	5.30149564079491
ENSMFAG00000044117	MRPL34	6.05543490383147	5.66062360223432	5.78947549135901
ENSMFAG00000034146	HOXB2	5.85321271301089	5.25125188982751	5.42579959797139
ENSMFAG00000035582	RTRAF	6.57724153107779	6.22973999159577	6.2748716220679
ENSMFAG00000046146	MRPS34	6.21646363969306	5.820711082421	6.08222776878138
ENSMFAG00000034338	COQ3	3.75237088041271	3.17939097926276	3.20328024670041
ENSMFAG00000028497	AACS	4.66672048570014	3.51285338315175	3.85726059914379
ENSMFAG00000025927	UQCRB	5.75722176343214	5.27761913798787	5.29829544830944
ENSMFAG00000037937	INPPL1	4.40052554642199	4.71806704591723	4.78110030762678
ENSMFAG00000045933	POP5	3.71227740777313	3.31772095755888	3.37017537633543
ENSMFAG00000028633	""	5.35271724953887	4.99849141832792	4.99974861087682
ENSMFAG00000003506	GAB2	2.59776908479124	3.00890821893885	2.87378543802885
ENSMFAG00000038279	ATG4C	3.23582566710502	2.80595082293947	2.78452273153112
ENSMFAG00000038676	SLC25A11	5.49112275081278	5.04850107087823	5.05373876467806
ENSMFAG00000033868	PIK3R3	1.54496557955838	2.89792233929868	2.31749594751102
ENSMFAG00000039232	ATP13A3	3.74685505565532	4.24104345895721	4.07438636387411
ENSMFAG00000001811	HSBP1L1	5.96271252548602	5.47587859409764	5.67715378067307
ENSMFAG00000038322	""	6.12727121299026	5.64845828109558	5.65799868905934
ENSMFAG00000061237	LSM10	4.48923687347018	4.10216694322961	4.27931814695184
ENSMFAG00000032116	MRPS33	5.80196201390728	5.32152908705803	5.3404125442066
ENSMFAG00000031639	MRPS23	4.19639848067011	3.70027640118159	3.705894563917
ENSMFAG00000034342	IGF2R	5.35814981524632	5.85778757376256	5.94343496178058
ENSMFAG00000035433	ZNF496	1.60085624744535	2.14752701989441	2.01501457943633
ENSMFAG00000039783	NDUFA6	4.81242434763359	4.34772684968883	4.41588673789274
ENSMFAG00000062501	MRPL57	3.71627763393761	3.36941446288424	3.48525329883877
ENSMFAG00000064574	MRPL55	2.53000409234818	2.07714805771136	2.25998858390348
ENSMFAG00000045793	TXNL4A	4.23149787947907	3.89203799093818	3.85125846504983
ENSMFAG00000035626	HIKESHI	4.37702791374867	4.06341705477725	4.06030613444513
ENSMFAG00000032932	PDHB	5.64931308039619	5.20146836240188	5.20274561993965
ENSMFAG00000030802	NDUFC2	5.36143182755842	4.92523097753726	4.99081608378751
ENSMFAG00000034529	MRPL23	5.57292697685279	5.13426268929317	5.16301582061558
ENSMFAG00000043564	ENPEP	2.2128008166292	3.17747564189123	3.06149076288225
ENSMFAG00000000484	NDUFB10	6.69789952275269	6.30321533807897	6.41482571123582
ENSMFAG00000039368	COX17	4.95569093139487	4.41329546136477	4.47213576463165
ENSMFAG00000000356	EIF4EBP1	4.57425850741385	4.12629870418201	4.18554864763764
ENSMFAG00000033284	SMC6	3.34436792084187	3.88484669790171	3.70348260916001
ENSMFAG00000054875	CTTNBP2NL	2.59213487702742	3.30919668308471	2.80238188878096
ENSMFAG00000031093	FAM98A	4.65460252815119	4.31464973058753	4.29820515106785
ENSMFAG00000000874	MRPL9	4.48038895268589	4.16727654774621	4.18242813830646
ENSMFAG00000043538	SLC30A7	1.82196175405773	2.256901579098	2.07405475536662
ENSMFAG00000043999	MYL6B	4.59375333414719	4.15670973995414	4.23448384112477
ENSMFAG00000024172	CDKN2C	5.86960278088755	5.10232601490301	5.33786085925564
ENSMFAG00000035479	TMEM127	4.31935433743946	4.61040325929143	4.50023891748267
ENSMFAG00000043170	PDHA1	4.73623316311518	4.26495311887768	4.36366441997543
ENSMFAG00000060919	""	4.07046918763696	3.24284521738893	3.51244128364662
ENSMFAG00000038890	ABCB4	1.64626672832894	2.14555121084861	1.90392798019058
ENSMFAG00000002069	ARHGAP26	1.69634582502394	2.28089119780884	2.20894824995606
ENSMFAG00000032021	NEDD4L	0.976290528840492	1.64862966444809	1.34293217136153
ENSMFAG00000039477	MLLT6	4.40148584038216	4.68341938071384	4.76776255118413
ENSMFAG00000032340	GPAM	7.93102971965669	6.54003349346701	6.94235729712044
ENSMFAG00000035190	COX7C	8.28815236875937	7.92118199385664	8.17391824695832
ENSMFAG00000044033	LEP	11.0140671566447	9.66686979202204	9.82662209474039
ENSMFAG00000034172	ANAPC16	5.16933357593485	4.79348945993082	4.79337809237927
ENSMFAG00000036539	""	5.97973969191678	5.62038305161106	5.60242569663277
ENSMFAG00000045851	EXOSC5	3.73676607885002	3.31504079195507	3.2899027851697
ENSMFAG00000031691	MRPL27	4.63735718133717	4.29783200851429	4.37216550850789
ENSMFAG00000031045	DNAJA4	4.03305342357968	3.13460770457534	3.03771602522758
ENSMFAG00000045053	CBR1	5.14483496464681	4.73272051283446	4.71620892524421
ENSMFAG00000045041	MLX	4.80658767931613	4.44549693334106	4.46485726172599
ENSMFAG00000050012	""	5.71166678353591	5.19966957150473	5.0821338994897
ENSMFAG00000041223	SIK3	2.34108136546336	2.67737543512873	2.61404003786332
ENSMFAG00000045155	ABHD3	3.39409870521586	2.94685414844669	3.13239569744867
ENSMFAG00000043529	NDUFB7	7.86502791139599	7.39117209421409	7.60613958340461
ENSMFAG00000016739	SPOUT1	2.59555431475092	2.24232880164767	2.30422834922357
ENSMFAG00000046132	PDE10A	-0.296249705432661	0.693237565213913	0.282581980114577
ENSMFAG00000048116	NDUFB2	4.86467692787446	4.50022962435321	4.50840016199833
ENSMFAG00000003114	HSD17B5	7.00277297453591	5.91134295563076	6.01507928660558
ENSMFAG00000041923	FXN	2.17522134313436	1.65018178951066	1.68444188897738
ENSMFAG00000041257	LDB1	4.3799247849345	4.71633375289799	4.88711380574347
ENSMFAG00000032799	RPS19BP1	5.183394269361	4.73707730068461	4.98900681579126
ENSMFAG00000044199	OCEL1	4.76394780236638	4.30328638937638	4.33350657048756
ENSMFAG00000040266	REV3L	2.51326373710542	2.96216387868417	2.85273951276024
ENSMFAG00000047801	""	2.36968038406131	1.55329565678886	1.81073701428254
ENSMFAG00000033252	MAP3K3	4.37834142059848	4.68518700711055	4.64916913192758
ENSMFAG00000032018	MRPL40	5.00400989172422	4.61895145263415	4.80331283993659
ENSMFAG00000061878	""	5.66113748695384	5.15960190985376	5.11421060403007
ENSMFAG00000033465	SELENBP1	6.20100272909943	5.58341126689739	5.63897614990935
ENSMFAG00000045064	SMIM4	4.6470989901476	4.30580433322543	4.38266905140887
ENSMFAG00000034214	AGPAT2	8.85276511526522	7.87856390789092	8.23572334335076
ENSMFAG00000037155	EIF2S2	5.90954075544146	5.69657826460636	5.69801865126099
ENSMFAG00000034686	HIGD2A	6.33593257438101	5.91963968725756	5.88913998898129
ENSMFAG00000031067	NDUFS3	5.84499274421306	5.47563826260892	5.58249592248239
ENSMFAG00000034435	MED25	4.49635019555276	4.82147883626776	4.68002728001219
