Geneid	Symbol	log2FC	adj.P.Val
ENSMFAG00000042430	""	0.383958864775074	0.00232878996373527
ENSMFAG00000031749	RPS15	0.349736759813682	0.00232878996373527
ENSMFAG00000044210	PTPRQ	-1.28088081756872	0.00232878996373527
ENSMFAG00000014923	DSG2	-0.947836104048125	0.00232878996373527
ENSMFAG00000058181	""	0.514077819294077	0.00232878996373527
ENSMFAG00000058088	SLC25A29	0.430454351900443	0.00232878996373527
ENSMFAG00000045872	KIAA0408	-0.670682839740247	0.00232878996373527
ENSMFAG00000040736	GPSM1	0.459723106052995	0.00232878996373527
ENSMFAG00000042282	VPS4B	-0.213480238243136	0.00240760648108852
ENSMFAG00000037539	CREB5	-0.966950772606747	0.00255980925232007
ENSMFAG00000002026	GIMAP8	0.460793635450094	0.00255980925232007
ENSMFAG00000001381	BRF1	0.20442213384277	0.00255980925232007
ENSMFAG00000036646	INKA1	0.749961362383443	0.00255980925232007
ENSMFAG00000002428	TNFSF10	0.606292970598008	0.00255980925232007
ENSMFAG00000024997	CLDN4	-1.12261254034115	0.00255980925232007
ENSMFAG00000032295	SMARCD3	0.458377602962107	0.00255980925232007
ENSMFAG00000028410	KCNE3	-0.851182820061619	0.00255980925232007
ENSMFAG00000039149	RCOR2	0.794433999701566	0.00232878996373527
ENSMFAG00000040038	AZIN1	-0.380039961353961	0.00307113502988762
ENSMFAG00000045605	SCARF2	0.442949168347283	0.00314259251935941
ENSMFAG00000041845	KHDRBS3	0.493392311995141	0.00331425375113189
ENSMFAG00000039784	CYP26B1	-1.12264485860622	0.00339319577988927
ENSMFAG00000062545	HOXB9	-0.924118951770177	0.00255980925232007
ENSMFAG00000033430	FBXL20	-0.332314955228607	0.00375421843512732
ENSMFAG00000052601	TTC9	-0.435898559152999	0.00378949030066589
ENSMFAG00000045800	PKP2	-0.766482406475899	0.00378949030066589
ENSMFAG00000050070	RASD1	-1.87094007123664	0.00378949030066589
ENSMFAG00000042243	CXXC5	0.578103670207273	0.00378949030066589
ENSMFAG00000050124	SPON2	0.720600569889561	0.00408619794036305
ENSMFAG00000037014	EPHB3	1.31292307174518	0.00413240646314594
ENSMFAG00000037347	DUSP16	-0.378933822193073	0.00413240646314594
ENSMFAG00000038993	LMO2	0.496359525249211	0.00415413981729029
ENSMFAG00000057409	CLEC14A	0.454192255608454	0.00424439768886578
ENSMFAG00000043037	""	-0.826306326591581	0.00454543122956303
ENSMFAG00000059968	""	0.540142257430543	0.00456500475306604
ENSMFAG00000029063	""	-0.677133162844284	0.00424439768886578
ENSMFAG00000039255	CTTNBP2	-0.607191550620239	0.00464748388826237
ENSMFAG00000002454	SMPD3	-0.755647016215995	0.00361114012371312
ENSMFAG00000034263	CYHR1	0.25633424096185	0.00464748388826237
ENSMFAG00000045159	SMIM14	-0.437607187419643	0.00534880147526063
ENSMFAG00000049732	IPMK	-0.559964351626672	0.00549827152396741
ENSMFAG00000035514	TTPA	-1.00174410369724	0.00549827152396741
ENSMFAG00000001791	UBIAD1	-0.191800476179584	0.0058504796721731
ENSMFAG00000031323	PTPRD	0.59623479742855	0.0058504796721731
ENSMFAG00000032048	IRX3	0.746475288031224	0.00592335150457822
