Geneid	Symbol	AdLibitum.log2fpkm.mean	Fast.log2fpkm.mean	Refeed.log2fpkm.mean	GElaS
ENSMFAG00000039719	ADAMTS1	4.29894171442531	5.69062609706471	4.88368538917562	1.25936974307073
ENSMFAG00000038893	NR1D2	2.89273971834631	3.63303600109893	3.06502533580814	0.960940282734274
ENSMFAG00000041636	SAMD4A	2.37462024944369	3.34556788503709	2.9767813160835	0.46094021473442
ENSMFAG00000031080	ZRANB1	3.36575516958216	3.85712929060662	3.5601848908358	0.459278663471803
ENSMFAG00000034289	TNFRSF6B	2.51211535887904	4.75759358967295	3.47569845949731	1.96613199638258
ENSMFAG00000031323	PTPRD	1.09200982147635	2.01670064578631	1.93481248613504	0.066911152990193
ENSMFAG00000003517	ANGPTL4	4.41219129455465	6.42419425394923	5.55741747515781	1.21364522369478
ENSMFAG00000042994	NEDD9	2.8172553736228	3.81577515434954	3.08322720128629	1.21628899747602
ENSMFAG00000028497	AACS	4.42731576815307	3.40938950678059	3.83343602340574	0.553715664427969
ENSMFAG00000029983	CHST2	2.03171230241847	3.16340834633602	2.59698185801038	0.806054091245224
ENSMFAG00000032923	PDE7B	1.14626594418767	1.75342191462492	1.17916038926218	0.949054290636884
ENSMFAG00000034569	NKX2-5	0.974641157395997	-0.907469402508602	0.116123952645585	1.05725265692799
ENSMFAG00000036382	ADAMTS9	2.30036189010505	3.94433795225071	3.16028963021159	1.07573218245215
ENSMFAG00000031289	PXN	4.67795411353114	5.05665366043737	4.92994354706369	0.148693438017522
ENSMFAG00000002425	RAPGEF5	1.93460664842843	3.18327237996066	2.38536622399534	1.21702623656856
ENSMFAG00000030480	HEXIM1	5.84829540005771	5.37645550303933	5.89702677432966	0.892308944380107
ENSMFAG00000037539	CREB5	1.57930325373348	2.51628960252413	1.83563300783477	1.05268793521865
ENSMFAG00000051972	""	8.62791254923531	7.70897090615755	8.16183451464349	0.656204118080918
ENSMFAG00000045739	ANKRD28	2.17155264753005	2.71792649193406	2.49091063184485	0.277841862691169
ENSMFAG00000032267	TEAD3	2.67684361915881	3.37169097358535	3.08895850012409	0.344228041436754
ENSMFAG00000041327	OPHN1	1.97506277108488	2.68809491155719	2.30930526423738	0.534401916402974
ENSMFAG00000034529	MRPL23	5.92504193454383	5.55642533681543	5.6503914028741	0.102196794132237
ENSMFAG00000043019	ATP11C	1.683191780397	2.40006337604988	2.23048187306383	0.162178550771064
ENSMFAG00000033868	PIK3R3	0.815758459807371	2.69800096044645	1.81471990680657	1.17136970750532
ENSMFAG00000040095	MAP2K6	1.44965615665582	0.345407771758396	0.892340126454214	0.653262474515222
ENSMFAG00000051824	TRIM65	2.93544145423688	2.47455150801305	2.99898422768775	0.80408209668199
ENSMFAG00000002964	MRPL35	3.59830184849897	3.27750829603636	3.31113181816937	0.0324430645511776
ENSMFAG00000037197	NFAT5	0.712978616858417	1.40210503515605	1.20637008168645	0.180315009469862
ENSMFAG00000030347	RABAC1	7.64163978243214	7.32407620934622	7.44160491505244	0.14352609811043
ENSMFAG00000035832	SWAP70	4.26558624204027	4.679098492899	4.51334846224034	0.207478244410243
ENSMFAG00000031879	PRRG1	2.61995359405156	3.4168369221448	2.92988519779996	0.744656584055847
ENSMFAG00000032988	ELMOD3	4.77082963037575	3.47031159943839	3.82621854313394	0.382801076083745
ENSMFAG00000043921	GCFC2	1.30024064759049	1.79783027321886	1.5213416704968	0.375190608571252
ENSMFAG00000041216	PFDN6	6.28471778354702	5.92488150655882	6.15913563130942	0.384847884940301
ENSMFAG00000035528	EPHB4	4.17905601397469	4.85986878016559	4.43469366373697	0.677523723097822
ENSMFAG00000036404	C11orf24	5.00279840723734	4.57232559198719	4.71265382663767	0.160805319106006
ENSMFAG00000045075	SHC1	6.70479410888638	7.05882688881094	7.00873361850737	0.0510245766709753
ENSMFAG00000041985	DLC1	3.58342276619717	4.34719129422175	3.9755184828533	0.51448516139613
ENSMFAG00000001018	SLC7A8	2.63830609867672	3.88741993599268	3.42794681437079	0.542778183625018
ENSMFAG00000053923	TMEM140	4.61504937412293	5.70059854324246	5.45374984262371	0.261826051362761
ENSMFAG00000055903	APOLD1	2.15806543893606	4.05759401171893	2.59468490780768	2.45911358986047
ENSMFAG00000000892	WDR86	3.02648823490843	3.98754309407934	3.66399243066048	0.369136984166373
ENSMFAG00000042358	TANC1	2.8359058612597	3.45230543891162	3.24127916904388	0.236721894179288
ENSMFAG00000043620	PDE8A	2.66763412089827	3.09095519354547	2.91173539165781	0.220508071051511
ENSMFAG00000038799	SEC24B	3.65904770558161	3.95316050870223	3.74706030162927	0.339490810693066
ENSMFAG00000043173	MRPL18	5.54565727579115	5.08178412978308	5.31605994905942	0.337716910817172
ENSMFAG00000003802	NDUFA11	7.79605265625656	7.36278558776403	7.53664173415514	0.218041737047248
ENSMFAG00000040356	ARFGEF3	-0.195909412790179	0.843278759360625	0.421304618742462	0.389353371594467
ENSMFAG00000040522	SASH1	3.08589549252757	3.76374501872916	3.42838091542499	0.462211453074507
ENSMFAG00000045412	PLEKHG2	1.66635168608053	2.42251062663882	2.24169990195942	0.175396290272927
ENSMFAG00000039744	PVR	2.33513091292461	2.78337955176135	2.55746357010246	0.308662057447795
ENSMFAG00000039490	KLF11	2.89336234721552	3.72965180365198	2.99345176719977	1.32212532811497
ENSMFAG00000037054	CASKIN2	4.33671622219763	5.24957986185942	4.67294846854357	0.9260200270271
ENSMFAG00000056444	BCL2	3.11123268041302	3.90884767157478	3.33082540297065	0.967454920795775
ENSMFAG00000032799	RPS19BP1	5.25574723145391	4.82924798448335	5.13685831306548	0.522048842469661
ENSMFAG00000043814	SERPINH1	7.99022816396976	7.37739254301445	8.04154192010252	1.17574392195823
ENSMFAG00000000274	RBMS1	4.45802704930041	4.97381058327866	4.78297637341685	0.22680999692967
ENSMFAG00000040841	CCDC92	5.28431380257407	4.41178067260474	4.44887125563041	0.0371813337266726
ENSMFAG00000045155	ABHD3	3.35290350591418	2.79240358957263	3.38565625083578	1.03550182246768
ENSMFAG00000047801	""	3.13505570128102	2.31633957866181	2.61386947160916	0.330387755818762
ENSMFAG00000033753	NBEA	0.0946729672317808	0.74242795294259	0.301179817191921	0.546550361214247
ENSMFAG00000039232	ATP13A3	3.60328326335063	4.32337406851515	4.06747244208315	0.295682924529992
ENSMFAG00000000356	EIF4EBP1	4.69458872885193	4.21785605451078	4.23333930149204	0.0150206126040776
ENSMFAG00000035960	GON4L	2.30318630358982	2.71300828733025	2.59968858578718	0.11605975478354
ENSMFAG00000018166	LAMTOR2	6.0975829495462	5.69798496963753	5.95713543330516	0.424577634980401
ENSMFAG00000033158	CDK2AP2	5.23740792313031	4.77442883763673	4.99736086990771	0.304457648231403
ENSMFAG00000002773	FKBP2	7.25449180610924	6.8607286649141	7.12202477804321	0.433526262193938
ENSMFAG00000064358	H2BC5	4.84475467918423	4.3188032219579	4.33103049711523	0.0120890825773262
ENSMFAG00000037172	ICE1	2.74648515477309	3.03635173484453	3.00793485754108	0.0269870797215516
ENSMFAG00000029400	ASXL1	2.84849784738033	3.28701090292276	3.10218247631459	0.224626713892248
ENSMFAG00000032214	TINF2	5.58493927682692	5.27162498595912	5.39331744811628	0.147533604312833
ENSMFAG00000031417	""	2.42603696419412	3.34862341961382	2.89555086403093	0.610174482878394
ENSMFAG00000036062	""	8.30045197530399	7.89986182503682	8.07006315500992	0.217764906407943
ENSMFAG00000039766	ACVRL1	3.68724179894884	4.19054917622293	3.98329012643746	0.252201359873141
ENSMFAG00000040661	WWC3	1.92349010283418	2.66889440438907	2.35380096430253	0.365666812033542
ENSMFAG00000041036	OXSR1	3.01474789017555	3.3609421168371	3.15127009576361	0.32025580746413
ENSMFAG00000000143	EIF4EBP2	5.23673419336534	5.92710314907254	5.51189074895172	0.659757220942418
ENSMFAG00000032529	NBEAL1	1.70958474335298	2.37021154607063	1.98179333382682	0.556147373552945
ENSMFAG00000008867	IMP3	4.72072891108393	4.32767402054559	4.59043207382309	0.42909033188048
ENSMFAG00000000271	ABL1	4.05625770585729	4.45366784887858	4.43697133969544	0.0162652842119727
ENSMFAG00000030017	FAM53B	3.16752809835312	2.57243723103665	2.90577078420147	0.476936498410444
ENSMFAG00000000538	USP22	5.44489861374065	5.70383637492054	5.65912855186667	0.0456878987683671
ENSMFAG00000040607	ITGA9	1.29827373467112	2.09665718690439	1.78330920692858	0.343804418930789
ENSMFAG00000059441	LRRC26	0.514848609807295	-1.00896264875525	-0.582128142472888	0.296791663933299
ENSMFAG00000002013	FAM135A	2.05818472647828	2.42795016766889	2.30154618868932	0.136247280333422
ENSMFAG00000034342	IGF2R	4.97338222725527	5.44256354637665	5.38723928014846	0.0554059376452961
ENSMFAG00000034305	DIP2A	2.9587666390337	3.34521830486086	3.2693954955393	0.0752790436632374
ENSMFAG00000015384	AGO2	1.46773370006291	2.23961222711426	1.89496741637598	0.398636136165796
ENSMFAG00000048666	H2AC6	7.27462632433828	6.52119623227301	6.68662336715397	0.173759120074413
ENSMFAG00000035738	ATMIN	3.01036650420937	3.30846304094491	3.08909629938592	0.360540014328165
ENSMFAG00000002056	KDM7A	1.93252932420251	2.51662657396774	2.17859349466574	0.475099738918463
ENSMFAG00000045138	STAB1	4.84049051722225	5.60895894084441	5.36197495023845	0.277700010588388
ENSMFAG00000041350	TRIM33	2.2496540411422	2.74721652915206	2.47568937448176	0.375322037786865
ENSMFAG00000034459	DENND3	1.45472134866161	2.14466689274823	1.76647082261882	0.508394499658054
ENSMFAG00000037859	MPZL2	2.05061154933176	3.34670710118006	2.55108304288317	1.08763490456096
ENSMFAG00000043124	""	2.82132248996147	3.37748413011097	3.27303164997297	0.102642216341102
ENSMFAG00000060688	THRSP	11.0118320335204	9.51743675377962	9.67345349621037	0.157247585067183
ENSMFAG00000032893	HMGN3	6.5018587566352	6.12093509200893	6.22259685805351	0.109772018007123
ENSMFAG00000002117	SMARCA1	3.60309853437989	3.94905435230986	3.82725809566724	0.138101782105661
ENSMFAG00000039999	HACE1	2.38661888947564	2.71605924211342	2.54969497749567	0.218132845859314
ENSMFAG00000044075	RPL35	10.1187936186569	9.7562538509937	9.86950663593543	0.127716877019454
ENSMFAG00000031508	TIMM21	3.9786236871557	3.60691535799791	3.7547615475607	0.175338358901736
ENSMFAG00000041992	ABCA5	0.740698679435367	1.2271054904822	0.87610195951855	0.4855982978186
ENSMFAG00000034700	ANKRD12	2.30171613866877	2.66116333874336	2.52170495656975	0.155721998438748
ENSMFAG00000033279	PCNX1	2.924739832525	3.44903811095131	3.17383815658829	0.376890132694083
ENSMFAG00000048331	SLC2A13	0.0814641097829907	0.755896035150588	0.431479882082855	0.327989413729637
ENSMFAG00000000567	""	2.01308613562039	2.62155926714183	2.27223999646124	0.493900218157877
ENSMFAG00000001441	TOPBP1	3.36201422152801	3.63081225636625	3.50269886555721	0.166612304778308
ENSMFAG00000027679	FAM126A	2.50710355754528	2.80981756595972	2.6518640506005	0.212021103793671
ENSMFAG00000003253	VGLL3	3.04434319628357	3.831486149576	3.20026517356182	1.09692848140682
ENSMFAG00000024176	NCBP3	2.61216706938469	2.93949970258519	2.73796853747494	0.305585409515755
ENSMFAG00000040266	REV3L	2.15536148149804	2.63381467121506	2.40514395951926	0.281519184061588
ENSMFAG00000055687	CCDC115	5.39169992863781	5.12659038583499	5.20527120953666	0.0862747367421506
ENSMFAG00000031988	CPT1A	3.27945143618311	4.09244390428276	3.77563045260671	0.372011470239459
ENSMFAG00000031598	DHCR24	4.52125311993134	3.59978332050011	3.73358285102807	0.134376630679979
ENSMFAG00000003867	ACER2	2.21569931515946	3.0945447844654	2.28507302795206	1.4561778532587
ENSMFAG00000023109	GDPGP1	1.82663399180791	1.43368621228649	1.66691257194001	0.317136432044001
ENSMFAG00000038676	SLC25A11	5.69530134149065	5.26276158077626	5.31222779777473	0.0494166279349156
ENSMFAG00000031949	ACVR1B	-0.462316726476164	0.405482477261326	0.119914462362285	0.21848556731818
ENSMFAG00000037788	ERGIC1	5.26955085566481	4.94453898943716	4.93063324996871	0
ENSMFAG00000033659	PIK3C2A	2.8566797652041	3.19247950345215	2.954615847486	0.382857926772545
ENSMFAG00000045350	GARRE1	2.91475452834838	3.54835115763606	3.13852868814593	0.642774718381468
ENSMFAG00000039530	AHSA1	5.76311706259252	5.3138367419483	5.55434547451895	0.34467011885806
ENSMFAG00000063912	""	2.70211510680975	2.21111002048988	2.55323324153859	0.536179359208696
ENSMFAG00000060663	""	1.34461649410768	2.42509513303597	2.01612692691382	0.469210948496801
ENSMFAG00000038788	PSMD10	3.80205060920245	3.50901953383732	3.61107552767272	0.114658759556404
ENSMFAG00000043464	DCHS1	3.03519413692877	3.43858816271092	3.35866534840878	0.078980209651509
ENSMFAG00000030961	""	8.05400769463004	7.60176074488169	7.92600515567608	0.555788106520551
ENSMFAG00000035813	EFR3B	-0.304021675228824	0.642165355661905	0.35412499747079	0.283334383231684
ENSMFAG00000058083	""	0.368674404780954	0.895769960209185	0.580289075569243	0.393888006131146
ENSMFAG00000001618	PTPDC1	0.676069190179437	1.12667699634763	0.923597368534582	0.217317622197033
ENSMFAG00000040315	SPECC1	1.32974999966322	1.99270695521653	1.71804746255284	0.290675439691069
ENSMFAG00000003434	GAPVD1	3.2492767686293	3.45269149762459	3.36987596787565	0.0972952661093512
ENSMFAG00000042678	BBS7	2.49813580800674	2.85044842550427	2.72281699296865	0.140439664480745
ENSMFAG00000033048	PTMS	9.8696671484354	9.48057432537907	9.61581730532709	0.155871427059268
ENSMFAG00000013972	MED13	2.1968314158476	2.67761868915169	2.47873379720032	0.228434935647708
ENSMFAG00000043826	ARHGAP29	4.15989058033125	4.59200320884998	4.26955547568723	0.549060941667125
ENSMFAG00000046146	MRPS34	6.39480949745459	6.03209199577809	6.26171101342551	0.372677810417659
ENSMFAG00000033640	MTFP1	3.3909487255449	2.77156281711431	3.12108579904174	0.489940583461818
ENSMFAG00000042842	FURIN	4.8579767257328	5.20606876593594	5.09623915015773	0.121762463388031
ENSMFAG00000003034	AKAP11	2.75471581132526	3.38716505111191	3.00564647858423	0.575787307014533
ENSMFAG00000034686	HIGD2A	6.65673981052374	6.20477031057266	6.21494268122862	0.0101462473985817
ENSMFAG00000034086	ZNHIT1	6.78536409759236	6.48423485744733	6.61395566771389	0.162553959575414
ENSMFAG00000001195	""	4.30665117777015	3.90944873695698	4.32256218398271	0.758277277553616
ENSMFAG00000045556	KLHL36	2.99841666005038	3.5468625867889	3.2906959966597	0.325141306004601
ENSMFAG00000044911	SNTB2	1.03594361204923	1.67923091842418	1.69112275325224	0
ENSMFAG00000043774	GCK	2.73147928961743	1.58563211450996	1.57598993024217	0.0142364886271502
ENSMFAG00000044250	MRI1	5.07072066741567	4.78564484299321	4.93596163080494	0.20993964447406
ENSMFAG00000043564	ENPEP	2.98429504576831	3.85521077017519	3.66285095932118	0.19462348183734
ENSMFAG00000037170	PDZD8	2.24634559277031	2.71051527425803	2.3957967085697	0.48912126826388
ENSMFAG00000002987	DICER1	2.35241173805203	2.79688015248532	2.65030268579357	0.154759848620723
