Geneid	Symbol	Aged_GElaS
ENSMUSG00000032602.7	Slc25a20	1.17595560467285
ENSMUSG00000018900.8	Slc22a5	3.4856859604207
ENSMUSG00000028757.5	Ddost	1.85499630803367
ENSMUSG00000025059.17	Gk	1.8416703892925
ENSMUSG00000018669.15	Cdk5rap3	1.44755908982681
ENSMUSG00000031767.14	Nudt7	3.55847255816303
ENSMUSG00000053317.12	Sec61b	2.08100460471044
ENSMUSG00000032383.8	Ppib	2.09287724105141
ENSMUSG00000030545.10	Pex11a	2.09246240118938
ENSMUSG00000021226.8	Acot2	3.27166877329396
ENSMUSG00000020085.16	Aifm2	0.471597015194707
ENSMUSG00000036372.15	Tmem258	2.19024291389782
ENSMUSG00000056698.12	Elmod3	1.72122633620656
ENSMUSG00000031808.8	Slc27a1	2.92599041304325
ENSMUSG00000072949.7	Acot1	2.58320622639771
ENSMUSG00000022041.11	Chrna2	1.17185466934678
ENSMUSG00000028671.17	Gale	1.71322727631924
ENSMUSG00000040785.20	Ttc3	0.650607416879472
ENSMUSG00000069539.12	Scyl2	1.79999978486183
ENSMUSG00000056666.14	Retsat	0.419557660921834
ENSMUSG00000020280.13	Pus10	0.699962756767428
ENSMUSG00000002831.15	Plin4	5.29508107676101
ENSMUSG00000028334.11	Nans	2.01231775134039
ENSMUSG00000028383.18	Hsdl2	1.4470811301103
ENSMUSG00000028132.16	Tlcd4	2.97033128807915
ENSMUSG00000021591.9	Glrx	0.680702593677037
ENSMUSG00000030643.15	Rab30	2.96611869579326
ENSMUSG00000041779.6	Tram2	1.83695026764035
ENSMUSG00000042349.14	Ikbke	2.01918821307439
ENSMUSG00000066072.14	Cyp4a10	0.993465764786288
ENSMUSG00000028343.11	Erp44	1.11347147295452
ENSMUSG00000042747.13	Krtcap2	2.31329716592924
ENSMUSG00000032557.14	Uba5	1.88714092181568
ENSMUSG00000026730.13	Pter	2.04848982132128
ENSMUSG00000034258.5	Flvcr2	2.69391263901051
ENSMUSG00000021427.11	Ssr1	1.54417523928233
ENSMUSG00000001247.17	Lsr	1.36455183207966
ENSMUSG00000078974.11	Sec61g	2.39644005031919
ENSMUSG00000020873.16	Slc35b1	2.09810829341337
ENSMUSG00000021282.18	Eif5	0.758899508082554
ENSMUSG00000003355.8	Fkbp11	1.99702332661107
ENSMUSG00000026853.16	Crat	1.67749433574079
ENSMUSG00000040774.16	Cept1	0.922114257967162
ENSMUSG00000022853.8	Ehhadh	1.36609756346718
ENSMUSG00000027597.16	Ahcy	0.841325464656612
ENSMUSG00000042476.13	Abcb4	1.9913913931675
ENSMUSG00000058997.9	Vwa8	0.926937766792564
ENSMUSG00000031700.12	Gpt2	0.567328162112346
ENSMUSG00000025935.11	Tram1	1.26023750607361
ENSMUSG00000038312.11	Edem2	0.91621343567747
ENSMUSG00000003814.9	Calr	2.29927825854749
ENSMUSG00000011305.12	Plin5	2.08726023774863
ENSMUSG00000063406.12	Tmed5	2.27341316396214
ENSMUSG00000062908.13	Acadm	0.522823850104751
ENSMUSG00000037440.9	Vnn1	0.933284896981565
ENSMUSG00000060002.15	Chpt1	0.564157980066689
ENSMUSG00000027502.12	Rtf2	1.4078279427767
ENSMUSG00000027875.13	Hmgcs2	0.627041077859605
ENSMUSG00000026492.12	Tfb2m	0.844984806918696
ENSMUSG00000028382.16	Ptbp3	1.40463596141262
ENSMUSG00000024259.10	Slc25a46	1.40132431666429
ENSMUSG00000021012.17	Zc3h14	0.36877044266123
ENSMUSG00000039202.13	Abhd2	0.706121061075406
ENSMUSG00000027359.17	Slc27a2	1.1256475606259
ENSMUSG00000026490.19	Cdc42bpa	1.0522931368805
ENSMUSG00000003464.14	Pex19	0.749419807033482
ENSMUSG00000037798.8	Mat1a	1.06097115151998
ENSMUSG00000078566.9	Bnip3	0.360400282448379
ENSMUSG00000026639.19	Lamb3	0.567968880604072
