Geneid	Symbol	Young_GElaS
ENSMUSG00000018900.8	Slc22a5	3.83373905554132
ENSMUSG00000032602.7	Slc25a20	1.70525755655314
ENSMUSG00000031767.14	Nudt7	3.60476581318169
ENSMUSG00000037440.9	Vnn1	1.57336829051478
ENSMUSG00000021417.16	Eci2	2.2544670960106
ENSMUSG00000031808.8	Slc27a1	3.27143164602218
ENSMUSG00000020085.16	Aifm2	1.01107899099457
ENSMUSG00000024900.6	Cpt1a	3.16248731636235
ENSMUSG00000078566.9	Bnip3	1.55168475462804
ENSMUSG00000025509.16	Pnpla2	3.47128070503586
ENSMUSG00000021226.8	Acot2	2.72330331685424
ENSMUSG00000025059.17	Gk	2.44305957761308
ENSMUSG00000053317.12	Sec61b	1.71925303183749
ENSMUSG00000028334.11	Nans	1.8955093424786
ENSMUSG00000026003.6	Acadl	0.670920532949391
ENSMUSG00000039202.13	Abhd2	0.879331720659809
ENSMUSG00000030545.10	Pex11a	2.83608763134439
ENSMUSG00000028383.18	Hsdl2	1.3355900476756
ENSMUSG00000022041.11	Chrna2	1.89242286046546
ENSMUSG00000032383.8	Ppib	1.85486062451605
ENSMUSG00000032763.12	Ilvbl	1.13318972851329
ENSMUSG00000039917.11	Rhbdd2	0.993502605996455
ENSMUSG00000062908.13	Acadm	0.80937462489908
ENSMUSG00000056666.14	Retsat	0.634632231421808
ENSMUSG00000030643.15	Rab30	4.02823701381982
ENSMUSG00000037798.8	Mat1a	1.61143366381401
ENSMUSG00000032557.14	Uba5	2.21000740803547
ENSMUSG00000027875.13	Hmgcs2	1.02014428769498
ENSMUSG00000028757.5	Ddost	2.00677060844509
ENSMUSG00000041798.16	Gck	6.41261467182564
ENSMUSG00000034258.5	Flvcr2	2.36020257771388
ENSMUSG00000041779.6	Tram2	2.21222044980713
ENSMUSG00000028671.17	Gale	2.75027375074277
ENSMUSG00000072949.7	Acot1	2.99321863115475
ENSMUSG00000027359.17	Slc27a2	1.87893586726919
