Geneid	Symbol	log2FC	adj.P.Val
ENSMUSG00000018900.8	Slc22a5	2.54874387742854	3.27258164859388e-12
ENSMUSG00000032602.7	Slc25a20	1.32795153570743	3.42275736765013e-11
ENSMUSG00000031767.14	Nudt7	-2.73512421961293	3.42275736765013e-11
ENSMUSG00000037440.9	Vnn1	3.49893804407087	1.28560744981389e-10
ENSMUSG00000021417.16	Eci2	1.64864636543168	5.05480285491781e-10
ENSMUSG00000031808.8	Slc27a1	2.30429726519645	8.09808177477002e-10
ENSMUSG00000020085.16	Aifm2	1.12483773634594	8.26356582201512e-10
ENSMUSG00000024900.6	Cpt1a	2.08635518175217	8.26356582201512e-10
ENSMUSG00000078566.9	Bnip3	1.66699601459242	8.26356582201512e-10
ENSMUSG00000025509.16	Pnpla2	1.96300826382433	8.26356582201512e-10
ENSMUSG00000021226.8	Acot2	3.69427190070839	8.26356582201512e-10
ENSMUSG00000025059.17	Gk	1.66734682621917	2.11379414648847e-09
ENSMUSG00000053317.12	Sec61b	-1.58676532786578	3.03644504056979e-09
ENSMUSG00000028334.11	Nans	-1.55546206269063	3.32806270766454e-09
ENSMUSG00000026003.6	Acadl	1.4208170375317	3.80469619296376e-09
ENSMUSG00000039202.13	Abhd2	2.36508329513119	3.80469619296376e-09
ENSMUSG00000030545.10	Pex11a	1.87442939030516	3.80469619296376e-09
ENSMUSG00000028383.18	Hsdl2	1.7397457706397	4.14156230430629e-09
ENSMUSG00000022041.11	Chrna2	2.40737701465816	4.1934996743937e-09
ENSMUSG00000032383.8	Ppib	-1.34691872345109	5.54335905909198e-09
ENSMUSG00000032763.12	Ilvbl	1.26838220214731	5.54335905909198e-09
ENSMUSG00000039917.11	Rhbdd2	1.29052760511326	5.54335905909198e-09
ENSMUSG00000062908.13	Acadm	1.67041733197321	5.54335905909198e-09
ENSMUSG00000056666.14	Retsat	3.28835280298913	5.54335905909198e-09
ENSMUSG00000030643.15	Rab30	2.26041898913279	5.59215397345979e-09
ENSMUSG00000037798.8	Mat1a	2.15130253963073	5.65047198056676e-09
ENSMUSG00000032557.14	Uba5	-1.43431617188503	6.44477862877142e-09
ENSMUSG00000027875.13	Hmgcs2	1.72481501918416	5.97533519158718e-09
ENSMUSG00000028757.5	Ddost	-1.01200839564858	6.80840001881424e-09
ENSMUSG00000041798.16	Gck	-3.56402390452123	1.17111804296667e-08
ENSMUSG00000034258.5	Flvcr2	2.14917790769843	6.75718632215386e-09
ENSMUSG00000041779.6	Tram2	1.14475087503906	1.18584357263158e-08
ENSMUSG00000028671.17	Gale	-2.2390463010368	1.2541773019263e-08
ENSMUSG00000072949.7	Acot1	4.46985411451756	1.27479483770812e-08
ENSMUSG00000027359.17	Slc27a2	1.39100411125467	1.2541773019263e-08
ENSMUSG00000028132.16	Tlcd4	1.82122060380012	1.50545602537742e-08
ENSMUSG00000028712.13	Cyp4a31	4.41893926814762	2.35607557326102e-08
ENSMUSG00000014077.14	Chp1	1.0498023246356	2.40902571685576e-08
ENSMUSG00000021591.9	Glrx	1.35918889036133	2.40902571685576e-08
ENSMUSG00000026853.16	Crat	2.27146957813481	2.62538363177627e-08
ENSMUSG00000023973.14	Cnpy3	-0.843880520111139	2.82623530041527e-08
ENSMUSG00000045282.8	Tmem86b	-1.3585677508958	3.20740051027153e-08
ENSMUSG00000058997.9	Vwa8	1.17703404577622	3.50087428483373e-08
ENSMUSG00000036138.17	Acaa1a	1.15068056053982	3.54777160596362e-08
ENSMUSG00000040785.20	Ttc3	0.740019967759136	4.16356522190442e-08
ENSMUSG00000022971.19	Ifnar2	0.70171970401343	4.49024573952368e-08
ENSMUSG00000022853.8	Ehhadh	4.54597048565799	4.58418997888021e-08
ENSMUSG00000028008.11	Asic5	1.85788207557164	4.69513346908966e-08
ENSMUSG00000058317.13	Ube2e2	1.16757699153638	4.78504136407237e-08
ENSMUSG00000036372.15	Tmem258	-1.3353072427128	5.27952762607712e-08
ENSMUSG00000078974.11	Sec61g	-1.66038430210586	5.47534639861598e-08
ENSMUSG00000026116.12	Tmem131	0.883725200120516	6.78011642478545e-08
ENSMUSG00000055850.13	Rnf181	-0.777681679502759	7.46185961332832e-08
ENSMUSG00000031232.18	Magt1	-1.30746012487467	8.40751927932099e-08
ENSMUSG00000029458.15	Brap	1.40272267543007	8.58179402166703e-08
ENSMUSG00000056698.12	Elmod3	0.921844696568307	8.58179402166703e-08
ENSMUSG00000026848.15	Tor1b	0.854581644438965	9.69825257103953e-08
ENSMUSG00000041769.14	Ppp2r2d	1.30343727885329	9.77036426296332e-08
ENSMUSG00000079355.6	Ackr4	1.48723047280548	1.03071671187483e-07
ENSMUSG00000020873.16	Slc35b1	-1.25850313594997	1.03071671187483e-07
ENSMUSG00000057722.18	Lepr	2.78447893756673	1.0930240862726e-07
ENSMUSG00000029440.16	Psmd9	1.21419714510695	1.19419434275906e-07
ENSMUSG00000003948.18	Mmd	1.21150865842332	1.28503416502549e-07
ENSMUSG00000047617.12	Paxx	-3.04895908466955	1.40931622370433e-07
ENSMUSG00000025630.9	Hprt	0.662721904895519	1.63822796574852e-07
ENSMUSG00000056133.6	Unc93a2	1.60941539258376	1.62386840231717e-07
ENSMUSG00000021427.11	Ssr1	-1.08124764369584	1.7432468534e-07
ENSMUSG00000060613.11	Cyp2c70	-3.69572147278831	1.91459884665336e-07
ENSMUSG00000041773.9	Enc1	1.63478065826432	1.94500765552473e-07
ENSMUSG00000024507.7	Hsd17b4	1.32577885759498	2.08219079538876e-07
ENSMUSG00000017307.17	Acot8	1.15675017203163	2.05678414758964e-07
ENSMUSG00000032498.10	Mlh1	-0.704551406798889	2.11979822700845e-07
ENSMUSG00000027502.12	Rtf2	1.18507299412539	2.26157702792692e-07
ENSMUSG00000003464.14	Pex19	0.908134906312987	2.26450674608598e-07
ENSMUSG00000027597.16	Ahcy	1.12009777027435	2.41835604841287e-07
ENSMUSG00000027822.17	Slc33a1	-1.00747389003539	2.41835604841287e-07
ENSMUSG00000043091.10	Tuba1c	-1.39746086818614	2.51959707915152e-07
ENSMUSG00000022426.7	Josd1	0.863984425712501	2.53897408098185e-07
ENSMUSG00000028223.9	Decr1	1.4016124453616	2.64184319322735e-07
ENSMUSG00000038422.3	Hdhd3	-1.58596748410949	2.73928358037177e-07
ENSMUSG00000028607.17	Cpt2	0.979782276400639	2.80779341300504e-07
ENSMUSG00000090150.11	Acad11	1.60966490601485	3.07907801798896e-07
ENSMUSG00000021282.18	Eif5	0.665058681155216	3.20356127981805e-07
ENSMUSG00000066072.14	Cyp4a10	4.94453507674608	3.27671933037278e-07
ENSMUSG00000026730.13	Pter	-1.04899063318026	3.24250239592196e-07
ENSMUSG00000056091.13	St3gal5	2.20218777415188	3.52636604747008e-07
ENSMUSG00000026639.19	Lamb3	1.97630640465728	3.5473572327816e-07
ENSMUSG00000073988.14	Ttpa	1.40754789269838	3.6099848294969e-07
ENSMUSG00000032080.7	Apoa4	4.59514862384474	3.67707917182605e-07
ENSMUSG00000083282.4	Ctsf	1.02515554783628	3.70781401305898e-07
ENSMUSG00000050052.13	Tdrp	0.962363632867478	3.98159542100751e-07
ENSMUSG00000025579.15	Gaa	1.0359310972309	3.96913855217182e-07
ENSMUSG00000033174.18	Mgll	1.55753486580351	4.05729525171152e-07
ENSMUSG00000027889.18	Ampd2	-1.06112169038628	3.98159542100751e-07
ENSMUSG00000022562.16	Oplah	1.35767081457511	4.55914529270906e-07
ENSMUSG00000025153.10	Fasn	-3.42658113749572	4.56051828980429e-07
ENSMUSG00000038582.16	Pptc7	0.900907628183188	4.56051828980429e-07
ENSMUSG00000038055.13	Dexi	-1.42021286337563	4.90912482824117e-07
ENSMUSG00000062480.13	Acat3	-1.11380660498983	5.35845745318937e-07
ENSMUSG00000053898.13	Ech1	1.18928819890479	5.37597041091141e-07
ENSMUSG00000011305.12	Plin5	1.51247844402969	5.35845745318937e-07
ENSMUSG00000042349.14	Ikbke	-1.39609933737639	5.35845745318937e-07
ENSMUSG00000057103.12	Nat8f1	-2.02300500482523	5.37597041091141e-07
ENSMUSG00000005514.15	Por	2.3648281466211	5.45618524538515e-07
ENSMUSG00000042524.15	Sun2	1.28451635665619	5.37597041091141e-07
ENSMUSG00000091264.4	Smim13	1.11611203559589	6.11693816395934e-07
ENSMUSG00000028715.3	Cyp4a14	6.65196194604566	6.43236305094581e-07
ENSMUSG00000033629.7	Hacd3	0.975465409911926	6.37872075518608e-07
ENSMUSG00000054408.10	Spcs3	-0.944300733021379	6.29724238748141e-07
ENSMUSG00000052392.6	Acot4	2.16910707005738	6.43236305094581e-07
ENSMUSG00000001211.16	Agpat3	1.15185530912349	6.71398852846767e-07
ENSMUSG00000042476.13	Abcb4	1.62655099069818	6.87088850286302e-07
ENSMUSG00000020472.15	Zkscan17	1.11753951435126	7.48897353850873e-07
ENSMUSG00000038312.11	Edem2	-0.924763280394802	7.68099895977117e-07
ENSMUSG00000018669.15	Cdk5rap3	-0.67678864946489	7.68099895977117e-07
ENSMUSG00000059811.14	Atl2	1.08880161413558	7.93120279575134e-07
ENSMUSG00000045775.16	Slc16a5	2.55841844777431	8.48656828779892e-07
ENSMUSG00000019082.19	Slc25a22	1.11639812322059	8.59128848262158e-07
ENSMUSG00000003420.9	Fcgrt	0.939622458045576	8.72366131037713e-07
ENSMUSG00000059447.14	Hadhb	1.83112680144247	9.0353814682839e-07
ENSMUSG00000020777.17	Acox1	1.49854348150647	9.26910579057909e-07
ENSMUSG00000028382.16	Ptbp3	0.730763636320073	8.69162958364172e-07
ENSMUSG00000026348.8	Acmsd	-1.79292350072212	9.61824812577035e-07
ENSMUSG00000029311.17	Hsd17b11	1.84850622001058	1.01776665147933e-06
ENSMUSG00000036019.9	Tmtc2	1.11745152511886	1.03420105271126e-06
ENSMUSG00000063406.12	Tmed5	1.29416312523461	1.01776665147933e-06
ENSMUSG00000015711.9	Prune1	1.23698807018142	1.01776665147933e-06
ENSMUSG00000022280.10	Rnf19a	0.789813266118389	1.03180564687225e-06
ENSMUSG00000006517.6	Mvd	-3.27105077025629	1.08973786262812e-06
ENSMUSG00000047446.19	Arl4a	1.42507537768964	1.03420105271126e-06
ENSMUSG00000010755.18	Cars	-0.76375034744835	1.07629631695623e-06
ENSMUSG00000030278.12	Cidec	4.98926726128936	1.03420105271126e-06
ENSMUSG00000003518.14	Dusp3	0.889427683546775	1.08973786262812e-06
ENSMUSG00000027680.16	Fxr1	0.566023096273074	1.11694334558391e-06
ENSMUSG00000021620.5	Acot12	1.67849276955789	1.20587376761163e-06
ENSMUSG00000028893.9	Sesn2	1.48952343082941	1.2739578366218e-06
ENSMUSG00000090394.9	4930523C07Rik	0.795406886649575	1.29200564110011e-06
ENSMUSG00000009905.6	Kdsr	0.963016396118107	1.25955318331151e-06
ENSMUSG00000073725.9	Lmbrd1	0.635206262939404	1.2739578366218e-06
ENSMUSG00000029314.15	Gpat3	2.01204098390996	1.44204447845757e-06
ENSMUSG00000030089.16	Slc41a3	1.52590159986352	1.12611148611762e-06
ENSMUSG00000041920.15	Slc16a6	-1.64042555281944	1.44204447845757e-06
ENSMUSG00000067144.8	Slc22a7	-2.89809626894096	1.46802762926203e-06
ENSMUSG00000026944.19	Abca2	-1.26477570002376	1.40222809880136e-06
ENSMUSG00000003355.8	Fkbp11	-1.60950143784545	1.51856171943245e-06
ENSMUSG00000029664.11	Tfpi2	-0.85342771954798	1.47738311670375e-06
ENSMUSG00000042747.13	Krtcap2	-1.15707503506444	1.50492989445338e-06
ENSMUSG00000025935.11	Tram1	-0.826119980211319	1.53143694040389e-06
ENSMUSG00000024818.16	Slc25a45	-1.02929070309499	1.52121254562712e-06
ENSMUSG00000050541.15	Adra1b	-1.56548362063203	1.52558646640468e-06
ENSMUSG00000034528.16	Hsd17b13	1.42478793038381	1.65392029940952e-06
ENSMUSG00000026571.13	Dcaf6	1.24286363342382	1.55700511538338e-06
ENSMUSG00000025464.16	Paox	-1.58691414385907	1.58370559438546e-06
ENSMUSG00000063015.13	Ccni	0.8112989278926	1.73505233855617e-06
ENSMUSG00000018574.15	Acadvl	1.01419465351116	1.97064820371872e-06
ENSMUSG00000033021.17	Gmppa	-1.03934812637186	1.89019247047364e-06
ENSMUSG00000035227.8	Spcs2	-1.03287556039336	1.97064820371872e-06
ENSMUSG00000020102.16	Slc16a7	1.59937964098539	2.04070252129374e-06
ENSMUSG00000055912.9	Tmem150a	-1.05167158713871	2.07506201974972e-06
ENSMUSG00000036046.15	5031439G07Rik	1.00849923587896	2.07506201974972e-06
ENSMUSG00000015312.10	Gadd45b	2.45619607081825	2.30086425608441e-06
ENSMUSG00000030214.8	Plbd1	0.991053524316242	2.18261282339182e-06
ENSMUSG00000025479.10	Cyp2e1	1.33865248611738	2.44815630836892e-06
ENSMUSG00000038628.9	Polr3k	-0.941896523070495	2.37571512233709e-06
ENSMUSG00000002428.13	Hltf	-0.663164281549786	2.45132772587646e-06
ENSMUSG00000002844.10	Adprh	-0.741898658471509	2.52354676390261e-06
ENSMUSG00000004394.13	Tmed4	0.879362980756417	2.45745393119832e-06
ENSMUSG00000041353.13	Tmem29	-0.570449278792378	2.70975037443923e-06
ENSMUSG00000026849.19	Tor1a	0.883840245553229	2.49811689214252e-06
ENSMUSG00000041567.4	Serpina12	-2.56657253293356	2.69192873498827e-06
ENSMUSG00000064145.13	Arih2	0.635709242471051	2.62566959359515e-06
ENSMUSG00000015214.15	Mtmr1	0.651282674195079	2.69192873498827e-06
ENSMUSG00000023057.6	Fabp2	1.68688916133746	2.79677294595803e-06
ENSMUSG00000022210.8	Dhrs4	1.05400834341486	2.88701163622418e-06
ENSMUSG00000020538.16	Srebf1	-2.90868526872176	2.87193899905215e-06
ENSMUSG00000034173.14	Zbed5	1.38148383092486	3.16872957716692e-06
ENSMUSG00000052534.16	Pbx1	0.716176662178911	3.0881426278806e-06
ENSMUSG00000060639.6	H4c9	-1.42726116597914	2.70975037443923e-06
ENSMUSG00000042682.11	Selenok	-1.25091628389988	3.20902563267556e-06
ENSMUSG00000024222.18	Fkbp5	2.14539618359971	3.28755676748526e-06
ENSMUSG00000048486.7	Fitm2	1.46075806027466	3.32795885743543e-06
ENSMUSG00000055239.11	Kcmf1	0.580183310424127	3.3102764279864e-06
ENSMUSG00000022769.10	Sdf2l1	-2.89437412326918	3.5503314341801e-06
ENSMUSG00000028343.11	Erp44	-0.565019047887897	3.44363941484551e-06
ENSMUSG00000072964.15	Bhlhb9	1.11756615811134	3.71451697274146e-06
ENSMUSG00000045294.12	Insig1	-2.47606968631105	3.66273256048645e-06
ENSMUSG00000027546.16	Atp9a	1.16174889222748	3.50850770525723e-06
ENSMUSG00000060002.15	Chpt1	0.975987755664795	3.71080411155995e-06
ENSMUSG00000050737.14	Ptges	-1.23926915986844	2.45745393119832e-06
ENSMUSG00000032086.13	Bace1	0.82421031880258	3.71451697274146e-06
ENSMUSG00000063576.13	Klhdc3	1.08052615672436	3.76321817974538e-06
ENSMUSG00000025089.16	Gfra1	1.70502924408453	4.06540605567141e-06
ENSMUSG00000024580.9	Grpel2	1.22390939378396	4.06981843532613e-06
ENSMUSG00000027698.15	Nceh1	1.56353386615856	4.29844765856655e-06
ENSMUSG00000027048.16	Abcb11	-1.32442652948702	4.55088242737939e-06
ENSMUSG00000023070.7	Rgn	-1.47845988293174	4.57337533839569e-06
ENSMUSG00000032434.10	Cmtm6	-0.837532623382442	4.4195000308049e-06
ENSMUSG00000022299.10	Slc25a32	1.25819023745225	4.47172926695712e-06
ENSMUSG00000001366.15	Fbxo9	0.653264700480154	4.47941448400234e-06
ENSMUSG00000016541.11	Atxn10	1.11543091643974	4.50734581329446e-06
ENSMUSG00000006390.16	Elovl1	-0.879890003096791	4.50734581329446e-06
ENSMUSG00000021096.12	Ppm1a	0.710935314905751	4.57337533839569e-06
ENSMUSG00000037370.14	Enpp1	0.724888816628245	4.58106733889628e-06
ENSMUSG00000008035.13	Mid1ip1	-2.48665408042904	4.58106733889628e-06
ENSMUSG00000022040.9	Ephx2	1.43516773773797	4.98233220109133e-06
ENSMUSG00000022517.18	Mgrn1	0.716504561824634	4.55088242737939e-06
ENSMUSG00000019923.15	Zwint	1.05122576937258	4.55088242737939e-06
ENSMUSG00000042350.14	Arel1	0.762255384078004	4.55088242737939e-06
ENSMUSG00000039452.7	Snx22	-1.46130823597843	4.89980892465579e-06
ENSMUSG00000032478.15	Nme6	-1.47805395205024	4.98932799312386e-06
ENSMUSG00000025503.6	Taldo1	-0.670210460901738	4.76248367352181e-06
ENSMUSG00000019906.16	Lin7a	-1.0020052988873	5.38136134372055e-06
ENSMUSG00000021482.11	Prxl2c	0.823346671748342	4.89980892465579e-06
ENSMUSG00000022637.12	Cblb	0.834797797246396	5.37798016370689e-06
ENSMUSG00000074733.15	Zfp950	-1.21181300579683	5.01905592721518e-06
ENSMUSG00000020280.13	Pus10	0.466577096863732	5.01639956489766e-06
ENSMUSG00000046711.17	Hmga1	1.16183127877966	5.38136134372055e-06
