Geneid	Symbol	Aged_GElaS
ENSMUSG00000033610.17	Pank1	2.58186287596406
ENSMUSG00000027424.12	Mgme1	0.293261362335236
ENSMUSG00000020349.5	Ppp2ca	0.162450166480081
ENSMUSG00000029580.15	Actb	0.279730457074328
ENSMUSG00000062825.16	Actg1	0.579063501372217
ENSMUSG00000020925.17	Ccdc43	0.390470608996984
ENSMUSG00000041895.16	Wipi1	0.0728323986716666
ENSMUSG00000042726.15	Trafd1	0.304469347651793
ENSMUSG00000020743.16	Mif4gd	0.28106964215478
ENSMUSG00000026790.20	Odf2	0.425278518283569
ENSMUSG00000024782.8	Ak3	0.4727219684027
ENSMUSG00000032267.9	Usp28	0.36066520322677
ENSMUSG00000040740.8	Slc25a34	1.05223482726512
ENSMUSG00000048486.7	Fitm2	0.356207184388419
ENSMUSG00000043079.18	Synpo	0.445473274733267
ENSMUSG00000008855.18	Hdac5	0.190126309867261
ENSMUSG00000026932.15	Nacc2	0.371719401670592
ENSMUSG00000049134.16	Nrap	0.145181754354514
ENSMUSG00000028977.18	Casz1	1.20670834682742
ENSMUSG00000036810.17	Cnep1r1	0.634224014570407
ENSMUSG00000022853.8	Ehhadh	1.53239796105965
ENSMUSG00000015357.11	Clpx	0.344738963942876
ENSMUSG00000020883.19	Fbxl20	1.12081511128268
ENSMUSG00000038384.17	Setd1b	0.478514354811053
ENSMUSG00000036181.3	H1f2	0.105416202956579
ENSMUSG00000051339.11	2900026A02Rik	0.216275524105519
ENSMUSG00000022474.16	Pmm1	0.146790853381321
ENSMUSG00000033767.15	Tmem131l	0.786084408370402
ENSMUSG00000022075.8	Rhobtb2	1.03532140613046
ENSMUSG00000030739.19	Myh14	0.385065871887985
ENSMUSG00000016487.16	Ppfibp1	0.425457592073189
ENSMUSG00000021546.19	Hnrnpk	0.283594593054818
ENSMUSG00000025236.12	Adpgk	0.906203753470323
ENSMUSG00000020744.14	Slc25a19	0.401427699386682
ENSMUSG00000018820.14	Zfyve27	0.294143016542271
ENSMUSG00000037434.8	Slc30a1	1.00194407069896
ENSMUSG00000022008.5	Gpalpp1	0.75764395237692
ENSMUSG00000051705.14	Senp8	0.110417687227742
ENSMUSG00000024236.19	Svil	0.575701699203899
ENSMUSG00000032495.9	Lrrc2	0.158411401002071
ENSMUSG00000062198.6	2700097O09Rik	1.30858895509435
ENSMUSG00000042851.18	Zc3h6	1.41922725019446
ENSMUSG00000024906.11	Mus81	0.235649592912329
ENSMUSG00000049287.6	Iba57	0.451062453824708
ENSMUSG00000025352.7	Gdf11	1.32848565015445
ENSMUSG00000020453.18	Patz1	0.553550003367238
ENSMUSG00000019082.19	Slc25a22	2.03382944181198
ENSMUSG00000040557.15	Mettl27	0.614693822713314
ENSMUSG00000037933.17	Bicd2	0.182676907375478
ENSMUSG00000042548.15	Asxl1	1.12741175477528
ENSMUSG00000021981.11	Cab39l	0.187431751168523
ENSMUSG00000027452.12	Acss1	0.0334746646737086
ENSMUSG00000027187.11	Cat	0
ENSMUSG00000038132.7	Rbm24	0.00606464151959775
ENSMUSG00000032898.10	Fbxo21	0.472534631725567
ENSMUSG00000017309.12	Cd300lg	0.786514813777099
ENSMUSG00000025223.16	Ldb1	0.0486746864170155
ENSMUSG00000034040.18	Galnt17	0
ENSMUSG00000057315.15	Arhgap24	1.3893093745259
ENSMUSG00000020085.16	Aifm2	0.995761673213743
ENSMUSG00000000805.19	Car4	1.21163014098953
ENSMUSG00000026213.16	Stk11ip	0.324300058834781
ENSMUSG00000034723.12	Tmx4	0.215136179099922
ENSMUSG00000037977.7	6430571L13Rik	3.13135544305749
ENSMUSG00000045438.13	Cox19	0.36993845335704
ENSMUSG00000018143.11	Mafk	0.69903040329363
ENSMUSG00000051067.9	Lingo3	0.408805181713887
ENSMUSG00000011305.12	Plin5	0.654709052085227
ENSMUSG00000025178.10	Pi4k2a	0.352610569846788
ENSMUSG00000030852.19	Tacc2	0.725374963213936
ENSMUSG00000030094.9	Xpc	0.133672497592862
ENSMUSG00000068699.13	Flnc	0.26949111635865
ENSMUSG00000063275.16	Hacd1	0.626240382949286
ENSMUSG00000062515.4	Fabp4	0.968260048950286
ENSMUSG00000022404.9	Slc25a17	0.888707218627828
ENSMUSG00000050471.18	Fam118b	0.644529573383047
ENSMUSG00000066036.15	Ubr4	0.222227136002996
ENSMUSG00000030733.11	Sh2b1	0.543914766107296
ENSMUSG00000073139.10	Tmem185a	0.325192800414872
ENSMUSG00000035569.18	Ankrd11	0.237594287768021
ENSMUSG00000019777.17	Hdac2	0.220703726959237
ENSMUSG00000024594.10	Prrc1	0.247594965866281
ENSMUSG00000037523.14	Mavs	0.513467367692713
ENSMUSG00000032479.16	Map4	0.160441302645679
ENSMUSG00000053604.6	Rpia	0.763187788089107
ENSMUSG00000040435.13	Ppp1r15a	0.393240610019491
ENSMUSG00000038451.14	Spsb2	0.837481464071388
ENSMUSG00000030161.9	Gabarapl1	0.792734460225399
ENSMUSG00000019132.12	BC005537	0.161353983984697
ENSMUSG00000032577.17	Mapkapk3	1.02943182014244
ENSMUSG00000027274.17	Mkks	0.640253642153853
ENSMUSG00000051989.12	Smim11	0.611489013675873
ENSMUSG00000020628.17	Trappc12	0.266227205184647
ENSMUSG00000040374.14	Pex2	0.258773238214496
ENSMUSG00000004952.14	Rasa4	0.569211120975319
ENSMUSG00000038506.14	Dcun1d2	0.0304689246455568
ENSMUSG00000021226.8	Acot2	0.189279535652857
ENSMUSG00000070803.7	Cited4	1.14693710442669
ENSMUSG00000105096.2	Gbp10	2.1959219268273
ENSMUSG00000031666.16	Rbl2	0.0954684426478708
ENSMUSG00000001415.11	Smg5	0.538446984403637
ENSMUSG00000038515.11	Grtp1	0.152404697690076
ENSMUSG00000005686.18	Ampd3	1.42179625185657
ENSMUSG00000020923.18	Ubtf	0.0300768715144006
ENSMUSG00000034254.18	Agpat1	0.175919761122106
ENSMUSG00000026185.9	Igfbp5	0.339316746919733
ENSMUSG00000022637.12	Cblb	1.60751535067604
ENSMUSG00000062075.14	Lmnb2	0.63041379590666
ENSMUSG00000020792.16	Exoc7	0.293355879808455
ENSMUSG00000040363.16	Bcor	0.746086467688922
ENSMUSG00000033016.17	Nfatc1	0.513302274294897
ENSMUSG00000069601.15	Ank3	0.358878289874557
ENSMUSG00000091896.9	Ube2d2a	0.406072614973791
ENSMUSG00000024104.12	Washc2	0.0302523687416193
ENSMUSG00000042229.10	Rabif	0.158038975551223
ENSMUSG00000053774.10	Ubxn7	0.731116714384314
ENSMUSG00000028098.14	Rnf115	0.245253248937209
ENSMUSG00000027439.10	Gzf1	1.022516250018
ENSMUSG00000024471.13	Myot	0.0477663889019339
ENSMUSG00000024507.7	Hsd17b4	0.123508346837637
ENSMUSG00000020038.11	Cry1	1.04114077010761
ENSMUSG00000024831.15	Ighmbp2	0.581057831181852
ENSMUSG00000015575.16	Atp6v0e	0.306621520508355
ENSMUSG00000028145.10	Them4	0.42248552606461
ENSMUSG00000072969.3	Armcx5	0.308709115837503
ENSMUSG00000021650.8	Ptcd2	0.160405480270054
ENSMUSG00000015165.17	Hnrnpl	0.714829703843221
ENSMUSG00000007836.7	Hnrnpa0	0.2142051533229
ENSMUSG00000059923.14	Grb2	0.107039589185924
ENSMUSG00000038002.10	Cramp1l	0.740427562090603
ENSMUSG00000029617.11	Ccz1	0.0680316282143854
ENSMUSG00000053317.12	Sec61b	1.00085550490293
ENSMUSG00000025175.13	Fn3k	0.0178410638793763
ENSMUSG00000028261.14	Ndufaf4	0.556739737237033
ENSMUSG00000054676.18	1600014C10Rik	0.0901722941451531
ENSMUSG00000020571.14	Pdia6	0.307785784552456
ENSMUSG00000016327.10	Atp1b4	1.71571865494562
ENSMUSG00000026234.13	Ncl	0.0468730935184923
ENSMUSG00000056900.14	Usp13	0.144156165765534
ENSMUSG00000022788.17	Fgd4	0.0222497869745335
ENSMUSG00000039275.10	Foxk2	0.347598393223175
ENSMUSG00000037486.19	Asxl2	0.618410844130529
ENSMUSG00000048371.9	Pdp2	1.2096052907587
ENSMUSG00000044952.6	Kctd21	0.859987966363117
ENSMUSG00000025323.11	Sp4	0.88506965420856
ENSMUSG00000009013.6	Dynll1	1.23633225569824
ENSMUSG00000015711.9	Prune1	0.0122327378725797
ENSMUSG00000000538.19	Tom1l2	0.157858027772243
ENSMUSG00000031295.14	Phka2	0.588416946741317
ENSMUSG00000026014.16	Raph1	0.199454176803965
ENSMUSG00000015377.11	Dennd6b	0.578765495359157
ENSMUSG00000055128.16	Cgrrf1	0.419256714787742
ENSMUSG00000001138.14	Cnnm3	0.891653432280744
ENSMUSG00000079487.12	Med12	0.394220864795048
ENSMUSG00000028584.4	Lrrc38	1.71331431192074
ENSMUSG00000071226.12	Cecr2	0.929216666976477
ENSMUSG00000041685.17	Fcho2	0.439692286595677
ENSMUSG00000021540.17	Smad5	0.311745941426985
ENSMUSG00000029536.9	Gatc	0.0784036785899929
ENSMUSG00000053964.18	Lgals4	1.20850005118293
ENSMUSG00000037656.10	Slc20a2	0.300946316037293
ENSMUSG00000052214.10	Opa3	0.327125223713606
ENSMUSG00000063406.12	Tmed5	0.319869164756408
ENSMUSG00000026027.14	Stradb	0.316005699693339
ENSMUSG00000018166.9	Erbb3	0.996733164024316
ENSMUSG00000034333.16	Zbed4	0.259728886181123
ENSMUSG00000022828.11	Gtf2e1	0.121147253613136
ENSMUSG00000096188.2	Cmtm4	0.792268035963321
ENSMUSG00000028221.4	Pip4p2	0.151419155644304
ENSMUSG00000036617.18	Etl4	0.313291085173946
ENSMUSG00000075000.12	Nrbf2	0.617952349856389
ENSMUSG00000031543.19	Ank1	0.146333509662953
ENSMUSG00000090266.11	Mettl23	0.414226291213731
ENSMUSG00000032883.16	Acsl3	1.46247382987263
ENSMUSG00000078429.10	Ctdsp2	0.407661129456785
ENSMUSG00000032526.12	Ss18l2	0.394859070630422
ENSMUSG00000078485.4	Plekhn1	0.00516344685679258
ENSMUSG00000037411.11	Serpine1	2.75780803350079
ENSMUSG00000003435.10	Supt5	0.14850773929412
ENSMUSG00000057193.9	Slc44a2	0.125341115159136
ENSMUSG00000001211.16	Agpat3	0.691157511942815
ENSMUSG00000020828.14	Pld2	0.0562771998320669
ENSMUSG00000033102.16	Cdc14b	0.696750540720509
ENSMUSG00000020544.15	Cox11	0.255213709737049
ENSMUSG00000018736.15	Ndel1	0.620884265377662
ENSMUSG00000001419.18	Mef2d	0.0608062028728128
ENSMUSG00000030967.16	Zranb1	0.454884770386538
ENSMUSG00000008859.9	Rala	0.294305820031218
ENSMUSG00000063015.13	Ccni	0.178952741868676
ENSMUSG00000029073.10	Cptp	0.458107499745544
ENSMUSG00000104713.5	Gbp6	1.80282051604003
ENSMUSG00000022774.14	Ncbp2	0.507195490354245
ENSMUSG00000023277.14	Twf2	0.162525184797625
ENSMUSG00000096210.3	H1f0	0.117379191310072
ENSMUSG00000025086.14	Trub1	0.711946312073912
ENSMUSG00000021112.10	Mpp5	0.160926066542698
ENSMUSG00000052430.16	Bmpr1b	0.915096379332121
ENSMUSG00000048489.13	Depp1	4.80962286139156
ENSMUSG00000050947.10	Amigo1	1.06579511258114
ENSMUSG00000037243.18	Zfp692	0.0354981142479071
ENSMUSG00000002104.12	Rapsn	0.474020552377872
ENSMUSG00000032425.16	Zfp949	0.874399433615981
ENSMUSG00000022257.5	Laptm4b	0.536128152737664
ENSMUSG00000072949.7	Acot1	0.170816582403305
ENSMUSG00000009291.14	Pttg1ip	0.114362650456813
ENSMUSG00000031706.8	Rfx1	0.508060945110499
ENSMUSG00000046567.11	4930430F08Rik	0.120765087735567
ENSMUSG00000027496.16	Aurka	0.592472933453849
