Geneid	Symbol	log2FC	adj.P.Val
ENSMUSG00000033610.17	Pank1	1.35673896244175	2.38161333536361e-07
ENSMUSG00000027424.12	Mgme1	-0.591604427249212	3.48228730140514e-07
ENSMUSG00000020349.5	Ppp2ca	0.533988764221719	7.92437319851315e-06
ENSMUSG00000029580.15	Actb	-0.630202834815007	7.92437319851315e-06
ENSMUSG00000062825.16	Actg1	-1.03696318269112	2.00178165135214e-05
ENSMUSG00000020925.17	Ccdc43	-0.432409630617073	2.00178165135214e-05
ENSMUSG00000041895.16	Wipi1	0.430254107496962	2.00178165135214e-05
ENSMUSG00000042726.15	Trafd1	0.684561342424212	3.4921179063712e-05
ENSMUSG00000020743.16	Mif4gd	-0.491578053139584	8.23501475870099e-05
ENSMUSG00000026790.20	Odf2	0.553256395852885	8.23501475870099e-05
ENSMUSG00000024782.8	Ak3	-0.508735547379941	9.50229702848496e-05
ENSMUSG00000032267.9	Usp28	0.724510336892875	9.50229702848496e-05
ENSMUSG00000040740.8	Slc25a34	1.5678828093413	9.50229702848496e-05
ENSMUSG00000048486.7	Fitm2	0.340177378793516	9.50229702848496e-05
ENSMUSG00000043079.18	Synpo	0.441502468992357	9.50229702848496e-05
ENSMUSG00000008855.18	Hdac5	0.469299102815123	9.50229702848496e-05
ENSMUSG00000026932.15	Nacc2	-0.693412825547236	9.50229702848496e-05
ENSMUSG00000049134.16	Nrap	0.602670604501958	9.50229702848496e-05
ENSMUSG00000028977.18	Casz1	0.609224587955072	9.50229702848496e-05
ENSMUSG00000036810.17	Cnep1r1	-0.330492086463362	9.50229702848496e-05
ENSMUSG00000022853.8	Ehhadh	0.801869090939843	9.50229702848496e-05
ENSMUSG00000015357.11	Clpx	0.751148605712008	9.50229702848496e-05
ENSMUSG00000020883.19	Fbxl20	0.576471171601257	9.50229702848496e-05
ENSMUSG00000038384.17	Setd1b	0.524933231880221	9.50229702848496e-05
ENSMUSG00000036181.3	H1f2	0.940910754524944	9.50229702848496e-05
ENSMUSG00000051339.11	2900026A02Rik	0.564716387770738	0.00010551395060306
ENSMUSG00000022474.16	Pmm1	0.679202373341797	0.000114342659734954
ENSMUSG00000033767.15	Tmem131l	0.572567959309314	0.000114342659734954
ENSMUSG00000022075.8	Rhobtb2	-0.537202817202008	0.000121267679137385
ENSMUSG00000030739.19	Myh14	0.538718918522207	0.000131285990069092
ENSMUSG00000016487.16	Ppfibp1	0.464871831216862	0.000133041377661373
ENSMUSG00000021546.19	Hnrnpk	0.302613650888072	0.000133041377661373
ENSMUSG00000025236.12	Adpgk	0.512640604333462	0.000133041377661373
ENSMUSG00000020744.14	Slc25a19	-0.521435790005211	0.000138954193937105
ENSMUSG00000018820.14	Zfyve27	0.465493774281056	0.000159187321044191
ENSMUSG00000037434.8	Slc30a1	0.557999822562102	0.000159187321044191
ENSMUSG00000022008.5	Gpalpp1	0.557538707955651	0.000159187321044191
ENSMUSG00000051705.14	Senp8	-0.442942592011015	0.000138954193937105
ENSMUSG00000024236.19	Svil	0.647174372378423	0.00017455087249451
ENSMUSG00000032495.9	Lrrc2	0.515557641511924	0.00017455087249451
ENSMUSG00000062198.6	2700097O09Rik	0.672816105630863	0.00017455087249451
ENSMUSG00000042851.18	Zc3h6	0.79180100430184	0.00017455087249451
ENSMUSG00000024906.11	Mus81	-0.402031344681363	0.000186038350972818
ENSMUSG00000049287.6	Iba57	0.517133212615886	0.000193768595260198
ENSMUSG00000025352.7	Gdf11	-1.00817042738052	0.000202802380772351
ENSMUSG00000020453.18	Patz1	0.433111079987438	0.000209137009539852
ENSMUSG00000019082.19	Slc25a22	1.11329330220805	0.000248136524951513
ENSMUSG00000040557.15	Mettl27	0.617258677945716	0.000138954193937105
ENSMUSG00000037933.17	Bicd2	-0.311498075795378	0.000277919935090158
ENSMUSG00000042548.15	Asxl1	0.611811552787668	0.000280367514907114
ENSMUSG00000021981.11	Cab39l	-0.341996750359854	0.000300603022871554
ENSMUSG00000027452.12	Acss1	1.0267374318377	0.000300603022871554
ENSMUSG00000027187.11	Cat	0.850267444506716	0.000302240008973515
ENSMUSG00000038132.7	Rbm24	0.440067582853222	0.000311177468356921
