Geneid	Symbol	log2FC	adj.P.Val
ENSMUSG00000033610.17	Pank1	-1.31238392202982	3.74135929125343e-07
ENSMUSG00000024900.6	Cpt1a	-0.857778319648511	4.12465024848356e-07
ENSMUSG00000009471.5	Myod1	1.93659587739936	1.12799385279593e-05
ENSMUSG00000095253.5	Zfp799	-0.665059535864113	1.2694839440916e-05
ENSMUSG00000057315.15	Arhgap24	-1.01505740481471	3.09511316227401e-05
ENSMUSG00000066406.17	Akap13	-0.751336849346286	3.09511316227401e-05
ENSMUSG00000053604.6	Rpia	0.578271119018987	3.09511316227401e-05
ENSMUSG00000019082.19	Slc25a22	-1.34641316447889	6.18637187584469e-05
ENSMUSG00000015165.17	Hnrnpl	-0.562676126026702	6.19210379846375e-05
ENSMUSG00000020883.19	Fbxl20	-0.610494555853446	6.19210379846375e-05
ENSMUSG00000036528.17	Ppfibp2	-0.588043953554549	6.32977367111987e-05
ENSMUSG00000032577.17	Mapkapk3	0.731413037378277	6.32977367111987e-05
ENSMUSG00000022404.9	Slc25a17	-0.578123785959238	7.97062258806657e-05
ENSMUSG00000038393.15	Txnip	-1.55472482440256	8.57893441318702e-05
ENSMUSG00000028977.18	Casz1	-0.621196129698187	8.57893441318702e-05
ENSMUSG00000071226.12	Cecr2	-0.679185271919525	9.0604150101641e-05
ENSMUSG00000022853.8	Ehhadh	-0.777849179283751	9.0604150101641e-05
ENSMUSG00000004085.15	Map3k20	-0.451657060296891	9.0604150101641e-05
ENSMUSG00000021179.9	Nrde2	-0.596178130746989	9.0604150101641e-05
ENSMUSG00000002289.17	Angptl4	-2.50448519531521	9.0604150101641e-05
ENSMUSG00000005686.18	Ampd3	-0.950371454994789	0.000108311000674002
ENSMUSG00000036810.17	Cnep1r1	0.321490304973659	0.000132739913937927
ENSMUSG00000032425.16	Zfp949	-0.672563974296461	0.000154126119771415
ENSMUSG00000005897.15	Nr2c1	-0.538503580711095	0.000154126119771415
ENSMUSG00000048371.9	Pdp2	-0.852379843985699	0.000154126119771415
ENSMUSG00000022075.8	Rhobtb2	0.524067685526723	0.000154609944260889
ENSMUSG00000018736.15	Ndel1	0.460499940481689	0.000154609944260889
ENSMUSG00000090841.3	Myl6	0.472355796698803	0.000215270467021086
ENSMUSG00000004098.8	Col5a3	-0.944884464659681	0.00021932358716795
ENSMUSG00000062198.6	2700097O09Rik	-0.660391878282686	0.00021932358716795
ENSMUSG00000026082.12	Rev1	0.394434438964426	0.00021932358716795
ENSMUSG00000009013.6	Dynll1	0.815442792288545	0.000220975188056503
ENSMUSG00000037709.14	Fam13a	-0.813904821339311	0.000227014411734389
ENSMUSG00000020653.13	Klf11	-0.695333656591147	0.000220975188056503
ENSMUSG00000021913.9	Ogdhl	-0.649116813943132	0.000220975188056503
ENSMUSG00000078937.9	Cpt1b	-0.764138501038165	0.00024487747701815
ENSMUSG00000053317.12	Sec61b	0.611617268133024	0.000290987144235288
ENSMUSG00000055980.3	Irs1	1.20744463919729	0.000290987144235288
ENSMUSG00000037434.8	Slc30a1	-0.519076253105534	0.000332037760700958
ENSMUSG00000078853.9	Igtp	0.610682815139652	0.000332037760700958
ENSMUSG00000025236.12	Adpgk	-0.471867130525651	0.000332037760700958
ENSMUSG00000022637.12	Cblb	-0.939308689688066	0.000332037760700958
ENSMUSG00000025571.14	Tnrc6c	-0.509201580843318	0.000332037760700958
ENSMUSG00000018166.9	Erbb3	-0.613018379371151	0.000403897879358598
ENSMUSG00000042608.16	Stk40	0.498297053551339	0.000413034117125786
ENSMUSG00000042851.18	Zc3h6	-0.735683683687615	0.000442171250024447
ENSMUSG00000042548.15	Asxl1	-0.579160255239538	0.000442171250024447
ENSMUSG00000052430.16	Bmpr1b	-0.606207548370669	0.000456692316658182
ENSMUSG00000000957.12	Mmp14	-0.512577965884859	0.000460485324485723
ENSMUSG00000017929.14	B4galt5	0.617220170100749	0.000524591756157136
ENSMUSG00000053774.10	Ubxn7	-0.396000794401555	0.000539180263911902
ENSMUSG00000048503.8	Tlcd5	-0.478249303777636	0.000508817191576014
ENSMUSG00000020642.14	Rnf144a	-0.644923744100927	0.000575622636595606
ENSMUSG00000016327.10	Atp1b4	-0.952162726227522	0.000575622636595606
ENSMUSG00000031835.17	Mbtps1	-0.30633135167266	0.000575622636595606
ENSMUSG00000017776.16	Crk	0.492649578841065	0.000575622636595606
ENSMUSG00000021134.18	Srsf5	-0.661496185265856	0.000575622636595606
ENSMUSG00000021573.16	Tppp	0.720867557362574	0.000596090429523305
ENSMUSG00000025171.3	Ubtd1	0.57767592116803	0.000654609880705962
ENSMUSG00000070544.7	Top1	0.616012265444933	0.000648056953548653
ENSMUSG00000079003.4	Samd1	0.607846135959051	0.000678541850671118
ENSMUSG00000020038.11	Cry1	0.559996339564096	0.000678541850671118
ENSMUSG00000034121.13	Mks1	-0.542822722132999	0.000654609880705962
ENSMUSG00000038055.13	Dexi	0.461638426298355	0.00080344961398758
ENSMUSG00000037977.7	6430571L13Rik	1.62635111733738	0.000898835805494013
ENSMUSG00000042607.16	Asb4	-0.982738962147315	0.000898835805494013
ENSMUSG00000021559.15	Dapk1	-0.549067999475407	0.000900173498092178
ENSMUSG00000062515.4	Fabp4	-0.49675590046642	0.000898835805494013
ENSMUSG00000030465.20	Psd3	-0.757272392075333	0.000904792342951344
ENSMUSG00000070577.6	Gm572	-0.524909452814029	0.000968977394941558
ENSMUSG00000028542.18	Slc6a9	0.836669633558043	0.000982695429119045
ENSMUSG00000033102.16	Cdc14b	-0.390351033963534	0.000982695429119045
ENSMUSG00000026773.20	Pfkfb3	-2.10574686743559	0.000968977394941558
ENSMUSG00000034858.17	Fam214a	-1.08850636609493	0.000968977394941558
ENSMUSG00000044461.7	Shisa2	0.723175757554126	0.000968977394941558
ENSMUSG00000026034.18	Clk1	-0.524286544723072	0.000970623853222733
ENSMUSG00000024067.15	Dpy30	0.423448477809675	0.0009878245791638
ENSMUSG00000043953.13	Ccrl2	-0.92707522344804	0.0009878245791638
ENSMUSG00000104713.5	Gbp6	-1.03022583319402	0.0009878245791638
ENSMUSG00000009035.16	Tmem184b	0.472017189973639	0.0009878245791638
ENSMUSG00000006599.14	Gtf2h1	0.43494633734568	0.0009878245791638
ENSMUSG00000026842.17	Abl1	0.487585414648997	0.000982695429119045
ENSMUSG00000039321.2	Uts2r	0.804187987011887	0.000654609880705962
ENSMUSG00000063888.8	Rpl7l1	0.329031011363811	0.0009878245791638
ENSMUSG00000105096.2	Gbp10	-1.12161568464629	0.00104567063779886
ENSMUSG00000048489.13	Depp1	-3.01153372051186	0.00108237520492959
ENSMUSG00000033685.14	Ucp2	-0.822729449541097	0.00126551626295515
ENSMUSG00000033767.15	Tmem131l	-0.443130348798259	0.00124442285068823
ENSMUSG00000109324.3	Prmt1	0.391620404420685	0.00117408839942623
ENSMUSG00000056962.12	Jmjd6	0.294077273001937	0.00127364197429146
ENSMUSG00000017309.12	Cd300lg	-0.418875997609095	0.00127364197429146
ENSMUSG00000025086.14	Trub1	-0.37805305335804	0.00146335970776882
ENSMUSG00000025986.7	Slc39a10	0.550663568114165	0.0014782381919651
ENSMUSG00000052395.18	Rft1	-0.398017568187411	0.00154033226415402
ENSMUSG00000028475.10	Spaar	-0.498596930219632	0.00154033226415402
ENSMUSG00000026021.16	Sumo1	0.252721428651222	0.0014849455778731
ENSMUSG00000039943.17	Plcb4	-0.519175937371406	0.00154033226415402
ENSMUSG00000027439.10	Gzf1	-0.521506970036956	0.00154033226415402
ENSMUSG00000044442.12	N6amt1	-0.33644499335771	0.00172156826571447
ENSMUSG00000066152.12	Slc31a2	0.490743086147855	0.00172411721087554
ENSMUSG00000040433.17	Zbtb38	-0.395108736653457	0.00160400210010592
ENSMUSG00000029571.15	Tmem106b	-0.435227006491329	0.00162587503734043
ENSMUSG00000025815.14	Dhtkd1	-0.553755304642606	0.00178404636199842
ENSMUSG00000032575.17	Manf	0.497965171996302	0.00178404636199842
ENSMUSG00000068114.8	Ccdc134	0.60918362242187	0.00184034787045558
ENSMUSG00000028410.14	Dnaja1	0.801313376128577	0.00180413108932628
ENSMUSG00000001105.16	Ift20	0.46485581634449	0.00195393861982218
ENSMUSG00000051989.12	Smim11	0.320299006165714	0.00187540122319502
ENSMUSG00000035545.14	Leng8	-0.32387512322971	0.00184034787045558
ENSMUSG00000028709.4	Mob3c	0.426120431251163	0.00202071841188324
ENSMUSG00000040283.15	Btnl9	-0.646733266852728	0.00203497105225486
ENSMUSG00000047888.11	Tnrc6b	-0.498891337162365	0.00190570853231835
ENSMUSG00000048249.15	Crebrf	-0.573505937539001	0.00198322546142421
ENSMUSG00000022008.5	Gpalpp1	-0.428428060480015	0.00201312971296004
ENSMUSG00000037411.11	Serpine1	-1.38244918117801	0.00209601145204968
ENSMUSG00000050565.17	Tor1aip2	0.254506259793375	0.00198322546142421
ENSMUSG00000024831.15	Ighmbp2	-0.301130365679357	0.00219408189716702
