Geneid	Symbol	Young_GElaS
ENSMUSG00000032495.9	Lrrc2	0.601356582858615
ENSMUSG00000019132.12	BC005537	1.0958787119028
ENSMUSG00000030739.19	Myh14	0.374213903047851
ENSMUSG00000036181.3	H1f2	1.32315108863677
ENSMUSG00000031543.19	Ank1	1.22105617212492
ENSMUSG00000023055.11	Calcoco1	0.564207247113519
ENSMUSG00000062825.16	Actg1	0.618316945606824
ENSMUSG00000030967.16	Zranb1	1.95749916214283
ENSMUSG00000020744.14	Slc25a19	0.531895115488995
ENSMUSG00000036275.14	9530068E07Rik	0.666651787756107
ENSMUSG00000020802.9	Ube2o	0.297656772656748
ENSMUSG00000020453.18	Patz1	0.590886721727068
ENSMUSG00000036833.17	Pnpla7	1.06772436098274
ENSMUSG00000042726.15	Trafd1	0.47545097812085
ENSMUSG00000026213.16	Stk11ip	1.30810707129667
ENSMUSG00000026234.13	Ncl	0.443517509542408
ENSMUSG00000024104.12	Washc2	0.398481160102278
ENSMUSG00000020034.8	Tcp11l2	2.43566172582514
ENSMUSG00000020883.19	Fbxl20	1.02366217608274
ENSMUSG00000033610.17	Pank1	2.71694846609323
ENSMUSG00000042548.15	Asxl1	1.16356325567745
ENSMUSG00000038520.16	Tbc1d17	1.10907944716066
ENSMUSG00000008859.9	Rala	0.377194675917677
ENSMUSG00000026932.15	Nacc2	1.28430846166743
ENSMUSG00000027452.12	Acss1	1.08376259183286
ENSMUSG00000005514.15	Por	0.194316058114291
ENSMUSG00000040435.13	Ppp1r15a	1.02971595014352
ENSMUSG00000031666.16	Rbl2	0.914872671521421
ENSMUSG00000032898.10	Fbxo21	0.728851832687162
ENSMUSG00000029580.15	Actb	0.416028851579595
ENSMUSG00000028439.15	Fam219a	0.073699410650651
ENSMUSG00000030852.19	Tacc2	1.28681231294766
ENSMUSG00000026172.13	Bcs1l	0.544949814283713
ENSMUSG00000050148.10	Ubqln2	0.451910346180977
ENSMUSG00000040557.15	Mettl27	1.03171842672448
ENSMUSG00000027187.11	Cat	0.285594294258478
ENSMUSG00000049134.16	Nrap	0.169489796986736
ENSMUSG00000002329.8	Mdp1	0.409212632446944
ENSMUSG00000001138.14	Cnnm3	1.53541520439751
ENSMUSG00000051373.6	Plpp7	2.88096996802949
ENSMUSG00000033102.16	Cdc14b	1.34033148383524
ENSMUSG00000048249.15	Crebrf	2.1677167865893
ENSMUSG00000016487.16	Ppfibp1	0.966418849411907
ENSMUSG00000006920.15	Ezh1	0.810823056258914
ENSMUSG00000020623.12	Map2k6	0
ENSMUSG00000068742.12	Cry2	0.808856583223341
ENSMUSG00000017119.20	Nbr1	0.531532908922579
ENSMUSG00000015837.16	Sqstm1	0.19727613994255
ENSMUSG00000030161.9	Gabarapl1	2.34329515588941
ENSMUSG00000033684.15	Qsox1	0.447145821430299
ENSMUSG00000029578.16	Wipi2	0.723051356689032
ENSMUSG00000054676.18	1600014C10Rik	0.413093169144441
ENSMUSG00000078485.4	Plekhn1	0.482911728529285
ENSMUSG00000017817.12	Jph2	0.872852080407744
ENSMUSG00000030403.10	Vasp	1.24259218842979
ENSMUSG00000028584.4	Lrrc38	4.94511296284762
ENSMUSG00000015357.11	Clpx	0.826027505902923
ENSMUSG00000050043.17	Tmx2	0.151961830472875
ENSMUSG00000026027.14	Stradb	0.283722737337487
ENSMUSG00000025162.19	Csnk1d	0.0979337663257322
ENSMUSG00000066036.15	Ubr4	0.274586284289674
ENSMUSG00000020743.16	Mif4gd	0.67376842170392
ENSMUSG00000039480.15	Nt5dc1	0.953150278631022
ENSMUSG00000038506.14	Dcun1d2	0.291412293746553
ENSMUSG00000029385.15	Ccng2	1.16282148067002
ENSMUSG00000032594.12	Ip6k1	0.989188632959179
ENSMUSG00000026790.20	Odf2	0.34234950593513
ENSMUSG00000022270.17	Retreg1	3.21143684389848
ENSMUSG00000078429.10	Ctdsp2	0.386477666570613
ENSMUSG00000051067.9	Lingo3	2.01696121999444
ENSMUSG00000020385.17	Clk4	0.979004043814762
ENSMUSG00000029512.12	Ulk1	1.32480496055746
ENSMUSG00000042675.16	Ypel3	0.431172414692637
ENSMUSG00000035569.18	Ankrd11	0.502514629549215
ENSMUSG00000042010.17	Acacb	0.276098695683213
ENSMUSG00000041777.13	Cir1	1.83283114007699
ENSMUSG00000041895.16	Wipi1	0.325978164599662
ENSMUSG00000018820.14	Zfyve27	0.501098788888653
ENSMUSG00000027244.15	Atg13	0.692170460851247
ENSMUSG00000039661.15	Dusp26	0.164415918092999
ENSMUSG00000022748.9	Cmss1	0.45352029698115
ENSMUSG00000026185.9	Igfbp5	3.02851037591415
ENSMUSG00000047591.6	Mafa	1.89433898978613
ENSMUSG00000029131.15	Dnajb6	0.440312386046519
ENSMUSG00000039703.16	Nploc4	0.213001443390952
ENSMUSG00000024906.11	Mus81	0.350309289822258
ENSMUSG00000063015.13	Ccni	0.429094586090703
ENSMUSG00000019768.17	Esr1	0.0229189185922399
ENSMUSG00000004952.14	Rasa4	1.08495950285144
ENSMUSG00000034135.16	Sik3	0.374427076964738
ENSMUSG00000020925.17	Ccdc43	0.305827157952224
ENSMUSG00000045246.12	Kcng4	0.0728512606234114
ENSMUSG00000020828.14	Pld2	0.831602531559105
ENSMUSG00000020571.14	Pdia6	0.301610619309152
ENSMUSG00000053774.10	Ubxn7	1.02332299638572
ENSMUSG00000022357.3	Klhl38	4.94658685567
ENSMUSG00000025175.13	Fn3k	0.22934167001061
