Geneid	Symbol	log2FC	adj.P.Val
ENSMUSG00000032495.9	Lrrc2	1.19545381111848	1.00826692876305e-10
ENSMUSG00000019132.12	BC005537	1.3232679885245	7.47907625484851e-10
ENSMUSG00000030739.19	Myh14	1.05098956319179	7.96250920044911e-10
ENSMUSG00000036181.3	H1f2	1.77317856943998	9.59543074012758e-10
ENSMUSG00000031543.19	Ank1	-1.52243337377805	2.8760381514341e-09
ENSMUSG00000023055.11	Calcoco1	1.05226629022372	2.93065079605413e-09
ENSMUSG00000062825.16	Actg1	-1.53268932400173	2.95935962114076e-09
ENSMUSG00000030967.16	Zranb1	1.56742902383534	2.95935962114076e-09
ENSMUSG00000020744.14	Slc25a19	-0.951409022315618	2.95935962114076e-09
ENSMUSG00000036275.14	9530068E07Rik	1.00443308064529	2.95935962114076e-09
ENSMUSG00000020802.9	Ube2o	0.795469681599045	2.95935962114076e-09
ENSMUSG00000020453.18	Patz1	0.836956179379779	3.07769661677008e-09
ENSMUSG00000036833.17	Pnpla7	1.73324368268924	3.07769661677008e-09
ENSMUSG00000042726.15	Trafd1	1.03676270698205	3.07769661677008e-09
ENSMUSG00000026213.16	Stk11ip	1.55024999924256	3.07769661677008e-09
ENSMUSG00000026234.13	Ncl	0.645932720643215	3.1201889056823e-09
ENSMUSG00000024104.12	Washc2	0.642557992612942	3.1201889056823e-09
ENSMUSG00000020034.8	Tcp11l2	2.1337642202278	3.54667684924682e-09
ENSMUSG00000020883.19	Fbxl20	0.970873336967652	3.54667684924682e-09
ENSMUSG00000033610.17	Pank1	1.4448285133211	4.28774040365369e-09
ENSMUSG00000042548.15	Asxl1	1.14812537885232	4.28774040365369e-09
ENSMUSG00000038520.16	Tbc1d17	1.17287654097468	4.28774040365369e-09
ENSMUSG00000008859.9	Rala	-0.713125429836519	4.28774040365369e-09
ENSMUSG00000026932.15	Nacc2	-1.15550172406707	4.28774040365369e-09
ENSMUSG00000027452.12	Acss1	1.89310515193169	4.28774040365369e-09
