Geneid	Symbol	log2FC	adj.P.Val
ENSMUSG00000033610.17	Pank1	-1.64098474232452	2.97151208583592e-09
ENSMUSG00000004952.14	Rasa4	0.776663889628583	3.61398735781242e-09
ENSMUSG00000024900.6	Cpt1a	-1.07294858473201	3.61398735781242e-09
ENSMUSG00000035172.16	Plekhh3	1.48691281268685	5.55386218314401e-09
ENSMUSG00000034936.3	Arl4d	-2.24735679117571	3.24352283518228e-08
ENSMUSG00000009471.5	Myod1	3.10413004338093	3.24352283518228e-08
ENSMUSG00000059839.10	Zfp874b	-0.935467543059897	9.54016252868076e-08
ENSMUSG00000048249.15	Crebrf	-1.1369541597419	1.43607807362534e-07
ENSMUSG00000033102.16	Cdc14b	-0.710974630495437	1.6877378279155e-07
ENSMUSG00000009035.16	Tmem184b	0.860911690703073	1.77220039041396e-07
ENSMUSG00000048489.13	Depp1	-5.90707529912033	3.19796578303253e-07
ENSMUSG00000026821.17	Ralgds	1.06680513919198	3.5863635263724e-07
ENSMUSG00000039911.14	Spsb1	-1.88482401067704	3.5863635263724e-07
ENSMUSG00000001138.14	Cnnm3	-0.840063422544909	3.5863635263724e-07
ENSMUSG00000028584.4	Lrrc38	2.61212168037261	3.5863635263724e-07
ENSMUSG00000051373.6	Plpp7	1.54522897153292	3.5863635263724e-07
ENSMUSG00000063382.7	Bcl9l	1.17408034402761	3.5863635263724e-07
ENSMUSG00000034858.17	Fam214a	-1.82589996156081	3.5863635263724e-07
ENSMUSG00000037992.17	Rara	1.15504712063213	3.5863635263724e-07
ENSMUSG00000069206.15	Zfp874a	-1.05713140444506	3.5863635263724e-07
ENSMUSG00000069114.9	Zbtb10	-1.07864784442937	3.66225129018527e-07
ENSMUSG00000030733.11	Sh2b1	0.591608725413983	3.66225129018527e-07
ENSMUSG00000026034.18	Clk1	-0.861969545843265	3.66225129018527e-07
ENSMUSG00000030409.17	Dmpk	0.711194473361507	3.66225129018527e-07
ENSMUSG00000029571.15	Tmem106b	-0.753029145022559	3.66225129018527e-07
ENSMUSG00000032425.16	Zfp949	-0.917477522619285	3.66225129018527e-07
ENSMUSG00000042622.15	Maff	-1.92016860111083	3.66225129018527e-07
ENSMUSG00000025986.7	Slc39a10	0.971959980825919	3.66225129018527e-07
ENSMUSG00000079003.4	Samd1	0.991165751281383	4.17392379088381e-07
ENSMUSG00000022228.15	Zscan26	-1.06476740595115	4.26762565423489e-07
ENSMUSG00000020653.13	Klf11	-1.01804733088306	4.17392379088381e-07
ENSMUSG00000027510.18	Rbm38	0.855357085539825	4.50083674967827e-07
ENSMUSG00000052430.16	Bmpr1b	-0.950630744303767	4.54993150566108e-07
ENSMUSG00000002393.15	Nr2f6	0.633888521604544	4.55368840817107e-07
ENSMUSG00000041777.13	Cir1	-0.993344136666919	4.55368840817107e-07
ENSMUSG00000034714.10	Ttyh2	2.01839964990473	6.0876032554426e-07
ENSMUSG00000028042.16	Zbtb7b	0.893716728155301	7.12509086902154e-07
ENSMUSG00000037526.8	Atg14	-0.95922167141109	7.25786025981528e-07
ENSMUSG00000068114.8	Ccdc134	1.0272901106832	7.70435524584026e-07
ENSMUSG00000117284.2	Gm7072	-0.523011788955186	7.70435524584026e-07
ENSMUSG00000024247.15	Pkdcc	1.02528674432921	7.70435524584026e-07
ENSMUSG00000030967.16	Zranb1	-1.1352564198753	7.70435524584026e-07
ENSMUSG00000040918.13	Slc19a2	-0.901750862308416	7.82338824839301e-07
ENSMUSG00000039321.2	Uts2r	1.45289346196264	3.5863635263724e-07
ENSMUSG00000044676.11	Zfp612	-0.782116100255691	8.93871562685124e-07
ENSMUSG00000001415.11	Smg5	0.493141799203396	8.87929267528482e-07
ENSMUSG00000020038.11	Cry1	0.827509458256114	9.28160114367946e-07
ENSMUSG00000000126.12	Wnt9a	0.696875268017874	9.47716580417345e-07
ENSMUSG00000047648.14	Fbxo30	-1.29172547299663	9.46587062904816e-07
ENSMUSG00000037692.15	Ahdc1	1.5536950426483	9.54816365788088e-07
ENSMUSG00000041685.17	Fcho2	-0.653138308977417	9.54816365788088e-07
ENSMUSG00000022637.12	Cblb	-1.28787173709875	1.0193221345645e-06
ENSMUSG00000023259.18	Slc26a6	0.738141825675956	1.06511714163467e-06
ENSMUSG00000043953.13	Ccrl2	-1.41139260312482	1.06511714163467e-06
ENSMUSG00000002289.17	Angptl4	-3.39945916852096	9.47716580417345e-07
ENSMUSG00000028211.12	Trp53inp1	-1.48393912221669	1.06893929576079e-06
ENSMUSG00000032594.12	Ip6k1	-0.547676586801503	1.18017338758011e-06
ENSMUSG00000037339.18	Fam53a	0.394873534463319	1.18017338758011e-06
ENSMUSG00000074794.11	Arrdc3	-3.23747849466446	1.1837585172983e-06
ENSMUSG00000009633.4	G0s2	3.47187197316949	1.1837585172983e-06
ENSMUSG00000028542.18	Slc6a9	1.31099893755339	1.24126066431441e-06
ENSMUSG00000053774.10	Ubxn7	-0.558959473052681	1.31049750600914e-06
ENSMUSG00000026773.20	Pfkfb3	-3.08555693827185	1.41790740063146e-06
ENSMUSG00000070509.16	Rgma	1.41975440372252	1.45849373536865e-06
ENSMUSG00000042851.18	Zc3h6	-1.02281172382904	1.4803538641348e-06
ENSMUSG00000029922.16	Mkrn1	-0.446879020409477	1.61302983946688e-06
ENSMUSG00000021281.16	Tnfaip2	1.90671202892961	1.61302983946688e-06
ENSMUSG00000050471.18	Fam118b	0.624505725324896	1.61302983946688e-06
ENSMUSG00000016487.16	Ppfibp1	-0.553639065109745	1.82653511398888e-06
ENSMUSG00000029670.13	Ing3	-0.714789768432789	1.97762371837562e-06
ENSMUSG00000117679.2	Apbb3	-0.858347215914147	2.04062582843665e-06
ENSMUSG00000042032.14	Mat2b	-0.337505779184432	2.13877099898944e-06
ENSMUSG00000022124.16	Fbxl3	-0.707571626241208	2.30057617685578e-06
ENSMUSG00000059486.12	Kbtbd2	-0.602004778698317	2.41706456516237e-06
ENSMUSG00000020034.8	Tcp11l2	-1.45013304280534	2.41706456516237e-06
ENSMUSG00000028522.17	Mier1	-1.1514566209973	2.48299825189528e-06
ENSMUSG00000048371.9	Pdp2	-0.995033418601705	2.97745602168753e-06
ENSMUSG00000039328.12	Rnf122	0.657875898049401	3.19441438054833e-06
ENSMUSG00000066406.17	Akap13	-0.74260095208259	3.14654602214761e-06
ENSMUSG00000019082.19	Slc25a22	-1.41135177047467	3.29485573980606e-06
ENSMUSG00000017929.14	B4galt5	0.80850286629979	3.68056000971321e-06
ENSMUSG00000070420.5	Zscan25	-0.776751644547963	3.78545633752458e-06
ENSMUSG00000095253.5	Zfp799	-0.602759826208782	3.78545633752458e-06
ENSMUSG00000038990.15	Cables2	0.534633265569013	3.80712914046016e-06
ENSMUSG00000047153.5	Khnyn	-0.475380031638676	3.78545633752458e-06
ENSMUSG00000027276.8	Jag1	-0.943720486289685	4.01134236493668e-06
ENSMUSG00000068134.14	Zfp120	-0.688174254224833	4.07550694575905e-06
ENSMUSG00000025171.3	Ubtd1	0.783194217853246	4.07550694575905e-06
ENSMUSG00000024831.15	Ighmbp2	-0.456970176886671	4.07550694575905e-06
ENSMUSG00000046201.10	Scaf8	-0.507832083203645	4.01134236493668e-06
ENSMUSG00000037977.7	6430571L13Rik	2.63196347287913	4.12286155076348e-06
ENSMUSG00000069094.13	Pde7a	-1.26920294572813	4.01134236493668e-06
ENSMUSG00000026932.15	Nacc2	0.770513466750378	4.07550694575905e-06
ENSMUSG00000030098.16	Grip2	0.971654934290589	4.33196417289071e-06
