Geneid	Symbol	Aged_GElaS
ENSMUSG00000061740.9	Cyp2d22	0.293430039208129
ENSMUSG00000033720.13	Sfxn5	0.426902231036392
ENSMUSG00000032997.17	Chpf	0.40213675155998
ENSMUSG00000045193.14	Cirbp	1.17899693631548
ENSMUSG00000048970.10	C1galt1c1	0.548775081662388
ENSMUSG00000032271.14	Nnmt	0.810021758358345
ENSMUSG00000035773.7	Kiss1r	0.830449384213751
ENSMUSG00000038074.17	Fkbp14	0.142733055687093
ENSMUSG00000002266.18	Zim1	2.37323198335673
ENSMUSG00000070436.13	Serpinh1	1.84572486182435
ENSMUSG00000025930.7	Msc	0.489882097342603
ENSMUSG00000036968.16	Cnpy4	0.413474458635153
ENSMUSG00000052214.10	Opa3	0.898310237820916
ENSMUSG00000028150.15	Rorc	0.526770989279731
ENSMUSG00000049555.11	Tmie	0.778829576914229
ENSMUSG00000053964.18	Lgals4	0.443789379556995
ENSMUSG00000027188.9	Pamr1	0
ENSMUSG00000028107.15	Tars2	0.207614546648155
ENSMUSG00000079317.11	Trappc2	0.524041638879057
ENSMUSG00000031889.10	D230025D16Rik	0.897538523092629
ENSMUSG00000030061.17	Uba3	0.179537558490642
ENSMUSG00000023150.15	Ivns1abp	1.01493868739749
ENSMUSG00000064294.13	Aox3	0.460272915025418
ENSMUSG00000025792.10	Slc25a10	0.725984469051352
ENSMUSG00000032557.14	Uba5	0.374150143559639
ENSMUSG00000026005.16	Rpe	0.0836194784586211
ENSMUSG00000042726.15	Trafd1	1.05001922693329
ENSMUSG00000048503.8	Tlcd5	1.05978037762769
ENSMUSG00000020937.15	Plcd3	0.180478162720348
ENSMUSG00000022774.14	Ncbp2	0.348547353122125
ENSMUSG00000015165.17	Hnrnpl	0.543679173635908
ENSMUSG00000025759.12	Mfsd8	0.140204204462131
ENSMUSG00000034059.15	Ypel4	0.185520145413447
ENSMUSG00000031924.5	Cyb5b	0.371683402681868
ENSMUSG00000023004.9	Tuba1b	1.43619707179826
ENSMUSG00000037366.15	Pafah2	0
ENSMUSG00000038696.15	Mapkap1	0.108594851674892
ENSMUSG00000019864.15	Rtn4ip1	0.00597430571585089
ENSMUSG00000020263.15	Appl2	0.31899147821458
ENSMUSG00000022358.8	Fbxo32	1.49751034917924
ENSMUSG00000021903.12	Galnt15	0.273844003038156
ENSMUSG00000023019.13	Gpd1	2.13390777170512
ENSMUSG00000048355.3	Arxes1	0.313657730129686
ENSMUSG00000048578.12	Mlec	0
ENSMUSG00000027313.4	Chac1	0.479573325210077
ENSMUSG00000048100.14	Taf13	0.144492417026153
ENSMUSG00000020326.8	Ccng1	0.130002841272994
ENSMUSG00000002265.18	Peg3	2.50701204582588
ENSMUSG00000020744.14	Slc25a19	1.71358153123238
ENSMUSG00000025025.15	Mxi1	0.21406546043823
ENSMUSG00000011752.8	Pgam1	0.304594355469147
ENSMUSG00000039956.10	Mrap	1.245270743335
ENSMUSG00000060935.7	Tmem263	0.0153308368986004
ENSMUSG00000018983.10	E2f2	0.221614381656729
ENSMUSG00000020709.16	Adap2	1.84751506668267
ENSMUSG00000049115.16	Agtr1a	1.20338675526345
ENSMUSG00000020472.15	Zkscan17	0.298465533723552
ENSMUSG00000027710.15	Acad9	0
ENSMUSG00000047181.13	Samd14	0.250928560016541
ENSMUSG00000076431.5	Sox4	1.32891442262944
ENSMUSG00000021186.10	Fbln5	0.0222276362366701
ENSMUSG00000036833.17	Pnpla7	0.683562892010498
ENSMUSG00000030421.10	Uri1	0.428070310038483
ENSMUSG00000081058.6	H3c15	1.84660795072289
ENSMUSG00000035517.18	Tdrd7	0.306915427673567
ENSMUSG00000026643.17	Nmt2	0.749687374460586
ENSMUSG00000028274.18	Rngtt	0.154416634790785
ENSMUSG00000030104.10	Edem1	0.0861947081481218
ENSMUSG00000029446.15	Psph	0.919891107665892
ENSMUSG00000006301.18	Tmbim1	0.0190365936429932
ENSMUSG00000024481.6	Lvrn	1.24758848977224
ENSMUSG00000020571.14	Pdia6	0.377058353813313
ENSMUSG00000028088.15	Fmo5	0.598760237857433
ENSMUSG00000032172.9	Olfm2	0.389642508656864
ENSMUSG00000032181.8	Scg3	0.444672021931593
ENSMUSG00000014195.17	Dnajc7	0.110170283930103
ENSMUSG00000023249.16	Parp3	0.745495411803248
ENSMUSG00000019278.6	Dpep1	0.134095091781646
ENSMUSG00000026192.14	Atic	0.264597563870596
ENSMUSG00000034424.6	Gcsh	0.195376365459321
ENSMUSG00000003378.10	Grik5	0.275013219010363
ENSMUSG00000038967.14	Pdk2	0.181810451370865
ENSMUSG00000002741.10	Ykt6	0.261078539648802
ENSMUSG00000020432.13	Tcn2	0.0299866474749921
ENSMUSG00000028277.14	Ube2j1	0.468082543048864
ENSMUSG00000033318.8	Gstt2	0
ENSMUSG00000057137.10	Tmem140	1.30709507451114
ENSMUSG00000000901.18	Mmp11	0.580026448329603
ENSMUSG00000025104.14	Hdgfl3	0.599667945125128
ENSMUSG00000021047.8	Nova1	0.661127862679412
ENSMUSG00000021371.6	Mcur1	0.249173350461882
ENSMUSG00000029167.14	Ppargc1a	1.22252717889157
ENSMUSG00000027429.17	Sec23b	0.322846161246872
ENSMUSG00000070002.8	Ell	0.878179427123235
ENSMUSG00000028954.12	Nub1	0.196184678242495
ENSMUSG00000032715.10	Trib3	0.4929688852389
ENSMUSG00000026672.12	Optn	0.5392690983882
ENSMUSG00000066894.15	Vsig10	0.872269093138872
ENSMUSG00000030161.9	Gabarapl1	0.0519084332546675
ENSMUSG00000032898.10	Fbxo21	1.62490654044978
ENSMUSG00000028329.14	Xpa	0.373690653030723
ENSMUSG00000020034.8	Tcp11l2	0.878721155371774
ENSMUSG00000027327.17	1700037H04Rik	0.899795229714359
ENSMUSG00000031613.10	Hpgd	1.38477472227306
