Geneid	Symbol	log2FC	adj.P.Val
ENSMUSG00000027327.17	1700037H04Rik	1.33553279548268	3.98830726479276e-06
ENSMUSG00000015165.17	Hnrnpl	-0.445990399575314	0.000188413238628453
ENSMUSG00000053819.17	Camk2d	-0.494235620898255	0.000284233214438689
ENSMUSG00000028893.9	Sesn2	-1.65473776170545	0.000284233214438689
ENSMUSG00000038446.9	Cdc40	-0.681332953774239	0.000284233214438689
ENSMUSG00000031889.10	D230025D16Rik	-0.630448742311981	0.000284233214438689
ENSMUSG00000023019.13	Gpd1	1.64089110339087	0.000446737315964234
ENSMUSG00000025104.14	Hdgfl3	-0.511801796942515	0.000688927464961648
ENSMUSG00000035948.14	Acss3	-0.974793618191645	0.000740940590180548
ENSMUSG00000050234.8	Gja4	0.914712446085307	0.000740940590180548
ENSMUSG00000035401.10	Emsy	-0.324047213564515	0.00233165217554593
ENSMUSG00000056413.17	Adap1	1.18087028383935	0.00233165217554593
ENSMUSG00000024955.16	Esrra	0.559717004336582	0.00233165217554593
ENSMUSG00000027589.15	Pcmtd2	-0.528671772839524	0.00233165217554593
ENSMUSG00000042628.9	Zfyve1	-0.413452027085927	0.00233165217554593
ENSMUSG00000057137.10	Tmem140	-0.909847557990496	0.00233165217554593
ENSMUSG00000053774.10	Ubxn7	-0.446079344110613	0.00233165217554593
ENSMUSG00000020538.16	Srebf1	1.08805005151519	0.00233687942257794
ENSMUSG00000034795.15	Ccdc122	-0.664484934138785	0.00233165217554593
ENSMUSG00000039159.17	Ube2h	-0.659493394801535	0.00244015489019664
ENSMUSG00000028261.14	Ndufaf4	0.643436530198831	0.00244015489019664
ENSMUSG00000026070.16	Il18r1	-0.836561655293949	0.00244015489019664
ENSMUSG00000046985.12	Tapt1	-0.713505366908847	0.00252723743284829
ENSMUSG00000052214.10	Opa3	0.460333417558414	0.00286687698114857
ENSMUSG00000024095.16	Hnrnpll	-0.418821010651811	0.00313255754598983
ENSMUSG00000042726.15	Trafd1	-0.528175370850401	0.00314496458954519
ENSMUSG00000005057.14	Sh2b2	0.854704952465654	0.00320692629748025
ENSMUSG00000031214.14	Ophn1	-0.557773932525169	0.00329721375613668
ENSMUSG00000074794.11	Arrdc3	-1.4765960065334	0.00329721375613668
ENSMUSG00000050212.5	Eva1b	0.770348187216884	0.00329721375613668
ENSMUSG00000021712.16	Trim23	-0.557922480700307	0.00329721375613668
ENSMUSG00000070436.13	Serpinh1	0.958322045548467	0.00329721375613668
ENSMUSG00000033365.15	Ipo13	0.373425674984415	0.00329721375613668
ENSMUSG00000020744.14	Slc25a19	0.934828108288609	0.00369247775665964
ENSMUSG00000035283.6	Adrb1	1.51797228608756	0.00352126801004946
ENSMUSG00000045193.14	Cirbp	-0.631751516713281	0.00445137307551141
ENSMUSG00000056665.3	Them6	0.605291265326824	0.00439276455033687
ENSMUSG00000005373.14	Mlxipl	1.33767149744743	0.00465806123177885
ENSMUSG00000047497.11	Adamts12	-0.667502086974376	0.00475309598511683
ENSMUSG00000015243.5	Abca1	-0.629048228701003	0.00524944581848873
ENSMUSG00000049580.13	Tsku	1.01215535719096	0.00524944581848873
ENSMUSG00000002900.18	Lamb1	-0.632163139387196	0.00524944581848873
ENSMUSG00000045795.11	Whamm	-0.429802993603204	0.00532605894432509
ENSMUSG00000031673.7	Cdh11	-0.977821846453995	0.00532605894432509
ENSMUSG00000005481.19	Ddx39a	0.531607850252647	0.00532605894432509
ENSMUSG00000020034.8	Tcp11l2	-0.532838304373561	0.00532605894432509
ENSMUSG00000019505.8	Ubb	-0.918466268474955	0.00543677887700454
ENSMUSG00000041696.15	Rasl12	0.985827284322209	0.00543677887700454
ENSMUSG00000023004.9	Tuba1b	0.735102765025368	0.00548655766151618
ENSMUSG00000021843.18	Ktn1	-0.477451988579459	0.00548655766151618
ENSMUSG00000042599.9	Kdm7a	-0.826218833928228	0.00597579875573625
ENSMUSG00000028133.18	Rwdd3	-0.692505311126684	0.00532605894432509
ENSMUSG00000059878.13	Zfp422	-0.310229743158904	0.00616014421988591
ENSMUSG00000014226.11	Cacybp	0.59674623766031	0.00611279307987136
ENSMUSG00000007812.17	Zfp655	-0.585035033655794	0.0067070449425709
ENSMUSG00000071369.12	Map3k5	-0.65333104765056	0.00675976766041641
ENSMUSG00000021765.10	Fst	-1.21467353146177	0.00717752198422788
ENSMUSG00000025656.18	Arhgef9	-0.51498494651948	0.00722880803640472
ENSMUSG00000042390.10	Gatad2b	-0.555661958818073	0.00741514046984662
ENSMUSG00000027014.15	Cwc22	-0.346280894896371	0.00752743282573293
ENSMUSG00000037355.15	Uvssa	-0.66710378857918	0.00753055504740143
ENSMUSG00000032407.15	U2surp	-0.28493699721559	0.00753055504740143
ENSMUSG00000030972.7	Acsm5	-1.05399598554806	0.00753055504740143
ENSMUSG00000048970.10	C1galt1c1	0.303764314625436	0.00753055504740143
ENSMUSG00000009013.6	Dynll1	0.697982546526878	0.00753055504740143
ENSMUSG00000003032.9	Klf4	-0.679861558615714	0.00753055504740143
ENSMUSG00000049115.16	Agtr1a	-0.615256525744194	0.00776597207185651
ENSMUSG00000064120.15	Mocs1	-0.414006416860884	0.00776597207185651
ENSMUSG00000026554.16	Dcaf8	-0.297140050785087	0.00782323832625143
ENSMUSG00000028382.16	Ptbp3	-0.517789462088305	0.00782323832625143
ENSMUSG00000025217.16	Btrc	-0.286416800908552	0.00782323832625143
