Geneid	Symbol	Young_GElaS
ENSMUSG00000036833.17	Pnpla7	2.60037395464936
ENSMUSG00000020432.13	Tcn2	0.51483835079357
ENSMUSG00000038967.14	Pdk2	1.76109640089558
ENSMUSG00000022489.7	Pde1b	1.41861377931492
ENSMUSG00000028088.15	Fmo5	1.82078267080847
ENSMUSG00000050549.9	Fam241a	2.37923811996334
ENSMUSG00000029778.13	Adcyap1r1	2.20757705035894
ENSMUSG00000028245.16	Nsmaf	1.33729464959006
ENSMUSG00000061740.9	Cyp2d22	1.44005341311225
ENSMUSG00000020614.14	Fam20a	2.01742700306481
ENSMUSG00000028479.19	Gne	1.4594703181749
ENSMUSG00000006301.18	Tmbim1	1.42277364377797
ENSMUSG00000025792.10	Slc25a10	2.90605582125145
ENSMUSG00000025950.17	Idh1	1.79371210831433
ENSMUSG00000020263.15	Appl2	0.723382547314721
ENSMUSG00000045795.11	Whamm	1.90430867323138
ENSMUSG00000042726.15	Trafd1	2.25399841343732
ENSMUSG00000038217.14	Tlcd2	1.0062573114821
ENSMUSG00000026643.17	Nmt2	1.83820126322097
ENSMUSG00000032376.13	Usp3	1.77318251150542
ENSMUSG00000031808.8	Slc27a1	2.26351948466897
ENSMUSG00000020448.17	Rnf185	1.56898566617584
ENSMUSG00000030104.10	Edem1	0.32018269341717
ENSMUSG00000052214.10	Opa3	1.74200191349638
ENSMUSG00000031889.10	D230025D16Rik	1.94000684843323
ENSMUSG00000045730.5	Adrb2	3.91268372841851
ENSMUSG00000024413.15	Npc1	2.53241659314104
ENSMUSG00000020034.8	Tcp11l2	2.11246916361177
ENSMUSG00000002266.18	Zim1	5.28048569055399
ENSMUSG00000031924.5	Cyb5b	2.42225628090293
ENSMUSG00000038150.8	Ormdl3	0.70725948808516
ENSMUSG00000058655.10	Eif4b	0.97771180676135
ENSMUSG00000090150.11	Acad11	1.52294821692135
ENSMUSG00000022051.16	Bnip3l	0.500107217317779
ENSMUSG00000030161.9	Gabarapl1	1.1693353236298
ENSMUSG00000034863.10	Ano8	1.13622595072925
ENSMUSG00000035311.17	Gnptab	1.85319551461576
ENSMUSG00000028211.12	Trp53inp1	4.31838317962248
ENSMUSG00000049555.11	Tmie	1.82375906246599
ENSMUSG00000027313.4	Chac1	3.40750702469288
ENSMUSG00000026672.12	Optn	2.11154741081843
ENSMUSG00000038696.15	Mapkap1	0.593493383308661
ENSMUSG00000020709.16	Adap2	3.69850815407989
ENSMUSG00000028104.15	Polr3gl	1.19832164548665
ENSMUSG00000023004.9	Tuba1b	1.78075980372036
ENSMUSG00000014158.13	Trpv4	1.12462513679833
ENSMUSG00000032754.15	Slc8b1	2.22021135816447
ENSMUSG00000026623.17	Lpgat1	2.08846006305693
