Geneid	Symbol	log2FC	adj.P.Val
ENSMUSG00000036833.17	Pnpla7	2.22703380474376	2.15203889441637e-10
ENSMUSG00000020432.13	Tcn2	1.39875832461333	2.15203889441637e-10
ENSMUSG00000038967.14	Pdk2	2.06406876593238	2.15203889441637e-10
ENSMUSG00000022489.7	Pde1b	1.48346177395667	3.21897552183806e-10
ENSMUSG00000028088.15	Fmo5	1.55787172843188	1.14323676358783e-09
ENSMUSG00000050549.9	Fam241a	-1.96753341139917	1.14323676358783e-09
ENSMUSG00000029778.13	Adcyap1r1	2.18984324356446	1.25645925763143e-09
ENSMUSG00000028245.16	Nsmaf	0.931810735914274	1.25645925763143e-09
ENSMUSG00000061740.9	Cyp2d22	1.64157976400015	1.25645925763143e-09
ENSMUSG00000020614.14	Fam20a	1.70775300175603	1.40651441268104e-09
ENSMUSG00000028479.19	Gne	0.842843194887202	1.71389454905842e-09
ENSMUSG00000006301.18	Tmbim1	1.5029248584865	1.82504387489186e-09
ENSMUSG00000025792.10	Slc25a10	-2.99862821049892	2.22338820307866e-09
ENSMUSG00000025950.17	Idh1	-1.50198821723873	2.22338820307866e-09
ENSMUSG00000020263.15	Appl2	0.913234375834624	2.22338820307866e-09
ENSMUSG00000045795.11	Whamm	0.998325035037615	2.22338820307866e-09
ENSMUSG00000042726.15	Trafd1	1.16634304928589	2.22338820307866e-09
ENSMUSG00000038217.14	Tlcd2	-2.17556095585462	2.42921842805769e-09
ENSMUSG00000026643.17	Nmt2	0.92180467235209	3.25015858898317e-09
ENSMUSG00000032376.13	Usp3	1.11072255848923	3.57874915294542e-09
ENSMUSG00000031808.8	Slc27a1	2.25045063045046	4.27636115808778e-09
ENSMUSG00000020448.17	Rnf185	0.914619694760268	5.84271957035395e-09
ENSMUSG00000030104.10	Edem1	-0.810972099680775	7.05187493892041e-09
ENSMUSG00000052214.10	Opa3	-0.916416043261245	7.05187493892041e-09
ENSMUSG00000031889.10	D230025D16Rik	1.00544674574419	7.05187493892041e-09
ENSMUSG00000045730.5	Adrb2	2.28491884169868	7.97877715394289e-09
ENSMUSG00000024413.15	Npc1	1.86068769132505	8.32903146911303e-09
ENSMUSG00000020034.8	Tcp11l2	1.14068850005948	9.05372304954461e-09
ENSMUSG00000002266.18	Zim1	4.27506071854039	8.00841945641552e-09
ENSMUSG00000031924.5	Cyb5b	-1.81933257451741	9.05372304954461e-09
ENSMUSG00000038150.8	Ormdl3	1.12105199898007	9.47971356849054e-09
ENSMUSG00000058655.10	Eif4b	0.887535806462774	9.55629483829235e-09
ENSMUSG00000090150.11	Acad11	1.58006602618016	9.55629483829235e-09
ENSMUSG00000022051.16	Bnip3l	0.859449154863627	9.62869951070079e-09
ENSMUSG00000030161.9	Gabarapl1	1.21701376851469	1.01647351789688e-08
ENSMUSG00000034863.10	Ano8	-1.23184140141268	1.01647351789688e-08
ENSMUSG00000035311.17	Gnptab	-1.06827339795488	1.01647351789688e-08
ENSMUSG00000028211.12	Trp53inp1	2.40383940098251	1.02103859076111e-08
