Geneid	Symbol	log2FC	adj.P.Val
ENSMUSG00000045795.11	Whamm	-1.10007822831089	4.05472422444329e-09
ENSMUSG00000042726.15	Trafd1	-1.25072348599948	4.05472422444329e-09
ENSMUSG00000024955.16	Esrra	1.1817236481207	4.46612752693601e-09
ENSMUSG00000052214.10	Opa3	1.01723926562286	4.46612752693601e-09
ENSMUSG00000057137.10	Tmem140	-1.91920893002841	5.16594068542248e-09
ENSMUSG00000031889.10	D230025D16Rik	-1.08171016034049	5.99096833949342e-09
ENSMUSG00000032577.17	Mapkapk3	1.18237980691702	5.99096833949342e-09
ENSMUSG00000020744.14	Slc25a19	2.15082767237835	7.39096845624049e-09
ENSMUSG00000026643.17	Nmt2	-0.920000801865555	7.39096845624049e-09
ENSMUSG00000033365.15	Ipo13	0.778159493725003	1.31250802876542e-08
ENSMUSG00000028479.19	Gne	-0.765044073617086	1.31250802876542e-08
ENSMUSG00000020538.16	Srebf1	2.28430259746651	1.31250802876542e-08
ENSMUSG00000056413.17	Adap1	2.31692872003615	2.08370592931575e-08
ENSMUSG00000028653.17	Trit1	-1.34896765572986	2.19875564679796e-08
ENSMUSG00000033720.13	Sfxn5	1.22789935890178	2.38992976205858e-08
ENSMUSG00000059878.13	Zfp422	-0.632332534140646	2.64257400938472e-08
ENSMUSG00000039770.7	Ypel5	-1.18703143890341	2.80245045121166e-08
ENSMUSG00000053964.18	Lgals4	-1.20406432963336	2.96968508442197e-08
ENSMUSG00000038446.9	Cdc40	-0.999417908583426	3.49053876150508e-08
ENSMUSG00000045730.5	Adrb2	-2.05838082836003	3.49053876150508e-08
ENSMUSG00000020034.8	Tcp11l2	-1.0834277551766	3.72241913413582e-08
ENSMUSG00000023019.13	Gpd1	2.61862204031168	3.72241913413582e-08
ENSMUSG00000036833.17	Pnpla7	-1.53809404078083	4.386008299499e-08
ENSMUSG00000020448.17	Rnf185	-0.824937198860107	4.70183878576934e-08
