Geneid	Symbol	Aged_GElaS
ENSMUSG00000020937.15	Plcd3	0.5161735151839
ENSMUSG00000020472.15	Zkscan17	0.507975736294515
ENSMUSG00000053774.10	Ubxn7	0.823175276214027
ENSMUSG00000033720.13	Sfxn5	0.965189071739946
ENSMUSG00000061740.9	Cyp2d22	0.810739726106093
ENSMUSG00000032271.14	Nnmt	1.82819949479805
ENSMUSG00000040170.14	Fmo2	0.355193419331544
ENSMUSG00000021097.16	Clmn	0.491346676354166
ENSMUSG00000020744.14	Slc25a19	1.83025738568132
ENSMUSG00000025648.19	Pfkfb4	0.414770673796196
ENSMUSG00000003477.6	Inmt	0.205287725671602
ENSMUSG00000052214.10	Opa3	1.06892029943046
ENSMUSG00000025025.15	Mxi1	0.14874967574504
ENSMUSG00000018800.15	Abca5	1.19641578330149
ENSMUSG00000043110.3	Lrrn4	1.15999964561322
ENSMUSG00000028044.7	Cks1b	1.31731182309531
ENSMUSG00000070284.11	Gmppb	1.00284691624437
ENSMUSG00000030245.11	Golt1b	0.479654503323617
ENSMUSG00000025792.10	Slc25a10	2.42025009746584
ENSMUSG00000041696.15	Rasl12	1.56276197261427
ENSMUSG00000030298.11	Sec13	0.446440090989964
ENSMUSG00000053317.12	Sec61b	0.65612794653291
ENSMUSG00000022391.17	Rangap1	0.973784998817123
ENSMUSG00000026643.17	Nmt2	0.590130065639287
ENSMUSG00000042726.15	Trafd1	1.48972974037915
ENSMUSG00000028150.15	Rorc	1.13215434287871
ENSMUSG00000062075.14	Lmnb2	0.611642549797907
ENSMUSG00000025759.12	Mfsd8	0.188777911644767
ENSMUSG00000031864.17	Ints10	0.42253072998301
ENSMUSG00000026309.15	Ilkap	0.239487910884859
ENSMUSG00000024395.10	Lims2	0.598326971363811
ENSMUSG00000070436.13	Serpinh1	1.99636401599489
ENSMUSG00000020513.16	Tubd1	1.04112419843719
ENSMUSG00000002266.18	Zim1	3.46742166108059
ENSMUSG00000032557.14	Uba5	0.878549046278076
ENSMUSG00000027429.17	Sec23b	0.639022018932946
ENSMUSG00000034863.10	Ano8	0.778233630903821
ENSMUSG00000028245.16	Nsmaf	0.728150550187816
ENSMUSG00000060206.12	Zfp462	1.15934839554578
ENSMUSG00000047216.9	Cdh19	1.27365616204431
ENSMUSG00000030421.10	Uri1	0.552314380393462
ENSMUSG00000025437.16	Usp33	0.821836814868232
