Geneid	Symbol	log2FC	adj.P.Val
ENSMUSG00000021712.16	Trim23	-0.677146803519808	4.98464262179611e-08
ENSMUSG00000027589.15	Pcmtd2	-0.809677872340792	2.7545724118613e-07
ENSMUSG00000027327.17	1700037H04Rik	1.55531394756929	2.7545724118613e-07
ENSMUSG00000024943.10	Smc5	-0.681843833302144	5.78430726509119e-07
ENSMUSG00000053774.10	Ubxn7	-0.598205101046748	5.78430726509119e-07
ENSMUSG00000052214.10	Opa3	0.839035007066534	1.14837062129147e-06
ENSMUSG00000042390.10	Gatad2b	-0.648444931400742	1.19979782421165e-06
ENSMUSG00000023019.13	Gpd1	1.71499765171642	1.19979782421165e-06
ENSMUSG00000026361.10	Cdc73	-0.360038122045609	3.77230284078644e-06
ENSMUSG00000020744.14	Slc25a19	1.25731636258535	3.77230284078644e-06
ENSMUSG00000028063.16	Lmna	0.791276393919877	3.77230284078644e-06
ENSMUSG00000006390.16	Elovl1	0.530579383374215	5.00033571989945e-06
ENSMUSG00000029186.13	Pi4k2b	-0.675720132334679	5.00033571989945e-06
ENSMUSG00000038446.9	Cdc40	-0.784099355307193	5.1214329319294e-06
ENSMUSG00000022314.11	Rad21	-0.613320943574921	5.1214329319294e-06
ENSMUSG00000006442.11	Srm	0.756912139773678	5.47647475993099e-06
ENSMUSG00000022749.9	Tbc1d23	-0.413991017136499	5.54564554240175e-06
ENSMUSG00000028256.17	Odf2l	-0.49287710597183	5.47647475993099e-06
ENSMUSG00000034201.14	Gas2l1	0.640131880833829	5.64809109706091e-06
ENSMUSG00000002413.16	Braf	-0.494245461288033	5.8322450116891e-06
ENSMUSG00000030795.19	Fus	-0.868796462215482	5.81542152767125e-06
ENSMUSG00000016493.14	Cd46	-0.681928173705413	5.47647475993099e-06
ENSMUSG00000042851.18	Zc3h6	-1.0345569388975	7.77818363860036e-06
ENSMUSG00000042608.16	Stk40	0.806544813633026	8.9280385714367e-06
ENSMUSG00000029438.10	Bcl7a	-0.675321267336685	8.9280385714367e-06
ENSMUSG00000010358.14	Ifi35	0.757805442034647	8.9280385714367e-06
ENSMUSG00000033102.16	Cdc14b	-0.662434553736784	8.9280385714367e-06
ENSMUSG00000033902.13	Mapkbp1	-1.03502505617047	9.14286855618699e-06
ENSMUSG00000070436.13	Serpinh1	1.51781241023109	9.14286855618699e-06
ENSMUSG00000025104.14	Hdgfl3	-0.573064804806735	1.15856447829886e-05
ENSMUSG00000039159.17	Ube2h	-0.776099993827862	1.22334220959892e-05
ENSMUSG00000025898.7	Cwf19l2	-0.499025325364018	1.22334220959892e-05
ENSMUSG00000071369.12	Map3k5	-0.913966787644884	1.22334220959892e-05
ENSMUSG00000009013.6	Dynll1	0.791810674313652	1.22334220959892e-05
ENSMUSG00000018932.10	Map2k3	0.592920803311463	1.22334220959892e-05
ENSMUSG00000030232.19	Aebp2	-0.423762550014713	1.22938292794595e-05
ENSMUSG00000057137.10	Tmem140	-1.2085544387787	1.22938292794595e-05
ENSMUSG00000063802.6	Hspbp1	0.637718844149504	1.34035307412722e-05
ENSMUSG00000025269.17	Apex2	0.54743357296807	1.41312986792521e-05
ENSMUSG00000056612.8	Ppp1r14b	0.943721837261055	1.56176911250752e-05
ENSMUSG00000004319.16	Clcn3	-0.352910962033295	1.62211630571064e-05
ENSMUSG00000035696.16	Rnf38	-0.495095470825381	1.67038408278076e-05
ENSMUSG00000078919.11	Dpm1	-0.788496366724264	1.65037345558833e-05
ENSMUSG00000017664.17	Slc35c2	0.615918924867282	1.74740759839222e-05
ENSMUSG00000031393.17	Mecp2	-0.457058326441058	1.74740759839222e-05
ENSMUSG00000037355.15	Uvssa	-0.67739742819354	1.86007853452552e-05
ENSMUSG00000038784.14	Cnot4	-0.393021241649044	1.98985283078345e-05
ENSMUSG00000020538.16	Srebf1	1.33767716198818	1.98985283078345e-05
ENSMUSG00000038535.18	Zfp280d	-0.413169109895664	2.08970952848341e-05
