Geneid	Symbol	Young_GElaS
ENSMUSG00000020472.15	Zkscan17	1.3481346223642
ENSMUSG00000024413.15	Npc1	2.90244206096473
ENSMUSG00000040618.8	Pck2	1.10417082049213
ENSMUSG00000046794.10	Ppp1r3b	6.4853084015208
ENSMUSG00000003477.6	Inmt	1.8969812744408
ENSMUSG00000021097.16	Clmn	2.45707426068129
ENSMUSG00000010936.12	Vac14	2.08447480252356
ENSMUSG00000058258.15	Idi1	3.39109433855124
ENSMUSG00000020917.18	Acly	7.28866913511626
ENSMUSG00000027605.19	Acss2	4.56426306313864
ENSMUSG00000028044.7	Cks1b	1.05451232828605
ENSMUSG00000024007.16	Ppil1	2.0245691129134
ENSMUSG00000028245.16	Nsmaf	1.43653189443136
ENSMUSG00000019558.15	Slc6a8	1.10143639090994
ENSMUSG00000052214.10	Opa3	1.98793075601681
ENSMUSG00000008035.13	Mid1ip1	3.99141133833338
ENSMUSG00000033105.13	Lss	3.12305708846147
ENSMUSG00000028107.15	Tars2	0.506949879626902
ENSMUSG00000020277.11	Pfkl	2.85961710536883
ENSMUSG00000027603.16	Ggt7	1.52902753821908
ENSMUSG00000060961.17	Slc4a4	2.41072997654099
ENSMUSG00000031349.5	Nsdhl	3.42804288239756
ENSMUSG00000028961.16	Pgd	3.35592667810385
ENSMUSG00000041696.15	Rasl12	2.34547082429713
ENSMUSG00000040170.14	Fmo2	0.979213382480862
ENSMUSG00000032418.16	Me1	5.21855367861064
ENSMUSG00000023150.15	Ivns1abp	3.7052708639378
ENSMUSG00000058655.10	Eif4b	1.46545562705014
ENSMUSG00000028274.18	Rngtt	0.966574824844641
ENSMUSG00000025269.17	Apex2	1.66047545350944
ENSMUSG00000031604.11	Msmo1	2.51554151118406
ENSMUSG00000061740.9	Cyp2d22	1.3730071019638
ENSMUSG00000070284.11	Gmppb	1.89845568341511
ENSMUSG00000025937.7	Lactb2	1.5995498923492
ENSMUSG00000031864.17	Ints10	1.37348322218755
ENSMUSG00000031924.5	Cyb5b	3.49884598208594
ENSMUSG00000053317.12	Sec61b	1.00991225502961
ENSMUSG00000006517.6	Mvd	4.73330464018176
ENSMUSG00000025792.10	Slc25a10	4.24834990936734
ENSMUSG00000027327.17	1700037H04Rik	3.03291891782575
ENSMUSG00000020432.13	Tcn2	0.280679328514301
ENSMUSG00000027774.17	Gfm1	1.58056652312844
ENSMUSG00000026036.18	Nif3l1	1.50258930708116
ENSMUSG00000029190.20	D5Ertd579e	2.58841320640338
ENSMUSG00000037679.10	Inf2	0.227709558019059
ENSMUSG00000025025.15	Mxi1	0.785882781689521
ENSMUSG00000018068.14	Ints2	1.65746583137843
ENSMUSG00000032557.14	Uba5	1.51118627827537
ENSMUSG00000020810.6	Cygb	0.428074859958641
ENSMUSG00000023832.15	Acat2	3.31940346066803
ENSMUSG00000006784.15	Odad4	2.87467905455938
ENSMUSG00000024777.11	Ppp2r5b	1.90617266197152
ENSMUSG00000070436.13	Serpinh1	3.94807625836144
