Geneid	Symbol	log2FC	adj.P.Val
ENSMUSG00000020472.15	Zkscan17	1.18975277578743	2.77703189016344e-11
ENSMUSG00000024413.15	Npc1	1.75643077129238	1.65532127502789e-10
ENSMUSG00000040618.8	Pck2	1.23933493900085	2.17792088315227e-10
ENSMUSG00000046794.10	Ppp1r3b	-3.71896142661139	2.17792088315227e-10
ENSMUSG00000003477.6	Inmt	3.01738454251991	2.3248519259416e-10
ENSMUSG00000021097.16	Clmn	1.41113496437379	4.05205977317794e-10
ENSMUSG00000010936.12	Vac14	-1.08220419557241	6.60499896720013e-10
ENSMUSG00000058258.15	Idi1	-1.82020418915017	6.60499896720013e-10
ENSMUSG00000020917.18	Acly	-4.04443279778013	6.60499896720013e-10
ENSMUSG00000027605.19	Acss2	-3.46523696320404	7.90321822671068e-10
ENSMUSG00000028044.7	Cks1b	-1.21779342738397	1.00734713388966e-09
ENSMUSG00000024007.16	Ppil1	-1.06936867105219	1.01474812863306e-09
ENSMUSG00000028245.16	Nsmaf	0.805219996814358	1.37190683259311e-09
ENSMUSG00000019558.15	Slc6a8	1.30135000558669	1.37190683259311e-09
ENSMUSG00000052214.10	Opa3	-1.08483616058963	1.37367217206344e-09
ENSMUSG00000008035.13	Mid1ip1	-2.27777245847226	1.37367217206344e-09
ENSMUSG00000033105.13	Lss	-1.62818403574591	1.3823615323778e-09
ENSMUSG00000028107.15	Tars2	-0.598837966490396	1.3823615323778e-09
ENSMUSG00000020277.11	Pfkl	-1.43874630738367	1.40044600787857e-09
ENSMUSG00000027603.16	Ggt7	-1.38314362410481	1.37190683259311e-09
ENSMUSG00000060961.17	Slc4a4	1.74709612486164	1.40044600787857e-09
ENSMUSG00000031349.5	Nsdhl	-2.08637393289209	1.62256124185241e-09
ENSMUSG00000028961.16	Pgd	-1.8844403781174	1.62328233101799e-09
ENSMUSG00000041696.15	Rasl12	-1.6013741531505	1.63806145619506e-09
ENSMUSG00000040170.14	Fmo2	2.08699432858367	1.6600004218263e-09
ENSMUSG00000032418.16	Me1	-2.67839058348735	1.88010367361173e-09
ENSMUSG00000023150.15	Ivns1abp	1.94354911614446	1.91360639523664e-09
ENSMUSG00000058655.10	Eif4b	0.979217303490856	2.37457495987934e-09
ENSMUSG00000028274.18	Rngtt	-0.601454898922952	3.09316199677438e-09
ENSMUSG00000025269.17	Apex2	-0.847465419567221	3.1051257147742e-09
ENSMUSG00000031604.11	Msmo1	-1.47414600253244	3.41791329049077e-09
