Geneid	Symbol	Chow_GElaS
ENSMUSG00000066357.7	Wdr6	0.12944783285437
ENSMUSG00000022091.7	Sorbs3	4.19690484441239
ENSMUSG00000035969.16	Rusc2	1.94578099587706
ENSMUSG00000039917.11	Rhbdd2	2.1329414328155
ENSMUSG00000003134.11	Tbc1d8	3.8039578544316
ENSMUSG00000038582.16	Pptc7	3.10371489661809
ENSMUSG00000004071.14	Cdip1	3.51317365940966
ENSMUSG00000029167.14	Ppargc1a	4.27276180071254
ENSMUSG00000028654.14	Mycl	3.41426333190798
ENSMUSG00000041798.16	Gck	6.71137662912854
ENSMUSG00000027559.6	Car3	2.0412436299269
ENSMUSG00000071637.6	Cebpd	3.376180077219
ENSMUSG00000037798.8	Mat1a	0.639553904263203
ENSMUSG00000031808.8	Slc27a1	1.18807380946661
ENSMUSG00000034173.14	Zbed5	2.40238552989855
ENSMUSG00000030852.19	Tacc2	1.11225260086465
ENSMUSG00000040740.8	Slc25a34	2.23220459799742
ENSMUSG00000066072.14	Cyp4a10	0.263063442719204
ENSMUSG00000056666.14	Retsat	0.443208908944638
ENSMUSG00000037905.14	Bri3bp	0.363092765993058
ENSMUSG00000018900.8	Slc22a5	2.77398648217659
ENSMUSG00000030089.16	Slc41a3	3.90620036539159
ENSMUSG00000025533.16	Asl	1.08183271676784
ENSMUSG00000060613.11	Cyp2c70	5.89617925828483
ENSMUSG00000052562.16	Slc22a30	3.36029864460076
ENSMUSG00000030930.15	Chst15	1.10002091018884
ENSMUSG00000026409.15	Pfkfb2	0.614709066223765
ENSMUSG00000048218.7	Amigo2	1.61673614324095
ENSMUSG00000019866.16	Crybg1	1.89653328354251
ENSMUSG00000033386.11	Frrs1	1.59638567869711
ENSMUSG00000025260.11	Hsd17b10	0.410178774627659
ENSMUSG00000032434.10	Cmtm6	0.541704122017764
ENSMUSG00000031924.5	Cyb5b	1.3831484902448
ENSMUSG00000027533.11	Fabp5	0
ENSMUSG00000013539.15	Tango2	1.00026713799546
ENSMUSG00000024222.18	Fkbp5	3.45247592010797
ENSMUSG00000045092.9	S1pr1	2.14293642234618
ENSMUSG00000030909.7	Anks4b	2.58178002117771
ENSMUSG00000025002.6	Cyp2c55	0.9745980438762
ENSMUSG00000029178.15	Klf3	0.759770792414219
ENSMUSG00000078817.5	Nlrp12	3.67929289856285
ENSMUSG00000010755.18	Cars	0.720782712305041
ENSMUSG00000023070.7	Rgn	0.124084517580709
ENSMUSG00000031767.14	Nudt7	2.09444898112462
ENSMUSG00000057110.16	Cntrl	1.21589308529915
ENSMUSG00000070044.16	Fam149a	1.72129388960457
ENSMUSG00000031700.12	Gpt2	1.72194570994978
ENSMUSG00000030711.17	Sult1a1	0.666184626392832
ENSMUSG00000075590.5	Nrbp2	0.804377266436939
ENSMUSG00000057103.12	Nat8f1	0
ENSMUSG00000027048.16	Abcb11	1.5566231791617
ENSMUSG00000030762.12	Aqp8	4.49519183276283
ENSMUSG00000071369.12	Map3k5	1.62477250594777
ENSMUSG00000030207.16	Fam234b	0.954014830142967
ENSMUSG00000040170.14	Fmo2	2.74724327309867
ENSMUSG00000065952.14	Rps23rg1	0.128137215623224
ENSMUSG00000074768.7	Bhmt	0
ENSMUSG00000029727.8	Cyp3a13	0.833722943152596
ENSMUSG00000025340.15	Rabgef1	1.65144029056278
ENSMUSG00000038175.11	Mylip	1.45590504935764
ENSMUSG00000026317.8	Cln8	2.50111849680521
ENSMUSG00000031776.18	Arl2bp	0.0795858299986403
ENSMUSG00000073600.6	Prob1	0.958341843185284
ENSMUSG00000020538.16	Srebf1	1.30143903817546
ENSMUSG00000069324.7	Gm5096	0
ENSMUSG00000025532.14	Crcp	1.67646128584801
ENSMUSG00000067813.4	Xkr9	2.02441811398977
ENSMUSG00000028378.7	Ptgr1	0.0348804227632252
ENSMUSG00000029363.15	Rfc5	0
ENSMUSG00000025270.14	Alas2	0
ENSMUSG00000038007.15	Acer2	1.56017591145618
ENSMUSG00000006398.16	Cdc20	0
ENSMUSG00000022235.16	Cmbl	0.283406875179498
ENSMUSG00000050541.15	Adra1b	0.982024469520587
ENSMUSG00000032114.10	Slc37a4	0.845400449671184
ENSMUSG00000053553.12	3110082I17Rik	0.694893986486938
ENSMUSG00000021591.9	Glrx	0.692457750257942
ENSMUSG00000030670.17	Cyp2r1	0
ENSMUSG00000027983.14	Cyp2u1	3.33336501021569
ENSMUSG00000000326.14	Comt	0.438965540275425
ENSMUSG00000029177.10	Cenpa	0
ENSMUSG00000029695.14	Aass	0.248536320797865
ENSMUSG00000026435.16	Slc45a3	0.854732552234686
ENSMUSG00000021240.7	Abcd4	1.44443272820396
ENSMUSG00000028960.21	Ube4b	0.748666318387579
ENSMUSG00000020453.18	Patz1	0.651065093260989
ENSMUSG00000049550.18	Clip1	0.60499048853922
ENSMUSG00000028655.12	Mfsd2a	9.77423654563907
ENSMUSG00000078234.7	Klhdc7a	2.16001227021036
ENSMUSG00000018042.19	Cyb5r3	0.295399192229856
ENSMUSG00000031844.9	Hsd17b2	1.59795320674817
ENSMUSG00000023150.15	Ivns1abp	0.834206687690716
ENSMUSG00000054855.14	Rnd1	2.07912727833831
ENSMUSG00000038949.9	Cnst	1.28668057779665
ENSMUSG00000024892.18	Pcx	0.416851054045711
ENSMUSG00000029231.16	Pdgfra	0.37966645387349
ENSMUSG00000005674.10	Tomm40l	1.43578002053753
ENSMUSG00000027074.15	Slc43a3	1.40924819421437
ENSMUSG00000052117.6	D630039A03Rik	2.04930143806438
ENSMUSG00000022270.17	Retreg1	3.6729119710959
