Geneid	Symbol	log2FC	adj.P.Val
ENSMUSG00000066357.7	Wdr6	-1.76444535945841	1.697673575105e-11
ENSMUSG00000022091.7	Sorbs3	2.21427349041864	3.27247446744157e-10
ENSMUSG00000035969.16	Rusc2	1.4745865600795	3.27247446744157e-10
ENSMUSG00000039917.11	Rhbdd2	1.6221281606829	3.27247446744157e-10
ENSMUSG00000003134.11	Tbc1d8	2.00146165707677	4.66541507508567e-10
ENSMUSG00000038582.16	Pptc7	1.6839706980148	1.34978035664131e-09
ENSMUSG00000004071.14	Cdip1	1.82009619399726	2.77716051830138e-09
ENSMUSG00000029167.14	Ppargc1a	2.24959722170034	3.66795430437859e-09
ENSMUSG00000028654.14	Mycl	1.82072195759316	4.0269531326518e-09
ENSMUSG00000041798.16	Gck	-3.83310418954103	4.56344964325308e-09
ENSMUSG00000027559.6	Car3	-3.75276968278724	4.56344964325308e-09
ENSMUSG00000071637.6	Cebpd	2.2106465654398	1.0088376107022e-08
ENSMUSG00000037798.8	Mat1a	2.50295097080165	1.48735713560394e-08
ENSMUSG00000031808.8	Slc27a1	2.07909350942402	1.67018941126757e-08
ENSMUSG00000034173.14	Zbed5	1.40625446876561	1.67018941126757e-08
ENSMUSG00000030852.19	Tacc2	1.23211928705918	1.70701837401502e-08
ENSMUSG00000040740.8	Slc25a34	1.62703394425999	1.70701837401502e-08
ENSMUSG00000066072.14	Cyp4a10	6.12486800803605	1.70701837401502e-08
ENSMUSG00000056666.14	Retsat	2.48855983482112	1.79729025686592e-08
ENSMUSG00000037905.14	Bri3bp	-0.732950023741726	1.81372438063184e-08
ENSMUSG00000018900.8	Slc22a5	1.84046703711381	2.16186468008476e-08
ENSMUSG00000030089.16	Slc41a3	2.07637881944812	2.15620677887924e-08
ENSMUSG00000025533.16	Asl	2.03817662886806	2.40550681674589e-08
ENSMUSG00000060613.11	Cyp2c70	-4.17063094117751	2.69007616984279e-08
ENSMUSG00000052562.16	Slc22a30	-2.19826089776631	2.84322861373687e-08
ENSMUSG00000030930.15	Chst15	1.37948246257784	2.84322861373687e-08
ENSMUSG00000026409.15	Pfkfb2	1.33463039505415	3.03526477772091e-08
ENSMUSG00000048218.7	Amigo2	1.26852684702362	4.10385051983076e-08
ENSMUSG00000019866.16	Crybg1	1.42411098965129	4.29037257038386e-08
ENSMUSG00000033386.11	Frrs1	-0.829165373443618	4.91500537917637e-08
ENSMUSG00000025260.11	Hsd17b10	1.67085653547926	5.33524107459911e-08
ENSMUSG00000032434.10	Cmtm6	-1.39485589138259	5.53273780991739e-08
ENSMUSG00000031924.5	Cyb5b	-1.59554378798206	5.72842570794364e-08
ENSMUSG00000027533.11	Fabp5	-3.34836685227259	5.85080739570657e-08
ENSMUSG00000013539.15	Tango2	1.21980506701719	5.85080739570657e-08
ENSMUSG00000024222.18	Fkbp5	3.15291810508386	5.85080739570657e-08
ENSMUSG00000045092.9	S1pr1	-1.1504056777809	6.45908053422823e-08
ENSMUSG00000030909.7	Anks4b	-1.35265336717476	9.24079690017267e-08
ENSMUSG00000025002.6	Cyp2c55	-2.89222517015574	4.91500537917637e-08
ENSMUSG00000029178.15	Klf3	1.13262039963962	9.7156969871311e-08
ENSMUSG00000078817.5	Nlrp12	2.18186955783122	1.15972066918138e-07
ENSMUSG00000010755.18	Cars	-1.56384533563832	1.23385292123046e-07
ENSMUSG00000023070.7	Rgn	-1.83857236450462	1.25019515813483e-07
ENSMUSG00000031767.14	Nudt7	-2.93416129748115	1.25267406102781e-07
ENSMUSG00000057110.16	Cntrl	1.38489616448724	1.25267406102781e-07
ENSMUSG00000070044.16	Fam149a	-0.860846742873177	1.30944041583779e-07
ENSMUSG00000031700.12	Gpt2	1.48270363659078	1.35520283180726e-07
ENSMUSG00000030711.17	Sult1a1	1.62922380815689	1.35520283180726e-07
ENSMUSG00000075590.5	Nrbp2	1.25180767202739	1.41743247750376e-07
ENSMUSG00000057103.12	Nat8f1	-1.86850267316486	1.54346193431995e-07
ENSMUSG00000027048.16	Abcb11	-1.29470393540358	1.60331603985949e-07
ENSMUSG00000030762.12	Aqp8	-2.91044296503522	1.63289383297848e-07
ENSMUSG00000071369.12	Map3k5	1.27931225347109	1.73047599451913e-07
ENSMUSG00000030207.16	Fam234b	1.24072561736658	1.74931035306674e-07
ENSMUSG00000040170.14	Fmo2	3.13510457981614	1.85625485011835e-07
ENSMUSG00000065952.14	Rps23rg1	-1.21493555062929	8.75431611113118e-08
ENSMUSG00000074768.7	Bhmt	2.01261981507863	1.86769810091758e-07
ENSMUSG00000029727.8	Cyp3a13	1.35204922185258	1.86769810091758e-07
ENSMUSG00000025340.15	Rabgef1	0.830590005284599	1.88179672733605e-07
ENSMUSG00000038175.11	Mylip	1.6171229506246	2.41095201460128e-07
ENSMUSG00000026317.8	Cln8	1.33506813288436	2.42411171543065e-07
ENSMUSG00000031776.18	Arl2bp	-1.24289930557766	2.57038215568131e-07
ENSMUSG00000073600.6	Prob1	1.12575088209045	2.63358769838262e-07
ENSMUSG00000020538.16	Srebf1	-3.14989562066047	2.63358769838262e-07
