Geneid	Symbol	log2FC	adj.P.Val
ENSMUSG00000022091.7	Sorbs3	-2.47297969967754	2.5439690646589e-11
ENSMUSG00000003134.11	Tbc1d8	-2.22238957875589	2.5439690646589e-11
ENSMUSG00000032754.15	Slc8b1	-2.22814322377163	2.5439690646589e-11
ENSMUSG00000034173.14	Zbed5	-1.98523237361366	2.5439690646589e-11
ENSMUSG00000023055.11	Calcoco1	-1.88680474381162	5.90039764320622e-11
ENSMUSG00000041798.16	Gck	5.10468971796937	5.90039764320622e-11
ENSMUSG00000028654.14	Mycl	-2.08029016396719	6.27834570763142e-11
ENSMUSG00000029167.14	Ppargc1a	-2.17325611744661	4.62040597483218e-10
ENSMUSG00000004071.14	Cdip1	-1.95664417197614	5.10554206397654e-10
ENSMUSG00000025223.16	Ldb1	-1.18034322312922	6.7971967605977e-10
ENSMUSG00000090394.9	4930523C07Rik	-1.24022073955067	1.38476471105037e-09
ENSMUSG00000022999.16	Lmbr1l	-1.11513531856311	1.505161510762e-09
ENSMUSG00000038582.16	Pptc7	-1.59430368738381	1.505161510762e-09
ENSMUSG00000015243.5	Abca1	1.31248526725153	1.505161510762e-09
ENSMUSG00000054855.14	Rnd1	-1.76728446798307	1.505161510762e-09
ENSMUSG00000023805.18	Synj2	1.41385075574483	1.505161510762e-09
ENSMUSG00000034165.17	Ccnd3	-1.06710943060622	1.505161510762e-09
ENSMUSG00000042426.7	Dhx29	1.21432195977035	1.505161510762e-09
ENSMUSG00000042675.16	Ypel3	-1.44064161220928	2.21237454134468e-09
ENSMUSG00000029992.15	Gfpt1	1.08937839778914	2.29780289867691e-09
ENSMUSG00000058013.12	Septin11	1.15892125417692	2.61569418949511e-09
ENSMUSG00000021277.17	Traf3	1.10869359620269	2.6410788845337e-09
ENSMUSG00000030089.16	Slc41a3	-1.99307912897105	2.61569418949511e-09
ENSMUSG00000043091.10	Tuba1c	2.00827311824939	2.78677782660603e-09
ENSMUSG00000010554.15	Mettl16	0.671813506465476	2.86758376840229e-09
ENSMUSG00000042524.15	Sun2	-1.43361223110607	3.48902447048355e-09
ENSMUSG00000028479.19	Gne	-1.50236785311813	3.51816794133758e-09
ENSMUSG00000017405.15	Nek8	-0.917979155250146	3.59982930951037e-09
ENSMUSG00000032425.16	Zfp949	-0.88616709168499	3.66708813306327e-09
ENSMUSG00000046027.18	Stard5	-0.92950669964341	3.92088532443316e-09
ENSMUSG00000045092.9	S1pr1	1.33339267394703	4.68959843309296e-09
ENSMUSG00000042202.16	Slc35e2	-1.10406991238262	4.91596155603849e-09
ENSMUSG00000049624.15	Slc17a5	-1.05867139418936	4.95908761587693e-09
ENSMUSG00000029458.15	Brap	-1.59439531885921	6.37308135627066e-09
ENSMUSG00000071637.6	Cebpd	-1.8417567045443	6.99776069377619e-09
ENSMUSG00000036019.9	Tmtc2	-1.68337663379299	6.99776069377619e-09
ENSMUSG00000041777.13	Cir1	-1.02738315763946	7.06154632303761e-09
ENSMUSG00000019082.19	Slc25a22	-2.08032429865919	8.09460220687589e-09
ENSMUSG00000038366.16	Lasp1	1.24802432398075	8.29951151867786e-09
ENSMUSG00000048756.12	Foxo3	-1.21418409738676	8.29951151867786e-09
ENSMUSG00000033386.11	Frrs1	0.896111862277598	8.57753985195754e-09
ENSMUSG00000027346.16	Gpcpd1	-2.91759860797085	8.57753985195754e-09
ENSMUSG00000025486.18	Sirt3	-0.80959719379598	8.66719511301172e-09
ENSMUSG00000018849.7	Wwc1	1.29929895724294	9.08189299919062e-09
ENSMUSG00000026730.13	Pter	1.63460375005454	9.08189299919062e-09
ENSMUSG00000061436.16	Hipk2	1.80840641461471	9.08189299919062e-09
ENSMUSG00000021266.17	Wars	0.850676362068793	9.08189299919062e-09
