Geneid	Symbol	HFD_GElaS
ENSMUSG00000020917.18	Acly	1.0182961990494
ENSMUSG00000018900.8	Slc22a5	1.22622135318721
ENSMUSG00000028671.17	Gale	1.97526149423103
ENSMUSG00000025277.15	Abhd6	0.0949748334658013
ENSMUSG00000003948.18	Mmd	1.2642782664945
ENSMUSG00000031808.8	Slc27a1	2.21558404234685
ENSMUSG00000039917.11	Rhbdd2	0.823063257874527
ENSMUSG00000025153.10	Fasn	1.52555893662512
ENSMUSG00000056666.14	Retsat	0.128860052772144
ENSMUSG00000025511.16	Tspan4	0
ENSMUSG00000032602.7	Slc25a20	0.43618820335759
ENSMUSG00000027605.19	Acss2	0
ENSMUSG00000072949.7	Acot1	0.686398861066806
ENSMUSG00000005677.15	Nr1i3	0.310915741868675
ENSMUSG00000005514.15	Por	1.56648517329324
ENSMUSG00000025464.16	Paox	0.267168441236307
ENSMUSG00000020085.16	Aifm2	1.15250529039849
ENSMUSG00000033629.7	Hacd3	0.157026471672229
ENSMUSG00000030545.10	Pex11a	0.248981281845068
ENSMUSG00000058454.16	Dhcr7	0.80826360341587
ENSMUSG00000018796.14	Acsl1	0.185100122153148
ENSMUSG00000043091.10	Tuba1c	2.31598813277328
ENSMUSG00000027359.17	Slc27a2	0.623022063383593
ENSMUSG00000028383.18	Hsdl2	0.283604819571968
ENSMUSG00000066441.15	Rdh11	0
ENSMUSG00000034371.10	Tkfc	1.64409353802535
ENSMUSG00000035041.9	Creb3l3	0.232195251846065
ENSMUSG00000028607.17	Cpt2	0.148195360457126
ENSMUSG00000036775.14	Decr2	0.703671781548394
ENSMUSG00000026614.8	Slc30a10	1.61476840139762
ENSMUSG00000035828.12	Pim3	2.36803441793836
ENSMUSG00000021417.16	Eci2	1.02429228714934
ENSMUSG00000037440.9	Vnn1	0.845442936434167
ENSMUSG00000022235.16	Cmbl	0.141398264181481
ENSMUSG00000056698.12	Elmod3	0.95867379116814
ENSMUSG00000027889.18	Ampd2	0.518990981773051
ENSMUSG00000004768.15	Rab23	0.00477008616650589
ENSMUSG00000026202.14	Tuba4a	1.52119638856609
ENSMUSG00000058672.8	Tubb2a	2.79950611592669
ENSMUSG00000059447.14	Hadhb	0.0463708899275761
ENSMUSG00000030643.15	Rab30	1.8360491682252
ENSMUSG00000026730.13	Pter	0.538379499235116
ENSMUSG00000032198.10	Dock6	0.521147171265217
ENSMUSG00000030762.12	Aqp8	0.0834999850366847
ENSMUSG00000008035.13	Mid1ip1	1.85185522697617
ENSMUSG00000044167.7	Foxo1	1.96635348752746
