Geneid	Symbol	log2FC	adj.P.Val
ENSMUSG00000020917.18	Acly	-1.97369733588676	3.90022843967362e-08
ENSMUSG00000018900.8	Slc22a5	1.73544622751177	3.90022843967362e-08
ENSMUSG00000028671.17	Gale	-2.78925660625058	3.90022843967362e-08
ENSMUSG00000025277.15	Abhd6	1.07902278268077	3.90022843967362e-08
ENSMUSG00000003948.18	Mmd	1.01905949045257	3.90022843967362e-08
ENSMUSG00000031808.8	Slc27a1	1.98655891574165	3.90022843967362e-08
ENSMUSG00000039917.11	Rhbdd2	1.19128785838246	3.90022843967362e-08
ENSMUSG00000025153.10	Fasn	-3.03017575045134	5.64527497115626e-08
ENSMUSG00000056666.14	Retsat	1.79325539858796	4.66978943743395e-07
ENSMUSG00000025511.16	Tspan4	0.915736547129347	6.46939420666544e-07
ENSMUSG00000032602.7	Slc25a20	0.832247811397969	7.31836686922917e-07
ENSMUSG00000027605.19	Acss2	-1.3916391644538	1.32549627192213e-06
ENSMUSG00000072949.7	Acot1	2.97299149695601	1.47606067327194e-06
ENSMUSG00000005677.15	Nr1i3	1.32229570975687	1.67449700267263e-06
ENSMUSG00000005514.15	Por	1.91415633547815	1.67449700267263e-06
ENSMUSG00000025464.16	Paox	-1.24251746642967	1.75328378244705e-06
ENSMUSG00000020085.16	Aifm2	1.03688133314419	1.75328378244705e-06
ENSMUSG00000033629.7	Hacd3	0.780971803444825	1.80179245056129e-06
ENSMUSG00000030545.10	Pex11a	1.37184106542783	1.82586169082419e-06
ENSMUSG00000058454.16	Dhcr7	-1.61582486434033	2.10200624012486e-06
ENSMUSG00000018796.14	Acsl1	1.24348431791798	2.53197139451603e-06
ENSMUSG00000043091.10	Tuba1c	-1.26340532863538	2.74961534953697e-06
ENSMUSG00000027359.17	Slc27a2	0.94688767588794	3.22709189045621e-06
ENSMUSG00000028383.18	Hsdl2	1.0524630901307	3.60731363258726e-06
ENSMUSG00000066441.15	Rdh11	-1.7496532247898	3.84249597885588e-06
ENSMUSG00000034371.10	Tkfc	-1.2072843103028	3.94846804270279e-06
ENSMUSG00000035041.9	Creb3l3	0.651831676708998	3.94846804270279e-06
ENSMUSG00000028607.17	Cpt2	0.736370291261061	3.94846804270279e-06
ENSMUSG00000036775.14	Decr2	0.669337453634796	4.31077601597657e-06
ENSMUSG00000026614.8	Slc30a10	-1.57757656852571	4.34667866951545e-06
ENSMUSG00000035828.12	Pim3	1.24304752758042	4.67498425587961e-06
ENSMUSG00000021417.16	Eci2	1.02689324428456	6.27822961905996e-06
ENSMUSG00000037440.9	Vnn1	1.54703996389843	8.54624713225608e-06
ENSMUSG00000022235.16	Cmbl	0.608640680154503	8.54624713225608e-06
ENSMUSG00000056698.12	Elmod3	0.809071945423904	9.54812397596532e-06
ENSMUSG00000027889.18	Ampd2	-0.725879365273729	1.00881173041596e-05
ENSMUSG00000004768.15	Rab23	-0.709142979722056	9.11500769010977e-06
ENSMUSG00000026202.14	Tuba4a	-0.980605499032724	1.08848936988163e-05
ENSMUSG00000058672.8	Tubb2a	-2.69367266751518	1.34023287070945e-05
ENSMUSG00000059447.14	Hadhb	1.0063740440937	1.38896872839216e-05
ENSMUSG00000030643.15	Rab30	1.62669191376728	1.68343561110658e-05
ENSMUSG00000026730.13	Pter	-0.976120296257193	1.79569990576063e-05
ENSMUSG00000032198.10	Dock6	-0.978859015013603	1.9318544847046e-05
ENSMUSG00000030762.12	Aqp8	-1.93635207420103	2.07361220361527e-05
ENSMUSG00000008035.13	Mid1ip1	-2.02446042827245	2.27664331115065e-05
ENSMUSG00000044167.7	Foxo1	1.0004123170622	2.784231448341e-05
ENSMUSG00000000149.11	Gna12	0.637009611222735	2.784231448341e-05
ENSMUSG00000043789.9	Vwce	-0.751555774865034	2.784231448341e-05
ENSMUSG00000036585.17	Fgf1	1.03129960668292	2.85957563926873e-05
ENSMUSG00000029727.8	Cyp3a13	0.844956127438093	2.89203562389177e-05
ENSMUSG00000003464.14	Pex19	0.565330051701253	2.89203562389177e-05
ENSMUSG00000027346.16	Gpcpd1	1.54929923209152	2.89203562389177e-05
ENSMUSG00000058655.10	Eif4b	0.634719374489415	2.90606557034644e-05
ENSMUSG00000016028.12	Celsr1	-1.24234744618684	2.89203562389177e-05
ENSMUSG00000059851.16	Kmt5c	-0.767045902447816	3.0494631619157e-05
