Geneid	Symbol	log2FC	adj.P.Val
ENSMUSG00000032754.15	Slc8b1	-1.56547027612121	3.7947448640943e-08
ENSMUSG00000033159.15	Cnppd1	-0.799643991902387	3.7947448640943e-08
ENSMUSG00000030087.12	Klf15	-1.21540165697625	3.7947448640943e-08
ENSMUSG00000062825.16	Actg1	1.80322640358048	8.49956023957224e-08
ENSMUSG00000043091.10	Tuba1c	1.51645363970354	3.65806568432055e-07
ENSMUSG00000031596.16	Slc7a2	-2.26119697613095	3.68643083771676e-07
ENSMUSG00000023055.11	Calcoco1	-1.19202069948579	3.68643083771676e-07
ENSMUSG00000041132.12	N4bp2l1	-1.50470559910558	4.11745644077925e-07
ENSMUSG00000042202.16	Slc35e2	-0.822329065479321	4.53922720418791e-07
ENSMUSG00000022091.7	Sorbs3	-1.36800812825019	4.53922720418791e-07
ENSMUSG00000010936.12	Vac14	0.867099518163994	5.92668592258976e-07
ENSMUSG00000020889.12	Nr1d1	-1.587497655867	1.0394208665892e-06
ENSMUSG00000042675.16	Ypel3	-1.00864295277801	1.04491342067496e-06
ENSMUSG00000004356.9	Utp20	0.710383435766067	1.27270300318531e-06
ENSMUSG00000035828.12	Pim3	-1.37349792167993	1.43531388442098e-06
ENSMUSG00000040359.15	Ufl1	0.609904803337405	2.22975085546771e-06
ENSMUSG00000056501.4	Cebpb	-1.19844430601933	2.32322252790203e-06
ENSMUSG00000036687.14	Tmem184a	-0.920065627331112	3.15887126978572e-06
ENSMUSG00000029597.15	Sds	-1.85015695540151	3.37509069084854e-06
ENSMUSG00000116564.2	Riok2	0.728044457932807	3.37509069084854e-06
ENSMUSG00000024395.10	Lims2	-0.819449896673564	3.37509069084854e-06
ENSMUSG00000030058.18	Copg1	0.634660033685138	3.9540937353375e-06
ENSMUSG00000037003.17	Tns2	-0.980579238163255	3.9540937353375e-06
ENSMUSG00000020029.7	Nudt4	-0.648959968162357	4.42398464151415e-06
ENSMUSG00000038335.14	Tsr1	0.891989428404912	5.18252637406673e-06
ENSMUSG00000027429.17	Sec23b	0.920787842623846	5.52831737585543e-06
ENSMUSG00000028261.14	Ndufaf4	0.786494926065532	6.04294133838379e-06
ENSMUSG00000029580.15	Actb	1.13603817499532	6.1415251332951e-06
ENSMUSG00000017868.17	Sgk2	-1.18809133612113	6.64043886175902e-06
ENSMUSG00000031808.8	Slc27a1	-1.32792546938726	7.2419329052373e-06
ENSMUSG00000054499.10	Dedd2	-0.881867780310659	7.2419329052373e-06
ENSMUSG00000003948.18	Mmd	-0.734654858164428	7.34029359499832e-06
ENSMUSG00000023495.14	Pcbp4	-0.96712625348916	8.68444843674437e-06
ENSMUSG00000029512.12	Ulk1	-1.05712902862003	9.24502124416974e-06
ENSMUSG00000020919.12	Stat5b	-0.541317602443422	9.95765021001188e-06
ENSMUSG00000049971.18	Glt1d1	-1.38604157837152	1.1438075436142e-05
ENSMUSG00000073700.4	Klhl21	-0.930684118695449	1.1438075436142e-05
ENSMUSG00000057137.10	Tmem140	-0.874838218415475	1.20737102824574e-05
ENSMUSG00000045374.19	Wdr81	-0.674390955559804	1.20737102824574e-05
ENSMUSG00000062901.4	Klhl24	-1.3067944224164	1.20737102824574e-05
ENSMUSG00000026020.10	Nop58	0.83689473725212	1.20737102824574e-05
ENSMUSG00000031534.16	Smim19	-0.859848215151801	1.20737102824574e-05
