Geneid	Symbol	Chow_GElaS
ENSMUSG00000074794.11	Arrdc3	5.78830340601981
ENSMUSG00000048489.13	Depp1	11.8194072942416
ENSMUSG00000022358.8	Fbxo32	2.33560195096355
ENSMUSG00000036438.15	Calm2	2.7121289825911
ENSMUSG00000028584.4	Lrrc38	3.44945050727974
ENSMUSG00000013539.15	Tango2	1.1866069780316
ENSMUSG00000072949.7	Acot1	1.54158370964041
ENSMUSG00000030087.12	Klf15	2.18442348795409
ENSMUSG00000037977.7	6430571L13Rik	3.82465531896016
ENSMUSG00000024247.15	Pkdcc	1.56954304726259
ENSMUSG00000054978.4	Kbtbd13	1.49872754947857
ENSMUSG00000019960.9	Dusp6	0.894873484527204
ENSMUSG00000026185.9	Igfbp5	2.96389725006758
ENSMUSG00000048756.12	Foxo3	1.83582150572237
ENSMUSG00000044167.7	Foxo1	1.89399054402885
ENSMUSG00000027947.12	Il6ra	2.14808898499586
ENSMUSG00000028967.11	Errfi1	2.41207888585537
ENSMUSG00000021215.16	Net1	0.706243899737334
ENSMUSG00000050592.9	Fam78a	2.15644501175144
ENSMUSG00000071637.6	Cebpd	6.96843167246174
ENSMUSG00000044338.10	Aplnr	1.58879781587865
ENSMUSG00000073375.4	Lrrc30	1.39843685127356
ENSMUSG00000030352.16	Tspan9	1.15842787355219
ENSMUSG00000026305.16	Lrrfip1	0.177994374027795
ENSMUSG00000027438.15	Napb	1.54240331968126
ENSMUSG00000021226.8	Acot2	1.42302901832449
ENSMUSG00000028834.14	Trim63	3.53630663697928
ENSMUSG00000046434.17	Hnrnpa1	1.95458376143305
ENSMUSG00000031565.19	Fgfr1	1.55240690938113
ENSMUSG00000024222.18	Fkbp5	1.10893835182143
ENSMUSG00000008318.11	Relt	2.02328464912483
ENSMUSG00000051373.6	Plpp7	1.58081473862929
ENSMUSG00000067586.5	S1pr3	0.667721765457237
ENSMUSG00000030852.19	Tacc2	0.985131201514922
ENSMUSG00000049550.18	Clip1	0.615947979275015
ENSMUSG00000030161.9	Gabarapl1	1.5767184587373
