Geneid	Symbol	log2FC	adj.P.Val
ENSMUSG00000074794.11	Arrdc3	3.40877412948981	6.29448326991203e-15
ENSMUSG00000048489.13	Depp1	5.96347142119291	6.03662880923951e-14
ENSMUSG00000022358.8	Fbxo32	3.69449393666439	3.35127532533395e-12
ENSMUSG00000036438.15	Calm2	-1.96152861522426	5.15698123016359e-12
ENSMUSG00000028584.4	Lrrc38	-2.64302172158597	5.15698123016359e-12
ENSMUSG00000013539.15	Tango2	1.88688377869441	5.15698123016359e-12
ENSMUSG00000072949.7	Acot1	3.0118109136063	5.15698123016359e-12
ENSMUSG00000030087.12	Klf15	1.87614781174196	6.91344625502958e-12
ENSMUSG00000037977.7	6430571L13Rik	-3.09657954339448	1.07076207725396e-11
ENSMUSG00000024247.15	Pkdcc	-1.51698570735971	1.07076207725396e-11
ENSMUSG00000054978.4	Kbtbd13	-1.67959101885483	1.07076207725396e-11
ENSMUSG00000019960.9	Dusp6	-1.51755544005123	1.07076207725396e-11
ENSMUSG00000026185.9	Igfbp5	-3.11854603951209	1.07076207725396e-11
ENSMUSG00000048756.12	Foxo3	1.9403943765768	1.37426013368434e-11
ENSMUSG00000044167.7	Foxo1	2.24066580666368	1.37426013368434e-11
ENSMUSG00000027947.12	Il6ra	2.80598088629014	1.37426013368434e-11
ENSMUSG00000028967.11	Errfi1	1.72938023563476	1.37426013368434e-11
ENSMUSG00000021215.16	Net1	1.53081844468363	1.49077382534512e-11
ENSMUSG00000050592.9	Fam78a	-2.59968739003505	1.37426013368434e-11
ENSMUSG00000071637.6	Cebpd	4.24444508101278	1.79087183885546e-11
ENSMUSG00000044338.10	Aplnr	-2.27204110149059	1.24393497053343e-11
ENSMUSG00000073375.4	Lrrc30	2.11054206190004	2.22934373373205e-11
ENSMUSG00000030352.16	Tspan9	-1.59232550315996	2.86766106359506e-11
ENSMUSG00000026305.16	Lrrfip1	-1.16824286539156	3.48148911532533e-11
ENSMUSG00000027438.15	Napb	2.4393734530159	4.05071066532688e-11
ENSMUSG00000021226.8	Acot2	3.20283793756903	4.6953873161847e-11
ENSMUSG00000028834.14	Trim63	4.54081854256976	4.84619124877468e-11
ENSMUSG00000046434.17	Hnrnpa1	1.4678189948236	4.84619124877468e-11
ENSMUSG00000031565.19	Fgfr1	1.16163327011364	4.84619124877468e-11
ENSMUSG00000024222.18	Fkbp5	3.14214012640185	4.88837624297791e-11
ENSMUSG00000008318.11	Relt	-1.85832561867682	5.18055998078934e-11
ENSMUSG00000051373.6	Plpp7	-1.93607738550982	5.34242015885606e-11
ENSMUSG00000067586.5	S1pr3	-1.28931731380727	5.02997799882655e-11
ENSMUSG00000030852.19	Tacc2	2.23213537772903	5.71362721425803e-11
ENSMUSG00000049550.18	Clip1	1.98781754834089	7.34605847533019e-11
ENSMUSG00000030161.9	Gabarapl1	2.89001532205817	7.34605847533019e-11
ENSMUSG00000023055.11	Calcoco1	1.28156224632432	7.34605847533019e-11
ENSMUSG00000025509.16	Pnpla2	1.76198177942653	7.34605847533019e-11
ENSMUSG00000037573.6	Tob1	-1.73856546181495	8.51622803278656e-11
ENSMUSG00000026389.17	Steap3	-1.63740810793378	8.51622803278656e-11
ENSMUSG00000040350.17	Trim7	-2.29112040321586	8.51622803278656e-11
ENSMUSG00000032014.7	Oaf	-1.59426140581793	8.51622803278656e-11
ENSMUSG00000069601.15	Ank3	1.02853008667513	8.64729094484785e-11
ENSMUSG00000070803.7	Cited4	-3.62456641476599	8.60982816149425e-11
ENSMUSG00000051067.9	Lingo3	-1.8048743360733	9.13671775986494e-11
ENSMUSG00000033365.15	Ipo13	1.27552809350352	9.37168876631937e-11
ENSMUSG00000025777.9	Gdap1	-1.78049633376429	1.05311067427514e-10
ENSMUSG00000035606.9	Ky	-3.91495837644955	1.09458116451993e-10
ENSMUSG00000004105.9	Angptl2	-2.04319153979384	1.19412911453431e-10
ENSMUSG00000087408.11	Cers1	-2.16256934191434	1.09458116451993e-10
ENSMUSG00000091712.3	Sec14l5	-2.38041733538334	1.38028819237632e-10
ENSMUSG00000030256.12	Bhlhe41	-2.08568000104381	1.46703229521328e-10
ENSMUSG00000052310.10	Slc39a1	-0.873743329665171	1.51808159701486e-10
ENSMUSG00000028339.18	Col15a1	-2.4256620115263	1.51808159701486e-10
ENSMUSG00000026473.17	Glul	3.0906431363092	1.51808159701486e-10
ENSMUSG00000022043.20	Trim35	-1.60698968132841	1.51808159701486e-10
ENSMUSG00000028426.11	Rad23b	1.01637199801313	1.60905811559842e-10
ENSMUSG00000026213.16	Stk11ip	1.40212456137753	1.60905811559842e-10
ENSMUSG00000022091.7	Sorbs3	1.75069819434697	1.6429398658882e-10
ENSMUSG00000029581.15	Fscn1	-1.61826286398035	1.90144120428319e-10
ENSMUSG00000042834.16	Nrep	-3.3711341801944	2.05505346999835e-10
ENSMUSG00000036840.6	Siah1a	0.912496563167578	2.06578104911507e-10
ENSMUSG00000040177.11	2310057M21Rik	0.790854439211021	2.09303639115497e-10
ENSMUSG00000058070.15	Eml1	-1.16591103861295	2.1458388056512e-10
ENSMUSG00000071072.13	Ptges3	1.20121418481387	2.30658188926243e-10
ENSMUSG00000042628.9	Zfyve1	1.7856556552231	2.37773531257863e-10
ENSMUSG00000026353.10	Ubxn4	1.47016694354237	2.45084949351404e-10
ENSMUSG00000090066.3	1110002E22Rik	-1.67941215934968	2.4894025252286e-10
ENSMUSG00000031490.7	Eif4ebp1	2.61245996507283	2.57028289444105e-10
ENSMUSG00000032114.10	Slc37a4	-1.30265503824623	2.57028289444105e-10
ENSMUSG00000025170.14	Rab40b	-1.54191970463398	2.67499954714357e-10
ENSMUSG00000028854.10	Slc9a1	1.66046727759503	2.67499954714357e-10
ENSMUSG00000024052.18	Lpin2	1.14287027826962	2.87806150361562e-10
ENSMUSG00000034158.10	Lrrc58	2.26708965884264	2.84580685265347e-10
ENSMUSG00000022270.17	Retreg1	3.18093347663803	2.87806150361562e-10
ENSMUSG00000035914.12	Cd276	-1.14106642240418	2.87806150361562e-10
ENSMUSG00000031239.6	Itm2a	-1.4012153466904	2.91724522502032e-10
ENSMUSG00000049800.14	Sertad2	1.79193988577482	2.91724522502032e-10
ENSMUSG00000005936.20	Kctd20	1.61189385038032	2.91724522502032e-10
ENSMUSG00000033416.16	Gucd1	1.90876716995948	2.95949214486323e-10
ENSMUSG00000024750.12	Zfand5	1.68551297535285	3.02016843259256e-10
ENSMUSG00000019132.12	BC005537	1.35180624736009	3.10922540864374e-10
ENSMUSG00000020108.5	Ddit4	4.93450240357494	3.16954846471996e-10
ENSMUSG00000026971.16	Itgb6	-2.30004947324986	3.29950758346186e-10
ENSMUSG00000021281.16	Tnfaip2	-2.35273145219317	3.37720002167517e-10
ENSMUSG00000019577.7	Pdk4	3.2976780864549	3.47584027374559e-10
ENSMUSG00000024188.17	Luc7l	1.60230962894326	3.47584027374559e-10
ENSMUSG00000028907.8	Utp11	1.48636435096866	3.48099062725586e-10
ENSMUSG00000066687.6	Zbtb16	2.45480100624097	3.48099062725586e-10
ENSMUSG00000032911.7	Cspg4	-0.873686147217437	3.91150891910996e-10
ENSMUSG00000078515.5	Ddi2	1.7168168809722	3.74566045457585e-10
ENSMUSG00000038518.16	Jarid2	-1.33144071529321	4.16877735408367e-10
ENSMUSG00000017428.17	Psmd11	1.57612450773333	4.35094342982561e-10
ENSMUSG00000002831.15	Plin4	1.65189506419751	4.3982627870883e-10
ENSMUSG00000070348.6	Ccnd1	-2.15666891509495	4.38301903689057e-10
ENSMUSG00000032495.9	Lrrc2	1.22710750828146	4.55189800748904e-10
ENSMUSG00000030123.16	Plxnd1	-1.45008596949717	4.70239382272556e-10
ENSMUSG00000021806.5	Nid2	-1.32440167844731	5.93417244694419e-10
ENSMUSG00000028211.12	Trp53inp1	1.71347681165309	5.93417244694419e-10
ENSMUSG00000025432.12	Avil	1.43139348687623	5.93417244694419e-10
ENSMUSG00000024501.21	Dpysl3	-1.04851940398902	6.00141889247646e-10
ENSMUSG00000036256.14	Igfbp7	-1.52661282753364	5.93417244694419e-10
ENSMUSG00000048874.16	Phf3	1.01029213538384	5.93417244694419e-10
ENSMUSG00000019923.15	Zwint	2.11300136748187	5.93417244694419e-10
ENSMUSG00000038335.14	Tsr1	1.45463080851725	5.93417244694419e-10
ENSMUSG00000042719.18	Naa25	1.4552698981764	5.98694148048465e-10
ENSMUSG00000007659.19	Bcl2l1	1.81679806422887	6.00141889247646e-10
ENSMUSG00000048126.17	Col6a3	-2.08054152945684	6.26212269266351e-10
ENSMUSG00000032035.17	Ets1	-1.0788974181419	6.451805821853e-10
ENSMUSG00000029718.15	Pcolce	-1.70709120495647	6.451805821853e-10
ENSMUSG00000038332.14	Sesn1	3.15887513162117	6.451805821853e-10
ENSMUSG00000020075.9	Ddx21	1.27810208362261	6.451805821853e-10
ENSMUSG00000025612.6	Bach1	1.28344098303057	6.49839337228355e-10
ENSMUSG00000040859.15	Bsdc1	1.23464997803211	6.49839337228355e-10
ENSMUSG00000072969.3	Armcx5	1.59664867720607	6.83095611900176e-10
ENSMUSG00000030110.14	Ret	-1.54706671948779	6.55207291577702e-10
ENSMUSG00000045246.12	Kcng4	-2.85757688989919	7.01115680671034e-10
ENSMUSG00000044068.8	Zrsr1	1.97674546830314	7.05558081254136e-10
ENSMUSG00000039911.14	Spsb1	2.43270687986036	7.37908080062341e-10
ENSMUSG00000058454.16	Dhcr7	-1.19241303257211	6.73695814468473e-10
ENSMUSG00000008429.9	Herpud2	1.10498972777343	7.53133924890376e-10
ENSMUSG00000002625.11	Akap8l	1.15114876603268	7.73632070458074e-10
ENSMUSG00000027075.17	Slc43a1	2.89545941953766	8.17203177450571e-10
ENSMUSG00000020439.18	Smtn	-1.77138292727677	8.17203177450571e-10
ENSMUSG00000020241.14	Col6a2	-2.1986011227046	8.22734370256622e-10
ENSMUSG00000046949.17	Nqo2	-1.08785683388887	9.64706061353349e-10
ENSMUSG00000027111.17	Itga6	-0.942389133202094	9.64706061353349e-10
ENSMUSG00000026447.18	Pik3c2b	-1.09171945473987	9.83055789518625e-10
ENSMUSG00000049225.15	Pdp1	-1.34279221762914	9.64706061353349e-10
ENSMUSG00000042354.8	Gnl3	1.84065503263822	9.64706061353349e-10
ENSMUSG00000063785.13	Utp14a	1.04074701532188	9.83055789518625e-10
ENSMUSG00000039376.14	Synpo2l	-1.7181571795323	1.02498008066265e-09
ENSMUSG00000022114.6	Spry2	-1.15035345492362	1.09949089467433e-09
ENSMUSG00000078202.4	Nrarp	-1.78288530908847	1.08060088740053e-09
ENSMUSG00000039756.13	Dnttip2	1.65544054109146	1.06745061782202e-09
ENSMUSG00000059824.13	Dbp	-2.63634809342501	1.08060088740053e-09
ENSMUSG00000038807.20	Rap1gap2	-0.891529404252039	1.1721010825125e-09
ENSMUSG00000020593.17	Lpin1	1.69340623414376	1.1721010825125e-09
ENSMUSG00000022357.3	Klhl38	2.77494404293728	1.18617368383833e-09
ENSMUSG00000028862.7	Map3k6	2.19555443743888	1.22505720227983e-09
ENSMUSG00000022797.17	Tfrc	-3.37773096961574	1.22505720227983e-09
ENSMUSG00000050043.17	Tmx2	-1.37954308507132	1.23263302307692e-09
ENSMUSG00000042116.4	Vwa1	-0.989523608813959	1.23076009913229e-09
ENSMUSG00000030089.16	Slc41a3	-2.27555142509247	1.22505720227983e-09
ENSMUSG00000045664.6	Cdc42ep2	-1.76010289691811	1.27038824158914e-09
ENSMUSG00000016494.10	Cd34	-0.86266042161276	1.22505720227983e-09
ENSMUSG00000052135.9	Foxo6	-2.42727788648469	1.25356067365571e-09
ENSMUSG00000030967.16	Zranb1	1.48975444807718	1.22505720227983e-09
ENSMUSG00000027204.14	Fbn1	-1.78926697629203	1.27038824158914e-09
ENSMUSG00000028760.17	Eif4g3	0.924449145900821	1.31958347356264e-09
ENSMUSG00000042292.19	Mrtfa	-2.16169048484336	1.38606872292502e-09
ENSMUSG00000043719.15	Col6a6	-0.910861586559244	1.40999624652567e-09
ENSMUSG00000021838.18	Samd4	1.38249130622091	1.34791337879363e-09
ENSMUSG00000025364.14	Pa2g4	0.945333568055042	1.34791337879363e-09
ENSMUSG00000034898.18	Filip1	1.90729837289872	1.37197695172475e-09
ENSMUSG00000020828.14	Pld2	-0.979025489560994	1.47497210901305e-09
ENSMUSG00000027014.15	Cwc22	1.0859860035055	1.44541949648532e-09
ENSMUSG00000030711.17	Sult1a1	1.50261514995227	1.44541949648532e-09
ENSMUSG00000004939.8	Nmrk2	-5.61458202480806	1.52226900449561e-09
ENSMUSG00000004535.13	Tax1bp1	1.21667098836869	1.46100306395483e-09
ENSMUSG00000036275.14	9530068E07Rik	1.11889262297093	1.465428533224e-09
ENSMUSG00000005312.16	Ubqln1	0.906312999560503	1.48282601331293e-09
ENSMUSG00000033863.3	Klf9	1.28673797810726	1.56915493830842e-09
ENSMUSG00000032705.10	Exd2	-1.2397241450531	1.76926178137884e-09
ENSMUSG00000028932.9	Psmc2	1.03248602188794	1.790499652942e-09
ENSMUSG00000027004.4	Frzb	-1.65460694040494	1.89755352288965e-09
ENSMUSG00000029415.5	Sdad1	1.01134648477689	1.89755352288965e-09
ENSMUSG00000021271.6	Zfp839	1.66364005788848	1.9074254616041e-09
ENSMUSG00000056698.12	Elmod3	0.950069837194578	2.0077623856306e-09
ENSMUSG00000039936.19	Pik3cd	-1.73886660066306	2.10526336484822e-09
ENSMUSG00000027889.18	Ampd2	-1.00002904394452	2.19605334386487e-09
ENSMUSG00000011305.12	Plin5	1.56462365572607	2.05924024088708e-09
ENSMUSG00000028522.17	Mier1	1.31759040589145	2.12633456541137e-09
ENSMUSG00000032376.13	Usp3	1.17537873236172	2.23242744713614e-09
ENSMUSG00000043065.13	Spice1	0.963354783390975	2.35608411172206e-09
ENSMUSG00000032582.15	Rbm6	0.804519498546143	2.26187672157525e-09
ENSMUSG00000027452.12	Acss1	2.9075709926525	2.30138645800296e-09
ENSMUSG00000028841.15	Cnksr1	1.3770883599172	2.32688009807825e-09
ENSMUSG00000029185.15	Fam114a1	-1.17741304610618	2.50372472449723e-09
ENSMUSG00000021903.12	Galnt15	1.60314415537503	2.35608411172206e-09
ENSMUSG00000036693.13	Nop14	1.17068204291095	2.36372008610536e-09
ENSMUSG00000015357.11	Clpx	1.12212554036089	2.35608411172206e-09
ENSMUSG00000075033.5	Nxpe3	1.40808723756048	2.57136748946663e-09
ENSMUSG00000027236.9	Eif3j1	1.26165990384516	2.37749098042882e-09
ENSMUSG00000026043.19	Col3a1	-3.34020118706104	2.49612624763419e-09
ENSMUSG00000027314.7	Dll4	-1.01610585256624	2.63174814913178e-09
ENSMUSG00000025220.9	Oga	1.15470832686689	2.50372472449723e-09
ENSMUSG00000037017.16	Zscan21	1.28118676908916	2.57308313099164e-09
ENSMUSG00000059890.17	Ube4a	1.72291629555957	2.55992899292776e-09
ENSMUSG00000039960.6	Rhou	1.72978438865307	2.58873656569983e-09
ENSMUSG00000042390.10	Gatad2b	1.08530565790162	2.58873656569983e-09
ENSMUSG00000030870.13	Ubfd1	1.20293687050533	2.63174814913178e-09
ENSMUSG00000023034.8	Nr4a1	-1.98085097006666	2.63174814913178e-09
ENSMUSG00000030103.12	Bhlhe40	-2.04298379304133	2.71180257558507e-09
ENSMUSG00000029227.16	Fip1l1	0.9975917235745	2.75120574949983e-09
ENSMUSG00000041777.13	Cir1	1.20196353323128	2.82002739756129e-09
ENSMUSG00000032011.6	Thy1	-1.92006543209096	3.02654436573049e-09
ENSMUSG00000020538.16	Srebf1	-1.26308371032016	2.91281765850848e-09
ENSMUSG00000069045.12	Ddx3y	1.22077079523446	2.91281765850848e-09
ENSMUSG00000041775.8	Mapk1ip1	1.52886704689738	2.98334613608412e-09
ENSMUSG00000043557.17	Mdga1	-1.24955152893636	3.17089252259235e-09
ENSMUSG00000048000.16	Gigyf2	0.830697499780933	2.98334613608412e-09
ENSMUSG00000004393.11	Ddx56	1.48295532995126	3.02654436573049e-09
ENSMUSG00000025898.7	Cwf19l2	1.02162894635599	3.10770600391417e-09
ENSMUSG00000039703.16	Nploc4	1.2152218227068	3.19965849248914e-09
ENSMUSG00000017144.9	Rnd3	-1.06480907997226	3.58780162640795e-09
ENSMUSG00000029131.15	Dnajb6	0.965033471147393	3.30195832041196e-09
ENSMUSG00000034858.17	Fam214a	1.22884262802206	3.3689282089843e-09
ENSMUSG00000040128.10	Pnrc1	1.83521255854818	3.3721551077406e-09
ENSMUSG00000038463.9	Olfml2b	-1.29012941540334	3.85165339660156e-09
ENSMUSG00000028291.8	Akirin2	1.20844722341685	3.58705993173808e-09
ENSMUSG00000058297.17	Spock2	1.34326790839508	3.72184847151836e-09
ENSMUSG00000006005.19	Tpr	0.875256037936356	3.88249316863287e-09
ENSMUSG00000028809.17	Srrm1	0.806318704261884	3.93233418587782e-09
ENSMUSG00000004473.11	Clec11a	-1.66907404640156	2.75120574949983e-09
ENSMUSG00000022812.15	Gsk3b	1.47712777861169	3.97952179583819e-09
ENSMUSG00000042622.15	Maff	3.09377832109217	4.30715234155904e-09
ENSMUSG00000042133.17	Ppig	0.946975083855016	4.05966892265884e-09
ENSMUSG00000036188.5	Ankmy2	-0.727631752222003	4.43922316752054e-09
ENSMUSG00000024594.10	Prrc1	0.90908521137948	4.05966892265884e-09
ENSMUSG00000023277.14	Twf2	1.76737844577133	4.11129426172858e-09
ENSMUSG00000025216.10	Lbx1	-1.11639854754137	4.11703259568253e-09
ENSMUSG00000020385.17	Clk4	1.05561641423335	4.16532376403638e-09
ENSMUSG00000022528.9	Hes1	-1.86094386771418	4.47750218214939e-09
ENSMUSG00000078622.9	Ccdc47	0.793644177177292	4.19902646910704e-09
ENSMUSG00000020806.16	Rhbdf2	1.39787068513394	4.2819057720207e-09
ENSMUSG00000020674.18	Pxdn	-1.11852829741771	4.47750218214939e-09
ENSMUSG00000049134.16	Nrap	1.04264703810847	4.33319891003366e-09
ENSMUSG00000063275.16	Hacd1	-1.82167655208065	4.59564914366926e-09
ENSMUSG00000024413.15	Npc1	2.20796441115677	4.45158009352276e-09
ENSMUSG00000024507.7	Hsd17b4	0.870119858338904	4.47750218214939e-09
ENSMUSG00000033032.16	Afap1l1	-0.788096225016729	4.50492965433643e-09
ENSMUSG00000047123.9	Ticam1	0.867976993475265	5.1651915406719e-09
ENSMUSG00000025352.7	Gdf11	-1.18405476475071	5.16704498609396e-09
ENSMUSG00000056481.8	Cd248	-1.55681612353336	4.99478742837862e-09
ENSMUSG00000032192.10	Gnb5	-1.41378716345853	5.1651915406719e-09
ENSMUSG00000000317.12	Bcl6b	-1.83932925919933	5.1651915406719e-09
ENSMUSG00000061755.11	Bod1l	0.91864921396895	4.86995448772982e-09
ENSMUSG00000002455.15	Prpf6	1.42102933860124	4.86995448772982e-09
ENSMUSG00000033585.6	Ndn	-1.03982906946814	5.47236373708069e-09
ENSMUSG00000014905.5	Dnajb9	1.46552443620063	5.1651915406719e-09
ENSMUSG00000057342.16	Sphk2	1.18917671116764	5.3224865031893e-09
ENSMUSG00000024481.6	Lvrn	1.4370342628559	5.66314815519422e-09
ENSMUSG00000042675.16	Ypel3	0.937805865428635	5.33627838233566e-09
ENSMUSG00000035172.16	Plekhh3	-1.5053828882709	5.5371773682182e-09
ENSMUSG00000026342.11	Slc35f5	1.07496744915863	5.42410828882067e-09
ENSMUSG00000023336.7	Wfdc1	-1.28590013555209	5.42410828882067e-09
ENSMUSG00000035247.17	Hectd1	1.97017919655262	5.52192463107693e-09
ENSMUSG00000024423.7	Impact	1.58176456325923	5.70043715553285e-09
ENSMUSG00000030208.16	Emp1	-1.56609020936058	5.8801322333748e-09
ENSMUSG00000037958.14	Nsrp1	0.986758699808178	5.72038372133973e-09
ENSMUSG00000037526.8	Atg14	0.853268486346196	5.91402645063248e-09
ENSMUSG00000024949.18	Sf1	1.14185022142538	5.80575937131438e-09
ENSMUSG00000020982.10	Nemf	0.691557142708265	5.88989258541015e-09
ENSMUSG00000031543.19	Ank1	-1.57462584726528	5.94535774168036e-09
