Geneid	Symbol	log2FC	adj.P.Val
ENSMUSG00000074794.11	Arrdc3	-3.05333867036718	1.28134119824775e-13
ENSMUSG00000048489.13	Depp1	-6.07298169965611	2.39406836610557e-13
ENSMUSG00000034614.15	Pik3ip1	-1.57265398865267	8.89930544972475e-12
ENSMUSG00000009633.4	G0s2	3.3258440559014	7.01287386946038e-11
ENSMUSG00000034858.17	Fam214a	-1.72661951556319	9.20664863650303e-11
ENSMUSG00000037573.6	Tob1	1.68804303639893	1.13135971873458e-09
ENSMUSG00000071637.6	Cebpd	-3.71566697934471	1.29376134912009e-09
ENSMUSG00000038393.15	Txnip	-1.82168406889542	1.29376134912009e-09
ENSMUSG00000036438.15	Calm2	1.52559106116888	1.45437877965147e-09
ENSMUSG00000033610.17	Pank1	-1.52103484151269	2.16094403363691e-09
ENSMUSG00000028035.14	Dnajb4	1.24654278893251	2.16094403363691e-09
ENSMUSG00000028584.4	Lrrc38	1.97445084612503	2.6510880849024e-09
ENSMUSG00000028967.11	Errfi1	-1.35321216854269	8.01014747797031e-09
ENSMUSG00000030208.16	Emp1	1.76229252195744	1.09227647889621e-08
ENSMUSG00000027075.17	Slc43a1	-2.8480209218912	1.10701717364638e-08
ENSMUSG00000037977.7	6430571L13Rik	2.22537563985811	1.10701717364638e-08
ENSMUSG00000009471.5	Myod1	4.33113797986975	1.50538785857069e-08
ENSMUSG00000030087.12	Klf15	-1.29313294238824	2.1723468241214e-08
ENSMUSG00000034640.10	Tiparp	-1.42385132856946	2.43194888481104e-08
ENSMUSG00000091712.3	Sec14l5	1.93671173853123	2.74133807918762e-08
ENSMUSG00000028211.12	Trp53inp1	-1.60889828777678	2.95912792915246e-08
ENSMUSG00000026360.10	Rgs2	-2.578086061657	3.03598200933202e-08
ENSMUSG00000046434.17	Hnrnpa1	-1.11205862863925	3.22012178840334e-08
ENSMUSG00000031565.19	Fgfr1	-0.882288104273258	3.22012178840334e-08
ENSMUSG00000040283.15	Btnl9	-0.782875376863185	3.22012178840334e-08
ENSMUSG00000039242.11	B3galnt2	0.820354649762784	4.5335286247858e-08
