Geneid	Symbol	HFD_GElaS
ENSMUSG00000032495.9	Lrrc2	0.0262192908143311
ENSMUSG00000073700.4	Klhl21	0.301174791780791
ENSMUSG00000020893.18	Per1	2.66422416854705
ENSMUSG00000042675.16	Ypel3	0.34953742222506
ENSMUSG00000038550.11	Ciart	2.31425214730256
ENSMUSG00000022091.7	Sorbs3	0.840880849418053
ENSMUSG00000039242.11	B3galnt2	0.808666633629628
ENSMUSG00000002831.15	Plin4	0.320665134345048
ENSMUSG00000026932.15	Nacc2	0.198024642691553
ENSMUSG00000025203.7	Scd2	0.390751594164871
ENSMUSG00000050592.9	Fam78a	0.636858580334245
ENSMUSG00000029683.8	Lmod2	2.09646378456554
ENSMUSG00000026185.9	Igfbp5	0.474961103761112
ENSMUSG00000022043.20	Trim35	0.145131800991398
ENSMUSG00000019577.7	Pdk4	1.08577152514064
ENSMUSG00000035828.12	Pim3	2.17002803688487
ENSMUSG00000041801.6	Phlda3	0.0722854350411775
ENSMUSG00000049134.16	Nrap	0.0443770361897441
ENSMUSG00000030087.12	Klf15	0.904076868646196
ENSMUSG00000034614.15	Pik3ip1	1.10514062626255
ENSMUSG00000027470.10	Mylk2	0.256310739031476
ENSMUSG00000008318.11	Relt	0
ENSMUSG00000022797.17	Tfrc	0
ENSMUSG00000021281.16	Tnfaip2	1.32623555405316
ENSMUSG00000091712.3	Sec14l5	0.862883956994486
ENSMUSG00000030852.19	Tacc2	0
ENSMUSG00000031808.8	Slc27a1	0.166074255421075
ENSMUSG00000020472.15	Zkscan17	0.402929681597689
ENSMUSG00000025509.16	Pnpla2	0.192125153071743
ENSMUSG00000037411.11	Serpine1	1.37384872062105
ENSMUSG00000059895.14	Ptp4a3	0.17587678114716
ENSMUSG00000032942.15	Ucp3	0.255502664801174
ENSMUSG00000024750.12	Zfand5	0.168197166613617
ENSMUSG00000030352.16	Tspan9	0
ENSMUSG00000019838.12	Slc16a10	0
ENSMUSG00000044338.10	Aplnr	1.51794839705156
