Geneid	Symbol	log2FC	adj.P.Val
ENSMUSG00000032495.9	Lrrc2	0.912727589648697	2.63312677094501e-06
ENSMUSG00000073700.4	Klhl21	1.024831769847	4.61748965152114e-06
ENSMUSG00000020893.18	Per1	1.48476328346565	4.61748965152114e-06
ENSMUSG00000042675.16	Ypel3	0.720552819387784	8.29348412917315e-06
ENSMUSG00000038550.11	Ciart	1.64846491705568	4.61748965152114e-06
ENSMUSG00000022091.7	Sorbs3	1.02852826247225	1.79191615281094e-05
ENSMUSG00000039242.11	B3galnt2	-0.579803584177385	2.38274182780813e-05
ENSMUSG00000002831.15	Plin4	0.958873901212335	2.82683892639972e-05
ENSMUSG00000026932.15	Nacc2	-0.688359043703309	2.82683892639972e-05
ENSMUSG00000025203.7	Scd2	-1.34976705481553	2.82683892639972e-05
ENSMUSG00000050592.9	Fam78a	-1.05060925840076	2.91762456092501e-05
ENSMUSG00000029683.8	Lmod2	1.30250368214	3.82281160273968e-05
ENSMUSG00000026185.9	Igfbp5	-1.39344640734323	3.83709176187302e-05
ENSMUSG00000022043.20	Trim35	-0.846071589008837	3.83709176187302e-05
ENSMUSG00000019577.7	Pdk4	1.82125144843351	3.83709176187302e-05
ENSMUSG00000035828.12	Pim3	1.26787660053111	5.54453856917297e-05
ENSMUSG00000041801.6	Phlda3	0.650540631690907	5.80292722077814e-05
ENSMUSG00000049134.16	Nrap	0.638772975200956	5.80292722077814e-05
ENSMUSG00000030087.12	Klf15	0.801120590734773	5.80292722077814e-05
ENSMUSG00000034614.15	Pik3ip1	0.630351085698774	5.80292722077814e-05
ENSMUSG00000027470.10	Mylk2	0.638667298954008	5.94996052306146e-05
ENSMUSG00000008318.11	Relt	-0.823945287139106	7.51239231105383e-05
ENSMUSG00000022797.17	Tfrc	-1.84542117578317	7.96976703112528e-05
ENSMUSG00000021281.16	Tnfaip2	-1.21076432001009	7.96976703112528e-05
ENSMUSG00000091712.3	Sec14l5	-1.09218087748564	7.96976703112528e-05
