Geneid	Symbol	log2FC	adj.P.Val
ENSMUSG00000020893.18	Per1	-1.86909293543512	1.86541702097796e-07
ENSMUSG00000034614.15	Pik3ip1	-0.836881306967733	2.61524038720316e-06
ENSMUSG00000023034.8	Nr4a1	-1.54989465584546	3.37350196593819e-06
ENSMUSG00000028967.11	Errfi1	-0.989105198393099	8.13025506908646e-06
ENSMUSG00000060548.14	Tnfrsf19	-1.14907820852317	1.47808121987419e-05
ENSMUSG00000048546.9	Tob2	-1.49374705812122	1.54950795449923e-05
ENSMUSG00000002910.12	Arrdc2	-3.28924279635058	1.54950795449923e-05
ENSMUSG00000054364.6	Rhob	-1.07586787195023	2.29013358731748e-05
ENSMUSG00000026773.20	Pfkfb3	-2.05385401820352	2.30086187605479e-05
ENSMUSG00000071637.6	Cebpd	-2.36337939841622	4.39485017147806e-05
ENSMUSG00000044338.10	Aplnr	0.928560563124279	4.39485017147806e-05
ENSMUSG00000038550.11	Ciart	-1.29574929133226	6.12470438241239e-05
ENSMUSG00000044786.7	Zfp36	-1.75910589837005	7.44972567443881e-05
ENSMUSG00000043953.13	Ccrl2	-0.999253220831662	7.62605379283284e-05
ENSMUSG00000039081.11	Zfp503	1.0284815620476	0.000104867756320067
ENSMUSG00000009633.4	G0s2	1.49511985368851	0.000118618584313477
ENSMUSG00000052684.5	Jun	-0.782244977043594	0.00016781012429276
ENSMUSG00000020038.11	Cry1	0.503330034973473	0.000202066727821108
ENSMUSG00000027654.3	Fam83d	-0.922376570169642	0.000218113568838275
ENSMUSG00000035828.12	Pim3	-1.141788463346	0.000245383468314306
ENSMUSG00000029683.8	Lmod2	-1.12491840960048	0.000271285984512059
ENSMUSG00000039789.8	Zfp597	0.444048165713286	0.000280226501726613
ENSMUSG00000048489.13	Depp1	-2.30855103915285	0.000280226501726613
ENSMUSG00000004098.8	Col5a3	-1.05831012054834	0.000295279639487775
ENSMUSG00000043415.6	Otud1	-2.06671553242875	0.000330708198613348
ENSMUSG00000031431.14	Tsc22d3	-0.833903377835809	0.000391921893413254
ENSMUSG00000030315.16	Vgll4	0.949557434668044	0.000424398925694009
ENSMUSG00000039242.11	B3galnt2	0.453677969362192	0.000426013695609446
ENSMUSG00000027412.13	Lpin3	-0.592316090299128	0.00049647597983448
ENSMUSG00000020108.5	Ddit4	-3.15642648046324	0.000616454483988128
ENSMUSG00000041417.16	Pik3r1	0.950788268527955	0.000616454483988128
ENSMUSG00000055980.3	Irs1	1.05747546407099	0.000637875865435791
ENSMUSG00000028005.14	Gucy1b1	0.622311408828594	0.000694345733922547
ENSMUSG00000031565.19	Fgfr1	-0.448799009454635	0.000694345733922547
ENSMUSG00000033502.16	Cdc14a	1.00066477128851	0.000759264241112115
ENSMUSG00000034858.17	Fam214a	-0.647011931252414	0.000785980736827972
ENSMUSG00000038530.12	Rgs4	0.610382070929669	0.00120892339281173
ENSMUSG00000039321.2	Uts2r	0.9098996628129	0.000935243915427337
ENSMUSG00000046916.10	Myct1	0.67170055604266	0.00129966040312753
ENSMUSG00000027367.17	Stard7	-0.391541736663122	0.00129404851393739
