Geneid	Symbol	Chow_GElaS
ENSMUSG00000021356.11	Irf4	7.63955347656052
ENSMUSG00000028339.18	Col15a1	2.59366834728669
ENSMUSG00000028211.12	Trp53inp1	6.53421270057891
ENSMUSG00000045730.5	Adrb2	5.0170309949783
ENSMUSG00000032376.13	Usp3	2.29361475266439
ENSMUSG00000042599.9	Kdm7a	2.31762711153544
ENSMUSG00000031889.10	D230025D16Rik	2.65062912527452
ENSMUSG00000023885.10	Thbs2	0.382925011704184
ENSMUSG00000019577.7	Pdk4	6.10097092500834
ENSMUSG00000018372.14	Cep95	1.93539816170414
ENSMUSG00000054484.15	Tmem62	1.3252963053654
ENSMUSG00000020448.17	Rnf185	1.84312016054609
ENSMUSG00000027346.16	Gpcpd1	3.55192362894241
ENSMUSG00000027961.8	Lrrc39	2.7959698940166
ENSMUSG00000034863.10	Ano8	1.31418283632187
ENSMUSG00000022299.10	Slc25a32	1.74074174423457
ENSMUSG00000038351.15	Sgsm2	1.20147944148265
ENSMUSG00000030103.12	Bhlhe40	2.98345114740575
ENSMUSG00000026991.21	Pkp4	0.968424195401193
ENSMUSG00000041653.6	Pnpla3	6.16968171587993
ENSMUSG00000059201.13	Lep	7.97621165315063
ENSMUSG00000029446.15	Psph	1.97114819760868
ENSMUSG00000027357.17	Crls1	3.96764345327981
ENSMUSG00000030409.17	Dmpk	2.49119224226254
ENSMUSG00000050373.14	Snx21	1.80705286325734
ENSMUSG00000052934.15	Fbxo31	3.22594237245475
ENSMUSG00000052942.14	Glis3	0.950856632520364
ENSMUSG00000036721.15	Zscan12	1.95130138438993
ENSMUSG00000050549.9	Fam241a	2.18293938908783
ENSMUSG00000057137.10	Tmem140	3.38465590668632
ENSMUSG00000037060.4	Cavin3	2.64211089357278
ENSMUSG00000071604.6	Fam189a2	1.30915532507152
ENSMUSG00000041592.17	Sdk2	2.05408359579434
ENSMUSG00000027669.15	Gnb4	0.567734456081849
ENSMUSG00000027313.4	Chac1	3.74433135038496
ENSMUSG00000070002.8	Ell	2.06774535499559
ENSMUSG00000019832.6	Rab32	1.10013657136954
ENSMUSG00000045973.19	Slc25a51	1.47844509809275
ENSMUSG00000002083.14	Bbc3	0.864673026799536
ENSMUSG00000027187.11	Cat	2.12553525724817
ENSMUSG00000049265.9	Kcnk3	0.638133417379059
ENSMUSG00000026643.17	Nmt2	1.64952705472034
ENSMUSG00000025153.10	Fasn	5.3851363280654
ENSMUSG00000037348.16	Paqr7	1.79763633925341
ENSMUSG00000053846.6	Lipg	3.42142984698466
ENSMUSG00000066042.5	Med18	2.53067682959299
ENSMUSG00000025034.10	Trim8	0.757505388622356
ENSMUSG00000023067.15	Cdkn1a	0.479209454757642
ENSMUSG00000020432.13	Tcn2	1.21509197999849
ENSMUSG00000035949.16	Fbxw2	0.863760190721758
ENSMUSG00000039633.8	Lonrf1	1.48596236630567
ENSMUSG00000028551.15	Cdkn2c	2.07066190105039
ENSMUSG00000006014.17	Prg4	0.476065422539101
ENSMUSG00000022051.16	Bnip3l	0.612717792778085
ENSMUSG00000025203.7	Scd2	4.73287060342041
ENSMUSG00000010651.5	Acaa1b	3.47980531669066
ENSMUSG00000039824.5	Myl6b	0.614488963697715
ENSMUSG00000095061.2	E030018B13Rik	2.5245589834687
ENSMUSG00000033416.16	Gucd1	0.724707801014495
ENSMUSG00000030747.6	Dgat2	5.5480698099848
ENSMUSG00000058446.15	Znrf2	1.08299764483843
ENSMUSG00000029370.11	Rassf6	3.30179953377081
ENSMUSG00000028541.15	B4galt2	0.22475819499955
ENSMUSG00000023004.9	Tuba1b	1.575299260394
ENSMUSG00000027947.12	Il6ra	2.42427559338582
ENSMUSG00000036578.8	Fxyd7	3.85802060163559
ENSMUSG00000042834.16	Nrep	1.75488868804378
ENSMUSG00000018217.13	Pmp22	1.05201962179388
ENSMUSG00000025792.10	Slc25a10	0.749762290648474
ENSMUSG00000032231.15	Anxa2	1.19847179323319
ENSMUSG00000036833.17	Pnpla7	1.65009277774572
ENSMUSG00000045392.9	Olfr1033	0.13289941727643
ENSMUSG00000038546.10	Ranbp9	2.98619499128378
ENSMUSG00000024026.14	Glo1	0.947128167874664
ENSMUSG00000021950.16	Anxa8	0.902706308426208
ENSMUSG00000048355.3	Arxes1	0.943588439136783
ENSMUSG00000006403.14	Adamts4	1.82047214110126
ENSMUSG00000026872.19	Zeb2	1.48602254234535
ENSMUSG00000020614.14	Fam20a	2.63545920769547
ENSMUSG00000032602.7	Slc25a20	1.13092920734168
ENSMUSG00000051391.10	Ywhag	1.88350714398589
ENSMUSG00000029730.17	Mcm7	1.51794837785902
ENSMUSG00000030104.10	Edem1	0.925336169564731
ENSMUSG00000026623.17	Lpgat1	2.43840289500839
ENSMUSG00000021759.15	Plpp1	1.45530314456419
ENSMUSG00000022758.15	P2rx6	0.719415809337252
ENSMUSG00000058655.10	Eif4b	1.13069695126863
ENSMUSG00000070436.13	Serpinh1	2.17849007791649
ENSMUSG00000020709.16	Adap2	2.85130652456174
ENSMUSG00000014195.17	Dnajc7	0.537367576946914
ENSMUSG00000050379.16	Septin6	0.639901556869691
ENSMUSG00000031808.8	Slc27a1	1.68816126936803
ENSMUSG00000049422.8	Chchd10	0.800521921567946
ENSMUSG00000024030.8	Abcg1	2.56588103438664
ENSMUSG00000007480.6	Mc5r	3.49884256827632
ENSMUSG00000014599.11	Csf1	1.34318655043768
ENSMUSG00000062101.13	Zfp119b	1.5724576473143
ENSMUSG00000042622.15	Maff	1.39570467265347
ENSMUSG00000030161.9	Gabarapl1	0.675468903786747
ENSMUSG00000036478.9	Btg1	2.30363249823559
ENSMUSG00000030924.17	Rexo5	2.60525295673388
ENSMUSG00000022324.16	Matn2	0.890906447156945
ENSMUSG00000022180.8	Slc7a8	1.79348590876561
ENSMUSG00000017132.18	Cyth1	0.946704018824235
ENSMUSG00000049112.10	Oxtr	5.85409577574733
ENSMUSG00000020917.18	Acly	2.648012679474
ENSMUSG00000048534.8	Jaml	2.24506166713279
