Geneid	Symbol	log2FC	adj.P.Val
ENSMUSG00000021356.11	Irf4	4.16208913777623	3.17436490252703e-12
ENSMUSG00000028339.18	Col15a1	-3.31366127446551	3.51557516957928e-12
ENSMUSG00000028211.12	Trp53inp1	3.48948300080628	1.90068411549876e-11
ENSMUSG00000045730.5	Adrb2	2.57182462039874	1.69153552752716e-10
ENSMUSG00000032376.13	Usp3	1.18107840952493	4.29398368404531e-10
ENSMUSG00000042599.9	Kdm7a	1.48622614381219	4.95655408806902e-10
ENSMUSG00000031889.10	D230025D16Rik	1.52917128009491	1.0054071501433e-09
ENSMUSG00000023885.10	Thbs2	2.52210760717973	1.38201896243332e-09
ENSMUSG00000019577.7	Pdk4	4.20854050247002	1.38201896243332e-09
ENSMUSG00000018372.14	Cep95	1.0018077587754	1.83379631301582e-09
ENSMUSG00000054484.15	Tmem62	1.49550664269418	1.89480910488321e-09
ENSMUSG00000020448.17	Rnf185	1.22876174104042	2.19746836863685e-09
ENSMUSG00000027346.16	Gpcpd1	2.08221148049726	4.1386433857066e-09
ENSMUSG00000027961.8	Lrrc39	-2.08717674341292	4.1386433857066e-09
ENSMUSG00000034863.10	Ano8	-1.35410476421622	4.23258376793241e-09
ENSMUSG00000022299.10	Slc25a32	1.55744887242547	4.50517469452039e-09
ENSMUSG00000038351.15	Sgsm2	-1.32297204534816	5.12597311630551e-09
ENSMUSG00000030103.12	Bhlhe40	-2.29827097727387	5.99039994014221e-09
ENSMUSG00000026991.21	Pkp4	1.49729800490365	6.1140290926499e-09
ENSMUSG00000041653.6	Pnpla3	-3.81419407809765	6.33841139291858e-09
ENSMUSG00000059201.13	Lep	-4.37939232374537	7.77833954292385e-09
ENSMUSG00000029446.15	Psph	-1.12147859317497	7.98392038626357e-09
ENSMUSG00000027357.17	Crls1	2.39295065158801	7.98392038626357e-09
ENSMUSG00000030409.17	Dmpk	-2.00941046730109	7.98392038626357e-09
ENSMUSG00000050373.14	Snx21	1.31041503022692	8.42040026546968e-09
ENSMUSG00000052934.15	Fbxo31	2.74537153236321	9.2687921250569e-09
ENSMUSG00000052942.14	Glis3	-1.23002197808378	9.2687921250569e-09
ENSMUSG00000036721.15	Zscan12	1.08949133245009	9.66084107202149e-09
ENSMUSG00000050549.9	Fam241a	-1.65308567043741	9.94257181034475e-09
ENSMUSG00000057137.10	Tmem140	1.78549095140555	1.02022001561398e-08
ENSMUSG00000037060.4	Cavin3	-1.96702336379061	1.0326827166407e-08
ENSMUSG00000071604.6	Fam189a2	1.2955313465943	1.16030227717307e-08
ENSMUSG00000041592.17	Sdk2	1.40444963458269	1.29533503565657e-08
ENSMUSG00000027669.15	Gnb4	-1.31887411833444	1.29533503565657e-08
ENSMUSG00000027313.4	Chac1	2.33478764200302	1.37974053129429e-08
ENSMUSG00000070002.8	Ell	1.14379554209726	1.75353404611913e-08
ENSMUSG00000019832.6	Rab32	-0.919688056159333	1.75353404611913e-08
ENSMUSG00000045973.19	Slc25a51	1.38014731029437	2.02809435659618e-08
