Geneid	Symbol	log2FC	adj.P.Val
ENSMUSG00000021356.11	Irf4	-3.92955016374458	9.16974729681688e-12
ENSMUSG00000028211.12	Trp53inp1	-3.33907075474079	7.05972095867674e-11
ENSMUSG00000045730.5	Adrb2	-2.70499944170414	7.61123551765035e-11
ENSMUSG00000029446.15	Psph	1.48023917577699	1.74419716303461e-10
ENSMUSG00000032376.13	Usp3	-1.15808179948667	6.65779894652889e-10
ENSMUSG00000018372.14	Cep95	-1.07500974987978	7.63614951733583e-10
ENSMUSG00000026643.17	Nmt2	-1.19533000539905	7.81259092877057e-10
ENSMUSG00000020917.18	Acly	2.46804622188479	3.33938591018452e-09
ENSMUSG00000057137.10	Tmem140	-1.99352663840196	3.41673195589775e-09
ENSMUSG00000038446.9	Cdc40	-1.24996834447767	4.2313105327551e-09
ENSMUSG00000031889.10	D230025D16Rik	-1.38898282497047	4.96449440453071e-09
ENSMUSG00000023019.13	Gpd1	2.24912311261798	8.84842513109889e-09
ENSMUSG00000042599.9	Kdm7a	-1.25607052206661	1.01377377675904e-08
ENSMUSG00000030986.14	Dhx32	1.73850536718682	1.10626356070143e-08
ENSMUSG00000033365.15	Ipo13	0.862724429115525	1.10626356070143e-08
ENSMUSG00000070436.13	Serpinh1	1.64659071027855	1.10626356070143e-08
ENSMUSG00000066042.5	Med18	-1.45798593660008	1.17896976378002e-08
ENSMUSG00000053846.6	Lipg	-2.00339085067743	1.08580617845352e-08
ENSMUSG00000021196.15	Pfkp	1.21265197832663	1.65093848823848e-08
ENSMUSG00000029730.17	Mcm7	-0.947394506226405	2.90546193746193e-08
ENSMUSG00000059201.13	Lep	4.11313886434339	2.90546193746193e-08
ENSMUSG00000036721.15	Zscan12	-1.01174840255956	3.05710134738922e-08
ENSMUSG00000027346.16	Gpcpd1	-1.87089654690913	3.05710134738922e-08
ENSMUSG00000030747.6	Dgat2	3.27175139091754	3.05710134738922e-08
ENSMUSG00000028339.18	Col15a1	1.71060549752674	3.91711250163895e-08
ENSMUSG00000039770.7	Ypel5	-1.46573404499358	4.21889585255332e-08
ENSMUSG00000019577.7	Pdk4	-3.38245340979643	4.50978287448762e-08
ENSMUSG00000020448.17	Rnf185	-1.01110963744361	5.21072091011671e-08
ENSMUSG00000059878.13	Zfp422	-0.780239559269567	5.21072091011671e-08
ENSMUSG00000041653.6	Pnpla3	3.30532874755048	5.31089042193129e-08
ENSMUSG00000047330.9	Kcne4	-1.79838961105829	5.21072091011671e-08
ENSMUSG00000038295.15	Atg9b	1.25329550256678	3.91711250163895e-08
ENSMUSG00000028961.16	Pgd	1.83470130910241	7.30613018135569e-08
ENSMUSG00000070002.8	Ell	-1.06887795395667	7.47157855321393e-08
ENSMUSG00000027357.17	Crls1	-2.10896385713293	7.81080739186996e-08
ENSMUSG00000029471.14	Camkk2	1.18068550309197	1.04792557249688e-07
ENSMUSG00000056413.17	Adap1	2.3722599746041	1.14929850389116e-07
ENSMUSG00000034981.10	Parm1	1.55478357569972	1.14929850389116e-07
ENSMUSG00000027313.4	Chac1	-2.01144667480129	1.20449989778938e-07
ENSMUSG00000025153.10	Fasn	2.83856624528798	1.23757377629274e-07
ENSMUSG00000021376.12	Tpmt	-1.45508426839485	1.69088489746219e-07
ENSMUSG00000025203.7	Scd2	2.43875358650197	1.89132276127099e-07
ENSMUSG00000027961.8	Lrrc39	1.58790550585341	1.90265069088409e-07
ENSMUSG00000038546.10	Ranbp9	-1.49709869430754	1.97632944070117e-07
ENSMUSG00000004356.9	Utp20	0.743547901712321	2.04735225041939e-07
ENSMUSG00000032456.14	Nmnat3	-1.00803624247074	2.342550802627e-07
ENSMUSG00000032577.17	Mapkapk3	1.15108336246693	2.46875927728e-07
ENSMUSG00000036478.9	Btg1	-1.24819898239252	2.63205471615808e-07
ENSMUSG00000035049.5	Rrp12	1.31060552950331	2.76696193339229e-07
ENSMUSG00000020130.10	Tbc1d15	-1.05257766398692	2.78249152719998e-07
ENSMUSG00000041592.17	Sdk2	-1.13570245263408	2.79129244978129e-07
ENSMUSG00000006418.18	Rnf114	-0.929863915064064	2.78249152719998e-07
ENSMUSG00000049313.9	Sorl1	1.43386410847005	2.88451627059506e-07
ENSMUSG00000029370.11	Rassf6	-1.72581595733649	2.88451627059506e-07
ENSMUSG00000030103.12	Bhlhe40	1.71046090866145	3.58644490099529e-07
ENSMUSG00000045795.11	Whamm	-1.40923647751631	4.00718167752922e-07
ENSMUSG00000049112.10	Oxtr	3.13497774334641	4.49407718678683e-07
ENSMUSG00000062101.13	Zfp119b	-0.792659745298522	4.50825597655487e-07
ENSMUSG00000030924.17	Rexo5	-1.36457074753031	4.8995241062673e-07
ENSMUSG00000026484.14	Rnf2	-0.822106662515325	4.8995241062673e-07
ENSMUSG00000050373.14	Snx21	-1.01730141469474	5.04697565137707e-07
ENSMUSG00000052214.10	Opa3	0.787066158724614	5.11646855230176e-07
ENSMUSG00000026107.12	Nabp1	2.04852412354761	5.37500203403214e-07
