Geneid	Symbol	HFD_GElaS
ENSMUSG00000036752.5	Tubb4b	0.841296552269044
ENSMUSG00000028551.15	Cdkn2c	0.0496327969174721
ENSMUSG00000073802.6	Cdkn2b	0.846710325056137
ENSMUSG00000031924.5	Cyb5b	0.0141113953623238
ENSMUSG00000052214.10	Opa3	0.505111980183261
ENSMUSG00000041078.8	Grid1	0
ENSMUSG00000025876.16	Unc5a	0
ENSMUSG00000072235.7	Tuba1a	0.693236966101578
ENSMUSG00000019577.7	Pdk4	1.43225135175457
ENSMUSG00000024777.11	Ppp2r5b	0.532264393282393
ENSMUSG00000001700.11	Gramd3	0.145186207387899
ENSMUSG00000029821.16	Gsdme	0.038193535810765
ENSMUSG00000023885.10	Thbs2	0.224211619797301
ENSMUSG00000021109.14	Hif1a	0.49502823600055
ENSMUSG00000022361.15	Zhx1	0.547817524624578
ENSMUSG00000039956.10	Mrap	0.0784767176145595
ENSMUSG00000029446.15	Psph	0
ENSMUSG00000023004.9	Tuba1b	0.617810272750576
ENSMUSG00000027605.19	Acss2	0
ENSMUSG00000019832.6	Rab32	0.148594853468703
ENSMUSG00000058624.14	Gda	0.0182903379610427
ENSMUSG00000049327.18	Kmt5a	0.00342568071465071
ENSMUSG00000041939.15	Mvk	0
ENSMUSG00000070436.13	Serpinh1	0.183243877011023
ENSMUSG00000032418.16	Me1	0
ENSMUSG00000032018.15	Sc5d	0.104035405518817
ENSMUSG00000030986.14	Dhx32	0.987455905358269
ENSMUSG00000029701.16	Rbm28	0.47549010029614
ENSMUSG00000020917.18	Acly	0.155946541472516
ENSMUSG00000090523.3	Gypc	0
ENSMUSG00000033405.5	Nudt15	0.420364759702496
ENSMUSG00000053390.17	Zfp952	0.0879054890891875
ENSMUSG00000035198.10	Tubg1	0
ENSMUSG00000044288.7	Cnr1	0
ENSMUSG00000028664.15	Ephb2	0.302072088612598
ENSMUSG00000021719.10	Rgs7bp	0.20865850194431
ENSMUSG00000003528.16	Slc25a1	0
ENSMUSG00000026005.16	Rpe	0
ENSMUSG00000022974.13	Paxbp1	0.167146973844691
ENSMUSG00000050549.9	Fam241a	0
ENSMUSG00000025203.7	Scd2	0
ENSMUSG00000070867.5	Trabd2b	0
ENSMUSG00000036136.10	Fam110c	0.916836648355247
ENSMUSG00000020869.9	Lrrc59	0.657572737284706
ENSMUSG00000026922.14	Agpat2	0.844847015405305
ENSMUSG00000030747.6	Dgat2	0.719322626767651
ENSMUSG00000031936.10	Hephl1	0.299978326047629
ENSMUSG00000039824.5	Myl6b	0
ENSMUSG00000063954.8	H2ac19	0
ENSMUSG00000057963.10	Itpk1	0.767595683206603
ENSMUSG00000041740.17	Rnf10	0.0569579153658484
ENSMUSG00000057137.10	Tmem140	0.44317845134724
ENSMUSG00000004837.3	Grap	0.0331443170560889
ENSMUSG00000002341.9	Ncan	0
ENSMUSG00000022757.20	Tfg	0.0430351987512136
ENSMUSG00000025511.16	Tspan4	0
ENSMUSG00000070002.8	Ell	0.268877250170629
ENSMUSG00000052396.8	Mogat2	0
ENSMUSG00000038393.15	Txnip	0.317305306192739
ENSMUSG00000039270.10	Megf9	0.381604997283617
ENSMUSG00000058966.14	Tlcd3b	0.124992337571074
ENSMUSG00000044244.19	Il20rb	0.19903306442817
ENSMUSG00000032754.15	Slc8b1	1.1179060875134
ENSMUSG00000025792.10	Slc25a10	0
ENSMUSG00000010936.12	Vac14	0.0161081346627337
ENSMUSG00000029575.18	Mmab	0.144480414213044
ENSMUSG00000030609.19	Aen	0.709585329006578
ENSMUSG00000070280.14	Slc22a14	0.286864146034669
ENSMUSG00000033105.13	Lss	0.00875132008956461
ENSMUSG00000028671.17	Gale	0.482682957983674
ENSMUSG00000055053.19	Nfic	0.448259574248547
ENSMUSG00000002058.14	Unc119	0.288997318235336
ENSMUSG00000044916.11	1700029I15Rik	0.341286024667067
ENSMUSG00000074794.11	Arrdc3	2.89618380404826
ENSMUSG00000020709.16	Adap2	0.459182295302576
ENSMUSG00000092035.9	Peg10	0.175722009752611
ENSMUSG00000003031.15	Cdkn1b	0.239686763405903
ENSMUSG00000032577.17	Mapkapk3	0.265384424744756
ENSMUSG00000036078.17	Sigmar1	0
ENSMUSG00000035834.12	Polr3g	0.0407820287689624
ENSMUSG00000030058.18	Copg1	0
ENSMUSG00000027952.17	Pmvk	0
ENSMUSG00000001630.14	Stk38l	0.141957051280686
ENSMUSG00000032594.12	Ip6k1	0.116914910414787
ENSMUSG00000037669.16	Ldah	0.0256933044150856
ENSMUSG00000058743.7	Kcnj14	0.0174557864402902
ENSMUSG00000031864.17	Ints10	0.251234055043607
ENSMUSG00000001755.13	Coasy	0
ENSMUSG00000005299.7	Letm1	0
ENSMUSG00000042688.17	Mapk6	0.725716865729738
ENSMUSG00000000730.14	Dnmt3l	0.296069242544819
ENSMUSG00000057469.9	E2f6	0.12217738903576
ENSMUSG00000022051.16	Bnip3l	0.0697819565661746
ENSMUSG00000031960.15	Aars	0.157162031950166
ENSMUSG00000049999.5	Ppp1r3d	1.58970567728882
