Geneid	Symbol	log2FC	adj.P.Val
ENSMUSG00000036752.5	Tubb4b	-1.17999765440279	4.73351850132227e-07
ENSMUSG00000028551.15	Cdkn2c	-1.50161811635047	1.14390225426449e-06
ENSMUSG00000073802.6	Cdkn2b	-1.77339732123354	1.28470584690704e-06
ENSMUSG00000031924.5	Cyb5b	-1.27074554754837	1.50606570630038e-06
ENSMUSG00000052214.10	Opa3	-0.744634354769652	2.06439223157386e-06
ENSMUSG00000041078.8	Grid1	-1.59362934670971	1.5165059137578e-06
ENSMUSG00000025876.16	Unc5a	-1.21475653096624	2.06439223157386e-06
ENSMUSG00000072235.7	Tuba1a	-2.31310735389004	2.06439223157386e-06
ENSMUSG00000019577.7	Pdk4	2.46956189391863	2.06439223157386e-06
ENSMUSG00000024777.11	Ppp2r5b	-0.918183504636648	2.06439223157386e-06
ENSMUSG00000001700.11	Gramd3	-0.68800516693947	2.06439223157386e-06
ENSMUSG00000029821.16	Gsdme	-0.778709524964652	2.73075812904228e-06
ENSMUSG00000023885.10	Thbs2	1.457095010689	3.27833515122305e-06
ENSMUSG00000021109.14	Hif1a	-0.802014804038098	6.39101597712354e-06
ENSMUSG00000022361.15	Zhx1	-0.869453947977268	7.1005503426166e-06
ENSMUSG00000039956.10	Mrap	-1.2741866070899	7.83823314072296e-06
ENSMUSG00000029446.15	Psph	-0.758075244643549	8.34818707080572e-06
ENSMUSG00000023004.9	Tuba1b	-1.1685322928858	8.34818707080572e-06
ENSMUSG00000027605.19	Acss2	-1.24906060192398	8.69089384398394e-06
ENSMUSG00000019832.6	Rab32	-0.608614901398617	1.052882826612e-05
ENSMUSG00000058624.14	Gda	-0.970945466560099	1.35627173511436e-05
ENSMUSG00000049327.18	Kmt5a	-0.936087816410971	1.62268541530035e-05
ENSMUSG00000041939.15	Mvk	-0.821794561639358	1.63189468286204e-05
ENSMUSG00000070436.13	Serpinh1	-1.01768176376925	1.63189468286204e-05
ENSMUSG00000032418.16	Me1	-0.974934370321566	1.63189468286204e-05
ENSMUSG00000032018.15	Sc5d	-1.14105037269281	2.64062526820137e-05
