Geneid	Symbol	log2FC	adj.P.Val
ENSMUSG00000059824.13	Dbp	1.5397876058503	0.000695065533941973
ENSMUSG00000074063.11	Osgin1	1.61623794689592	0.000724496571556699
ENSMUSG00000028480.15	Glipr2	-0.661943356569671	0.00107881151497735
ENSMUSG00000019505.8	Ubb	-1.48279391210162	0.00146665587907594
ENSMUSG00000066042.5	Med18	-0.897130721880054	0.00436344478845362
ENSMUSG00000034858.17	Fam214a	-1.1379304548884	0.0107955628299047
ENSMUSG00000074794.11	Arrdc3	-1.49628399418406	0.0107955628299047
ENSMUSG00000023905.16	Tnfrsf12a	1.15470722777465	0.0107955628299047
ENSMUSG00000036752.5	Tubb4b	0.567941833814379	0.0121018601423868
ENSMUSG00000028967.11	Errfi1	-1.26242914779797	0.0122678458893839
ENSMUSG00000025269.17	Apex2	0.611673528387809	0.0127855925690495
ENSMUSG00000033450.9	Tagap	-1.20742304748611	0.0190301272106369
ENSMUSG00000039384.9	Dusp10	1.28270938911017	0.0195159082024158
ENSMUSG00000041607.18	Mbp	0.46296627254011	0.0196787224060916
ENSMUSG00000019997.12	Ccn2	-1.12333654077018	0.0196787224060916
ENSMUSG00000055652.15	Klhl25	0.797492801015597	0.0196787224060916
ENSMUSG00000021732.15	Fgf10	1.09439043157208	0.0241312524166898
ENSMUSG00000052305.7	Hbb-bs	-1.09772610287669	0.024870011706332
ENSMUSG00000032193.10	Ldlr	1.23597254760462	0.0263089874493064
ENSMUSG00000019850.12	Tnfaip3	-0.58119462519948	0.0302034567873414
ENSMUSG00000037887.12	Dusp8	0.706221024328604	0.0305473070367634
ENSMUSG00000027397.15	Slc20a1	0.766327843869961	0.0312261143944686
ENSMUSG00000032754.15	Slc8b1	-0.631600983245803	0.0312261143944686
ENSMUSG00000030986.14	Dhx32	0.608705472480664	0.0350830817308593
ENSMUSG00000045382.7	Cxcr4	-1.24517082014809	0.0372793935093721
ENSMUSG00000028300.15	C9orf72	0.778431239672853	0.0425324076304034
ENSMUSG00000015305.7	Sash1	0.766803576651093	0.0463204687809701
ENSMUSG00000004356.9	Utp20	0.336892691608576	0.0470969889521116
ENSMUSG00000039529.10	Atp8b1	0.634221232388515	0.0470969889521116
ENSMUSG00000039834.18	Zfp335	0.468834465598047	0.0470969889521116
ENSMUSG00000031431.14	Tsc22d3	-1.20276862046476	0.0470969889521116
ENSMUSG00000039081.11	Zfp503	0.732347799333898	0.0470969889521116
ENSMUSG00000029033.17	Acap3	0.3923575648143	0.0473678579460943
ENSMUSG00000059878.13	Zfp422	-0.331118206860411	0.051077809803302
ENSMUSG00000028128.14	F3	0.559862626426089	0.051077809803302
ENSMUSG00000027765.7	P2ry1	-0.57046569575059	0.051077809803302
ENSMUSG00000039630.11	Hnrnpu	0.290184373801603	0.051077809803302
ENSMUSG00000052155.6	Acvr2a	0.327480185473907	0.051077809803302
ENSMUSG00000026028.13	Trak2	0.536913935432132	0.051077809803302
ENSMUSG00000039157.13	Fam102a	0.846338655652978	0.0515267375750477
ENSMUSG00000041777.13	Cir1	-0.473326632639167	0.051077809803302
ENSMUSG00000020381.11	Mrnip	-0.599463645726691	0.0526725606107318
ENSMUSG00000039156.20	Stim2	0.572474437186818	0.051077809803302
ENSMUSG00000049999.5	Ppp1r3d	0.913956420849908	0.0526725606107318
ENSMUSG00000052214.10	Opa3	0.346593004403423	0.0526725606107318
ENSMUSG00000024335.21	Brd2	0.374702825480492	0.0526725606107318
ENSMUSG00000016520.8	Lnx2	0.611522474459073	0.0567095821789835
ENSMUSG00000029471.14	Camkk2	0.453727156850919	0.0565922355082247
ENSMUSG00000024622.9	Hmgxb3	0.355500141009891	0.0586385181201673
ENSMUSG00000049580.13	Tsku	1.50315330025688	0.0616110605457605
ENSMUSG00000026094.15	Stk17b	-0.536873947788628	0.0618026953835319
ENSMUSG00000024423.7	Impact	0.414591972286384	0.0619718738060293
ENSMUSG00000030609.19	Aen	0.434404124029406	0.0619718738060293
ENSMUSG00000028034.16	Fubp1	0.37904376627158	0.0619718738060293
ENSMUSG00000027806.10	Tsc22d2	1.02090950175985	0.0619718738060293
ENSMUSG00000041417.16	Pik3r1	1.02353752773179	0.0619718738060293
ENSMUSG00000018932.10	Map2k3	0.35235626283189	0.0619718738060293
