Geneid	Symbol	Chow_GElaS
ENSMUSG00000024413.15	Npc1	3.14442400811177
ENSMUSG00000021903.12	Galnt15	2.97277428731472
ENSMUSG00000038217.14	Tlcd2	0.541571822808935
ENSMUSG00000022546.6	Gpt	2.16644511431855
ENSMUSG00000028551.15	Cdkn2c	2.47492086984782
ENSMUSG00000028865.15	Cd164l2	0.181795526422441
ENSMUSG00000030256.12	Bhlhe41	1.40583796714862
ENSMUSG00000061740.9	Cyp2d22	1.21599658313187
ENSMUSG00000036104.13	Rab3gap1	1.40003170141019
ENSMUSG00000021097.16	Clmn	2.93884702380748
ENSMUSG00000058655.10	Eif4b	1.64818950578401
ENSMUSG00000033107.7	Rnf125	2.81662089690856
ENSMUSG00000022419.17	Deptor	0.46464912514018
ENSMUSG00000030562.18	Nox4	2.7906818916069
ENSMUSG00000021094.11	Dhrs7	1.83702629414456
ENSMUSG00000040170.14	Fmo2	1.8818800417507
ENSMUSG00000020108.5	Ddit4	3.93391548843779
ENSMUSG00000032754.15	Slc8b1	2.21901798468158
ENSMUSG00000037926.16	Ssh2	1.75912962222799
ENSMUSG00000024481.6	Lvrn	2.24282725113124
ENSMUSG00000024087.5	Cyp1b1	2.67310699077822
ENSMUSG00000037005.17	Xpnpep2	0.0108689979683134
ENSMUSG00000027074.15	Slc43a3	1.42216527816022
ENSMUSG00000023885.10	Thbs2	1.42012677665891
ENSMUSG00000023004.9	Tuba1b	2.46953611941195
ENSMUSG00000109865.2	Hspa14	0.896699167670627
ENSMUSG00000024030.8	Abcg1	1.27519362109264
ENSMUSG00000002266.18	Zim1	5.02690764648216
ENSMUSG00000032271.14	Nnmt	3.13977907743457
ENSMUSG00000020432.13	Tcn2	1.24169523364558
ENSMUSG00000031889.10	D230025D16Rik	2.53526761347229
ENSMUSG00000033585.6	Ndn	0.447548941654092
ENSMUSG00000038007.15	Acer2	2.44879455728349
ENSMUSG00000025404.16	R3hdm2	1.18542157734224
ENSMUSG00000096188.2	Cmtm4	2.02217723016889
ENSMUSG00000002265.18	Peg3	4.18968539941627
ENSMUSG00000020427.12	Igfbp3	1.30011527445121
ENSMUSG00000038074.17	Fkbp14	0.497968459842179
ENSMUSG00000048355.3	Arxes1	0
ENSMUSG00000035960.15	Apex1	2.83574521133869
ENSMUSG00000005952.16	Trpv1	0.655949510566957
ENSMUSG00000027313.4	Chac1	2.9683301948627
ENSMUSG00000015312.10	Gadd45b	2.48951628514813
