Geneid	Symbol	log2FC	adj.P.Val
ENSMUSG00000024413.15	Npc1	1.8952756664533	2.27422152012898e-09
ENSMUSG00000021903.12	Galnt15	2.44579174091985	2.27422152012898e-09
ENSMUSG00000038217.14	Tlcd2	-1.86123645537801	2.92310982293879e-09
ENSMUSG00000022546.6	Gpt	-2.4069995699827	3.17835197387212e-09
ENSMUSG00000028551.15	Cdkn2c	-1.56611779305118	4.69028997567668e-09
ENSMUSG00000028865.15	Cd164l2	1.78544705360616	5.27429041332059e-09
ENSMUSG00000030256.12	Bhlhe41	-2.09113293676903	6.09721404884472e-09
ENSMUSG00000061740.9	Cyp2d22	2.5044769483909	6.09721404884472e-09
ENSMUSG00000036104.13	Rab3gap1	0.844865746070689	6.09721404884472e-09
ENSMUSG00000021097.16	Clmn	1.51726606440224	6.17144750965763e-09
ENSMUSG00000058655.10	Eif4b	1.03708269719385	6.17144750965763e-09
ENSMUSG00000033107.7	Rnf125	2.5206240827128	8.84430887897928e-09
ENSMUSG00000022419.17	Deptor	-1.58800714121107	1.01098119703188e-08
ENSMUSG00000030562.18	Nox4	1.5238107013309	1.01098119703188e-08
ENSMUSG00000021094.11	Dhrs7	-1.42343009921542	1.01098119703188e-08
ENSMUSG00000040170.14	Fmo2	2.07113246451187	1.01098119703188e-08
ENSMUSG00000020108.5	Ddit4	3.32226844960516	1.01098119703188e-08
ENSMUSG00000032754.15	Slc8b1	1.26315926002628	1.02314362776774e-08
ENSMUSG00000037926.16	Ssh2	1.05929635127591	1.02314362776774e-08
ENSMUSG00000024481.6	Lvrn	1.84142252570935	1.06997132534508e-08
ENSMUSG00000024087.5	Cyp1b1	1.77377958984103	1.60487235730253e-08
ENSMUSG00000037005.17	Xpnpep2	-1.48650787300327	1.59569779149355e-08
ENSMUSG00000027074.15	Slc43a3	1.39561887292407	1.70477523467946e-08
ENSMUSG00000023885.10	Thbs2	1.82684551931735	1.82459131663263e-08
ENSMUSG00000023004.9	Tuba1b	-1.54609796818016	1.82459131663263e-08
ENSMUSG00000109865.2	Hspa14	-0.762922745879941	1.95198267156613e-08
ENSMUSG00000024030.8	Abcg1	1.41776623552359	1.95774905118321e-08
ENSMUSG00000002266.18	Zim1	3.11741153148478	1.75813097309418e-08
ENSMUSG00000032271.14	Nnmt	-2.10980762957645	2.621869926282e-08
ENSMUSG00000020432.13	Tcn2	1.9272407182005	2.621869926282e-08
ENSMUSG00000031889.10	D230025D16Rik	1.41852749350372	2.621869926282e-08
ENSMUSG00000033585.6	Ndn	-1.39163800890348	2.621869926282e-08
ENSMUSG00000038007.15	Acer2	1.64872728013433	2.621869926282e-08
ENSMUSG00000025404.16	R3hdm2	0.895802789598731	2.621869926282e-08
ENSMUSG00000096188.2	Cmtm4	1.31668008698913	2.621869926282e-08
ENSMUSG00000002265.18	Peg3	3.00732009610776	2.621869926282e-08
ENSMUSG00000020427.12	Igfbp3	3.0876260521994	2.621869926282e-08
ENSMUSG00000038074.17	Fkbp14	-0.958570853670186	2.6562400477499e-08
ENSMUSG00000048355.3	Arxes1	-1.70955937301591	2.88212828084846e-08
ENSMUSG00000035960.15	Apex1	-1.43889755734514	2.88212828084846e-08
ENSMUSG00000005952.16	Trpv1	-1.84783451521126	2.621869926282e-08
ENSMUSG00000027313.4	Chac1	2.55536556633989	2.88212828084846e-08
ENSMUSG00000015312.10	Gadd45b	2.28993710141726	3.22204336628959e-08
ENSMUSG00000025184.11	R3hcc1l	0.582096335214121	3.71612378568806e-08
ENSMUSG00000020097.15	Sgpl1	1.53881401154132	3.71894807700033e-08
ENSMUSG00000026500.7	Cox20	-1.20429942606996	3.85415685759066e-08
ENSMUSG00000006014.17	Prg4	3.06977552930423	3.71894807700033e-08
ENSMUSG00000028906.18	Epb41	1.01339098920926	3.93694593767839e-08
ENSMUSG00000014776.8	Nol3	-1.85389481708237	4.0646415889728e-08
ENSMUSG00000027203.16	Dut	-1.199052374792	4.28387381411515e-08
ENSMUSG00000055320.19	Tead1	1.77162379277448	5.16294548943849e-08
ENSMUSG00000029446.15	Psph	-1.22790237711831	5.22752166221201e-08
ENSMUSG00000038025.9	Phf2	1.32499749995024	5.22752166221201e-08
ENSMUSG00000038412.9	Higd1a	-1.2470638423582	5.42629886058742e-08
ENSMUSG00000020917.18	Acly	-2.16148038935304	6.23826754109104e-08
ENSMUSG00000007817.16	Zmiz1	1.37705205736265	6.87276170337677e-08
ENSMUSG00000060935.7	Tmem263	-1.03688886751903	6.92816110849009e-08
ENSMUSG00000028893.9	Sesn2	1.71955642007992	7.20883499698138e-08
ENSMUSG00000018126.16	Baiap2l2	-2.20627579010189	4.53149315451448e-08
ENSMUSG00000025025.15	Mxi1	1.06002861523425	7.37070820077169e-08
ENSMUSG00000034135.16	Sik3	1.07698496807073	8.42298572487392e-08
ENSMUSG00000034858.17	Fam214a	2.02155499345144	9.08656683478315e-08
ENSMUSG00000023078.7	Cxcl13	3.38652664319664	9.20180123652307e-08
ENSMUSG00000038342.16	Mlxip	1.35274061180559	9.2352067173582e-08
ENSMUSG00000045915.16	Ccdc42	-2.13624077961568	1.95198267156613e-08
ENSMUSG00000010830.9	Kdelr3	-1.83993006920166	1.06307674081371e-07
ENSMUSG00000026360.10	Rgs2	2.5105274253449	1.10088374075068e-07
ENSMUSG00000014791.11	Elmo3	-1.22966994559723	1.10088374075068e-07
ENSMUSG00000038344.15	Txlng	1.31320817939436	1.10088374075068e-07
ENSMUSG00000001642.19	Akr1b3	-0.907153625665732	1.15798366324242e-07
ENSMUSG00000025930.7	Msc	1.58347346893913	1.12966542833133e-07
ENSMUSG00000022324.16	Matn2	-1.68461819976664	1.18118166360592e-07
ENSMUSG00000040521.12	Tsfm	-1.12844874934424	1.19310939060348e-07
ENSMUSG00000036941.3	Elac1	0.833632704697191	1.2077951180873e-07
ENSMUSG00000059824.13	Dbp	-2.45212482913615	1.21845503212326e-07
ENSMUSG00000006423.16	C330007P06Rik	1.36876106380224	1.26137640711597e-07
ENSMUSG00000044534.9	Ackr2	1.61882235314911	1.31780043648453e-07
ENSMUSG00000028211.12	Trp53inp1	2.0427856249426	1.31780043648453e-07
ENSMUSG00000004473.11	Clec11a	-1.24988766402903	1.35352933145573e-07
ENSMUSG00000073490.12	Ifi207	1.32270066218586	1.43447077256262e-07
ENSMUSG00000029190.20	D5Ertd579e	-0.853913478374309	1.48658282618734e-07
ENSMUSG00000024039.16	Cbs	2.24980176564738	1.55531524361476e-07
ENSMUSG00000030747.6	Dgat2	-1.81118810420741	1.6262142237994e-07
ENSMUSG00000041939.15	Mvk	-1.17122816393522	1.6262142237994e-07
ENSMUSG00000047528.14	Flacc1	-1.82691923150731	1.95841545636173e-07
ENSMUSG00000034973.17	Dop1a	0.826678269850219	2.02237980714064e-07
ENSMUSG00000070348.6	Ccnd1	-1.4252482201396	2.15150866171367e-07
ENSMUSG00000050549.9	Fam241a	-1.56999472865968	2.20877928373552e-07
ENSMUSG00000021594.12	Srd5a1	-1.21932488203255	1.87193069569882e-07
ENSMUSG00000030161.9	Gabarapl1	1.23955409119884	2.22766229579795e-07
ENSMUSG00000020150.14	Gamt	-2.27781826869902	2.24014359834288e-07
ENSMUSG00000032418.16	Me1	-1.99859014843507	2.24014359834288e-07
ENSMUSG00000032126.17	Hmbs	-0.885142027464978	2.1965367922767e-07
ENSMUSG00000066571.14	Garre1	2.04034401562189	2.24850557769311e-07
ENSMUSG00000025950.17	Idh1	-1.17923088239232	2.31575696724651e-07
ENSMUSG00000020614.14	Fam20a	1.00333252290168	2.39988593026664e-07
ENSMUSG00000042599.9	Kdm7a	1.12198049176114	2.34439129430123e-07
ENSMUSG00000031808.8	Slc27a1	1.61575514291568	2.49828843214933e-07
ENSMUSG00000004665.11	Cnn2	-1.03295800142539	2.39988593026664e-07
ENSMUSG00000029370.11	Rassf6	1.40905002710702	2.56124358381147e-07
ENSMUSG00000010453.13	Kansl3	0.822708403221061	2.5330718600624e-07
ENSMUSG00000034235.18	Usp54	1.49769409404156	2.6749414962915e-07
ENSMUSG00000026385.17	Dbi	-1.57873905926089	2.73328832921389e-07
ENSMUSG00000020802.9	Ube2o	0.978614513959149	2.67584605309082e-07
ENSMUSG00000027996.14	Sfrp2	-1.61422939944701	2.81776234191798e-07
ENSMUSG00000024082.6	Ndufaf7	-0.768438671045482	2.98462401808134e-07
ENSMUSG00000032348.7	Gsta4	-1.90046864574136	3.08958862010899e-07
ENSMUSG00000020130.10	Tbc1d15	0.745254435058327	3.08958862010899e-07
ENSMUSG00000045094.9	Arhgef37	2.17613334977003	3.21011314016542e-07
ENSMUSG00000012114.18	Med15	0.816603943883894	3.13699016805214e-07
ENSMUSG00000112129.2	Pbld1	1.5955464481765	3.31284889081733e-07
ENSMUSG00000033308.17	Dpyd	1.57776401209609	3.1943639487519e-07
ENSMUSG00000025151.17	Maged1	-0.665100168119577	3.3670042897574e-07
ENSMUSG00000036833.17	Pnpla7	1.4526237104686	3.31284889081733e-07
ENSMUSG00000031604.11	Msmo1	-1.03881443657349	3.3670042897574e-07
ENSMUSG00000022577.18	Ly6h	-1.69775818859394	3.3670042897574e-07
ENSMUSG00000034908.17	Sidt2	0.965991323312622	3.43101010967521e-07
