Geneid	Symbol	log2FC	adj.P.Val
ENSMUSG00000046794.10	Ppp1r3b	4.1104612231186	6.16302200085078e-12
ENSMUSG00000029446.15	Psph	1.8969573137465	7.52395641363452e-11
ENSMUSG00000050737.14	Ptges	3.0663812247583	7.67490666107544e-11
ENSMUSG00000034981.10	Parm1	2.32773087004041	7.67490666107544e-11
ENSMUSG00000008035.13	Mid1ip1	2.61809430740353	7.67490666107544e-11
ENSMUSG00000032898.10	Fbxo21	-2.9146436573937	8.60201706383137e-11
ENSMUSG00000062901.4	Klhl24	-1.45997314102211	1.30322125024438e-10
ENSMUSG00000020917.18	Acly	3.30779976522867	1.38516491910419e-10
ENSMUSG00000023988.9	Bysl	1.68588547775603	1.61743839392277e-10
ENSMUSG00000021196.15	Pfkp	1.49275454731043	1.61743839392277e-10
ENSMUSG00000022351.15	Sqle	1.96206825945585	2.94477192714425e-10
ENSMUSG00000026489.14	Coq8a	-1.24676997689794	2.94477192714425e-10
ENSMUSG00000060950.13	Trmt61a	1.69040058999113	2.94477192714425e-10
ENSMUSG00000055493.5	Epm2a	-1.30832949220658	2.98126852866611e-10
ENSMUSG00000001416.14	Cct3	1.3189551288545	2.98126852866611e-10
ENSMUSG00000028410.14	Dnaja1	1.50877132793441	2.98126852866611e-10
ENSMUSG00000047822.9	Angptl8	5.25919565035274	2.98126852866611e-10
ENSMUSG00000042487.7	Leo1	1.53202414906988	3.23634255245035e-10
ENSMUSG00000010554.15	Mettl16	1.13075402405763	4.21946033834945e-10
ENSMUSG00000028961.16	Pgd	2.20608469140199	4.80719464574952e-10
ENSMUSG00000015656.18	Hspa8	1.64669897593226	4.83737993266814e-10
ENSMUSG00000005481.19	Ddx39a	1.40773831737949	5.73870269889184e-10
ENSMUSG00000027589.15	Pcmtd2	-1.28188583663447	6.47831840990018e-10
ENSMUSG00000052214.10	Opa3	1.26757036273959	7.23539610236066e-10
ENSMUSG00000053604.6	Rpia	1.48344568906572	7.35829938071274e-10
ENSMUSG00000024966.10	Stip1	1.45882932701292	7.61932126396983e-10
ENSMUSG00000002343.12	Armc6	1.43704474779249	7.61932126396983e-10
ENSMUSG00000020034.8	Tcp11l2	-1.28671704468865	8.64232348015456e-10
ENSMUSG00000009013.6	Dynll1	1.21903977795517	8.64232348015456e-10
ENSMUSG00000030747.6	Dgat2	2.48650260836362	9.2297693486666e-10
ENSMUSG00000018740.15	Slc25a35	1.74786556547781	1.35754657181656e-09
ENSMUSG00000025656.18	Arhgef9	-1.34517805500689	1.34040290928453e-09
ENSMUSG00000021037.8	Ahsa1	1.36646734237358	1.35754657181656e-09
ENSMUSG00000024413.15	Npc1	-1.67105798159192	1.35754657181656e-09
ENSMUSG00000021902.8	Phf7	-0.934919491133303	1.35754657181656e-09
ENSMUSG00000029701.16	Rbm28	1.28961527835326	1.35754657181656e-09
ENSMUSG00000022801.14	Lrch3	-1.25919558030264	1.35754657181656e-09
ENSMUSG00000026036.18	Nif3l1	0.894109594759478	1.5054329546652e-09
ENSMUSG00000032557.14	Uba5	1.01505311809701	1.53486035152516e-09
ENSMUSG00000050270.13	Tmem220	-1.15781653558214	1.53798001482419e-09
ENSMUSG00000038539.16	Atf5	1.62590834039781	1.59878793328207e-09
ENSMUSG00000035713.16	Usp35	-1.5020403090712	1.59878793328207e-09
ENSMUSG00000090523.3	Gypc	1.46150038343129	1.62442620664249e-09
ENSMUSG00000070476.11	Fam217b	1.42680227541017	1.70879307696517e-09
ENSMUSG00000004951.11	Hspb1	2.5590305732501	1.81187580209182e-09
ENSMUSG00000022557.12	Bop1	1.19402590569285	1.81187580209182e-09
ENSMUSG00000070436.13	Serpinh1	2.33197767573251	1.94457138776964e-09
ENSMUSG00000029370.11	Rassf6	-1.93337430499338	1.87086118694739e-09
ENSMUSG00000030269.15	Mtmr14	-1.71292262545456	2.08026864382626e-09
ENSMUSG00000042851.18	Zc3h6	-1.43790749325028	2.08026864382626e-09
ENSMUSG00000020130.10	Tbc1d15	-0.970720238966921	2.25394300032102e-09
ENSMUSG00000011254.17	Thg1l	1.22008383969138	2.28249200480638e-09
ENSMUSG00000030562.18	Nox4	-1.43649649927318	2.30261814889302e-09
ENSMUSG00000020180.11	Snrpd3	0.991621911823979	2.31986796170828e-09
ENSMUSG00000024732.8	Ccdc86	1.29331738679309	2.32991061214207e-09
ENSMUSG00000021097.16	Clmn	-1.48514434874363	2.38833507523883e-09
ENSMUSG00000032575.17	Manf	1.60253385175214	2.38833507523883e-09
ENSMUSG00000024007.16	Ppil1	1.35200203716302	2.38833507523883e-09
ENSMUSG00000046985.12	Tapt1	-1.34315409880943	2.38833507523883e-09
ENSMUSG00000038295.15	Atg9b	1.65454592619677	2.08026864382626e-09
ENSMUSG00000014226.11	Cacybp	1.25287110879328	2.98429410091148e-09
ENSMUSG00000050668.11	Gpatch11	0.833458480267204	3.42413258926146e-09
ENSMUSG00000042608.16	Stk40	1.64843168892333	3.63886712254805e-09
ENSMUSG00000006442.11	Srm	1.13394493538232	3.81999796954868e-09
ENSMUSG00000038393.15	Txnip	-1.79098892771206	3.81999796954868e-09
ENSMUSG00000025269.17	Apex2	0.97019377846987	4.09437192654888e-09
ENSMUSG00000035121.7	Neil2	-1.60721701441117	4.09437192654888e-09
ENSMUSG00000020361.14	Hspa4	0.995861467177868	4.42206502796477e-09
ENSMUSG00000039100.11	Marchf6	-1.04450382305087	4.44743924663744e-09
ENSMUSG00000029657.16	Hsph1	2.31756964298188	4.44743924663744e-09
ENSMUSG00000020873.16	Slc35b1	1.1689248398495	4.77695249149404e-09
ENSMUSG00000001420.14	Tmem79	1.58482583025464	5.25378786969731e-09
ENSMUSG00000032902.2	Slc16a1	2.12042372427975	5.25378786969731e-09
ENSMUSG00000029190.20	D5Ertd579e	1.02693287248014	5.25378786969731e-09
ENSMUSG00000045795.11	Whamm	-1.27780291027211	5.25675478754267e-09
ENSMUSG00000021748.10	Pdhb	1.60408528999884	5.33295271205438e-09
ENSMUSG00000021270.14	Hsp90aa1	2.24066281610096	5.33295271205438e-09
ENSMUSG00000023259.18	Slc26a6	1.16612456133769	5.34402301688641e-09
ENSMUSG00000002266.18	Zim1	-2.69576288839188	5.52061003302824e-09
ENSMUSG00000009633.4	G0s2	2.69995206560127	5.64535769836493e-09
ENSMUSG00000039795.15	Zfand1	-1.03480462295674	5.68138105228162e-09
ENSMUSG00000057137.10	Tmem140	-1.58968920830848	5.68138105228162e-09
ENSMUSG00000038446.9	Cdc40	-1.46280574755022	5.91463503122573e-09
ENSMUSG00000019577.7	Pdk4	-3.13649305131649	5.99816220106996e-09
ENSMUSG00000023019.13	Gpd1	2.00817141591854	5.99816220106996e-09
ENSMUSG00000032193.10	Ldlr	2.03472072348862	6.23195699095194e-09
ENSMUSG00000001774.9	Chordc1	1.47892511555862	6.42176289771339e-09
ENSMUSG00000022383.14	Ppara	-1.51462372543545	7.07032555281395e-09
ENSMUSG00000028211.12	Trp53inp1	-2.27373421274907	7.07772929487781e-09
ENSMUSG00000028551.15	Cdkn2c	1.33571406112944	7.91322719615912e-09
ENSMUSG00000034858.17	Fam214a	-2.21417366325723	8.46165803050097e-09
ENSMUSG00000000628.11	Hk2	1.43922508731668	8.5467496184815e-09
ENSMUSG00000029430.14	Ran	1.27616910924973	8.66346527695585e-09
ENSMUSG00000090112.9	Shprh	-0.762556910271294	8.66346527695585e-09
ENSMUSG00000028893.9	Sesn2	-1.81417520006891	8.83152781307267e-09
ENSMUSG00000066571.14	Garre1	-2.3570112724363	8.95423992833452e-09
ENSMUSG00000031666.16	Rbl2	-1.03106598364597	9.24190349944818e-09
ENSMUSG00000089824.11	Rbm12	1.08416273775098	9.31834747242214e-09
ENSMUSG00000036104.13	Rab3gap1	-0.744309755034543	9.31209949692404e-09
ENSMUSG00000025184.11	R3hcc1l	-0.586869409776094	9.31834747242214e-09
ENSMUSG00000067279.4	Ppp1r3c	2.0358674651565	1.03619874289198e-08
ENSMUSG00000042390.10	Gatad2b	-0.774116380927377	1.09384188539815e-08
ENSMUSG00000001052.16	Sec24b	-0.800453532406785	1.10479946655487e-08
ENSMUSG00000072964.15	Bhlhb9	-1.46618283011067	1.10586768379105e-08
ENSMUSG00000070284.11	Gmppb	1.64665126213106	1.15434944946925e-08
ENSMUSG00000049999.5	Ppp1r3d	1.26400699560708	1.1674263395795e-08
ENSMUSG00000056749.8	Nfil3	2.15898529277837	1.2167875848517e-08
ENSMUSG00000032754.15	Slc8b1	-1.1577962233399	1.22795608857394e-08
ENSMUSG00000037349.10	Nudt22	1.03767080416938	1.34867662057771e-08
ENSMUSG00000035024.17	Ncapd3	-0.909858615125474	1.41988296464869e-08
ENSMUSG00000053801.19	Grwd1	1.68599222158335	1.40043304462988e-08
ENSMUSG00000005362.15	Crbn	-0.935237906777123	1.41992858506602e-08
ENSMUSG00000034973.17	Dop1a	-0.89509436757214	1.45911529155927e-08
ENSMUSG00000022314.11	Rad21	-1.12187023929452	1.45911529155927e-08
ENSMUSG00000070738.11	Dgkd	-1.31628350356527	1.57961425308355e-08
ENSMUSG00000039065.12	Atpsckmt	1.01321051414537	1.57961425308355e-08
ENSMUSG00000028069.17	Gpatch4	1.59605626033796	1.57961425308355e-08
ENSMUSG00000035960.15	Apex1	1.42483511180972	1.6159533151362e-08
ENSMUSG00000030309.17	Caprin2	-0.679542197729566	1.7358847322769e-08
ENSMUSG00000021772.16	Nkiras1	0.77472254503309	1.71837370529496e-08
ENSMUSG00000021712.16	Trim23	-0.788464308207232	1.75146733417276e-08
ENSMUSG00000033102.16	Cdc14b	-0.857260304454919	1.85702851607554e-08
ENSMUSG00000031889.10	D230025D16Rik	-1.31543422468894	1.79981764286498e-08
ENSMUSG00000026643.17	Nmt2	-0.789600019318004	1.81385760938784e-08
ENSMUSG00000034343.15	Ube2f	0.782850227201096	1.93769018574812e-08
ENSMUSG00000056413.17	Adap1	2.40989813738598	2.01815414861019e-08
ENSMUSG00000026864.14	Hspa5	1.65177443593136	2.15994907863912e-08
ENSMUSG00000058655.10	Eif4b	-0.887941480430788	2.16906589070533e-08
ENSMUSG00000004100.13	Ppan	1.04234064463171	2.31848613409328e-08
ENSMUSG00000035049.5	Rrp12	1.63926180974804	2.31848613409328e-08
ENSMUSG00000036534.7	Slc38a7	-0.859031385709889	2.31848613409328e-08
ENSMUSG00000020889.12	Nr1d1	-1.69189439939009	2.39172098143508e-08
ENSMUSG00000017715.12	Pgs1	1.09993480286287	2.39172098143508e-08
ENSMUSG00000038412.9	Higd1a	1.25062911997084	2.39172098143508e-08
ENSMUSG00000038279.11	Nop2	0.927203533637885	2.51860620500523e-08
ENSMUSG00000027513.12	Pck1	-2.69679790784231	2.63687819189854e-08
ENSMUSG00000052917.16	Senp7	-0.633063966141787	2.63687819189854e-08
ENSMUSG00000037926.16	Ssh2	-0.934580898040101	2.59898291334804e-08
ENSMUSG00000029186.13	Pi4k2b	-1.17412488920759	2.63763559574742e-08
ENSMUSG00000025578.10	Cbx8	0.866112185771055	2.705008861249e-08
ENSMUSG00000039770.7	Ypel5	-1.37678252107705	2.705008861249e-08
ENSMUSG00000053774.10	Ubxn7	-0.873239585254685	2.68519074973714e-08
ENSMUSG00000019814.6	Ltv1	0.757411370889247	2.68519074973714e-08
ENSMUSG00000042978.12	Sbk1	1.81156508591218	2.90860559654649e-08
ENSMUSG00000048249.15	Crebrf	-1.28859363314163	3.05679899528099e-08
ENSMUSG00000018425.19	Dhx40	-0.793736879534295	3.07358645544239e-08
ENSMUSG00000032294.18	Pkm	1.40575577174244	3.33217684337061e-08
ENSMUSG00000024228.13	Nudt12	-1.26977735253959	3.25662796001172e-08
ENSMUSG00000038422.3	Hdhd3	1.53874145895363	3.35057984972858e-08
ENSMUSG00000027076.11	Timm10	1.30592459841103	3.31309388570149e-08
ENSMUSG00000020653.13	Klf11	-1.04105027781842	3.33217684337061e-08
ENSMUSG00000035476.10	Tab3	-1.37032722083834	3.34810379683976e-08
ENSMUSG00000073775.5	Kti12	1.16295073992616	3.35057984972858e-08
ENSMUSG00000032577.17	Mapkapk3	1.46801560619785	3.45752573180606e-08
ENSMUSG00000022391.17	Rangap1	1.29045881612939	3.35057984972858e-08
ENSMUSG00000025980.15	Hspd1	1.28851189445238	3.59118429528132e-08
ENSMUSG00000071078.7	Nr2c2ap	1.59313215709915	3.54878606650939e-08
