Geneid	Symbol	HFD_GElaS
ENSMUSG00000028551.15	Cdkn2c	0.554697681389859
ENSMUSG00000038393.15	Txnip	1.32950438871757
ENSMUSG00000005125.14	Ndrg1	0.710054550768286
ENSMUSG00000030747.6	Dgat2	1.90343258746163
ENSMUSG00000064225.7	Paqr9	0.82682790821298
ENSMUSG00000029190.20	D5Ertd579e	1.580880627931
ENSMUSG00000074794.11	Arrdc3	4.37608254157018
ENSMUSG00000029701.16	Rbm28	0.747766447908878
ENSMUSG00000021186.10	Fbln5	0
ENSMUSG00000031924.5	Cyb5b	0.426739646735192
ENSMUSG00000031309.16	Rps6ka3	0.26655650182991
ENSMUSG00000050332.8	Amer1	0.752798845359337
ENSMUSG00000022361.15	Zhx1	0.873753678698796
ENSMUSG00000002266.18	Zim1	0.567319504452073
ENSMUSG00000070867.5	Trabd2b	0.178198265075407
ENSMUSG00000038007.15	Acer2	0.774805256344462
ENSMUSG00000024395.10	Lims2	0.801270408254409
ENSMUSG00000028179.13	Cth	1.71290221170116
ENSMUSG00000020483.15	Dynll2	0.851808671786008
ENSMUSG00000019577.7	Pdk4	2.05563050896347
ENSMUSG00000049303.11	Syt12	1.22970986071766
ENSMUSG00000049999.5	Ppp1r3d	1.29884641082575
ENSMUSG00000026489.14	Coq8a	0.424152667744115
ENSMUSG00000033318.8	Gstt2	0.00595085085138871
ENSMUSG00000058624.14	Gda	0.489529010713654
ENSMUSG00000020869.9	Lrrc59	0.949597662749088
ENSMUSG00000052609.10	Plekhg3	1.25773680793125
ENSMUSG00000026005.16	Rpe	0.129780669872812
ENSMUSG00000032594.12	Ip6k1	0.261689668042876
ENSMUSG00000041078.8	Grid1	0.0457774969119091
ENSMUSG00000092035.9	Peg10	0.675488524825403
ENSMUSG00000042726.15	Trafd1	1.0507743857853
ENSMUSG00000030737.18	Slco2b1	0.524605489538006
ENSMUSG00000032126.17	Hmbs	0.439323188085234
ENSMUSG00000035783.10	Acta2	0
ENSMUSG00000049327.18	Kmt5a	0.454243774875518
ENSMUSG00000032754.15	Slc8b1	1.56342926188961
ENSMUSG00000037926.16	Ssh2	1.24375049816555
ENSMUSG00000062563.16	Cys1	0
ENSMUSG00000022351.15	Sqle	0.292891434255437
ENSMUSG00000081058.6	H3c15	0.324270381759546
ENSMUSG00000024074.9	Crim1	0.62993076567297
ENSMUSG00000044018.4	Mrpl50	0.596728396435624
ENSMUSG00000042675.16	Ypel3	0.174628953160165
ENSMUSG00000057137.10	Tmem140	1.39721364500769
ENSMUSG00000061740.9	Cyp2d22	0.6038685118071
ENSMUSG00000027656.8	Ccn5	0
ENSMUSG00000052214.10	Opa3	0.908407624747818
ENSMUSG00000019814.6	Ltv1	0.590709404125002
ENSMUSG00000028776.15	Tinagl1	0
ENSMUSG00000064105.14	Cnnm2	0.432174035367512
ENSMUSG00000033159.15	Cnppd1	0.41819827715785
ENSMUSG00000021719.10	Rgs7bp	0.264522934511264
ENSMUSG00000057963.10	Itpk1	1.38958791348218
ENSMUSG00000000805.19	Car4	0.942560747339281
ENSMUSG00000052942.14	Glis3	0.101339503326003
ENSMUSG00000023019.13	Gpd1	1.79923148020361
ENSMUSG00000028430.15	Nol6	0.517291697673494
ENSMUSG00000027952.17	Pmvk	0.202677000348433
ENSMUSG00000034858.17	Fam214a	3.14541281160841
ENSMUSG00000000628.11	Hk2	1.31763318954978
ENSMUSG00000023150.15	Ivns1abp	0.294518841218109
ENSMUSG00000016487.16	Ppfibp1	0.699506137945632
ENSMUSG00000048096.8	Lmod1	0.237729881062992
ENSMUSG00000032193.10	Ldlr	2.15615524751345
ENSMUSG00000001552.15	Jup	0.39807400729729
ENSMUSG00000018143.11	Mafk	0.640667632128961
ENSMUSG00000020034.8	Tcp11l2	1.04296119341711
ENSMUSG00000027599.10	Armc1	0.490127908475757
ENSMUSG00000032898.10	Fbxo21	1.58992666661481
ENSMUSG00000010936.12	Vac14	0.182058101023775
ENSMUSG00000021109.14	Hif1a	0.40403786454802
ENSMUSG00000018846.9	Pank3	1.04595947621948
ENSMUSG00000022636.14	Alcam	0
ENSMUSG00000026972.16	Arrdc1	0.83094847111477
ENSMUSG00000023885.10	Thbs2	0.577859441735336
ENSMUSG00000027875.13	Hmgcs2	0
ENSMUSG00000026675.13	Hsd17b7	0.404434894914399
ENSMUSG00000033105.13	Lss	0.125513787701635
ENSMUSG00000033022.9	Cdo1	0.0235604257822332
ENSMUSG00000038412.9	Higd1a	0.145682699859951
ENSMUSG00000020709.16	Adap2	2.30660444725237
ENSMUSG00000025762.17	Larp1b	0.270171351294229
ENSMUSG00000022485.4	Hoxc5	1.38842547165564
ENSMUSG00000033068.17	Entpd6	0.544871428190863
ENSMUSG00000027710.15	Acad9	0.0464068425125091
ENSMUSG00000072235.7	Tuba1a	0.567215042962895
ENSMUSG00000066571.14	Garre1	1.90008027156648
ENSMUSG00000025759.12	Mfsd8	0.64038569553166
ENSMUSG00000070780.12	Rbm47	0.708062364609031
ENSMUSG00000082361.7	Btc	2.02607321375761
ENSMUSG00000053964.18	Lgals4	0
ENSMUSG00000047822.9	Angptl8	4.81272128138884
ENSMUSG00000028337.15	Coro2a	0.380912828930429
ENSMUSG00000031604.11	Msmo1	0.437744070145897
ENSMUSG00000034520.15	Gjc1	0.113393273366457
ENSMUSG00000039270.10	Megf9	0.193675622483759
ENSMUSG00000029311.17	Hsd17b11	0.302089229076352
ENSMUSG00000024924.15	Vldlr	0.0958141987084771
ENSMUSG00000031864.17	Ints10	0.155553823863662
ENSMUSG00000073758.11	Sh3d21	0.251611427529092
ENSMUSG00000051223.15	Bzw1	0.391583192419921
ENSMUSG00000109865.2	Hspa14	0.287286786615712
ENSMUSG00000022546.6	Gpt	0.106308156540509
ENSMUSG00000017309.12	Cd300lg	0.149996467829575
ENSMUSG00000028245.16	Nsmaf	0.243570766493974
ENSMUSG00000075415.14	Fnbp1	0.254674115281027
ENSMUSG00000020607.8	Lratd1	0
ENSMUSG00000035969.16	Rusc2	0.934790520648767
ENSMUSG00000041939.15	Mvk	0.0505301333142392
ENSMUSG00000058258.15	Idi1	0.149263908179255
ENSMUSG00000025223.16	Ldb1	0.0222390453438798
ENSMUSG00000021033.12	Gstz1	0.106424325479173
ENSMUSG00000020937.15	Plcd3	0.211890083823608
ENSMUSG00000021048.8	Mthfd1	0.271851532971396
ENSMUSG00000027429.17	Sec23b	0.26327287898609
ENSMUSG00000090523.3	Gypc	0
ENSMUSG00000001576.16	Ergic1	0.166785981624532
ENSMUSG00000039982.9	Dtx4	0.0672216442977015
ENSMUSG00000020023.19	Tmcc3	0.731917556479386
ENSMUSG00000027947.12	Il6ra	0.67822370448782
ENSMUSG00000006517.6	Mvd	0.357096514233128
ENSMUSG00000058655.10	Eif4b	0.14967718339342
ENSMUSG00000036667.15	Tcaf1	0.165211517768815
ENSMUSG00000040928.16	S100pbp	0.20046387833367
ENSMUSG00000035311.17	Gnptab	0.308957650927202
ENSMUSG00000037621.9	Atoh8	0.665626007290454
ENSMUSG00000036078.17	Sigmar1	0.167033541770817
ENSMUSG00000041852.16	Tcf20	0.756046272901143
ENSMUSG00000028664.15	Ephb2	0.514692133427815
ENSMUSG00000070476.11	Fam217b	1.12720898058148
ENSMUSG00000001440.6	Kpnb1	0.0454620145843465
ENSMUSG00000039956.10	Mrap	0.702151657116859
ENSMUSG00000026170.7	Cyp27a1	0.600372486732424
ENSMUSG00000023075.10	Akirin1	0.68652794776247
ENSMUSG00000038429.11	Usp5	0.128811567586731
ENSMUSG00000018740.15	Slc25a35	0.61427289356228
ENSMUSG00000020427.12	Igfbp3	0
ENSMUSG00000028300.15	C9orf72	1.79807506049376
ENSMUSG00000001036.18	Epn2	0.294603742970358
ENSMUSG00000040550.18	Otud6b	0.220220522691358
ENSMUSG00000037003.17	Tns2	0
ENSMUSG00000029430.14	Ran	0.315778149685624
ENSMUSG00000025792.10	Slc25a10	0.186312172291387
ENSMUSG00000050549.9	Fam241a	0.757727037958542
ENSMUSG00000032085.6	Tagln	0.156254262831825
ENSMUSG00000028713.18	Cyp4b1	0
ENSMUSG00000031204.4	Asb12	0.92551603238385
ENSMUSG00000031557.17	Plekha2	0.372764174562233
ENSMUSG00000028671.17	Gale	0.715394155147216
ENSMUSG00000042190.13	Cmklr1	0.459317701263518
ENSMUSG00000035198.10	Tubg1	0.297274619088646
ENSMUSG00000020286.14	1700093K21Rik	1.175278355962
ENSMUSG00000020361.14	Hspa4	0.624165638783626
ENSMUSG00000027589.15	Pcmtd2	0.742943178962825
ENSMUSG00000038074.17	Fkbp14	0.123563580780425
ENSMUSG00000036298.11	Slc2a13	0
ENSMUSG00000037661.15	Gpr160	1.00998284586624
ENSMUSG00000025036.8	Sfxn2	0.235422490834698
ENSMUSG00000042487.7	Leo1	0.679142606729756
ENSMUSG00000039384.9	Dusp10	2.46692543670834
ENSMUSG00000031812.17	Map1lc3b	0.00314170208721131
ENSMUSG00000032192.10	Gnb5	0.642025942511621
ENSMUSG00000027222.15	Pex16	0.144843708829732
ENSMUSG00000040618.8	Pck2	0.469377125107097
ENSMUSG00000026554.16	Dcaf8	0.138920046227
ENSMUSG00000006356.11	Crip2	0.116087014542755
ENSMUSG00000023267.11	Gabrr2	0.210576725184411
ENSMUSG00000024955.16	Esrra	0.720161970539669
ENSMUSG00000030245.11	Golt1b	0.410824815542557
ENSMUSG00000033720.13	Sfxn5	0.665595389017532
ENSMUSG00000030878.12	Cdr2	2.02361989396678
ENSMUSG00000031960.15	Aars	0.406902887458063
ENSMUSG00000058454.16	Dhcr7	0
ENSMUSG00000010554.15	Mettl16	1.12680563998566
ENSMUSG00000039328.12	Rnf122	0.515492384315098
ENSMUSG00000005374.14	Tbl2	0.872684632042358
ENSMUSG00000028496.18	Mllt3	0.168677993294606
ENSMUSG00000001467.6	Cyp51	0.190308380882163
ENSMUSG00000026036.18	Nif3l1	0.359223294219319
ENSMUSG00000055493.5	Epm2a	0.628830752752903
ENSMUSG00000025937.7	Lactb2	0.199938236752973
ENSMUSG00000040734.15	Ppp1r13l	0.699872985592008
ENSMUSG00000018507.17	Trpv2	0.465136552007031
ENSMUSG00000029446.15	Psph	0.0400433483329558
ENSMUSG00000021796.16	Bmpr1a	1.05595854106165
ENSMUSG00000038290.16	Smg6	0.156180271548603
ENSMUSG00000025324.9	Atp10a	0.235452692440529
ENSMUSG00000030269.15	Mtmr14	1.51144301590468
ENSMUSG00000006442.11	Srm	1.13086970455242
ENSMUSG00000035773.7	Kiss1r	0.640862484675261
ENSMUSG00000025153.10	Fasn	0
ENSMUSG00000030609.19	Aen	1.22408426430567
ENSMUSG00000029821.16	Gsdme	0.0942508532801197
ENSMUSG00000027961.8	Lrrc39	0.349389648836143
ENSMUSG00000036580.16	Spg20	0.320263629281627
ENSMUSG00000053411.17	Cbx7	0.108033890012894
ENSMUSG00000025511.16	Tspan4	0
ENSMUSG00000043122.8	A530016L24Rik	1.23642668785951
ENSMUSG00000044442.12	N6amt1	0.386640454816944
ENSMUSG00000053774.10	Ubxn7	0.630101876337892
ENSMUSG00000021286.9	Zfyve21	0.317164935701107
ENSMUSG00000021775.12	Nr1d2	0
ENSMUSG00000043155.5	Hpdl	1.8115105967255
ENSMUSG00000027639.17	Samhd1	0.785676239624947
ENSMUSG00000032271.14	Nnmt	0.608529676585563
ENSMUSG00000022797.17	Tfrc	0.864196832403558
ENSMUSG00000059248.14	Septin9	0.0341651289071171
ENSMUSG00000021903.12	Galnt15	0.665004958327467
ENSMUSG00000019970.16	Sgk1	2.01286770766053
ENSMUSG00000000184.13	Ccnd2	0.656794336274197
