Geneid	Symbol	log2FC	adj.P.Val
ENSMUSG00000028551.15	Cdkn2c	-1.57332634539537	5.0798631326356e-10
ENSMUSG00000038393.15	Txnip	1.77606298304807	1.07083132023696e-09
ENSMUSG00000005125.14	Ndrg1	2.0243832734408	1.67674727989246e-09
ENSMUSG00000030747.6	Dgat2	-2.27839417101224	1.67674727989246e-09
ENSMUSG00000064225.7	Paqr9	-2.29687240793626	3.91031320127267e-09
ENSMUSG00000029190.20	D5Ertd579e	-0.977864960100356	8.60658244224304e-09
ENSMUSG00000074794.11	Arrdc3	2.34663540875596	1.01161156096943e-08
ENSMUSG00000029701.16	Rbm28	-1.1499003259003	1.04610713109655e-08
ENSMUSG00000021186.10	Fbln5	1.80025593159239	1.56964355446124e-08
ENSMUSG00000031924.5	Cyb5b	-1.5768265434511	1.56964355446124e-08
ENSMUSG00000031309.16	Rps6ka3	-1.01349455263813	1.83229407066863e-08
ENSMUSG00000050332.8	Amer1	-1.13889495101322	1.83229407066863e-08
ENSMUSG00000022361.15	Zhx1	-0.93856260632518	1.92268240861929e-08
ENSMUSG00000002266.18	Zim1	2.36271641564567	1.92268240861929e-08
ENSMUSG00000070867.5	Trabd2b	-2.2348027298064	2.23209141174323e-08
ENSMUSG00000038007.15	Acer2	1.51374889076058	2.31813310745784e-08
ENSMUSG00000024395.10	Lims2	1.29905481705902	2.65320856632762e-08
ENSMUSG00000028179.13	Cth	-2.431553960257	2.23209141174323e-08
ENSMUSG00000020483.15	Dynll2	-0.898043236902995	3.61457516515372e-08
ENSMUSG00000019577.7	Pdk4	2.74982679405135	3.61457516515372e-08
ENSMUSG00000049303.11	Syt12	-2.10309933875546	3.62821771255681e-08
ENSMUSG00000049999.5	Ppp1r3d	-1.19550479425502	3.83290535969035e-08
ENSMUSG00000026489.14	Coq8a	0.828590272471879	4.00417796056627e-08
ENSMUSG00000033318.8	Gstt2	1.68066568815286	4.01572591653295e-08
ENSMUSG00000058624.14	Gda	-1.26611237614802	4.64081213044416e-08
ENSMUSG00000020869.9	Lrrc59	-1.08968489778144	5.0468243264204e-08
ENSMUSG00000052609.10	Plekhg3	1.48615826299345	5.40370671863308e-08
ENSMUSG00000026005.16	Rpe	-0.831551126136677	5.40370671863308e-08
