Geneid	Symbol	log2FC	adj.P.Val
ENSMUSG00000074794.11	Arrdc3	-2.71339797553196	3.27065946129643e-09
ENSMUSG00000019505.8	Ubb	-1.65845943491675	1.06250494080497e-08
ENSMUSG00000029190.20	D5Ertd579e	0.847085013174814	3.16980074660233e-07
ENSMUSG00000034858.17	Fam214a	-1.64884263386733	3.75292230958705e-06
ENSMUSG00000032754.15	Slc8b1	-0.825252209512522	7.82588581723589e-06
ENSMUSG00000074063.11	Osgin1	1.6283593162493	7.83179548917242e-06
ENSMUSG00000037926.16	Ssh2	-0.663495035999636	1.03497253281859e-05
ENSMUSG00000007872.4	Id3	1.2428227039307	1.17401366790635e-05
ENSMUSG00000023905.16	Tnfrsf12a	1.87844700697396	1.57237701738329e-05
ENSMUSG00000015176.12	Nolc1	0.779272260604525	1.74544304094448e-05
ENSMUSG00000019970.16	Sgk1	-1.20969288468125	1.78998088828119e-05
ENSMUSG00000010554.15	Mettl16	0.619351644687547	2.87421740787869e-05
ENSMUSG00000025269.17	Apex2	0.681124630364807	3.06864285789909e-05
ENSMUSG00000020709.16	Adap2	-1.21198910022692	3.10623441445655e-05
ENSMUSG00000030747.6	Dgat2	1.23452145547825	3.7821549507591e-05
ENSMUSG00000021732.15	Fgf10	0.976536827529011	5.40936522504334e-05
ENSMUSG00000027806.10	Tsc22d2	0.93976691957067	5.63694472648681e-05
ENSMUSG00000022178.12	Ajuba	0.988040341503615	5.63694472648681e-05
ENSMUSG00000074918.5	Inafm2	1.1708976916205	6.18296875888989e-05
ENSMUSG00000000628.11	Hk2	0.729327302328308	6.18296875888989e-05
ENSMUSG00000028300.15	C9orf72	0.929507375810691	6.18296875888989e-05
ENSMUSG00000038145.18	Snrk	-1.07609242256298	6.18296875888989e-05
ENSMUSG00000020893.18	Per1	-1.28101116265355	6.31651439906849e-05
ENSMUSG00000038227.16	Hoxa9	1.01095448782465	8.34242084424891e-05
ENSMUSG00000023019.13	Gpd1	1.01680903220209	8.67450875247397e-05
ENSMUSG00000048138.11	Dmrt2	1.54703657421672	9.25665210323583e-05
ENSMUSG00000030878.12	Cdr2	1.04628804411462	9.73595667935478e-05
ENSMUSG00000048756.12	Foxo3	-0.871556687965459	9.73595667935478e-05
ENSMUSG00000049091.8	Sephs2	0.871758161280722	9.73595667935478e-05
ENSMUSG00000025408.16	Ddit3	0.914688598569349	0.000101727778439443
ENSMUSG00000039886.9	Tmem120a	1.12258393064401	0.000101776084129859
ENSMUSG00000028042.16	Zbtb7b	0.540931166409353	0.000101776084129859
ENSMUSG00000022485.4	Hoxc5	0.76509289191825	0.00011429901635452
ENSMUSG00000049999.5	Ppp1r3d	0.784305864819066	0.00011429901635452
ENSMUSG00000055652.15	Klhl25	0.980747279559749	0.00011429901635452
ENSMUSG00000038393.15	Txnip	-0.886759611828593	0.000117454219729492
ENSMUSG00000002910.12	Arrdc2	-1.63787716143753	0.000121023483930511
ENSMUSG00000066042.5	Med18	-0.930146051853198	0.000101727778439443
ENSMUSG00000057561.11	Eif1a	0.611477630886021	0.000137017287522361
ENSMUSG00000045414.8	Dipk2a	0.821707624396297	0.000141744836269918
ENSMUSG00000032193.10	Ldlr	1.22854384708387	0.000141744836269918
ENSMUSG00000041040.13	Fam117b	-0.717267348706643	0.000144045844093324
ENSMUSG00000022361.15	Zhx1	0.550668436512721	0.000144045844093324
ENSMUSG00000036533.10	Cdc42ep3	-0.877222442374364	0.000144045844093324
ENSMUSG00000032902.2	Slc16a1	1.09051531228108	0.000144045844093324
ENSMUSG00000028599.11	Tnfrsf1b	-0.791471740317246	0.000156668674197867
ENSMUSG00000057963.10	Itpk1	0.812102361393102	0.000160862421661359
ENSMUSG00000060950.13	Trmt61a	1.01555861272548	0.000144045844093324
ENSMUSG00000021796.16	Bmpr1a	0.560762463456464	0.000178891265220473
ENSMUSG00000028261.14	Ndufaf4	0.959846305043738	0.000182286219967133
ENSMUSG00000082361.7	Btc	-1.15180909330096	0.000184409839484506
ENSMUSG00000045092.9	S1pr1	-1.05326262852649	0.000184409839484506
ENSMUSG00000020483.15	Dynll2	0.534127114278983	0.000184409839484506
ENSMUSG00000028967.11	Errfi1	-1.5716854356638	0.000189133332503413
ENSMUSG00000057137.10	Tmem140	-0.832822431647313	0.000189133332503413
ENSMUSG00000046062.6	Ppp1r15b	0.493805081833558	0.000199428790338079
ENSMUSG00000024042.8	Sik1	-1.14760000093154	0.000205795150946431
ENSMUSG00000042500.12	Ago4	-0.460977659418144	0.000207445628721618
ENSMUSG00000039384.9	Dusp10	1.33670862577665	0.000218860736332452
