Geneid	Symbol	Aged_AdLibitum.log2fpkm.mean	Aged_Fast.log2fpkm.mean	Aged_Refeed.log2fpkm.mean	Aged_GElaS
ENSMUSG00000018900.8	Slc22a5	3.13541328659641	4.94881024706755	3.09801805088733	3.4856859604207
ENSMUSG00000032602.7	Slc25a20	4.42022740456774	5.53031051940639	4.80848336609247	1.17595560467285
ENSMUSG00000031767.14	Nudt7	6.2761966618713	4.21673337602684	6.10220713048	3.55847255816303
ENSMUSG00000037440.9	Vnn1	4.71746076684207	6.63966601162915	5.94928682049872	0.933284896981565
ENSMUSG00000021417.16	Eci2	5.03550379437211	5.92095151742321	5.30583280729187	1.03162950945294
ENSMUSG00000031808.8	Slc27a1	1.08078435772363	3.04898888235408	1.31744579177483	2.92599041304325
ENSMUSG00000020085.16	Aifm2	2.51328242968326	3.47301473318004	3.11389437209943	0.471597015194707
ENSMUSG00000024900.6	Cpt1a	5.13738310959312	6.38954012349037	5.420522885762	1.70403741859076
ENSMUSG00000078566.9	Bnip3	6.24472341734747	7.26938960752306	6.97125205138928	0.360400282448379
ENSMUSG00000025509.16	Pnpla2	4.25095747398745	5.25057844394361	4.39999257256924	1.54842295319435
ENSMUSG00000021226.8	Acot2	1.644743613038	4.53448938911578	2.53597755286079	3.27166877329396
ENSMUSG00000025059.17	Gk	3.58973487123545	5.27754735749365	4.1534670104296	1.8416703892925
ENSMUSG00000053317.12	Sec61b	6.12108484318447	4.56634551151011	5.75871581401396	2.08100460471044
ENSMUSG00000028334.11	Nans	2.05106921105105	0.674046488301712	1.93335975459612	2.01231775134039
ENSMUSG00000026003.6	Acadl	6.73446447416855	7.47540856679824	7.24890764820407	0.266466956700528
ENSMUSG00000039202.13	Abhd2	2.72958090447858	4.41577671111948	3.85797511458931	0.706121061075406
ENSMUSG00000030545.10	Pex11a	4.81941561082824	6.6094758877208	5.36592399842731	2.09246240118938
ENSMUSG00000028383.18	Hsdl2	4.95077220357746	6.34984988877955	5.45933229510325	1.4470811301103
ENSMUSG00000022041.11	Chrna2	-0.544030256493889	2.25324270995091	1.29596908721771	1.17185466934678
ENSMUSG00000032383.8	Ppib	6.54090241398563	5.20709821843361	6.34599967676754	2.09287724105141
ENSMUSG00000032763.12	Ilvbl	2.45727415252099	3.24871670212575	2.7194791395717	0.834606790881671
ENSMUSG00000039917.11	Rhbdd2	0.917538401281339	1.87124656550224	1.91459347689983	0
ENSMUSG00000062908.13	Acadm	6.37268222400062	7.55010026636399	7.15439516213089	0.522823850104751
ENSMUSG00000056666.14	Retsat	6.5083204159319	9.2622739309008	8.86234852443124	0.419557660921834
ENSMUSG00000030643.15	Rab30	0.430910927110019	2.41465647828635	-0.0733611983296251	2.96611869579326
ENSMUSG00000037798.8	Mat1a	9.25471224759078	10.7407006183201	10.0245280623334	1.06097115151998
ENSMUSG00000032557.14	Uba5	3.09448784162111	1.88640777087675	2.97312908259688	1.88714092181568
ENSMUSG00000027875.13	Hmgcs2	9.30364200209178	10.5039739461893	10.0491018491142	0.627041077859605
ENSMUSG00000028757.5	Ddost	5.92041350557052	4.78691863336935	5.7851359666138	1.85499630803367
ENSMUSG00000041798.16	Gck	5.40028984993034	3.96252427985286	6.52617115273954	2.1966426109138
ENSMUSG00000034258.5	Flvcr2	-0.472703695004999	1.63883380583489	-0.22496746759689	2.69391263901051
ENSMUSG00000041779.6	Tram2	1.11198410980383	2.18861430293417	1.0776120153988	1.83695026764035
ENSMUSG00000028671.17	Gale	4.10341837742444	1.94741126318499	3.14473006396905	1.71322727631924
ENSMUSG00000072949.7	Acot1	2.1164211022673	6.37494993656374	4.55837741070118	2.58320622639771
ENSMUSG00000027359.17	Slc27a2	8.32606289274938	9.31696900794873	8.64543830078953	1.1256475606259
ENSMUSG00000028132.16	Tlcd4	4.21271227846155	5.80572740441248	4.27026672762875	2.97033128807915
ENSMUSG00000028712.13	Cyp4a31	0.652404068842343	3.96595381058068	2.98286705350625	1.23808280091282
ENSMUSG00000014077.14	Chp1	6.36138173765063	6.97144144140349	6.75870166484967	0.26358706331837
ENSMUSG00000021591.9	Glrx	1.96661321339199	3.24798407717749	2.73401049480807	0.680702593677037
ENSMUSG00000026853.16	Crat	3.10709526258915	5.05233435849997	3.9557391088061	1.67749433574079
ENSMUSG00000023973.14	Cnpy3	4.20091197662915	3.57181427657425	4.26382996665216	1.16390354477576
ENSMUSG00000045282.8	Tmem86b	5.04453768739295	4.19416343664356	5.14284189316978	1.58278357689114
ENSMUSG00000058997.9	Vwa8	3.42784486147742	4.4117142711889	3.81798323803773	0.926937766792564
ENSMUSG00000036138.17	Acaa1a	5.96561138305811	6.40154797341227	6.20944955834052	0.233364162001445
ENSMUSG00000040785.20	Ttc3	-0.263772933783945	0.739790799261358	0.181300378759822	0.650607416879472
