Geneid	Symbol	log2FC	adj.P.Val
ENSMUSG00000032602.7	Slc25a20	1.09304061531112	2.08969229640128e-08
ENSMUSG00000018900.8	Slc22a5	1.7598046764618	2.08969229640128e-08
ENSMUSG00000028757.5	Ddost	-1.12086719232519	3.53954576522699e-08
ENSMUSG00000025059.17	Gk	1.6467393874873	3.78188716991457e-08
ENSMUSG00000018669.15	Cdk5rap3	-0.975544919271529	4.02115114495028e-08
ENSMUSG00000031767.14	Nudt7	-2.03120498612079	4.02115114495028e-08
ENSMUSG00000053317.12	Sec61b	-1.53819933103191	4.49415593293158e-08
ENSMUSG00000032383.8	Ppib	-1.32296522039793	9.36382304166069e-08
ENSMUSG00000030545.10	Pex11a	1.77286180576021	1.18654895626507e-07
ENSMUSG00000021226.8	Acot2	2.7131762374391	2.33569608345913e-07
ENSMUSG00000020085.16	Aifm2	0.90414497232049	2.33569608345913e-07
ENSMUSG00000036372.15	Tmem258	-1.38269170649311	2.93009838868242e-07
ENSMUSG00000056698.12	Elmod3	0.992642235806637	2.93009838868242e-07
ENSMUSG00000031808.8	Slc27a1	1.7541774622627	2.93009838868242e-07
ENSMUSG00000072949.7	Acot1	4.0811457746664	3.58525399999712e-07
ENSMUSG00000022041.11	Chrna2	2.10864795012407	2.93009838868242e-07
ENSMUSG00000028671.17	Gale	-2.03187409005304	3.7325841042724e-07
ENSMUSG00000040785.20	Ttc3	0.705761331479943	7.33238948576839e-07
ENSMUSG00000069539.12	Scyl2	1.04813594181505	8.26068621603058e-07
ENSMUSG00000056666.14	Retsat	2.7468756081715	8.1193443164918e-07
ENSMUSG00000020280.13	Pus10	0.609149497657607	8.45747391893033e-07
ENSMUSG00000002831.15	Plin4	3.21177774473072	9.88563123188098e-07
ENSMUSG00000028334.11	Nans	-1.15692280418684	1.15741526222316e-06
ENSMUSG00000028383.18	Hsdl2	1.38530576256817	1.58886316195471e-06
ENSMUSG00000028132.16	Tlcd4	1.56650626138009	1.58886316195471e-06
ENSMUSG00000021591.9	Glrx	1.18044162605927	1.58933041792745e-06
ENSMUSG00000030643.15	Rab30	1.6334977946564	1.85640396562979e-06
ENSMUSG00000041779.6	Tram2	0.929899086392563	2.21349762987302e-06
ENSMUSG00000042349.14	Ikbke	-1.41299737071391	2.58780702262649e-06
ENSMUSG00000066072.14	Cyp4a10	4.75817321628507	2.58780702262649e-06
ENSMUSG00000028343.11	Erp44	-0.672347190622819	2.58780702262649e-06
ENSMUSG00000042747.13	Krtcap2	-1.29075499257001	2.62042186854132e-06
ENSMUSG00000032557.14	Uba5	-1.11117932322749	2.62042186854132e-06
ENSMUSG00000026730.13	Pter	-1.06777060072782	2.69404245152706e-06
ENSMUSG00000034258.5	Flvcr2	1.57950448520587	2.58780702262649e-06
ENSMUSG00000021427.11	Ssr1	-1.04421506492804	2.86065920590764e-06
ENSMUSG00000001247.17	Lsr	-1.16070691367944	3.39426387554558e-06
ENSMUSG00000078974.11	Sec61g	-1.44471462968993	3.39426387554558e-06
ENSMUSG00000020873.16	Slc35b1	-1.14823253061041	3.46856333817266e-06
