Geneid	Symbol	log2FC	adj.P.Val
ENSMUSG00000018900.8	Slc22a5	-1.79439485674993	7.31093116723493e-09
ENSMUSG00000026074.16	Map4k4	-1.01077382519144	8.98028408696018e-08
ENSMUSG00000031767.14	Nudt7	1.85832089266603	8.98028408696018e-08
ENSMUSG00000028757.5	Ddost	0.986592686505877	8.98028408696018e-08
ENSMUSG00000030643.15	Rab30	-2.00230616439452	8.98028408696018e-08
ENSMUSG00000037270.19	4932438A13Rik	-0.71128532853533	9.80037702303339e-08
ENSMUSG00000020873.16	Slc35b1	1.38801093362089	1.41529233966925e-07
ENSMUSG00000019082.19	Slc25a22	-1.34426951251082	1.57081611401275e-07
ENSMUSG00000053641.10	Dennd4a	-0.771828772569657	3.23062395645043e-07
ENSMUSG00000018669.15	Cdk5rap3	0.796782283380268	3.58229574829721e-07
ENSMUSG00000032383.8	Ppib	1.12914941343655	4.01497097361586e-07
ENSMUSG00000037316.10	Bag4	-1.11706453594042	4.10912201004186e-07
ENSMUSG00000026730.13	Pter	1.16254890476066	4.10912201004186e-07
ENSMUSG00000056698.12	Elmod3	-0.90185505510856	4.10912201004186e-07
ENSMUSG00000048915.13	Efna5	-1.02522635749955	4.10912201004186e-07
ENSMUSG00000031808.8	Slc27a1	-1.55231265185064	4.14559503606887e-07
ENSMUSG00000041779.6	Tram2	-0.953322512280045	4.14559503606887e-07
ENSMUSG00000036019.9	Tmtc2	-1.28387812288096	4.10912201004186e-07
ENSMUSG00000003814.9	Calr	1.40703329694393	4.17365638216554e-07
ENSMUSG00000021400.9	Wrnip1	-1.27360896830792	4.92584411290744e-07
ENSMUSG00000018932.10	Map2k3	0.946793375615798	5.8252675814628e-07
ENSMUSG00000030357.11	Fkbp4	1.29225030059716	5.8252675814628e-07
ENSMUSG00000032086.13	Bace1	-1.00385743844823	5.93824152046312e-07
ENSMUSG00000043091.10	Tuba1c	1.40455059939145	7.30061108501384e-07
ENSMUSG00000053317.12	Sec61b	1.17833818621043	7.30061108501384e-07
ENSMUSG00000041773.9	Enc1	-1.566710305142	7.54299565874973e-07
ENSMUSG00000039879.10	Heca	-1.20618609578643	9.50247843163965e-07
ENSMUSG00000036372.15	Tmem258	1.18118980757623	9.89885015296438e-07
ENSMUSG00000022848.9	Slc49a4	-1.06808524129487	9.89885015296438e-07
ENSMUSG00000028132.16	Tlcd4	-1.51163859396385	1.15668031358825e-06
ENSMUSG00000041632.8	Mrps27	0.910604057945562	1.17386667268019e-06
ENSMUSG00000069539.12	Scyl2	-0.946065257036177	1.39863449369686e-06
ENSMUSG00000021226.8	Acot2	-1.91708646747923	1.83990564320018e-06
ENSMUSG00000003721.15	Insig2	-2.45536228873907	1.83990564320018e-06
ENSMUSG00000057068.16	Fam47e	2.42762687358481	1.83990564320018e-06
ENSMUSG00000018821.4	Avpi1	1.08262827876712	1.84632081871257e-06
ENSMUSG00000034258.5	Flvcr2	-1.41903830898095	1.82981795369563e-06
ENSMUSG00000035064.18	Eef2k	1.04274614502522	1.83990564320018e-06
ENSMUSG00000002831.15	Plin4	-2.8196622378663	2.01957797674177e-06
ENSMUSG00000024580.9	Grpel2	-1.40829606710774	2.02705446132612e-06
ENSMUSG00000028334.11	Nans	1.05332102504188	2.02705446132612e-06
ENSMUSG00000038991.18	Txndc5	0.959680795131408	2.02705446132612e-06
ENSMUSG00000015755.17	Tab2	-1.11086533372328	2.30674323843145e-06
ENSMUSG00000022814.7	Umps	0.979410295307297	2.30674323843145e-06
ENSMUSG00000042747.13	Krtcap2	1.19918531883741	2.46869737987613e-06
ENSMUSG00000006442.11	Srm	1.64842481367906	2.46869737987613e-06
ENSMUSG00000091264.4	Smim13	-1.04537575595547	2.48428162343498e-06
ENSMUSG00000040472.16	Rabggta	0.67586805582403	2.48428162343498e-06
ENSMUSG00000020733.4	Slc9a3r1	1.45975934218376	2.48428162343498e-06
ENSMUSG00000022769.10	Sdf2l1	3.10199924026909	2.49700802394081e-06
ENSMUSG00000023973.14	Cnpy3	0.671195159629395	2.56710007012101e-06
ENSMUSG00000027248.14	Pdia3	1.31439687998116	2.56816813344481e-06
ENSMUSG00000032602.7	Slc25a20	-0.712070842952968	2.67932843089559e-06
ENSMUSG00000026116.12	Tmem131	-0.717865642845563	2.74359180653547e-06
ENSMUSG00000005893.15	Nr2c2	-0.830839308829331	2.74359180653547e-06
ENSMUSG00000041939.15	Mvk	2.10609088313247	3.26685422883e-06
ENSMUSG00000038658.16	Ric1	-0.737422354164179	3.26685422883e-06
ENSMUSG00000020471.12	Pold2	1.09763626834413	3.34821087518525e-06
ENSMUSG00000042524.15	Sun2	-1.221991182682	3.34821087518525e-06
ENSMUSG00000061288.14	Taok3	-1.22142616407163	3.37568315556045e-06
ENSMUSG00000021254.10	Gpatch2l	-0.729196617914419	3.46994098741537e-06
ENSMUSG00000032557.14	Uba5	0.995420281755455	3.6546726747389e-06
ENSMUSG00000073676.5	Hspe1	1.10361681770749	4.02106828422924e-06
ENSMUSG00000028382.16	Ptbp3	-0.707033070771504	4.02219884991624e-06
ENSMUSG00000029580.15	Actb	1.28384559905677	4.02219884991624e-06
ENSMUSG00000006517.6	Mvd	2.71208020290133	4.08045477847862e-06
ENSMUSG00000029238.12	Clock	-0.886746415220026	4.52022055509432e-06
ENSMUSG00000028393.11	Alad	0.989149595597235	4.52022055509432e-06
ENSMUSG00000028343.11	Erp44	0.592078581020122	4.52022055509432e-06
ENSMUSG00000060038.15	Dhps	0.624312081836996	4.52022055509432e-06
ENSMUSG00000029458.15	Brap	-1.14162525600409	4.52022055509432e-06
ENSMUSG00000002346.17	Slc25a42	-1.34675391920452	4.66817795476007e-06
ENSMUSG00000047446.19	Arl4a	-1.36348415254552	4.66817795476007e-06
ENSMUSG00000025059.17	Gk	-1.10294513550741	4.70237916184623e-06
ENSMUSG00000037904.15	Ankrd9	1.1527148814685	4.02219884991624e-06
ENSMUSG00000024259.10	Slc25a46	-0.706094627442526	5.15139529722816e-06
ENSMUSG00000078974.11	Sec61g	1.27363168567108	5.15139529722816e-06
ENSMUSG00000049115.16	Agtr1a	-1.08206386058021	5.33346235369808e-06
ENSMUSG00000000275.17	Trim25	-1.00196529030311	5.50910713644608e-06
ENSMUSG00000052632.17	Asap2	-1.54875818870598	5.70854686339073e-06
ENSMUSG00000053774.10	Ubxn7	-0.694185330758394	6.13861900213781e-06
ENSMUSG00000041798.16	Gck	2.52627235127818	6.23135245670356e-06
ENSMUSG00000010358.14	Ifi35	0.928866156743181	6.35349540997624e-06
ENSMUSG00000038422.3	Hdhd3	1.30766120480694	6.39228769202051e-06
ENSMUSG00000015202.14	Cnksr3	-0.77130155813	6.5377977205204e-06
ENSMUSG00000022637.12	Cblb	-0.85092519878813	6.60131376568625e-06
ENSMUSG00000035198.10	Tubg1	0.734031788773177	6.60131376568625e-06
ENSMUSG00000044986.11	Tst	0.723446451394213	7.01304078639246e-06
ENSMUSG00000091586.3	Cyp4f17	-1.33719497494505	7.3558991941226e-06
ENSMUSG00000038628.9	Polr3k	0.899238664764075	7.70941530553724e-06
ENSMUSG00000038733.15	Wdr26	-0.64557857365624	7.85526078320886e-06
ENSMUSG00000029610.14	Aimp2	0.773330813729035	7.90573990901996e-06
ENSMUSG00000030545.10	Pex11a	-1.23380644624824	7.96375294618655e-06
ENSMUSG00000008429.9	Herpud2	-0.61058689582814	7.96375294618655e-06
ENSMUSG00000063406.12	Tmed5	-1.18124787687556	8.12750810744198e-06
ENSMUSG00000000876.12	Pxmp4	-1.1036873662074	8.41620065684493e-06
ENSMUSG00000023055.11	Calcoco1	-1.44854772193345	8.41620065684493e-06
ENSMUSG00000024856.11	Cdk2ap2	1.21974637643936	8.41620065684493e-06
ENSMUSG00000037022.4	Mmaa	0.712639906099461	8.41620065684493e-06
ENSMUSG00000055850.13	Rnf181	0.598231982841074	8.62488643694775e-06
