Geneid	Symbol	Young_AdLibitum.log2fpkm.mean	Young_Fast.log2fpkm.mean	Young_Refeed.log2fpkm.mean	Aged_AdLibitum.log2fpkm.mean	Aged_Fast.log2fpkm.mean	Aged_Refeed.log2fpkm.mean
ENSMUSG00000018900.8	Slc22a5	2.5049642428767	5.14944753652808	2.98394028387907	3.13541328659641	4.94881024706755	3.09801805088733
ENSMUSG00000032602.7	Slc25a20	4.30000895039251	5.64893183820139	4.65462888281348	4.42022740456774	5.53031051940639	4.80848336609247
ENSMUSG00000031767.14	Nudt7	7.05556002529565	4.29045855338758	6.37453472347238	6.2761966618713	4.21673337602684	6.10220713048
ENSMUSG00000037440.9	Vnn1	3.31271883647768	6.87371234380841	5.68924006345342	4.71746076684207	6.63966601162915	5.94928682049872
ENSMUSG00000021417.16	Eci2	4.50600672081968	6.17540414418039	4.88928087085066	5.03550379437211	5.92095151742321	5.30583280729187
ENSMUSG00000031808.8	Slc27a1	0.840172146945364	3.43242698633941	1.43072775310206	1.08078435772363	3.04898888235408	1.31744579177483
ENSMUSG00000020085.16	Aifm2	2.46548933180943	3.65584747541627	2.98152919202135	2.51328242968326	3.47301473318004	3.11389437209943
ENSMUSG00000024900.6	Cpt1a	4.50676914762282	6.61677810976976	4.87085930959413	5.13738310959312	6.38954012349037	5.420522885762
ENSMUSG00000078566.9	Bnip3	5.74639910651491	7.42175204296331	6.44009000345727	6.24472341734747	7.26938960752306	6.97125205138928
ENSMUSG00000025509.16	Pnpla2	3.95470190958113	5.94972733263025	4.11483486982193	4.25095747398745	5.25057844394361	4.39999257256924
ENSMUSG00000021226.8	Acot2	0.771615892889174	4.7868179389673	2.89924677628918	1.644743613038	4.53448938911578	2.53597755286079
ENSMUSG00000025059.17	Gk	3.47898417125787	5.18893751969823	3.80870488320981	3.58973487123545	5.27754735749365	4.1534670104296
ENSMUSG00000053317.12	Sec61b	6.12694435932069	4.52273572108123	5.57517411921776	6.12108484318447	4.56634551151011	5.75871581401396
ENSMUSG00000028334.11	Nans	2.2743902883024	0.412259488852726	1.77234399360058	2.05106921105105	0.674046488301712	1.93335975459612
ENSMUSG00000026003.6	Acadl	6.33166991774575	7.75751323397662	7.25925842257084	6.73446447416855	7.47540856679824	7.24890764820407
ENSMUSG00000039202.13	Abhd2	1.8338699251599	4.36272199738089	3.65938330239526	2.72958090447858	4.41577671111948	3.85797511458931
ENSMUSG00000030545.10	Pex11a	4.59941345917877	6.49400373230646	4.92778621495856	4.81941561082824	6.6094758877208	5.36592399842731
ENSMUSG00000028383.18	Hsdl2	4.67864292960869	6.4370301263503	5.54526074632729	4.95077220357746	6.34984988877955	5.45933229510325
ENSMUSG00000022041.11	Chrna2	-0.401653041302293	2.61009676583162	1.19989712015316	-0.544030256493889	2.25324270995091	1.29596908721771
ENSMUSG00000032383.8	Ppib	6.60055198170555	5.24282165005612	6.29665708735923	6.54090241398563	5.20709821843361	6.34599967676754
ENSMUSG00000032763.12	Ilvbl	2.0651082375783	3.43016450467914	2.66610028626545	2.45727415252099	3.24871670212575	2.7194791395717
ENSMUSG00000039917.11	Rhbdd2	0.874889612543695	2.37762312383938	1.64064692985863	0.917538401281339	1.87124656550224	1.91459347689983
ENSMUSG00000062908.13	Acadm	6.10587906386948	7.78312273415442	7.18512955413335	6.37268222400062	7.55010026636399	7.15439516213089
ENSMUSG00000056666.14	Retsat	6.44437367168299	9.74062927856049	9.1604673992299	6.5083204159319	9.2622739309008	8.86234852443124
ENSMUSG00000030643.15	Rab30	-0.707480686099362	2.26393922170477	-0.415228245293532	0.430910927110019	2.41465647828635	-0.0733611983296251
ENSMUSG00000037798.8	Mat1a	8.79209791729192	10.9446028176278	9.86958760224636	9.25471224759078	10.7407006183201	10.0245280623334
ENSMUSG00000032557.14	Uba5	3.23503181380109	1.6681621284657	2.98975396771685	3.09448784162111	1.88640777087675	2.97312908259688
ENSMUSG00000027875.13	Hmgcs2	9.11885325595533	10.8445184164722	10.1245031316444	9.30364200209178	10.5039739461893	10.0491018491142
ENSMUSG00000028757.5	Ddost	5.82142900042433	4.7977260688402	5.81564519835655	5.92041350557052	4.78691863336935	5.7851359666138
ENSMUSG00000041798.16	Gck	6.25567266511856	2.57895888033108	6.01015910542916	5.40028984993034	3.96252427985286	6.52617115273954
ENSMUSG00000034258.5	Flvcr2	-1.55797509450627	1.6424616933917	-0.193622872426249	-0.472703695004999	1.63883380583489	-0.22496746759689
ENSMUSG00000041779.6	Tram2	1.0317836619518	2.35189685870929	0.927807164504244	1.11198410980383	2.18861430293417	1.0776120153988
ENSMUSG00000028671.17	Gale	4.39052136140041	2.02994802810992	3.73741093000629	4.10341837742444	1.94741126318499	3.14473006396905
ENSMUSG00000072949.7	Acot1	2.24188776603557	6.85874324568098	4.78745492981101	2.1164211022673	6.37494993656374	4.55837741070118
ENSMUSG00000027359.17	Slc27a2	8.21352304901006	9.60595773978459	8.54057575902501	8.32606289274938	9.31696900794873	8.64543830078953
ENSMUSG00000028132.16	Tlcd4	4.13887636976336	5.98895304340852	4.07785607010424	4.21271227846155	5.80572740441248	4.27026672762875
ENSMUSG00000028712.13	Cyp4a31	1.09313382094389	5.79831619057206	4.44858194549573	0.652404068842343	3.96595381058068	2.98286705350625
ENSMUSG00000014077.14	Chp1	6.15152295967881	7.20633386514486	6.61630620140041	6.36138173765063	6.97144144140349	6.75870166484967
ENSMUSG00000021591.9	Glrx	2.21070455018434	3.65911014399852	3.13662034291831	1.96661321339199	3.24798407717749	2.73401049480807
ENSMUSG00000026853.16	Crat	2.73427457089145	5.08921551740513	3.62337542657253	3.10709526258915	5.05233435849997	3.9557391088061
ENSMUSG00000023973.14	Cnpy3	4.23851739216511	3.36624669180557	4.0333005856491	4.20091197662915	3.57181427657425	4.26382996665216
ENSMUSG00000045282.8	Tmem86b	5.3059216647025	3.92171115922222	5.41649303219593	5.04453768739295	4.19416343664356	5.14284189316978
ENSMUSG00000058997.9	Vwa8	3.43656739650743	4.64978658537446	3.81454110110152	3.42784486147742	4.4117142711889	3.81798323803773
ENSMUSG00000036138.17	Acaa1a	5.60791525120438	6.76648365883253	6.0935427799276	5.96561138305811	6.40154797341227	6.20944955834052
ENSMUSG00000040785.20	Ttc3	-0.218363671739806	0.821462109535812	0.11007902170506	-0.263772933783945	0.739790799261358	0.181300378759822
ENSMUSG00000022971.19	Ifnar2	3.46312066688421	4.18830012486406	3.60683797942738	3.8017258898981	4.00909150557136	3.63770213533569
ENSMUSG00000022853.8	Ehhadh	6.17899574869286	10.734703886369	9.4935652438605	5.74149244335684	9.3433769870971	8.25287980179432
ENSMUSG00000028008.11	Asic5	1.04294676523142	3.11907051274105	1.41118206351717	0.334075901637497	1.93126917802083	0.804946284666678
ENSMUSG00000058317.13	Ube2e2	1.2627602029124	2.58152867911447	1.69860549919991	1.65076472783704	2.50459465917847	1.92907458835488
ENSMUSG00000036372.15	Tmem258	4.82339195416123	3.45377303765877	4.29520013789533	4.85078450397818	3.43266059344913	4.64525202711577
ENSMUSG00000078974.11	Sec61g	4.98229098139649	3.27570878208165	4.43221486383042	4.84626395930698	3.36173206317702	4.67194884030174
ENSMUSG00000026116.12	Tmem131	1.45742944863114	2.45439369069468	1.34185266999042	1.3680749784408	1.96075707611163	1.12094856620667
ENSMUSG00000055850.13	Rnf181	5.2408614257815	4.45053477006296	5.00993913457537	5.03793202019306	4.52349194374887	5.13157890287319
ENSMUSG00000031232.18	Magt1	4.83113093211962	3.4879979626787	4.33893251382286	4.55031808472711	3.57839716628712	4.58737157832393
ENSMUSG00000029458.15	Brap	3.53616332261504	4.97625218041176	3.31391076501885	3.67589595752515	4.77629178697126	3.60272750387559
ENSMUSG00000056698.12	Elmod3	2.65715015194169	3.62929994300126	2.71871467944309	2.63808455185496	3.68385410623534	2.73447028781242
ENSMUSG00000026848.15	Tor1b	2.87692520836244	3.77314220566095	3.29492491115453	3.25266434028915	3.70692596153343	3.5775839377662
ENSMUSG00000041769.14	Ppp2r2d	1.70613613566535	3.1315418603923	1.95964379647375	2.3193628390626	3.11778080576566	2.19356478495044
ENSMUSG00000079355.6	Ackr4	0.232921403713676	2.06896279572695	1.05490480818505	0.52285147852249	1.74245282881709	0.991145653264489
ENSMUSG00000020873.16	Slc35b1	5.08258637767695	3.79688621204977	5.12260942595079	5.03881968927437	3.86698328240665	5.28236598721561
ENSMUSG00000057722.18	Lepr	-1.29903650964415	2.53107838915584	-0.0689817316451365	-1.25997561244202	-0.686304100222363	-0.991269948128743
ENSMUSG00000029440.16	Psmd9	1.94894346762472	3.26313209127526	2.27604575049413	2.11988547860956	2.7035649506895	2.47277760951632
ENSMUSG00000003948.18	Mmd	4.64803903009128	5.87495295287276	4.72671436480916	5.07723932761463	5.88672718498406	5.01447044600616
ENSMUSG00000047617.12	Paxx	5.03334585607325	1.83073240901725	2.82441036665846	3.49587296639225	1.82534460620743	2.19224766727502
ENSMUSG00000025630.9	Hprt	5.55732173761678	6.22474910796982	5.95767228650823	5.65583835253748	5.98085923957154	5.93554288510848
ENSMUSG00000056133.6	Unc93a2	-0.227388521576171	1.83256044612205	0.316812979083897	0.511665461999996	1.21814644687222	0.275072302074799
ENSMUSG00000021427.11	Ssr1	3.91524914064361	2.78083739354752	3.82216033164864	3.88972547212492	2.794644827117	3.68936855833467
ENSMUSG00000060613.11	Cyp2c70	7.73939155124688	4.00292320315311	6.71319542540922	7.98052984133297	5.24375744713991	6.73345571999841
ENSMUSG00000041773.9	Enc1	0.136837799714879	2.14176937173884	0.408081778867237	1.03004141970453	1.9759925754747	0.00700470542331879
ENSMUSG00000024507.7	Hsd17b4	6.60701000701073	7.93705529725241	7.37833965968399	6.67353984802152	7.61676933859256	7.24255241847592
ENSMUSG00000017307.17	Acot8	3.05810104194889	4.25725623661571	3.52633141047613	3.35101319168267	3.9382213458924	3.54094181183324
