Geneid	Symbol	Young_AdLibitum.log2fpkm.mean	Young_Fast.log2fpkm.mean	Young_Refeed.log2fpkm.mean	Young_GElaS
ENSMUSG00000018900.8	Slc22a5	2.5049642428767	5.14944753652808	2.98394028387907	3.83373905554132
ENSMUSG00000032602.7	Slc25a20	4.30000895039251	5.64893183820139	4.65462888281348	1.70525755655314
ENSMUSG00000031767.14	Nudt7	7.05556002529565	4.29045855338758	6.37453472347238	3.60476581318169
ENSMUSG00000037440.9	Vnn1	3.31271883647768	6.87371234380841	5.68924006345342	1.57336829051478
ENSMUSG00000021417.16	Eci2	4.50600672081968	6.17540414418039	4.88928087085066	2.2544670960106
ENSMUSG00000031808.8	Slc27a1	0.840172146945364	3.43242698633941	1.43072775310206	3.27143164602218
ENSMUSG00000020085.16	Aifm2	2.46548933180943	3.65584747541627	2.98152919202135	1.01107899099457
ENSMUSG00000024900.6	Cpt1a	4.50676914762282	6.61677810976976	4.87085930959413	3.16248731636235
ENSMUSG00000078566.9	Bnip3	5.74639910651491	7.42175204296331	6.44009000345727	1.55168475462804
ENSMUSG00000025509.16	Pnpla2	3.95470190958113	5.94972733263025	4.11483486982193	3.47128070503586
ENSMUSG00000021226.8	Acot2	0.771615892889174	4.7868179389673	2.89924677628918	2.72330331685424
ENSMUSG00000025059.17	Gk	3.47898417125787	5.18893751969823	3.80870488320981	2.44305957761308
ENSMUSG00000053317.12	Sec61b	6.12694435932069	4.52273572108123	5.57517411921776	1.71925303183749
ENSMUSG00000028334.11	Nans	2.2743902883024	0.412259488852726	1.77234399360058	1.8955093424786
ENSMUSG00000026003.6	Acadl	6.33166991774575	7.75751323397662	7.25925842257084	0.670920532949391
ENSMUSG00000039202.13	Abhd2	1.8338699251599	4.36272199738089	3.65938330239526	0.879331720659809
ENSMUSG00000030545.10	Pex11a	4.59941345917877	6.49400373230646	4.92778621495856	2.83608763134439
ENSMUSG00000028383.18	Hsdl2	4.67864292960869	6.4370301263503	5.54526074632729	1.3355900476756
ENSMUSG00000022041.11	Chrna2	-0.401653041302293	2.61009676583162	1.19989712015316	1.89242286046546
ENSMUSG00000032383.8	Ppib	6.60055198170555	5.24282165005612	6.29665708735923	1.85486062451605
ENSMUSG00000032763.12	Ilvbl	2.0651082375783	3.43016450467914	2.66610028626545	1.13318972851329
ENSMUSG00000039917.11	Rhbdd2	0.874889612543695	2.37762312383938	1.64064692985863	0.993502605996455
ENSMUSG00000062908.13	Acadm	6.10587906386948	7.78312273415442	7.18512955413335	0.80937462489908
ENSMUSG00000056666.14	Retsat	6.44437367168299	9.74062927856049	9.1604673992299	0.634632231421808
ENSMUSG00000030643.15	Rab30	-0.707480686099362	2.26393922170477	-0.415228245293532	4.02823701381982
ENSMUSG00000037798.8	Mat1a	8.79209791729192	10.9446028176278	9.86958760224636	1.61143366381401
ENSMUSG00000032557.14	Uba5	3.23503181380109	1.6681621284657	2.98975396771685	2.21000740803547
ENSMUSG00000027875.13	Hmgcs2	9.11885325595533	10.8445184164722	10.1245031316444	1.02014428769498
