Geneid	Symbol	log2FC	adj.P.Val
ENSMUSG00000018900.8	Slc22a5	-2.10131210806084	1.76305824082002e-10
ENSMUSG00000041779.6	Tram2	-1.22762708828251	1.66537024260607e-08
ENSMUSG00000031767.14	Nudt7	2.05730407821377	1.66537024260607e-08
ENSMUSG00000025509.16	Pnpla2	-1.80731337215654	1.66537024260607e-08
ENSMUSG00000026730.13	Pter	1.4107832061317	1.75623338167623e-08
ENSMUSG00000036019.9	Tmtc2	-1.5340057351155	1.75623338167623e-08
ENSMUSG00000030643.15	Rab30	-2.09203769340257	1.97103639364269e-08
ENSMUSG00000043091.10	Tuba1c	1.81162355406751	1.97103639364269e-08
ENSMUSG00000032602.7	Slc25a20	-0.980823068265271	2.03736553273945e-08
ENSMUSG00000019082.19	Slc25a22	-1.49012113227333	2.03736553273945e-08
ENSMUSG00000029458.15	Brap	-1.61546341173042	2.03736553273945e-08
ENSMUSG00000031808.8	Slc27a1	-1.82540026990598	2.03736553273945e-08
ENSMUSG00000026116.12	Tmem131	-0.982229165231378	2.18840720394641e-08
ENSMUSG00000028757.5	Ddost	1.00624874137042	2.18840720394641e-08
ENSMUSG00000028132.16	Tlcd4	-1.88090087535916	2.34950370276659e-08
ENSMUSG00000045282.8	Tmem86b	1.4679345546532	2.37747083836381e-08
ENSMUSG00000022848.9	Slc49a4	-1.31288332169382	2.59052168886729e-08
ENSMUSG00000039879.10	Heca	-1.4353146219821	2.59052168886729e-08
ENSMUSG00000042524.15	Sun2	-1.57977720874344	3.6524039156301e-08
ENSMUSG00000063406.12	Tmed5	-1.65236237219641	3.6524039156301e-08
ENSMUSG00000024900.6	Cpt1a	-1.72923855498372	4.27599684200902e-08
ENSMUSG00000091264.4	Smim13	-1.32988868871931	5.00553559438294e-08
ENSMUSG00000041632.8	Mrps27	1.08613661268574	5.22286786909493e-08
ENSMUSG00000021482.11	Prxl2c	-1.15070486069747	5.69075908822493e-08
ENSMUSG00000022814.7	Umps	1.22394020610932	6.43167784442482e-08
ENSMUSG00000021417.16	Eci2	-1.27241897915957	6.46222440091605e-08
ENSMUSG00000041798.16	Gck	3.31997575635549	6.90120547659496e-08
ENSMUSG00000030629.16	Zfand6	-1.21952560105534	8.43148281635424e-08
ENSMUSG00000024580.9	Grpel2	-1.61302397870088	1.0655445470582e-07
ENSMUSG00000038422.3	Hdhd3	1.72558209860947	1.32675181402846e-07
ENSMUSG00000047731.18	Wbp1l	-1.2843236981222	1.32675181402846e-07
ENSMUSG00000020873.16	Slc35b1	1.29790667138983	1.36605022168608e-07
ENSMUSG00000017264.17	Exosc10	0.694294694734587	1.42584529873355e-07
ENSMUSG00000025059.17	Gk	-1.35000215636572	1.44290450485175e-07
ENSMUSG00000050043.17	Tmx2	0.927691949253016	1.44364511119091e-07
ENSMUSG00000003814.9	Calr	1.448431007641	1.46957967127755e-07
ENSMUSG00000037316.10	Bag4	-1.09212623730003	1.54995547216744e-07
ENSMUSG00000090394.9	4930523C07Rik	-0.914730385800165	1.55308087315609e-07
ENSMUSG00000030545.10	Pex11a	-1.55164395782127	1.69974661673061e-07
ENSMUSG00000032557.14	Uba5	1.20225981685086	1.8201031744459e-07
ENSMUSG00000032086.13	Bace1	-1.01050475636888	2.59189046556706e-07
ENSMUSG00000056698.12	Elmod3	-0.864867357807557	3.41680453056929e-07
ENSMUSG00000028008.11	Asic5	-1.55334190368807	3.76026792248901e-07
ENSMUSG00000032498.10	Mlh1	0.690777563760139	3.76026792248901e-07
ENSMUSG00000026074.16	Map4k4	-0.808795541340133	3.76026792248901e-07
ENSMUSG00000029580.15	Actb	1.50464766335151	3.76026792248901e-07
ENSMUSG00000042350.14	Arel1	-0.930251591067502	3.76026792248901e-07
ENSMUSG00000032383.8	Ppib	1.04464832303948	5.17759319737171e-07
ENSMUSG00000026571.13	Dcaf6	-1.38882440106635	5.38455186169196e-07
ENSMUSG00000030357.11	Fkbp4	1.24534725465152	5.65639640315277e-07
ENSMUSG00000041895.16	Wipi1	-1.02229036026086	5.85098591008139e-07
ENSMUSG00000041773.9	Enc1	-1.4397746333136	6.67144573816496e-07
ENSMUSG00000047446.19	Arl4a	-1.51362833462673	6.67144573816496e-07
ENSMUSG00000023055.11	Calcoco1	-1.68550732061973	6.96758162575997e-07
ENSMUSG00000053641.10	Dennd4a	-0.670699711199483	6.96758162575997e-07
ENSMUSG00000027349.6	Fam98b	0.747018156077202	7.34836787131548e-07
ENSMUSG00000028334.11	Nans	1.10727783569446	7.41802779340562e-07
ENSMUSG00000003948.18	Mmd	-1.13427189050355	7.48556015491541e-07
ENSMUSG00000028893.9	Sesn2	-1.52535383418643	7.53184978348468e-07
ENSMUSG00000049624.15	Slc17a5	-0.898883734612187	8.39846942193484e-07
ENSMUSG00000034258.5	Flvcr2	-1.42085422471653	8.37176979055716e-07
ENSMUSG00000022637.12	Cblb	-0.943289181955496	8.8890794175312e-07
ENSMUSG00000036613.9	Eipr1	0.823611173892284	1.08435710075319e-06
ENSMUSG00000027248.14	Pdia3	1.35323993517778	1.08435710075319e-06
ENSMUSG00000057722.18	Lepr	-2.10824644753747	1.16876117079094e-06
ENSMUSG00000021226.8	Acot2	-1.82335913064666	1.20502366255676e-06
ENSMUSG00000021427.11	Ssr1	0.991102857024937	1.20769717058038e-06
ENSMUSG00000057068.16	Fam47e	2.5114191032374	1.36995939250071e-06
ENSMUSG00000028382.16	Ptbp3	-0.734791760959792	1.41688351666996e-06
ENSMUSG00000002289.17	Angptl4	-2.44665365047328	1.43660090730798e-06
ENSMUSG00000063015.13	Ccni	-0.864511409569011	1.44817224714383e-06
ENSMUSG00000025355.8	Mmp19	1.16719323366634	1.725497100286e-06
ENSMUSG00000020571.14	Pdia6	1.60973574437771	1.83735268737692e-06
ENSMUSG00000027502.12	Rtf2	-1.07625331815774	1.83735268737692e-06
ENSMUSG00000067071.9	Hes6	2.40384571638131	1.83735268737692e-06
ENSMUSG00000041769.14	Ppp2r2d	-1.08094611956791	1.83735268737692e-06
ENSMUSG00000027359.17	Slc27a2	-1.06442141587282	1.88563009422718e-06
ENSMUSG00000004071.14	Cdip1	-1.41384591311758	2.18000806143825e-06
ENSMUSG00000022971.19	Ifnar2	-0.563633098328896	2.16060637614821e-06
ENSMUSG00000027900.16	Dram2	-0.64167631843211	2.21585140636921e-06
ENSMUSG00000009905.6	Kdsr	-0.923696319391658	2.21585140636921e-06
ENSMUSG00000029547.11	Ints1	0.700940401195146	2.21585140636921e-06
ENSMUSG00000022769.10	Sdf2l1	3.13206221091626	2.58049743332925e-06
ENSMUSG00000026307.13	Scly	0.793877664872289	2.6502086854201e-06
ENSMUSG00000053317.12	Sec61b	1.03896750788938	2.6502086854201e-06
ENSMUSG00000008035.13	Mid1ip1	2.74844982855203	2.72419332841638e-06
ENSMUSG00000005893.15	Nr2c2	-0.780055492078758	2.72419332841638e-06
ENSMUSG00000020472.15	Zkscan17	-1.0054785736279	2.72419332841638e-06
ENSMUSG00000006517.6	Mvd	3.17216041187584	2.85945599977424e-06
ENSMUSG00000022051.16	Bnip3l	-0.960005529920881	2.85945599977424e-06
ENSMUSG00000030278.12	Cidec	-3.23955298536495	2.95914159996185e-06
ENSMUSG00000023973.14	Cnpy3	0.643910389951624	2.85945599977424e-06
ENSMUSG00000041939.15	Mvk	2.16059670463041	2.95914159996185e-06
ENSMUSG00000028671.17	Gale	1.60285124566333	3.16555164785347e-06
ENSMUSG00000020471.12	Pold2	1.09466017173465	3.23958839819889e-06
ENSMUSG00000062901.4	Klhl24	-1.53290889898604	3.38756201702475e-06
ENSMUSG00000056133.6	Unc93a2	-1.23983487032529	3.4938969384245e-06
ENSMUSG00000028982.10	Slc25a33	-1.3367661654228	3.41851939992398e-06
ENSMUSG00000022299.10	Slc25a32	-1.27934367085694	3.9133077771897e-06
ENSMUSG00000021400.9	Wrnip1	-1.04378285008765	3.94642971306724e-06
ENSMUSG00000020261.16	Slc36a1	1.01814513865922	3.94642971306724e-06
ENSMUSG00000019854.18	Reps1	-0.563100175869594	3.99559428442065e-06
ENSMUSG00000025195.10	Dnmbp	-1.25258105553637	3.99559428442065e-06
ENSMUSG00000038658.16	Ric1	-0.692466963906757	4.14519928600017e-06
ENSMUSG00000063077.16	Kif1b	-0.915056396550225	4.39174292789029e-06
