Geneid	Symbol	Aged_AdLibitum.log2fpkm.mean	Aged_Fast.log2fpkm.mean	Aged_Refeed.log2fpkm.mean	Aged_GElaS
ENSMUSG00000019132.12	BC005537	4.28266534372043	4.85804015354369	4.68134003074771	0.193539540444225
ENSMUSG00000032495.9	Lrrc2	5.43704445881656	5.92579087771367	5.72496295140474	0.239676968009591
ENSMUSG00000036181.3	H1f2	6.50002127517756	7.47387597152872	7.44586211698817	0.0279266302589489
ENSMUSG00000030967.16	Zranb1	4.36322761950981	5.02970608269619	4.67156905848604	0.48871781786469
ENSMUSG00000024104.12	Washc2	2.33376726859745	2.66388620786969	2.67620964527437	0
ENSMUSG00000031543.19	Ank1	5.35414927654006	4.70630454941298	4.85168829501765	0.149057366821512
ENSMUSG00000026213.16	Stk11ip	1.54305173782215	2.40954823415448	2.12851791690042	0.295317417483638
ENSMUSG00000020034.8	Tcp11l2	3.94917946074023	4.85032710395506	4.4164203212529	0.545498005455353
ENSMUSG00000023055.11	Calcoco1	4.22078441436269	4.6425765637232	4.56330084390474	0.0798002293315158
ENSMUSG00000036275.14	9530068E07Rik	4.42134865698389	4.83193383000772	4.86332096946427	0
ENSMUSG00000040435.13	Ppp1r15a	3.62302693896076	4.76324991855349	4.39505235731305	0.418298391442054
ENSMUSG00000062825.16	Actg1	5.65242122858682	4.66369654978224	4.93306263625144	0.296942281733384
ENSMUSG00000031666.16	Rbl2	3.10630522780962	3.97398390388663	3.94694990121417	0.0257175216055616
ENSMUSG00000030852.19	Tacc2	5.75287263866812	7.08778614029155	6.48033761033245	0.792512856189355
ENSMUSG00000038520.16	Tbc1d17	2.37782982135625	2.81739767456181	2.58984127169856	0.261111541796583
ENSMUSG00000017119.20	Nbr1	4.070218090145	4.39579306502199	4.3038589681309	0.0966756732225013
ENSMUSG00000030739.19	Myh14	3.40479784713458	3.89030676956966	3.62796776332804	0.344097495197537
ENSMUSG00000005514.15	Por	2.36489954889983	2.71874934852794	2.9374199462955	0
ENSMUSG00000006920.15	Ezh1	2.61919534578484	3.12889834879215	3.08791193085753	0.0381318126863307
ENSMUSG00000020802.9	Ube2o	3.03336892706655	3.35780218388329	3.30113036889178	0.054804783240453
ENSMUSG00000050148.10	Ubqln2	2.81185465847538	3.16421914221458	3.1259872464129	0.0362135157908979
ENSMUSG00000036833.17	Pnpla7	2.77742070974833	3.48187700203464	3.38001539264808	0.0993361058000912
ENSMUSG00000020744.14	Slc25a19	2.89528170855782	2.38782778551397	2.6414875124148	0.311761004951268
ENSMUSG00000026234.13	Ncl	4.27186051026481	4.56735176777667	4.49808806638712	0.0708671077496107
ENSMUSG00000026172.13	Bcs1l	2.73307141968117	2.36926555498113	2.55996741852866	0.233121836125815
ENSMUSG00000042726.15	Trafd1	3.63056205723781	4.28556125222698	4.05735149338597	0.264340075011509
ENSMUSG00000001138.14	Cnnm3	1.35522296599557	1.8546879382087	1.41607236983666	0.713233133308864
ENSMUSG00000029385.15	Ccng2	1.89424574915669	2.37359504981952	2.20511149336339	0.167096343781129
ENSMUSG00000020385.17	Clk4	3.41699773334896	3.78774671527105	3.60834225353812	0.203431494314454
ENSMUSG00000029578.16	Wipi2	2.02342682074797	2.30622383402756	2.25653157864022	0.0452295500181032
ENSMUSG00000066036.15	Ubr4	3.58662864683234	4.15927014596804	3.94420565915911	0.252317708161457
ENSMUSG00000008859.9	Rala	3.53378999940067	3.20337015027439	3.36332825537469	0.19309231161396
ENSMUSG00000042548.15	Asxl1	1.33490083654994	1.96887753247756	1.4520614550097	0.809243538386455
ENSMUSG00000027187.11	Cat	5.57215340665767	6.37261410100293	6.3710101732754	0.0016682672054096
ENSMUSG00000035569.18	Ankrd11	2.94223187164013	3.54398998743184	3.31277833742198	0.270003415150987
ENSMUSG00000054676.18	1600014C10Rik	2.96859962970363	2.61375690082689	2.69795598264246	0.0825083003341753
ENSMUSG00000015837.16	Sqstm1	7.61982951167552	8.17579418003342	8.41302476970344	0
ENSMUSG00000033102.16	Cdc14b	0.0655742728956683	0.515055788815	0.026612902873309	0.617547329993128
ENSMUSG00000020883.19	Fbxl20	1.32816590801289	1.91825471897886	1.32832090114372	1.0172703622402
ENSMUSG00000017817.12	Jph2	7.61062043770026	7.08329467339949	7.13618003322806	0.0529989223674575
ENSMUSG00000025162.19	Csnk1d	3.64365525669696	3.89584875166913	4.04724425590653	0
ENSMUSG00000027452.12	Acss1	3.65389699678413	4.64735772655256	4.59917074689062	0.0475356607594742
ENSMUSG00000033684.15	Qsox1	1.25840747694582	1.5745830663881	1.37951941894786	0.231836820388303
ENSMUSG00000015357.11	Clpx	4.71597580634853	5.44610620252201	5.17198197240866	0.330711113616231
ENSMUSG00000020453.18	Patz1	1.41568001379673	1.84830119540171	1.60909417183782	0.286416074595696
ENSMUSG00000029512.12	Ulk1	3.96096515593735	4.76242614993081	4.54460643324835	0.225670211819536
ENSMUSG00000038506.14	Dcun1d2	4.28108845891269	3.94587831427361	3.93123006751715	0
ENSMUSG00000018820.14	Zfyve27	1.13074034713632	1.67221072517523	1.46631711281467	0.219387726055684
ENSMUSG00000029131.15	Dnajb6	3.93061904865044	4.24248268384569	4.23163157138315	0.0102401461064462
ENSMUSG00000042675.16	Ypel3	5.07315904117233	5.63392776554315	5.69464542880679	0
ENSMUSG00000027438.15	Napb	2.34086226135855	3.05658222546873	2.71750479059294	0.368367277170472
ENSMUSG00000020715.10	Ern1	0.964882542991442	1.42161115961184	1.05892213259442	0.541177059891276
ENSMUSG00000039480.15	Nt5dc1	0.774323398795264	1.29773911101592	1.26246639742694	0.0291721185651368
ENSMUSG00000026790.20	Odf2	0.392176074862652	1.10366513147089	0.792143066589608	0.347264180020589
